,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
1607,Miel de truffe,3346041410161,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Gulaschsuppe,9002682103131,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,
1609,Demi viennois,3478920000542,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Kartoffelpüree,9002682103490,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Karton'],,,,,,,,,,,
1611,Kewpie Salad Dressing - Sesame - 200ml,6932028413019,D,"['Epicerie', 'Sauces', 'Sauces salades']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,200 ml,,,,,,,,,,,,
1612,Nudeln Fusilli - San Fabio - 1000g,4388441178257,,,"['Autriche', 'France', 'Allemagne']",[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,9",,,,"67,9",,"2,8",,"13,1",,,,,,,,,,,,,,,,,,1000g,"['Packung(en)', 'Produkt']",['San Fabio'],,,,,,,,,,
1613,Jus de grenade naturel - 200ml,5200134920167,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,"0,3",,"0,1",,15,,"13,4",,"0,1",,,,,,,,,,,,,,,,,['Sans sucre ajouté'],200 ml,,,,,,,,,,,,
1614,Mures - 125g,3564706579477,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,125 g,,,"['EMB 02408D', 'Laon (Aisne, France)']",,,,,,,,,
1615,Nougat enrobé chocolat lait,3760115962019,,,['France'],[],[],,,,,,,,,?,,563,,2356 kj(563 kcal),,"36,2",,"21,8",,"50,9",,"49,9",,7,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,,
1616,SOS jalapeño steak house - Develey,5906425142767,,,['France'],[],[],,,,,,,,,?,,63,,264 kj(63 kcal),,"0,5",,"0,1",,12,,12,,"1,6",,2,,"0,8",,,,,,,,,,,,,,,,['Develey'],,,,,,,,,,
