,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
0,Fourme d'ambert,2230100001388,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,?,,340,-1%,1423 kj(340 kcal),-0%,28,-1%,19,-4%,2,+103%,"0,5",+44%,20,-1%,"2,5",+13%,1,+13%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1,Pain aux céréales moelleux sans gluten,0202448024604,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,"10,7",,"1,4",,"32,4",,1,,"5,6",,"1,03",,"0,412",,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,
2,Capotes,8410134606702,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"0,7",,"0,2",,"2,2",,"2,2",,"0,8",,"6,7",,"2,68",,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chausson au nutella,2602810549502,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Lentillons ""Bio"" de ""LA FERME DU LEVANT"" de Champagne - 1kg",3760048310956,,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,0,,0,,"13,8",,0,,"8,2",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",1 kg,,,,,,,,,,,,
5,Crème Dessert,0745114108074,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ortola,3308440068824,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Asperges Blanches,3519622000178,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,?,,20,+5%,84 kj(20 kcal),+9%,"0,2",-20%,0,-100%,"2,5",+28%,0,-100%,"1,7",+16%,"0,7",-11%,"0,28",-11%,-3,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,,,
8,Mushy Peas,5054781340010,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Can', 'product']",,,,,,,,,,,
9,COMTE RIVOIRE JACQUEMIN,2619022015794,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,"0,5",+8%,"0,5",+87%,27,+0%,"0,86",+3%,"0,344",+3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
10,Parmezan Basilic - 80g,3770014370037,,,['France'],[],[],,,,,,,,,?,,407,,1703 kj(407 kcal),,30,,20,,1,,"0,7",,32,,"1,6",,"0,64",,,,,,,,,,,,,,80 g,,,,,,,,,,,,
11,Ginger pickle,8904246911019,,,['France'],[],[],,,,,,,,,?,,243,,1017 kj(243 kcal),,15,,"2,5",,0,,0,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Spaghetti aux oeufs frais,3599029095885,,,['France'],[],[],,,,,,,,,?,,283,,1184 kj(283 kcal),,"1,87",,"0,49",,"53,8",,"2,54",,"11,1",,"0,35",,"0,14",,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,
13,Rillettes de saumon bio,3378750000586,E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",['France'],[],[],6.6 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2.4 g,en quantité élevée,?,,1118,+408%,4678 kj(1118 kcal),+407%,"6,6",-62%,"1,4",-71%,"0,7",-68%,"0,5",-45%,14,+4%,"2,4",+111%,"0,96",+111%,21,+139%,E,+139%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,,
14,Creme dessert - 125g,17070,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans colorants'],125 g,,,,,,,,,,,,
15,bière sins,5413784909356,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Curcuma,3700238378465,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ourson,2327602000466,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Langue de porc cuite,2445878025843,,,['France'],[],[],,,,,,,,,?,,811,,3393 kj(811 kcal),,"14,6",,"5,2",,"0,8",,"0,13",,"14,12",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Viande de grisons,2293160024148,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Plant kitchen coconutdhal with roasted tofu,29035267,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"5,8",,"2,4",,"7,7",,"3,4",,"6,9",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,,
21,Beech nut whole grain baby cereal,0052200034750,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,"6,67",,0,,"66,67",,"6,667",,"13,33",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Judía verde plana troceada,8433329069700,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,5,,0,,"6,4",,"1,2",,"1,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kithul treace,4792212038099,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Salame della FATTORIA,8033254290073,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,32,,12,,0,,0,,28,,"3,8",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pain de campagne aux noix -,0202703009827,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne', 'Pains aux noix']",['France'],[],[],4.9 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en faible quantité,1.7 g,en quantité élevée,?,,248,-10%,1038 kj(248 kcal),-11%,"4,9",-42%,"0,5",-46%,42,-2%,"1,5",-25%,"7,7",-14%,"1,7",+56%,"0,68",+56%,6,+87%,C,+87%,,,,,,,,,,,,,,,,,,,,,
26,Mélange exotique,2600129034443,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,11,,"10,1",,"69,8",,"57,2",,"1,9",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Banane,0208003014899,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Munster fermier au lait cru,0243199043032,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ROTI DE PORC CUIT SUPÉRIEUR,0208511020993,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],18 g,en quantité modérée,0.8 g,en faible quantité,0.8 g,en faible quantité,2.2 g,en quantité élevée,?,,108,-25%,452 kj(108 kcal),-24%,18,+258%,"0,8",-62%,"0,8",-2%,"0,8",+28%,"21,6",-4%,"2,2",+28%,"0,88",+28%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
30,Thé dosette,8712100549984,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Vanille Vla - Jumbo,8718452367863,C,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']",['France'],"['MELK', 'vloeibare MELKbestanddelen', 'suiker', 'gemodificeerd maïszetmeel', 'verdikkingsmiddel: E407', 'zout', 'natuurlijk aroma', 'kleurstoffen: annatto en E100']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2.8 g,en faible quantité,1.9 g,en quantité modérée,9.6 g,en quantité modérée,0.14 g,en faible quantité,?,,90,-21%,377 kj(90 kcal),-21%,"2,8",-21%,"1,9",-14%,"13,6",-22%,"9,6",-32%,"2,4",-17%,"0,14",-3%,"0,056",-3%,3,-28%,C,-28%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,,,,['Jumbo'],"['NL Z0039 EG', 'NL Z0035 EG']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E100 - Curcumine']",['Lait'],4,,,,,,
32,La dinde nourrie aux grains de lin - Maître Coq,0215243038448,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,
33,Reblochon AOP VAL ARLY,0209588022118,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
34,Crème fleurette,3368248327929,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Beignets pomme x4 décongelé,0232108016403,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,"9,7",,"1,5",,49,,20,,"6,7",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,
36,Apfelsaft,4016876010513,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,1",,"0,02",,"10,8",,"10,3",,"0,1",,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,
37,Brillat savarin affiné - 100g,3296651110725,,,['France'],[],[],,,,,,,,,?,,395,,1653 kj(395 kcal),,40,,27,,"0,5",,0,,8,,"1,2",,"0,48",,,,,,,,,,,,,,100 g,,,,,,,,,,,,
38,Le Calisson - Lilamand - 440g,3760230170290,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",['France'],"['Melons confits ', 'melon', 'sirop de glucose', 'sucre', 'conservateur E200', 'amandes', 'sirop de glucose', 'sucre', ""écorces d'oranges confites "", ""écorce d'orange"", 'sucre', 'sirop de glucose', 'glaçage ', 'sucre glace', 'eau', 'jus de citron', ""blanc d'oeuf déshydraté"", ' pain azyme ', 'fécule de pomme de terre', 'eau', ""huile d'olive""]","['Sans huile de palme', 'Non végétalien']",24 g,en quantité élevée,2.2 g,en quantité modérée,40 g,en quantité élevée,0.5 g,en quantité modérée,?,,460,+4%,1925 kj(460 kcal),+4%,24,+34%,"2,2",+37%,53,-13%,40,-19%,"8,8",+14%,"0,5",+878%,"0,2",+878%,17,+16%,D,+16%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,440 g,,['Lilamand'],,"['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],4,,,,,,
39,Chocolat Cameroun 45% sans sucre - Reine Astrid,3760257890997,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],42.5 g,en quantité élevée,18.5 g,en quantité élevée,39 g,en quantité élevée,0.2 g,en faible quantité,?,,596,+8%,2494 kj(596 kcal),+8%,"42,5",+17%,"18,5",-12%,"44,5",-3%,39,-5%,7,-3%,"0,2",+44%,"0,08",+44%,22,-6%,E,-6%,,,,,,,,,,,['Reine Astrid'],,,,,,,,,,
40,Jambon à l Ancienne cuit avec couenne,2252518032341,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,?,,123,-19%,515 kj(123 kcal),-19%,"3,1",-50%,"1,4",-42%,"0,5",+1%,"0,5",+3%,23,+3%,2,+3%,"0,8",+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,['Picard'],,,,,
41,Udon spicy-chilli,8805957017277,,,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"0,5",,"0,1",,25,,"3,7",,"4,2",,"3,7",,"1,48",,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hershey's milk chocolate hot cocoa mix - Heinz,0043000083147,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,4,,4,,76,,68,,8,,"2,337",,"0,935",,,,,,,,,,,,,,,,"['Heinz', 'Kraft Foods']",,,,,,,,,,
43,Filet de truite des Pyrénées à l'huile d'olive et au citron - Sakari,3281230000214,,,['France'],[],[],,,,,,,,,?,,295,,1234 kj(295 kcal),,"23,7",,"3,6",,0,,0,,20,,"1,1",,"0,44",,,,,,,,,,,,,,,,['Sakari'],,,,,,,,,,
44,Bulkpowder bedtime,5055950600331,,,['France'],[],[],,,,,,,,,?,,364,,1523 kj(364 kcal),,"1,17",,"0,69",,"2,6",,"1,2",,"85,7",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Palette de porc cuite,2211322040478,,,['France'],[],[],,,,,,,,,?,,190,,795 kj(190 kcal),,14,,"5,7",,"0,9",,"0,6",,15,,"2,2",,"0,88",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
46,100% Whey - Prozis,5600380895507,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"6,4",,"4,2",,"5,4",,"4,4",,73,,"0,34",,"0,136",,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,
47,"Faisselle 4,5% - Terre de l'Alpe - 400g",3760165984481,C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",['France'],[],[],4.5 g,en quantité modérée,3 g,en quantité modérée,3.8 g,en faible quantité,0.1 g,en faible quantité,?,,72,-16%,301 kj(72 kcal),-16%,"4,5",-15%,3,-10%,"4,8",+9%,"3,8",+11%,"3,1",-30%,"0,1",-10%,"0,04",-10%,1,-32%,B,-32%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'FR-BIO-01']",400 g,,"[""Terre de l'Alpe""]",,,,,,,,,,
48,Tuna in brine,5010251786580,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Can', 'item(s)']",,,,,,,,,,,
49,Piadina,8003840000737,,,['France'],[],[],,,,,,,,,?,,322,,1347 kj(322 kcal),,"6,5",,"0,2",,"56,5",,"1,4",,8,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,
50,Maiskörner für Popcorn - Krini - 500g,4002015000330,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500 g,,['Krini'],,,,,,,,,,
51,Natural no stir crunchy peanut butter spread - Target,0085239045053,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']","['France', 'États-Unis']","['Roasted peanuts', 'sugar', 'palm oil', 'salt']","['Huile de palme', 'Végétalien', 'Végétarien']",50 g,en quantité élevée,9.38 g,en quantité élevée,9.38 g,en quantité modérée,0.978 g,en quantité modérée,?,,594,-1%,2485 kj(594 kcal),-1%,50,+4%,"9,38",+13%,"18,75",+30%,"9,38",+48%,"21,88",-11%,"0,978",+83%,"0,391",+83%,10,-9%,C,-9%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,['Target'],,,,2,,GOOD & GATHER,,,,
52,Co-op hot and firery salsa,5000128587471,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Chaussons aux pommes,0261081019354,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,
54,Kale chopped salad kit,0030223040644,,,['France'],[],[],,,,,,,,,?,,200,,837 kj(200 kcal),,14,,3,,14,,3,,5,,"0,625",,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sweet Teriyaki,5010338404086,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,,,,,
56,Red cabbage in vinegar,5010251504771,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Jar', 'jar(s)']",,,,,,,,,,,
57,Mont des cats,2270148024147,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Soft-baked banana bread and dark chocolate oatmeal squares - Nature Valley,0016000485525,,,['France'],[],[],,,,,,,,,?,,428.57142857143,,1793 kj(428 kcal),,"17,143",,"4,286",,"65,714",,"28,571",,"5,714",,"0,786",,"0,314",,,,,,,,,,,,,,,,['Nature Valley'],,,,,,,,,,
59,Panier de Yoplait - 4x 125g,3291330010105,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,"0,1",,0,,13,,13,,"4,4",,,,,,,,,,,,,,,,,,4 x 125 g,,['Yoplait'],,,,,,,,,,
60,Vegetable seasoning,0066200912529,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"33,75",,"13,5",,,,,,,,,,,,,,,,,,,,,,,,,,
61,Turmeric powder,0627733004305,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Chouquettes,0202585018375,,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,15,,"8,9",,29,,17,,"5,5",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pizza à croûte farcie poulet BBQ,0628456590243,,,"['Canada', 'France']",[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,11,,"4,5",,32,,7,,11,,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tru fru white & dark chocolate whole cherries,0850241008828,,['Snacks'],"['France', 'États-Unis']","['Cherries', 'dark chocolate ', 'chocolate liquor', 'sugar', 'cocoa butter', 'butterfat ', 'milk', 'soy lecithin ', 'an emulsifier', 'vanilla extract', 'white chocolate ', 'sugar', 'cocoa butter', 'whole milk powder', 'nonfat dry milk powder', 'lactose', 'whey', 'butterfat ', 'milk', 'soy lecithin ', 'an emulsifier', 'vanilla extract']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",17.9 g,en quantité modérée,10.7 g,en quantité élevée,32.1 g,en quantité élevée,0.09 g,en faible quantité,?,,321,-29%,1343 kj(321 kcal),-29%,"17,86",-15%,"10,71",+19%,"39,29",-30%,"32,14",+6%,"3,57",-43%,"0,09",-83%,"0,036",-83%,18,+1%,D,+1%,,,,,,,,,,,,,['E322i - Lécithine'],"['Lait', 'Soja']",4,,TRU FRU,,,,
65,Stash premium organic lavender/tulsi herbal tea,0077652083248,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Drinkable yogurt smoothie with probiotics of,0819393020553,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['France', 'États-Unis']","['Grade a pasteurized cultured low fat milk', 'water', 'sugar', 'blackberry puree', 'strawberry puree', 'raspberry puree', 'soluble corn fiber', 'concentrated pomegranate juice', 'corn starch-modified', 'natural flavors', 'pectin', 'potassium sorbate ', 'to preserve freshness', 'sodium citrate', 'stevia leaf extract', 'vitamin a palmitate', 'vitamin d3', ' contains live and active cultures: lactobacillus bulgaricus', 'streptococcus thermophilus', 'bifidobacterium lactis and lactobacillus acidophilus']",[],0.72 g,en faible quantité,0.48 g,en faible quantité,7.73 g,en quantité modérée,0.107 g,en faible quantité,?,,58,-37%,243 kj(58 kcal),-37%,"0,72",-78%,"0,48",-77%,"10,63",-3%,"7,73",-23%,"2,42",-36%,"0,108",-7%,"0,043",-7%,-1,-133%,A,-133%,,,,,,,,,,,,,"['E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",,4,,LALA,,,,
67,Natural Probiotic Yogurt Plain 6% M. F.,0059161351001,,,['France'],[],[],,,,,,,,,?,,91.428571428571,,383 kj(91 kcal),,"5,714",,4,,"5,714",,4,,4,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
68,Confiture de figues violettes Bio,3760220980038,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Bio'],,,,,,,,,,,,,
69,Dual force immunité,3665045250055,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
70,Aiguillette de poulet fermier bio,2268496030040,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bio'],,,,,,,,,,,,,
71,Moringa,3700216247424,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
72,Pain au chocolat beurre X5,0203728015411,,,['France'],[],[],,,,,,,,,?,,446,,1866 kj(446 kcal),,26,,17,,46,,14,,"7,7",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,,
73,Poulet blanc fermier - Loué,0217004043036,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Loué'],,,,,,,,,,
74,Comte fruité,00044875,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],34.6 g,en quantité élevée,22.6 g,en quantité élevée,0 g,en faible quantité,0.81 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,"34,6",-0%,"22,6",-0%,0,-100%,0,-100%,"26,7",-1%,"0,81",-3%,"0,324",-3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
75,Juste grain free OWNAT,8429037016945,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Porridge miel et vanille - Heritage Mill,9315090207897,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"8,3",,"1,2",,"61,4",,"10,3",,"12,2",,,,,,,,,,,,,,,,,,,,['Heritage Mill'],,,,,,,,,,
77,Pomme,3760031650021,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tomme des Hautes-Alpes Vache & Brebis - 300g,0200030055494,,,['France'],[],[],,,,,,,,,?,,312,,1305 kj(312 kcal),,"25,45",,"18,1",,"0,7",,"0,2",,"19,9",,"1,4",,"0,56",,,,,,,,,,,,,,300 g,,,,,,,,,,,,
79,Confiture Rhubarbe,3770015180338,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,63.2 g,en quantité élevée,0 g,en faible quantité,?,,263,+19%,1100 kj(263 kcal),+19%,"0,1",-55%,0,-100%,"65,4",+21%,"63,2",+20%,"0,6",+30%,0,-100%,0,-100%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
80,Propolis Bio,3700446496234,,"['Produits de la ruche', 'Propolis']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,
