,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
336,Extrême vanille de Madagascar - Nestlé - 6 * 120ml,7613034965868,B,6 * 120 ml,"['Carton', 'Surgelé']",['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés', 'Cônes vanille']",['France'],"['EMB 33539', 'Vayres (Gironde, France)', 'EMB 29181', 'Plouédern (Finistère, France)']",,"['Canada', 'France']","['Lait écrémé', 'sucre', 'huiles végétales ', 'coco', 'palme', 'colza', 'en proportions variables', 'eau', 'farine de blé', 'sirop de glucose', 'lactose et protéines de lait', 'cacao maigre', 'amandes ', '0,8%', 'émulsifiants ', 'lécithines ', 'soja', ""mono - et diglycérides d'acides gras"", 'stabilisants ', 'gomme guar', 'farine de graines de caroube', 'E407a', 'arômes naturels de vanille', 'gousses de vanille épuisées', 'sel', 'colorants ', 'caroténoïdes', 'riboflavines']","['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E101i - Riboflavine']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,14 g,en quantité modérée,10 g,en quantité élevée,29 g,en quantité élevée,0.14 g,en faible quantité,?,,298,+10%,1247 kj(298 kcal),+10%,14,+11%,10,+2%,38,+7%,29,+12%,"3,2",+5%,"0,14",-18%,"0,056",-18%,18,+6%,D,+6%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],
337,MAGGI KUB OR Bouillon 64 cubes - 256g,7613036336055,,256 g,"['Boite en carton', 'Cubes', 'boite', 'Etui en carton']","['Maggi', 'Kub or']","['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes']",['Fabriqué en France'],,,['France'],"['Sel de cuisine', 'fécule', 'sucre', 'huile de palme*', 'arômes ', 'CELERI', 'extrait végétale aminé ', 'BLE', 'oignon', 'extrait de levure', 'épices', 'colorant : caramel ordinaire ', ' extraits de CELERI et de poivre', ' *100% issue de plantations responsables', ' Peut contenir : œufs', 'lait', 'moutarde']",['E150a - Caramel E150a'],['Huile de palme'],4,,,,,,,,,751,+6%,179,+7%,751 kj(179 kcal),+5%,"8,5",+7%,"5,1",+31%,20,+15%,"9,5",+95%,"4,9",-13%,"61,6",+123%,"24,64",+123%,,,,,,,,,,,,Bouillon déshydraté en cubes,['Point Vert'],,,,"['Céleri', 'Gluten', 'E621', 'Glutamate monosodique']",,['Huile de palme'],
338,Herbs light - thomy - 4g,7613036386500,D,4 g,['Produkt'],"['Thomy', 'Nestlé']","['Epicerie', 'Sauces', 'Sauces salades']",,,,"['France', 'Suisse']",[],,[],,9.6 g,en quantité modérée,1 g,en faible quantité,0.2 g,en faible quantité,1.6 g,en quantité élevée,?,,103,-69%,431 kj(103 kcal),-69%,"9,6",-71%,1,-71%,3,-46%,"0,2",-95%,"0,6",-9%,"1,6",-16%,"0,64",-16%,8,-44%,C,-44%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
339,Yogurt Greek Style Nature - Oh! - 170g,7613269501640,,170 g,"['Pot plastique', 'Alu']","['Oh!', 'Migros']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",['Suisse'],['CH-2410'],['Migros'],"['France', 'Suisse']","['Yogourt écrémé concentré', 'à base de lait écrémé pasteurisé']",,['Non végétalien'],1,0.1 g,en faible quantité,0.1 g,en faible quantité,4 g,en faible quantité,0.1 g,en faible quantité,242,-53%,57,-51%,242 kj(57 kcal),-51%,"0,1",-99%,"0,1",-98%,4,-54%,4,-50%,10,+125%,"0,1",-14%,"0,04",-14%,-5,-223%,A,-223%,,,,,,,,Yaourt à la grecque nature,"['Peu ou pas de matière grasse', 'Sans matière grasse']",,,,,,,
340,Bio joghurt nature - Migros - 180g,7613269779612,B,180 g,,['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Switzerland'],['CH-2434'],['Migros'],"['France', 'Suisse']","['lait entier*', 'lait écrémé en poudre**', 'protéines du lait** **de production biologique suisse']",,['Non végétalien'],3,4 g,en quantité modérée,2.1 g,en quantité modérée,6 g,en quantité modérée,0.1 g,en faible quantité,320,+16%,76,+6%,320 kj(76 kcal),+7%,4,+11%,"2,1",-9%,6,+23%,6,+35%,4,-3%,"0,1",-17%,"0,04",-17%,1,+77%,B,+77%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,"['Bio', 'Bio européen', 'CH-BIO-006', 'Migros Bio']",,"['Suisse', 'Schweiz', 'Svizzera']",,['Lait'],,,
341,Multi Fruit - Coop - 1L,7613331014993,C,1 L,"['Carton', 'Brique', 'Plastique']",['Coop'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus multifruits', 'Jus multifruits à base de jus concentré']",,,['Coop'],"['France', 'Suisse']","['Jus de fruits à base de concentrés ', 'orange', 'pomme', 'ananas', 'purée de fruits ', 'bananes', 'mangue', 'kiwis', 'jus de fruit de la passion', 'purée de papayes à base de concentré', 'vitamines ', 'E', 'β-carotène', 'C']",,[],1,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,200,+1%,44,-6%,200 kj(44 kcal),+2%,0,-100%,0,-100%,11,0%,10,-4%,0,-100%,0,-100%,0,-100%,4,-8%,C,-8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Commerce équitable', 'Fairtrade International', 'Max Havelaar']",,,,,,,
342,Mayonnaise - Migros bio - 265g,7617027018944,C,265g,,['Migros bio'],"['Epicerie', 'Sauces', 'Mayonnaises', ""Mayonnaises à l'huile de tournesol""]",,,['Migros'],"['France', 'Allemagne', 'Suisse']","['huile de tournesol*', 'vinaigre de vin blanc*', ""jaune d'œuf* 8,4% "", ""d'élevage en plein air"", 'sel de cuisine', 'moutarde*', ' \r* De production biologique étrangère']",,['Non végétalien'],3,82 g,en quantité élevée,9.1 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,744,+29%,3113 kj(744 kcal),+27%,82,+30%,"9,1",+30%,"0,5",-80%,"0,5",-57%,"1,5",+30%,"0,8",-29%,"0,32",-29%,21,+15%,E,+15%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,"['Œufs', 'Moutarde']",,,
343,V-LOVE - Migros - 150g,7617027620857,,150 g,"['Plastique', 'Carton']","['Migros', 'Soja Line']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['Suisse'],,['Migros'],"['France', 'Allemagne', 'Suisse']","['Eau', 'graines de soja pelées 8%*', 'sucre de canne brut *', 'fécule de tapioca *', ' * De production biologique étrangère']",,['Végétarien'],3,2.5 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en faible quantité,0.075 g,en faible quantité,212,-43%,51,-45%,212 kj(51 kcal),-45%,"2,5",-24%,"0,5",-76%,"3,5",-68%,"1,5",-85%,"3,5",-7%,"0,075",-35%,"0,03",-35%,-2,-165%,A,-165%,,,,,,,,Yaourt soja,"['Bio', 'Végétarien', 'Union Végétarienne Européenne', 'Migros Bio', 'Sans lactose', 'Aha!']",,['Étranger'],,,,,
344,Merveilles - Migros - 216g,7617400030976,,216 g,,['Migros'],"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,['Migros'],"['France', 'Suisse']","['farine de blé', 'huile de tournesol', 'sucre', 'oeuf entier ', ""d'élevage au sol"", '\ramidon de pommes de terre', 'sel de cuisine', ""blanc d'oeuf en poudre "", ""d'élevage au\rsol"", 'yogourt', 'kirsch', 'amidon de blé', ""malt d'orge""]",,['Non végétalien'],3,37 g,en quantité élevée,3.5 g,en quantité modérée,17 g,en quantité élevée,0.7 g,en quantité modérée,2350,+52%,562,+58%,2350 kj(562 kcal),+58%,37,+134%,"3,5",+1%,50,+11%,17,+4%,7,+10%,"0,7",-5%,"0,28",-5%,14,+17%,D,+17%,,,,,,,,,,,,,['Gluten'],,,
345,Heudebert Pain grillé - LU - 500g,7622210100580,B,500g,"['Sachet plastique', 'Carton']",['LU'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']",,,['Delhaize'],"['Belgique', 'France']","['Farine de blé 102%', 'levure', 'huile de palme', 'sirop de glucose-fructose', 'sel', 'agent de traitement de la farine ', 'acide ascorbique', ' 100 g de produit fini est préparé avec 102 g farine de blé', ' Peut contenir lait et sésame']",['E300 - Acide ascorbique'],['Huile de palme'],4,4.8 g,en quantité modérée,2.1 g,en quantité modérée,2.5 g,en faible quantité,1.81 g,en quantité élevée,?,,389,0%,1628 kj(389 kcal),-1%,"4,8",-35%,"2,1",+34%,72,+10%,"2,5",-54%,12,+9%,"1,81",+47%,"0,724",+47%,10,+80%,C,+80%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,,['Gluten'],,['Huile de palme'],
