,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
0,Confiture Pêche - Carrefour - 370g,3560070224524,A,370 g,"['Pot', 'Verre']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches', 'Pâtés végétaux']",['France'],"['EMB 19121', 'Lubersac (Corrèze, France)', 'EMB 10121', 'Dampierre (Aube, France)']",['Carrefour'],['France'],"['Sucre', 'pulpe de pêche', 'purée de pêches', 'sucre de canne', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,1055,+12%,249,+16%,1055 kj(249 kcal),+17%,~ 0,-100%,~ 0,-100%,60,+15%,58,+15%,~ 0,-100%,~ 0,-100%,0,-100%,11,+19%,D,+19%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
1,Miel de la Cordillère des Andes - Chili - Carrefour - 500g,3560070254903,B,500 g,"['Bocal', 'Verre', 'couvercle métallique']","['Carrefour', 'Agir Carrefour']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,"['EMB 39439', 'Port-Lesney (Jura, France)']",['Carrefour'],['France'],['Miel de montagne du Chili'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0 g,en faible quantité,?,,304,+21%,1272 kj(304 kcal),+18%,0,-100%,0,-100%,82,+9%,82,+24%,"0,3",-22%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,Miel de montagne du Chili issu du commerce équitable certifié Fairtrade/Max Havelaar (100% du poids total).,"['Commerce équitable', 'Max Havelaar', 'FLO-cert']",Origine : Chili,['Chili'],Conditionné par EMB 39439 pour INTERDIS - TSA 91431 - 91343 MASSY Cedex - France.,,,,
2,Noix de macadamia grillées salées - Carrefour - 100g,3560070261086,D,100 g,"['Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits à coques et dérivés', 'Produits déshydratés', 'Fruits à coques', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de Macadamia']",['France'],,['Carrefour'],['France'],"['Noix de Macadamia 96%', 'huile de tournesol 3%', 'sel 1%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,74 g,en quantité élevée,11 g,en quantité élevée,5.5 g,en quantité modérée,1 g,en quantité modérée,3096,,750,+3%,3096 kj(750 kcal),+2%,74,+2%,11,-3%,12,+46%,"5,5",+18%,"8,2",-1%,1,+192%,"0,4",+192%,11,-28%,D,-28%,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,Noix de Macadamia grillées à l'huile et salées,"['Labels de distributeurs', 'Qualité Carrefour']",,,,['Fruits à coque'],,,
3,Fruits du verger - Carrefour - 280g égoutté,3560070279104,,280 g égoutté,"['Carton', 'Coupelles', 'Plastique', 'Pot']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Cocktail de fruits au sirop']",['Espagne'],,"['Carrefour', 'Carrefour market']",['France'],"['Fruits 58 % ', 'pêches', 'poires', 'jus de raisin à base de concentré', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,222,-20%,63,-5%,222 kj(63 kcal),-20%,0,-100%,0,-100%,14,-8%,14,+4%,0,-100%,0,-100%,0,-100%,1,,B,,,,,,,,,Morceaux de pêches et poires au jus de raisin à base de concentré sans sucres ajoutés,"['Fabriqué en Espagne', 'Sans sucre ajouté']",,,,,https://www.carrefour.fr/p/fruits-au-sirop-s-sucres-ajoutes-carrefour-3560070279104,,
4,Miel d'Acacia - Carrefour - 500g,3560070279227,B,500 g,,['Carrefour'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,"['EMB 39439', 'Port-Lesney (Jura, France)', 'SANS']",['Carrefour'],['France'],"[""Mélanges de miels d'Acacia originaires et non originaires de l'Union Européenne""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,?,,316,+9%,1322 kj(316 kcal),+9%,0,-100%,0,-100%,50,-35%,50,-29%,"0,5",+44%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,Miel d'Acacia,,Origine : Ce miel a été conditionné en France à partir de miel récolté en Hongrie et Moldavie.,"['Hongrie', 'Moldavie']",Conditionné par EMB 39439 pour INTERDIS,,,,
5,Carottes extra-fines - Carrefour - 400g,3560070303076,B,400 g,['Conserve'],['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']",,,['Carrefour'],['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,3.1 g,en faible quantité,0.5 g,en quantité modérée,?,,31,-16%,130 kj(31 kcal),-15%,"0,5",+29%,0,-100%,5,-11%,"3,1",-5%,"0,8",-37%,"0,5",-13%,"0,2",-13%,-5,,A,,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,,,,,,,,,
6,"Orange Jus à base de concentré - Carrefour Discount - 1,5l",3560070333127,D,"1,5 l","['Brique', 'Carton', 'Bouchon', 'Plastique', 'Tetra Pak', 'Tetra Brik Aseptic']","['Carrefour Discount', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]","[""Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon"", 'Indre', 'Centre-Val de Loire', 'France']","['EMB 36229', 'Varennes-sur-Fouzon (Indre, France)', 'EMB 59481', 'Quesnoy (Nord, France)', 'EMB 74224F', 'Roche-sur-Foron (Haute-Savoie, France)']","['Carrefour', 'Carrefour market', 'Carrefour express']","['France', 'Pologne', 'Roumanie', 'Espagne']","[""Jus d'orange à base de concentré"", 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,196,+8%,46,+7%,196 kj(46 kcal),+8%,0,-100%,0,-100%,11,+14%,11,+21%,"0,5",-20%,"0,1",+1109%,"0,04",+1109%,5,+67%,C,+67%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus d'orange à base de concentré,"['en:FSC', 'FSC Mix']",,,Fabriqué en France par EMB 59481 pour Interdis.,,,,
7,Sorbet Mangue - Carrefour - 1l,3560070335541,B,1 l,,['Carrefour'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Sorbets', 'Glace en bac', 'Sorbets à la mangue']",,"['EMB 61006C', 'Argentan (Orne, France)']",['Carrefour'],['France'],"['Sorbet à la mangue 95,2 % :Eau', 'purée de mangue 33,3%', 'sirop de glucose-fructose', 'sucre', 'dextrose', 'stabilisants : gomme guar - farine de graines de caroube - pectines', 'jus de citron concentré', 'arôme naturel', 'protéines de pois hydrolysées', 'colorants : caroténoïdes et curcumine', 'Morceaux de mangue semi-confits 4,8 % : Mangue 4%', 'sucre', 'jus de citron concentré', "" Pourcentages exprimés sur l'ensemble du produit"", ' Peut contenir des traces de fruits à coque et de lait']","['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E440 - Pectines', 'E160 - Caroténoïdes', 'E100 - Curcumine']",[],4,0.5 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,0.03 g,en faible quantité,526,,124,-33%,526 kj(124 kcal),-33%,"0,5",-92%,0,-100%,30,+3%,28,+10%,"0,5",-80%,"0,03",-83%,"0,012",-83%,7,-36%,C,-36%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"Sorbet à la mangue, aromatisé, avec des morceaux de mangue semi-confits","['Arômes naturels', 'Nutriscore', 'Nutriscore C']",,,Fabriqué en France par EMB 61006C pour Interdis.,,,,
8,Gorgonzola - carrefour - 150g,3560070338832,C,150 g,"['Barquette', 'Plastique', 'Frais']",['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages italiens', 'Fromages pasteurisés', 'Gorgonzolas', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']",['Italie'],,['Carrefour'],['France'],"['lait de vache entier pasteurisé', 'ferments lactiques', 'sel', 'présure animale', 'penicillium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,1349,+3%,325,-1%,1349 kj(325 kcal),-2%,27,-3%,19,-1%,"0,6",+3%,0,-100%,19,+5%,2,+33%,"0,8",+33%,17,+17%,D,+17%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,"Fromage italien AOP, à pâte persillée, au lait de vache pasteurisé","['Point Vert', 'Fabriqué en Italie', 'Nutriscore', 'Nutriscore D', 'AOP', 'Eco-Emballages', 'Gorgonzola']",,['Italie'],,['Lait'],,,
9,Olives noir - Carrefour Discount,3560070340194,B,,,['Carrefour Discount'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives entières', 'Olives noires entières']",,,['Carrefour'],['France'],[],,[],,16 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,2.1 g,en quantité élevée,?,,152,-46%,636 kj(152 kcal),-47%,16,-43%,"2,6",-34%,0,-100%,0,-100%,0,-100%,"2,1",-58%,"0,84",-58%,9,-34%,C,-34%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,
10,"Yaourts aromatisés  - Carrefour kids - 1,5kg (6*125g)",3560070354375,B,"1,5 kg (6*125 g)","['Carton', 'Plastique', 'Frais', 'Pot']","['Carrefour kids', 'Carrefour']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés']",,"['EMB 38544C', 'Vienne (Isère, France)']","['Carrefour Market', 'Carrefour']",['France'],"['Lait écrémé à base de poudre de lait', 'lait écrémé', 'sucre 8,9%', 'crème', 'poudre de lait écrémé', 'arômes naturels ou arôme naturel de vanille et autres arômes naturels', 'concentré des minéraux du lait', 'ferments lactiques', 'vitamine D']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.9 g,en faible quantité,0.6 g,en faible quantité,12 g,en quantité modérée,0.13 g,en faible quantité,316,-15%,?,,316 kj(76 kcal),-17%,"0,9",-67%,"0,6",-66%,12,-3%,12,+2%,"3,4",-4%,"0,13",+14%,"0,052",+14%,0,-100%,B,-100%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,"Yaourt sucré aromatisé, source de calcium et de vitamine D","['Fabriqué en France', 'Arômes naturels', 'Sans colorants']",,,,['Lait'],,,
11,Jus de pomme - Carrefour - 1L,3560070370504,B,1 L,"['Brique', 'Carton', 'Bouchon', 'Plastique', 'Italpack cartons']",['Carrefour'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","[""Carrefour Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']","['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]","['Carrefour city', 'Carrefour']",['France'],"['Jus de pomme', 'vitamine C']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0.01 g,en faible quantité,187,-1%,44,-4%,187 kj(44 kcal),-2%,0,-100%,0,-100%,10,-9%,"9,8",-6%,"0,5",+128%,"0,01",-20%,"0,004",-20%,4,-4%,C,-4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,Jus de pomme,"['Nutriscore', 'Nutriscore C']",,,,,,,
12,Gran misto - Carrefour,3560070373628,,,['Sachet'],['Carrefour'],,,,['Carrefour'],['France'],[],,[],,,,,,,,,,?,,393,,1644 kj(393 kcal),,29,,20,,0,,0,,33,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
13,Tarte aux pommes - Bon app' - 140g,3560070391042,B,140 g,"['Barquette', 'Film', 'Plastique']","[""Bon app'"", 'Carrefour']","['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",,"['EMB 14258C', 'Falaise (Calvados, France)']",['Carrefour'],['France'],"['Pommes 41%', 'compote de pommes 28% ', 'purée de pommes concentrée', 'sirop de glucose-fructose', 'antioxydant : acide ascorbique', 'farine de blé', 'eau', 'beurre 4,7%', 'sucre', 'œufs entiers frais', ' gélifiant : carraghénanes', 'sel']","['E300 - Acide ascorbique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,6.7 g,en quantité modérée,4.7 g,en quantité modérée,20 g,en quantité élevée,0.22 g,en faible quantité,927,-4%,220,-11%,927 kj(220 kcal),-10%,"6,7",-28%,"4,7",-13%,36,-0%,20,-3%,"2,8",+16%,"0,22",-13%,"0,088",-13%,5,-55%,C,-55%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,"['Nutriscore', 'Nutriscore C']",,,,"['Œufs', 'Gluten', 'Lupin', 'Lait']",,,
14,Nonnettes de Dijon Fourrées à la Confiture d'Orange - Reflets de France - 200g,3560070400829,B,200 g,"['Sachet', 'Plastique']",['Reflets de France'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', ""Pains d'épices"", 'Nonnettes']",['France'],,['Carrefour'],['France'],"['Farine de blé 33%', ""confiture d'orange 26% [sirop de glucose-fructose"", 'orange 35% ', 'soit  du produit 9% exprimé sur l’ensemble', 'sucre', 'gélifiant: pectines de fruits', 'correcteurs d’acidité : acide citrique  et citrate trisodique]', 'miel 20,6%', 'sucre', ' sirop de sucre inverti', 'jaune d’œufs', ""poudres à lever : carbonates de sodium et carbonates d'ammonium"", ""arôme naturel d'orange""]","['E440 - Pectines', 'E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Non végétalien'],4,2.2 g,en faible quantité,0.5 g,en faible quantité,44 g,en quantité élevée,0.4 g,en quantité modérée,?,,348,+3%,1456 kj(348 kcal),+3%,"2,2",+11%,"0,5",+20%,76,+0%,44,-3%,"4,3",+17%,"0,4",-25%,"0,16",-25%,13,-13%,D,-13%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,6 Petits pains d'épices de Dijon foirrés à la confiture d'orange,"['Point Vert', 'Fabriqué en France']",,,,"['Œufs', 'Gluten']",https://www.refletsdefrance.fr/produits/epicerie-sucree-et-terroir/biscuits/nonnettes-de-dijon-fourees-la-confiture-d-orange,,
15,Bouillon de Volaille - Carrefour Bio - 80g,3560070416127,,80 g,"['Carton', 'Boîte']","['Carrefour Bio', 'Carrefour']","['Epicerie', 'Bouillons', 'Bouillons de volaille']",,"['EMB 51454B', 'Reims (Marne, France)']",['Carrefour'],"['France', 'Espagne']","['Sel', 'amidon de maïs*', 'beurre de karité*', 'viande de volaille* 5%', 'graisse de volaille* 5%', 'extrait de levure', 'oignons*', 'arôme naturel ', 'contient œuf', 'ail*', 'céleri*', 'curcuma*', 'persil*', 'poivre*', 'romarin*', 'thym*', ' *Bio', ' Peut contenir des traces de céréales contenant du gluten', 'soja', 'lait et moutarde']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,8.2 g,en quantité élevée,1.6 g,en faible quantité,46.3 g,en quantité élevée,1217,+64%,292,+95%,1217 kj(292 kcal),+83%,19,+303%,"8,2",+280%,24,+24%,"1,6",-72%,"5,6",-2%,"46,3",+84%,"18,52",+84%,20,+111%,E,+111%,,,,,,,,Bouillon de volaille déshydraté et aromatisé issu de l'agriculture biologique.,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'ES-ECO-026-VAS', 'Agriculture UE', 'AB Agriculture Biologique', 'AB Agriculture Biologique', 'Agricultura UE', 'Agricultura UE/no UE', 'Agricultura no UE', 'Ecológico', 'Ecológico UE', 'Hecho en España']",,['Espagne'],Fabriqué en Espagne par Interal S.A. RGSEAA ES 26.00128/SS pour Interdis.,"['Céleri', 'Œufs', 'Poivron rouge']",,,
16,Fonds d'artichauts MINI - Carrefour - 220g 110g 250ml,3560070438686,C,220 g 110 g 250 ml,"['bocal verre', 'couvercle métal']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve', ""Coeurs d'artichauts""]",,"['EMB 40028A', 'Bastennes (Landes, France)']",['Carrefour'],['France'],"[""Fonds d'artichauts"", 'eau', 'sel', 'acidifiant: acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,1.4 g,en faible quantité,0.58 g,en quantité modérée,112,-22%,27,-31%,112 kj(27 kcal),-34%,0,-100%,0,-100%,"4,3",-6%,"1,4",+15%,"1,3",-19%,"0,58",-32%,"0,232",-32%,-5,,A,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,Fonds d'artichauts miniatures 8/12 unités.,,Ce produit est fabriqué à partir d'artichauts cultivés au Pérou.,['Importé du Pérou'],Importé du Pérou par EMB 40028A pour Interdis.,,,,
17,Barres céréalières au chocolat et aux cacahuètes - Carrefour Discount - 200g,3560070449545,D,200 g,"['Sachet', 'Plastique', 'Carton']",['Carrefour Discount'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",['France'],"['EMB 45008A', 'Artenay (Loiret, France)']","['Carrefour City', 'Carrefour']",['France'],"['Céréales 36,5% ', 'flocons d’avoine', 'farine de blé', 'farine de riz', 'sirop de glucose', ' pépites de chocolat noir 12% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'arôme', 'cacahuètes ', 'arachides', ' 11', '5%', 'graisse végétale de palme', 'pâte de cacahuètes ', 'arachides', ' 2,7%', 'stabilisant : sorbitols', 'cacao maigre', 'sucre', 'dextrose', 'sel', ""émulsifiant : sucroesters d'acide gras""]","['E322i - Lécithine', 'E420 - Sorbitol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']",['Huile de palme'],4,14.8 g,en quantité modérée,5.1 g,en quantité élevée,28.2 g,en quantité élevée,0.23 g,en faible quantité,1807,-8%,430,-3%,1807 kj(430 kcal),-4%,"14,8",-24%,"5,1",-49%,"61,8",+5%,"28,2",-12%,"9,6",+34%,"0,23",-38%,"0,092",-38%,12,-31%,D,-31%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,Barres céréalières aux pépites de chocolat et aux cacahuètes,['Qualité contrôlée'],,,,"['Gluten', 'Avoine', 'Arachides', 'Soja']",,['Huile de palme'],
18,Tripes à l'ancienne à la mode de Caen - Reflets de France - 600g,3560070455041,E,600 g,"['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve']",['Reflets de France'],"['Conserves', 'Plats préparés', 'Poissons et viandes et oeufs', 'Produits à la viande', 'Plats préparés à la viande', 'Abats', 'Plats au bœuf', 'Plats préparés en conserve', 'Spécialités à base de tripes', 'Produits tripiers', 'Tripes à la mode de Caen', 'Tripes']","['Les Tripes Paillard - ZI de la Vallée - 76450 Cany-Barville', 'Seine-Maritime', 'Haute-Normandie', 'France']","['FR 76.159.003 CE', 'Cany-Barville (Seine-Maritime, France)']",['Carrefour'],['France'],"['Estomacs et pied de boeuf 77 %', 'eau', 'carottes 3 %', 'vin aromatisé', 'oignons 1 %', 'sel', 'Calvados 0,8 %', 'poireaux 0,4 %', 'ail', 'poivre', 'piment doux', 'piment de Cayenne', 'laurier', 'girofle', 'thym']",,[],3,4 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,506,+22%,?,,506 kj(121 kcal),+20%,4,+21%,2,+41%,~ 0,-100%,~ 0,-100%,21,+28%,"1,1",-4%,"0,44",-4%,0,-100%,B,-100%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,Tripes à l'ancienne à la mode de Caen,"['Point Vert', 'Eco-Emballages']",,['France'],,,http://www.refletsdefrance.fr/epicerie-salee/plats-cuisines/tripes-lancienne-la-mode-de-caen,,
19,Légumes à la Basquaise - Carrefour - 750g,3560070463510,,750 g,"['Surgelé', 'Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Plats préparés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Plats préparés surgelés', 'Mélanges de légumes surgelés']",,,['Carrefour'],['France'],"['Tomates 36,5%', 'poivrons rouges et verts préfrits 24% ', 'poivrons rouges', 'poivrons verts', 'huile de tournesol', 'oignons préfrits 17% ', 'oignons', 'huile de tournesol', 'sauce tomate 15% ', 'tomates', 'amidon modifié de maïs', 'acidifiant : acide citrique', 'olives vertes 5% ', 'olives vertes', 'sel', 'eau', 'acidifiant : acide lactique', 'assaisonnement 2,5% ', 'sel', 'maltodextrine', 'épices ', 'paprika', 'basilic', 'poivre', 'marjolaine', 'oignon en poudre', 'sucre', 'ail en poudre', 'persil', ""huile d'olive"", 'acidifiant : acide citrique']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E270 - Acide lactique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,4.2 g,en quantité modérée,0.9 g,en faible quantité,3.5 g,en faible quantité,0.9 g,en quantité modérée,?,,73,+33%,305 kj(73 kcal),+35%,"4,2",+182%,"0,9",+203%,"6,4",+11%,"3,5",+34%,"1,6",-21%,"0,9",+327%,"0,36",+327%,0,,B,,,,,,,,,Mélange de légumes avec sauce surgelé.,['Fabriqué en Espagne'],,,,,,,
20,Jambon cuit qupérieur au Torchon avec couenne - Carrefour - 240g,3560070495979,E,240 g,"['Frais', 'Atmospère protectrice', 'Plastique']","['Carrefour', 'Carrefour Marchandises Internationales']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']",['Carrefour'],['France'],"[""Jambon de porc issu d'animaux nourris sans OGM "", '<0,9%', 'sel', 'bouillons aromatiques ', 'eau', 'os et viande de porc', 'oignon', 'ail', 'poivre', 'muscade', 'thym', 'laurier', 'clou de girofle', 'sirop de glucose', 'antioxydant : isoascorbate de sodium', 'conservateur : nitrite de sodium']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.9 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en quantité élevée,?,,124,-6%,519 kj(124 kcal),-5%,4,-17%,"1,9",+3%,1,+49%,"0,9",+51%,21,-0%,"1,7",-9%,"0,68",-9%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,Jambon cuit supérieur au torchon avec couenne,"['Point Vert', 'Fabriqué en France', 'Qualité supérieure']",,,,,,,
21,Rillettes de poulet rôti en cocotte recette pure volaille - Carrefour,3560070507726,D,,,['Carrefour'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",,"['FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",['Carrefour'],['France'],"['Viande de poulet 90%', 'graisse decafiardÇtomate', 'oignon', 'carotte', 'sel', 'poivre', 'miel', 'vinaigre', 'plantes aromatiques ', 'thym', 'laurier']",,"['Non végétalien', 'Non végétarien']",3,30 g,en quantité élevée,9.8 g,en quantité élevée,0.5 g,en faible quantité,1.18 g,en quantité modérée,?,,334,+5%,1397 kj(334 kcal),+5%,30,+8%,"9,8",+11%,"0,5",+1%,"0,5",+27%,16,-4%,"1,175",-1%,"0,47",-1%,18,+7%,D,+7%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,
