,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
355,Fruiss sirop de fraise,3217690059240,,['France'],[],[],?,29,0,7,0,121 kj(29 kcal),0,7,0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,,,,,,,,,-89%,-89%,-100%,-100%,-90%,-90%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,
356,Palette fumée sans os,2450774006902,,['France'],[],[],?,?,?,?,?,,,,"2,62","1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,8033954553522,8033954553522,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Classico olio extra vergine di oliva,8002591904882,,['France'],[],[],?,124,14,0,0,519 kj(124 kcal),2,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",14 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-86%,-86%,-85%,-86%,,,,-100%,-100%,-3,-149%,A,-149%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
359,Saucisson,3119320006771,,['France'],[],[],?,396,31,"1,2",28,1657 kj(396 kcal),13,"0,9","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Cordon Bleu,160509300376,,['France'],[],[],?,261,17,14,12,1092 kj(261 kcal),"4,5","1,6","1,29","0,516",D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,,+17%,+17%,+39%,+42%,-3%,-9%,-5%,-3%,-3%,12,+69%,D,+69%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,,
361,Ce noura Chocolates,5601055315238,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Torsade chocolat,0202168012998,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Yaourt Mangue Passion sucre - Vrai - 4 * 100g,3273220530887,"['FR 35.207.003 CE', 'Noyal-sur-Vilaine (Ille-et-Vilaine, France)']",['France'],"['Yaourt 80% ', 'Lait entier*', 'poudre de lait écrémé*', 'ferments lactiques sélectionnés ', 'lait', 'mangue* 12%', 'sucre de canne non raffiné issu du commerce équitable* 6%', 'passion* 2%', "" * Issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",360,86,"2,9","11,9","3,7",360 kj(86 kcal),"1,8",11,"0,1","0,04",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la mangue', 'Yaourt à la passion']",2.9 g,en faible quantité,1.8 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,+1%,-16%,-13%,-5%,-9%,-11%,-11%,-1%,-7%,-7%,2,-30%,B,-30%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Vrai'],4 * 100 g,"['Pot', 'Plastique', 'Etui', 'Carton', 'Réfrigéré', 'Pot en plastique', 'Etui en carton']","['Bio', 'Bio européen', 'Agriculture non UE', '1% pour la planète', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Lait Français', 'Sans colorants', 'Sans arômes ajoutés', 'Sans épaississant', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique', 'Triman']",,['France'],,['Lait'],3,"Yaourt brassé biologique, sucré, à la mangue et à la passion",,,,,
364,Oli di semi di sesamo - Benvolio,8058333350394,,['France'],[],[],?,828,92,0,0,3464 kj(828 kcal),"14,9",0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",92 g,en quantité élevée,14.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,+1%,-100%,-100%,-100%,-100%,-100%,12,+4%,D,+4%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,['Benvolio'],,,,,,,,,,,,,,
365,Écorces d'orange enrobées au chocolat noir,2600967047490,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Weider Nutrition Glucosamine & Chondroitin MSM,4044782376119,,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Weider'],,,,,,,,,,,,,,
367,Premium onion chutney,5021185402996,,['France'],[],[],?,221,"0,2","52,8","1,1",925 kj(221 kcal),"0,01","48,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Verdure cremose vellutata di carote e zucca,8001040098172,,['France'],[],[],?,158,"0,6","6,9","1,1",661 kj(158 kcal),"0,1","2,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Verdure cremose passato dell'orto,8001040098158,,['France'],[],[],?,119,"0,5","5,1","0,8",498 kj(119 kcal),"0,1",1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Chips Fizz 6,8410525248917,,['France'],[],[],?,340,1,81,"1,8",1423 kj(340 kcal),"0,6",54,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Vege'bloc à l'italienne,4032277000649,,['France'],[],[],?,275,"13,8","4,8","32,9",1151 kj(275 kcal),"1,5","0,7","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Rustico Duo Dégustation Chiffonades,8028257004130,,['France'],[],[],?,310,21,"0,5",30,1297 kj(310 kcal),7,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Lapin sauce moutarde et champignons boulgour et quinoa,3700569020194,,['France'],[],[],?,121,5,"10,2","8,3",506 kj(121 kcal),"1,3",1,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Cake tun choco,3324321288143,,['France'],[],[],?,476,"19,4","67,5","7,8",1992 kj(476 kcal),"12,6","27,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"Des de bacon, fumes-sales au sel sec",2264716027753,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",['France'],[],[],?,128,"2,9","0,5",25,536 kj(128 kcal),"1,1","0,5","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Baguette Cereales 250g,,,['France'],[],[],?,265,"0,9",43,13,1109 kj(265 kcal),"0,9",0,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Drinkizz,8938532005038,,['France'],[],[],?,30,0,7,0,126 kj(30 kcal),0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Aptonia ISO+ Isotonic Drink Goût Citron (4×38g),3583787748671,,['France'],[],[],?,26.2,0,"6,6","0,2",110 kj(26 kcal),0,"3,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aptonia'],,,,,,,,,,,,,,
379,Palette fumée sans os,45406744,,['France'],[],[],?,136,"6,5","0,7","18,6",569 kj(136 kcal),"2,9","0,5","2,62","1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Emstaler Brunnen Medium,4008458803576,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Barre familiale pépites de chocolat,3259426041792,,['France'],[],[],?,440,25,47,6,1841 kj(440 kcal),4,25,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Moutarde au pesto,3700600309752,,['France'],[],[],?,210,15,9,"9,1",879 kj(210 kcal),"1,4","4,7","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Aviva Rose New Product!,8410744009078,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Saucisson sec à la moutarde,3234812410017,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Pâte à sucre,3324695191919,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Bunter Frühling,4013900500477,,['France'],[],[],?,549,32,58,6,2297 kj(549 kcal),20,56,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Breaded Ham,5022977011136,,['France'],[],[],?,98,3,0,"17,4",410 kj(98 kcal),1,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Farina tipo pe dolci,8057284260271,,['France'],[],[],?,343,"1,2",72,10,1435 kj(343 kcal),"0,2","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Spicy de poulet,5902082435099,,['France'],[],[],?,567,1,16,16,2372 kj(567 kcal),"0,4","1,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Robby Bubble Berry,4001681014054,,['France'],[],[],?,37,0,"8,9",0,155 kj(37 kcal),0,"8,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Feutres alimentaires,3700392471019,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Beignets chocolat,0206215025580,,['France'],[],[],?,316,10,48,"9,1",1322 kj(316 kcal),5,18,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Préparation pain kesra,3770014816108,,['France'],[],[],?,337,1,70,11,1410 kj(337 kcal),"0,2",3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Ginger Beer,3770014547064,,['France'],[],[],?,2.8,0,"0,7",0,12 kj(2 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Bouchées chocolat lait 40% cacao - cacahuète fleur de sel,3760077183477,,['France'],[],[],?,?,?,?,?,,,,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Fondant chocolat,2256210204389,,['France'],[],[],?,398,21,45,"4,9",1665 kj(398 kcal),"4,2",31,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,8052049270007,8052049270007,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,01292336,01292336,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Chirps de sarrasin gout Saucisse Moutarde,3497917002796,,['France'],[],[],?,561,37,45,"9,6",2347 kj(561 kcal),"3,1","1,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Friture praliné noisette,3760110971276,,['France'],[],[],?,587,"41,9","39,2","10,3",2456 kj(587 kcal),"11,04","36,4","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,
401,Crêpe super U,2606469019027,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Moelleux chocolat pur beurre,3021990102700,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Croissants pur beurre,2644759011153,,['France'],[],[],?,455,"17,3","38,7","8,9",1904 kj(455 kcal),"12,1","7,7","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Foie de boeuf,2431421007350,"['FR 94.065.537 CE', 'Rungis (Val-de-Marne, France)', 'FR 61.138.001 CE', 'Croisilles (Orne, France)']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Nos tartinables poivron passion,3770015835047,,['France'],[],[],?,193,"17,5",9,"1,1",808 kj(193 kcal),"3,2",2,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Boudin blanc nature,2238080016606,,['France'],[],[],?,266,23,"1,8",13,1113 kj(266 kcal),9,"1,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Pate de porc «Entre Copains»,3760082244118,,['France'],[],[],?,217,15,2,18,908 kj(217 kcal),"5,7","0,2","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Cumin moulu,3346041473050,,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Nero d’avola punto 20,8049033100082,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,"Wrap poulet,crudité",8200391885244,,['France'],[],[],?,862,"7,4","24,3","8,4",3607 kj(862 kcal),"0,9","2,6","1,01","0,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,L’œuf Gourmand,3660806510768,,['France'],[],[],?,543,32,53,"7,4",2272 kj(543 kcal),14,51,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Pistachios,0014113913904,,['France'],[],[],?,590,46,18,21,2469 kj(590 kcal),"5,7","7,7","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Grissini sesamo,8004583511085,,['France'],[],[],?,447,15,65,11,1870 kj(447 kcal),"2,5",5,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Oeufs au chocolat noir,8002325449993,,['France'],[],[],?,545,"33,2","54,9","4,4",2280 kj(545 kcal),"22,8","52,8","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Moutarde de Dijon,3275550700244,,['France'],[],[],?,160,"11,3","2,9","7,3",669 kj(160 kcal),"0,7","2,1","5,5","2,2",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",11.3 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en faible quantité,5.5 g,en quantité élevée,,+1%,+0%,-2%,-8%,-21%,-7%,+2%,-7%,-7%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
416,Boisson énergétique TEMPLAR,5419980032263,,['France'],[],[],?,36,0,"8,5",0,151 kj(36 kcal),0,"8,4","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Country Selection : Alpine,4047777156277,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,ma préparation pain naan,3770014816146,,['France'],[],[],?,333,1,70,10,1393 kj(333 kcal),"0,2","2,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Pop&go,84987655,,['France'],[],[],?,506,31,5,"4,2",2117 kj(506 kcal),"3,5","3,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Marzipan mit Zartbitter Schokolade,4000161470625,,['France'],[],[],?,493,"32,4","38,6","9,8",2063 kj(493 kcal),"6,9","36,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Pain d'épices tranché aux figues bio,3335440213305,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Saucisses Natures ×8 VPF,2861951058643,"['FR 53.107.002 CE', 'Gorron (Mayenne, France)']",['France'],[],[],?,289,25,1,15,1209 kj(289 kcal),10,1,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Mayonnaise,7293990007378,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Terrine gourmande de porc au piment d'Espelette,3391860050364,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Biscuits saveur bacon - Auchan,3596710482450,,['France'],[],[],?,519,28,51,15,2171 kj(519 kcal),11,2,"2,3","0,92",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",28 g,en quantité élevée,11 g,en quantité élevée,2 g,en faible quantité,2.3 g,en quantité élevée,,+12%,+11%,+41%,+103%,-14%,-49%,+52%,+15%,+15%,26,+69%,E,+69%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Auchan'],,,"['Nutriscore', 'Nutriscore E']",,,['Auchan'],,,,,,,,
426,Tortilla Pops,3609200010726,,['France'],[],[],?,427,11,66,13,1787 kj(427 kcal),"1,5","0,8","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Cow’s ghee,8904109490538,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Boisson Avoine cacao - Bjorg,3229820801117,,['France'],[],[],?,50,"1,8","7,4","1,1",209 kj(50 kcal),"0,4","4,8","0,08","0,032",B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",1.8 g,en quantité modérée,0.4 g,en faible quantité,4.8 g,en quantité modérée,0.08 g,en faible quantité,,+4%,+4%,+40%,+93%,-6%,-7%,+43%,-15%,-15%,1,+87%,B,+87%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,['Bjorg'],,,"['Bio', 'Bio européen', 'Sans sucre ajouté', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,
429,Terrine campagnard au jus de truffes noires,3391860050609,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Puree nutritionnelle bio,2100027028075,,['France'],[],[],?,74,"2,3",12,"0,9",310 kj(74 kcal),"0,3","7,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Poulet Fermier Bio,2295250012967,,['France'],[],[],?,172,"9,8",0,21,720 kj(172 kcal),"2,9",0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Fous de l'île pomme pain d'épice gingembre,0816514001002,,['France'],[],[],?,0.12,0,4,0,1 kj(0 kcal),0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Feuilletés PIZZA,3760031830720,,['France'],[],[],?,501,28,49,15,2096 kj(501 kcal),18,"0,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Poulet de la Ardèche,2160776009268,,['France'],[],[],?,142,"5,7","0,5",22,594 kj(142 kcal),"1,7","0,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Cantal jeune,2655855024862,"['FR 63.019.003 CE', 'Aulnat (Puy-de-Dôme, France)']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Seché de citron noir,8718531645592,,['France'],[],[],?,30,"0,2","10,5","0,7",126 kj(30 kcal),"0,01","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Sirop de grenade,6210241341150,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Concombre marinées,5281117012451,,['France'],[],[],?,26,0,5,1,109 kj(26 kcal),0,2,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Comté Marcel Petite bio delicat et fruité,2454495045394,,['France'],[],[],?,427,35,1,27,1787 kj(427 kcal),23,0,"0,76","0,304",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Marcel Petite'],,,,,,,,,,,,,,
440,Pizza,,,['France'],[],[],?,187,"6,2","22,7","10,2",782 kj(187 kcal),0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Vin rouge,3770009431170,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Pizza crust,3242273051861,,['France'],[],[],?,195,5,25,10,816 kj(195 kcal),3,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Film en plastique', 'Etui en carton']","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,
443,Select gold,4047777096955,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Ananas,5099400004744,,['France'],[],[],?,54.4,"0,5","11,7","0,5",228 kj(54 kcal),"0,01","10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Carpaccio de truffes d'été,3700900100448,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Croccantini,27057483,,['France'],[],[],?,535,31,54,"7,9",2238 kj(535 kcal),10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Madeleine geante,3178530419436,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Pates torsette,3660861905899,,['France'],[],[],?,374,"3,5",70,14,1565 kj(374 kcal),"0,8","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Cake moelleux,3770000459876,,['France'],[],[],?,407,26,32,"8,5",1703 kj(407 kcal),"7,8",15,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Tomme de Savoie FQC,0200183021841,,['France'],[],[],?,?,?,?,?,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
451,Pain d'épices Pur Miel,3770005159221,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Terrine de cerf,3760028715238,,['France'],[],[],?,234,18,"1,1",17,979 kj(234 kcal),"5,6","0,1","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Fuet extra,8480010249330,,['France'],[],[],?,393,"25,43","3,15","35,22",1644 kj(393 kcal),"9,43","2,05","3,76","1,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Rillettes pur porc artisanales,3760198110031,,['France'],[],[],?,413,"38,3","0,1","16,7",1728 kj(413 kcal),"15,2","0,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Saucisse sèche pur porc Monique Ranou,3250792504485,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,
