,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
221,Chocolat CRUNCHY,3701412400675,,['France'],[],[],?,543,32,57,"6,7",2272 kj(543 kcal),20,51,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Giogantinu Vermentino Superior 2012,8016202001013,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Paleo egg bowl - Seazon,3701456307824,,['France'],[],[],?,96,5,6,6,402 kj(96 kcal),1,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,
224,Grana Padano AOP rapé,2794403585858,,['France'],[],[],?,398,29,"0,5",33,1665 kj(398 kcal),18,0,"1,5","0,6",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+0%,+0%,0%,+5888%,-100%,0%,-1%,-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,
225,GAZPACHO,3168930166481,,['France'],[],[],?,24,"0,8","2,8",7,100 kj(24 kcal),"0,1","2,3","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Baguettes de tradition,3289668391300,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,FINANCIER PEPITES CHOCOLAT,3021990134459,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Yaourt des Pyrénées - Cazaubon,0122825070102,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cazaubon'],,,,,,,,,,,,,,
229,Pâté d'oie tallec,2971267028688,"['EMB 29004O', 'Bannalec (Finistère, France)', 'EMB 29004', 'Bannalec (Finistère, France)']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Kiwi,22062208,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Jus de poire,5601227029130,,['France'],[],[],?,52,"0,1","12,1","0,2",218 kj(52 kcal),"0,1","11,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Les milanaises,2431641022249,,['France'],[],[],?,126,"1,3","6,6",22,527 kj(126 kcal),"0,4",0,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Spirales,3336972007028,,['France'],[],[],?,433,20,45,12,1812 kj(433 kcal),"2,4","5,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Fettuccine di farro,8002448873200,,['France'],[],[],?,347,"3,5","65,1","13,8",1452 kj(347 kcal),"0,8","5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Coca cola,5000112611397,,['France'],[],[],?,44,0,10,0,184 kj(44 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Yaourt fraise,3608580056959,,['France'],[],[],?,90,3,"12,3","3,4",377 kj(90 kcal),2,"11,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,100% limette,9008700167642,,['France'],[],[],?,27,"0,5","2,3","0,5",113 kj(27 kcal),"0,1","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Fondant chocolat - Mon bio gourmand - 280g,3608580057079,,['France'],"['Lait entier""', 'sucre""', 'chocolat* 6,7% ', 'pâte de cacao“', 'sucre beurre de cacao*', 'poudre de vanille*', 'poudre de cacao*', 'amidon de maï épaississants : carraghénanes', 'gomme xanthane', 'poudre de lait écrémé Lait origine France', ' ""Ingrédients issus de l\'agriculture biologique', ' CONSERVATION:']",['Non végétalien'],?,139,"5,9","17,4","3,3",582 kj(139 kcal),"3,7","16,4","0,1","0,04",,['Crème au chocolat'],5.9 g,en quantité modérée,3.7 g,en quantité modérée,16.4 g,en quantité élevée,0.1 g,en faible quantité,,,,,,,,,,,5,,C,,,,,,,,,['Mon bio gourmand'],280 g,"['Plastique', 'Carton', 'Pot en carton', 'Etui en carton', 'Opercule en métal']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['Lait'],4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,
239,Fresh wrap poulet carottes concombre,3242272953654,,['France'],[],[],?,211,"8,1",25,"7,4",883 kj(211 kcal),"1,9","5,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,
240,Creme caramel,3608580057161,,['France'],[],[],?,94,"4,1","11,5","2,7",393 kj(94 kcal),"2,7","8,6","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Chocolat fourré au praliné,5400265039435,,['France'],[],[],?,542,32,55,"6,2",2268 kj(542 kcal),15,53,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
