,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,labels,ingredients_origins,traceability_code,manufacturing,markets,additives,palm_ingredients,link,producer_info,brand_owner,origin_detail
0,Bière - Brasserie de Bretagne - 25cl,3760010134115,C,25 cl,['Brasserie de Bretagne'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pâtes Coquillettes cuisson 3 min - Barilla - 800g,8076809574884,C,800 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes', 'Coquillettes de blé dur']",['France'],"['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,359,+1%,2,+14%,"70,9",-1%,"12,8",+7%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,Coquillettes,['Gluten'],1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,1502 kj(359 kcal),+0%,"0,5",+48%,"3,5",+9%,"0,013",+18%,"0,005",+18%,-4,,A,,,,,,,,,,,,,
2,Thé vert - Destination Premium - 40g,3700110035813,,40 g,['Destination Premium'],,['France'],"['thé vert Ceylan* ', '97%', 'arôme naturel bergamote* ', '3%', "" * Issue de l'agriculture biologique""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,['20 sachets'],['Bio'],['St James'],['TGT1CC0C152802'],,,,,,,,
3,Pane Di Segala,8012678010436,,,,,['France'],[],[],?,,233,,"0,9",,"45,9",,"7,6",,,,,,,,,,,,,,,,,,,,975 kj(233 kcal),,"0,2",,"5,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,
4,Saint Eloi Coeurs de céleri,3250391590681,,,['Saint Eloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Céleri en conserve', 'Coeurs de céléri']",['France'],"['Caeurs de céleri', 'eau', 'sel', ' INFORMATIONS: Egoutter soigneusement les caeurs de céleri et les réchauffer dans une casserole avec une noix de beurre', "" Les caeurs de céleri peuvent également se servir arrosés dun jus de viande ou encore nappés d'une sauce blanche et gratinés au four""]",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Risotto de verduras - GutBio - 250g,24058872,B,250 g,['GutBio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Plats à base de riz', 'Plats préparés déshydratés', ""Plats préparés d'origine végétale"", 'Risottos', 'Risottos aux légumes']","['France', 'Espagne']","['arroz* 87%', 'berenjena* 5,6%', 'sal marina', 'tomate*', 'pasta de tomate*', 'harina de arroz*', 'cebolla*', 'apio*', 'zanahoria*', 'perejil*', 'aceite de oliva virgen extra*', 'ajo*', 'almidón de maíz*', 'miso* ', 'habas de soja*', 'arroz*', 'agua', 'sal', 'koji ', 'Aspergillus oryzae', 'extracto de levadura', 'especias*', ' *Procedente de la agricultura ecológica']",['Sans huile de palme'],?,,338,+37%,"0,9",-71%,"73,9",+71%,"7,5",+31%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,Producto deshidratado para la preparación de arroz con berenjena.,"['Céleri', 'Soja']",3,,,,,,,,,1414 kj(338 kcal),+41%,"0,2",-85%,"2,9",+82%,"1,6",+83%,"0,64",+83%,,,,,"['Plástico', 'Cartón', 'Envasado en atmósfera protectora']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert', 'IT-BIO-004', 'IT-BIO-015']",,,['Italia'],['Aldi'],,,,,,
6,Côtes du Rhône bio A.O.C. 2017 - Marque Repère - 75cl,3564707110884,B,75 cl,"['Marque Repère', 'Rives et Terrasses']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",['France'],['Contient des sulfites'],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],,,['Leclerc'],,,,,,
7,Refresh Fruit Rouges,3271792836284,,,,,['France'],[],[],?,,41,,0,,10,,"0,1",,,,,,,,,,,,,,,,,,,,172 kj(41 kcal),,0,,10,,"0,03",,"0,012",,,,,,,['Sans conservateurs'],,,,,,,,,,
8,Mary Trini,6111242530416,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mars Celebrations,5000159457897,,,,,['France'],[],[],?,,494,,"24,4",,"62,3",,"5,5",,,,,,,,,,,,,,,,,,,,2067 kj(494 kcal),,"14,4",,"55,3",,"0,39",,"0,156",,,,,,"['card-box', 'pp-lid', 'mixed plastic-wrapper']",,,,,,,,,,,
10,Alp tea classic - Cremo - 1litre,7610553512016,,1 litre,"['Cremo', 'Bio']",,"['France', 'Suisse']","['Eau', 'sucre ', 'Amérique du Sud', 'plantes ', 'Suisse', ': menthe*', 'alchémille*', 'verveine', 'plantain*', 'acidifiant: acide citrique']",[],75,,18,,0,,"4,5",,0,,,,,,,,,,,,,,,,,,,,75 kj(18 kcal),,0,,"4,5",,0,,0,,,,,,,['Bio'],,,,,['E330 - Acide citrique'],,,,,
11,Tomates cerise,3700007900378,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Tomates', 'Tomates cerise']",['France'],[],[],?,,?,,?,,?,,?,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:produced-in-bretagne'],,,,,,,,,,
12,Pâtes Penne Rigate cuisson 3 min - Barilla - 800g,8076809574891,C,800 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['France'],"['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,359,+1%,2,0%,"70,9",+2%,"12,8",+2%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Gluten'],1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,1502 kj(359 kcal),+0%,"0,5",+13%,"3,5",+12%,"0,013",-53%,"0,005",-53%,-4,,A,,,,,,,,,,,,,
13,Coeur de lait - Migros - 500g,7613269762249,B,500 g,['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']","['France', 'Suisse']",['LAIT - CREME - AMIDON de RIZ PROTEINE DU LAIT'],['Non végétalien'],?,,126,+75%,"10,2",+184%,5,+3%,"3,5",-15%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,['Lait'],1,10.2 g,en quantité modérée,6.1 g,en quantité élevée,4.5 g,en faible quantité,0.1 g,en faible quantité,527 kj(126 kcal),+77%,"6,1",+163%,"4,5",+1%,"0,1",-17%,"0,04",-17%,5,+783%,C,+783%,,,,,,['Migros'],,,,,,
14,"Natürliches Mineralwasser, geschmacksneutral - Vittel - 1l",3179732354969,,1l,['Vittel'],"['Boissons', 'Eaux']","['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2053127101066,2053127101066,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Salami sans ail - Saint alby - 150g,20434618,,150 g,['Saint alby'],"['Viandes', 'Charcuteries']","['Belgique', 'France']","['viande de porc', 'graisse de porc', 'sel', 'protéines de lait', 'dextrose', 'plantes aromatiques', 'épices', 'colorants: rouge de betterave', 'cochenille', ' antioxydant: ascorbate de sodium', ' stabilisant: diphosphates', ' extrait de plantes aromatiques', 'conservateurs: nitrite de sodium', 'nitrate de potassium', ' lactose ', 'lait', 'ferments', 'fumée']","['Non végétalien', 'Non végétarien']",?,,349,+34%,30,+55%,"0,3",-80%,19,+2%,,,,,,,,Salami sans ail,['Lait'],4,30 g,en quantité élevée,12 g,en quantité élevée,0.2 g,en faible quantité,3 g,en quantité élevée,1460 kj(349 kcal),+35%,12,+65%,"0,2",-75%,3,+26%,"1,2",+26%,24,+50%,E,+50%,,['Fabriqué en Belgique'],,,['Belgique'],['Lidl'],"['E162 - Rouge de betterave', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
17,dos de cabillaud - ste Delabli div Delpierre - 325g,10386873,D,325 g,['ste Delabli div Delpierre'],"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",['France'],[],[],?,,86,-64%,"0,6",-97%,0,-100%,20,+64%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,360 kj(86 kcal),-62%,0,-100%,0,-100%,"0,17",-80%,"0,068",-80%,-4,-182%,A,-182%,['Barquette'],"['Sans conservateurs', 'Haute pression à froid']",['France'],,['st Aignan de Grand Lieu'],,,,,,,
18,ChocapicDUO,7613034629838,,,,,['France'],[],[],?,,392,,"5,3",,"74,8",,"8,1",,,,,,,,,,,,,,,,,,,,1640 kj(392 kcal),,"1,8",,"28,8",,"0,26",,"0,104",,,,,,,,,,,,,,,,,
19,Extrait de vanille avec graines - Sainte Lucie,3162050003046,,,['Sainte Lucie'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Le moelleux - Fleury Michon - 960g (3boites de 320g),3302748068029,B,960 g (3 boites de 320 g),['Fleury Michon'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",['France'],"['Chair de poisson ', ""Colin d'Alaska"", 'Merlu blanc pêchés en Pacifique Nord-Est', ' Lieu noir pêché en Atlantique Nord-Est', ' 43%', 'eau', 'amidons ', 'dont blé', 'huile de colza', 'sucre', 'sel', 'arômes naturels ', 'contient crustacés', 'mollusques', 'poissons', 'colorant : extrait de paprika']","['Non végétalien', 'Non végétarien']",474,-5%,113,-5%,"4,5",-4%,10,-12%,"8,1",+8%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,Préparation à base de chair de poisson,"['Crustacés', 'Poisson', 'Gluten', 'Mollusques']",4,4.5 g,en quantité modérée,0.4 g,en faible quantité,2.8 g,en faible quantité,1.5 g,en quantité modérée,474 kj(113 kcal),-5%,"0,4",-38%,"2,8",-2%,"1,5",-13%,"0,6",-13%,2,-55%,B,-55%,['Boites plastiques sous film plastique'],"['Sans arômes artificiels', 'Sans polyphosphates', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Pêche durable']",,"['FR 85.051.005 CE', 'Chantonnay (Vendée, France)']","['Vendée', 'France']",['Carrefour'],['E160c - Extrait de paprika'],,,,,
21,Vivat - Naturhouse,8423263100720,,,['Naturhouse'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pâte brisée au beurre - Migros - 1pcs,7613404053683,,1pcs,['Migros'],,"['France', 'Allemagne', 'Suisse']",[],[],?,,361,,19,,41,,6,,,,,,,,,,,,,,,,,,,,1510 kj(361 kcal),,13,,"2,2",,"0,84",,"0,336",,,,,,,,,,,,,,,,,
23,Pain rustique bio 750 g,,,,,,['France'],[],[],?,,245,,"1,4",,49,,7,,,,,,,,,,,,,,,,,,,,1025 kj(245 kcal),,"0,3",,"1,5",,"1,2",,"0,48",,,,,,,['Bio'],,,,,,,,,,
24,Tartex tomate,4005514085709,,,['Tartex'],,['France'],[],['Sans huile de palme'],?,,230,,17,,13,,"4,7",,,,,,,,,,,,,,,,,,,,962 kj(230 kcal),,14,,"3,9",,"1,3",,"0,52",,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:palm-oil-free']",,,,,,,,,,
25,Bio-prontosan,7610994000554,,,,,"['France', 'Suisse']",[],[],?,,372,,2,,75,,"0,01",,,,,,,,,,,,,,,,,,,,1556 kj(372 kcal),,"0,4",,"2,5",,"0,009",,"0,004",,,,,,,,,,,,,,,,,
26,Cuisses de poulet rôties - la nouvelle agriculture - 400g,3596690764317,,400 g,['la nouvelle agriculture'],['Viandes'],['France'],"['Cuisses de poulet ', '87%', 'fécule de manioc', 'sel', 'arôme naturel', 'dextrose', 'arôme naturel de poivre', ' Viande de poulet origine France', "" Cuisses de poulet ises d'animaux nourris sans OGM "", '<0,9%', ' Traces éventuelles de lait', 'soja et céréales contenant du gluten', ' Poids net : 400g']","['Non végétalien', 'Non végétarien']",?,,175,-22%,10,-32%,"0,3",-82%,21,+10%,,,,,,,,,,4,10 g,en quantité modérée,2.5 g,en quantité modérée,0.3 g,en faible quantité,1.2 g,en quantité modérée,732 kj(175 kcal),-22%,"2,5",-53%,"0,3",-57%,"1,2",-34%,"0,48",-34%,4,-65%,C,-65%,['sous vide'],"['Viande Française', 'Sans colorants', 'Sans conservateurs', 'Volaille-francaise', 'La marque des agriculteurs']","['9\xa0%)', ""Issues d'animaux nourris sans ogm <0""]","['FR 22.321.008 CE', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)""]",['France'],['Intermarché'],,,,,,
27,Risotto poulet - Panzani,3261055946621,D,,['Panzani'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Risottos', 'Plats au poulet', 'Risottos au poulet']",['France'],[],[],?,,108,-15%,"4,8",-10%,10,-22%,"5,7",-8%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,4.8 g,en quantité modérée,1.6 g,en quantité modérée,0.8 g,en faible quantité,0.8 g,en quantité modérée,452 kj(108 kcal),-15%,"1,6",-42%,"0,8",-35%,"0,8",+8%,"0,32",+8%,2,-23%,B,-23%,,,,,,,,,,,,
28,Rognons de boeuf sauce Madere - Jean Rozé - 300g,3250391035700,,300 g,['Jean Rozé'],,['France'],[],[],?,,107,,"3,6",,"3,8",,"14,8",,,,,,,,,,,,,,,,,,,,448 kj(107 kcal),,"2,3",,"1,1",,"0,65",,"0,26",,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
29,chocolat au lait - Suchard,3664346309134,,,['Suchard'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['Sucre', 'huile de palme', 'pâte de cacao', 'lait écrémé en poudre', 'beurre de cacao', 'lactosérum en poudre ', 'de lait', 'beurre concentré', 'farine de blé', 'cacao en poudre ', '1 %', ""pâte d'amande"", 'émulsifiants ', 'lécithine de soja', 'E476', 'lécithine de tournesol', 'cacao fortement dégraissé en poudre', 'lactose ', 'de lait', 'sel', 'arômes', ' 7 % de lait écrémé en poudre dans le fourrage crème confiseur au lait', ' Peut contenir autres fruits à coque et oeuf']","['Huile de palme', 'Non végétalien']",?,,551,+4%,34,+6%,54,+3%,6,+2%,,,,,,,,,"['Gluten', 'Lait', 'Soja']",4,34 g,en quantité élevée,19 g,en quantité élevée,51 g,en quantité élevée,0.3 g,en quantité modérée,2305 kj(551 kcal),+4%,19,+9%,51,+7%,"0,3",+96%,"0,12",+96%,27,+11%,E,+11%,,,,,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Huile de palme'],,,,
30,Yaourt a boire - Auchan - 4x180g,3596710459643,B,4x180g,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']",['France'],"['Yaourt au lait partiellement écrémé*', 'sucre de canne* 7,8%', 'fraise* 5%', 'arôme naturel', 'amidon d manioc*', 'jus de citron concentré* ""Ingrédients issus de l\'agriculture biologique', ' Elaboré à partir de lait origine France']",[],?,,65.6,-33%,"1,22",-59%,"11,1",-16%,"2,72",-26%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,4,1.22 g,en faible quantité,0.778 g,en faible quantité,10.6 g,en quantité modérée,0.0778 g,en faible quantité,274 kj(65 kcal),-33%,"0,778",-59%,"10,6",-15%,"0,078",-27%,"0,031",-27%,1,-63%,B,-63%,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Produit en braille', 'Nutriscore', 'AB Agriculture Biologique']",['France'],['62853'],['France'],['Auchan'],,,http://auchan.fr,,,
31,Arkovital Double Magnesium BIO - Arkopharma,3578835501049,,,['Arkopharma'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,,,,,,,,
32,Galettes bretonnes pur beurre - La sélection des comptoirs - 130g,3760239181426,B,130 g,['La sélection des comptoirs'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé*', 'beurre* 25%', 'sucre de canne* roux', 'oeufs', 'amidon de blé*', 'poudre de lait écrémé*', ""poudres à lever:carbonates de sodium - phosphates de calcium - carbonates d'ammonium"", 'sel de Guérande', ""\r* Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2083,+0%,497,+1%,22,-6%,66,+5%,"7,7",+24%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"['Œufs', 'Gluten', 'Lait']",3,22 g,en quantité élevée,14 g,en quantité élevée,25 g,en quantité élevée,0.94 g,en quantité modérée,2083 kj(497 kcal),+1%,14,+1%,25,-2%,"0,94",+38%,"0,376",+38%,23,+5%,E,+5%,['Etui cartonné'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans huile de palme', 'AB Agriculture Biologique', 'Blé français']",['Blé français'],"['EMB 29247H', 'Saint-Évarzec (Finistère, France)']",['France'],,"['E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",,,,,
33,Regilait bio cafe au lait,3043938800073,,,['Régilait'],,['France'],[],[],?,,51,,"1,55",,"5,5",,"3,6",,,,,,,,,,,,,,,,,,,,213 kj(51 kcal),,1,,"4,9",,"0,105",,"0,042",,,,,,,['Bio'],,,,,,,,,,
34,Mini Stroopwafels - AH,8718906907911,C,,['AH'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['France', 'Pays-Bas', 'Espagne']",[],[],?,,455,-4%,21,+1%,61,-5%,"3,5",-46%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,21 g,en quantité élevée,12 g,en quantité élevée,29 g,en quantité élevée,0.6 g,en quantité modérée,1904 kj(455 kcal),-4%,12,+19%,29,-2%,"0,6",+2%,"0,24",+2%,23,+16%,E,+16%,,,,,,,,,,,,
35,"Steak Haché Pur Veau emmental - Tendriade - 0,200kg",3384480011952,,"0,200 kg",['Tendriade'],,['France'],[],[],?,,214,,15,,"2,1",,"17,5",,,,,,,,,,,,,,,,,,,,895 kj(214 kcal),,"7,3",,"1,5",,"0,81",,"0,324",,,,,,,,,,,,,,,,,
36,Le jambon supérieur avec couenne - Le Grand Charcutier,3180940086627,E,,['Le Grand Charcutier'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],?,,141,+7%,6,+25%,"0,7",+5%,21,-0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,6 g,en quantité modérée,2.1 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,590 kj(141 kcal),+8%,"2,1",+14%,"0,7",+18%,"1,9",+2%,"0,76",+2%,11,+56%,D,+56%,,"['Viande Française', 'Viande Porcine Française', 'Qualité supérieure']",,"['EMB 87065', 'Feytiat (Haute-Vienne, France)', 'FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)']",,,,,,,,
37,Yaourt sur myrtilles - Campina - 150g,5410281002702,C,150 g,['Campina'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts au lait de vache']","['Belgique', 'France']",[],[],?,,95,-5%,"3,1",-5%,13,-3%,"3,5",-5%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,3.1 g,en quantité modérée,2.1 g,en quantité modérée,13 g,en quantité élevée,0.13 g,en faible quantité,397 kj(95 kcal),-5%,"2,1",-0%,13,+6%,"0,13",+21%,"0,052",+21%,3,+9%,C,+9%,,,,,,['Delhaize'],,,,,,
38,Sombreros,4012359131003,,,,,"['Belgique', 'France']",[],"['Végétalien', 'Végétarien']",?,,212,,14,,"6,1",,14,,,,,,,,,,,,,,,,,,,,887 kj(212 kcal),,"1,9",,"0,7",,"1,7",,"0,68",,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:The Vegan Society']",,,,,,,,,,
39,LES RECOLTES BIO Gourde Pommes Framboises Bananes 4x90g Dès 6 mois - Blédina - 360g,3041091349569,B,360 g,"['Blédina', 'Les recoltes bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']","['France', 'Espagne']","[""2 quartiers de pomme* 76,3 % - 3 framboises* 12,3 % - 1 rondelle de banane* 11,4 % - Antioxydant : 1 pointe d'acide ascorbique - 1 soupçon de jus concentré de citron* en fonction de l'acidité des fruits"", "" *produit issu de l'agriculture biologique""]",[],256,-5%,60,-10%,"0,2",-39%,"13,4",-8%,"0,5",+20%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,Purée de fruits adaptée à bébé.,,,0.2 g,en faible quantité,0 g,en faible quantité,10.9 g,en quantité modérée,0 g,en faible quantité,256 kj(60 kcal),-8%,0,-100%,"10,9",-18%,0,-100%,0,-100%,-4,,A,,['Gourde plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,,,,,,,,,
40,Chou farci - Raynal,3021690023459,,,"['Raynal', 'Raynal & Roquelaure']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",['France'],"['Chou farci cuit 35% ', 'chou 17,5%', 'viande de porc', 'protéines de blé réhydratées ', 'gluten de blé', 'amidon de blé', 'viande de dinde', 'sel', 'ail', 'épices et plantes aromatiques', 'persil', 'dextrose', 'arômes naturels', 'eau', 'pommes de terre ', 'conservateur:disulfites de sodium', 'carottes', 'lardons cuits fumés ', 'poitrine de porc', 'eau', 'sel', 'sirop de glucose', 'bouillon de légumes', ""extraits d'épices"", 'antioxydant: extrait de romarin', 'ferments', 'vin blanc', 'amidon transformé de mais', 'oignons', 'concentré de tomates', 'farine de blé', 'arômes naturels ', 'dont gluten', 'sel', 'persil', 'ail en poudre', ' Porc et dinde origine UE', ' Fabriqué dans un atelier utilisant: œuf', 'lait', 'céleri', 'moutarde', 'poisson', 'crustacés et mollusques']","['Non végétalien', 'Non végétarien']",?,,74,-59%,"3,1",-66%,"6,4",-56%,"4,3",-48%,,,,,,,,,"['Céleri', 'Crustacés', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Moutarde']",4,3.1 g,en quantité modérée,1.2 g,en faible quantité,1.6 g,en faible quantité,0.73 g,en quantité modérée,310 kj(74 kcal),-59%,"1,2",-60%,"1,6",-15%,"0,73",-37%,"0,292",-37%,2,-66%,B,-66%,,,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin', 'E14XX - Amidons modifiés']",,,,,
41,Infusion menthe - Carrefour - 34g,5400101026148,,34g,['Carrefour'],,"['Belgique', 'France']",['Menthe'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cardboard'],,,,,['Carrefour'],,,,,,
42,Hachis parmentier - Findus,3599741004936,E,,['Findus'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",['France'],[],[],?,,113,-10%,"5,2",-15%,11,+10%,"5,1",-18%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,,,,5.2 g,en quantité modérée,2.4 g,en quantité modérée,1.4 g,en faible quantité,0.77 g,en quantité modérée,473 kj(113 kcal),-9%,"2,4",-17%,"1,4",-13%,"0,77",+6%,"0,308",+6%,3,+4%,C,+4%,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
