,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,labels,ingredients_origins,traceability_code,manufacturing,markets,additives,palm_ingredients,link,producer_info,brand_owner,origin_detail
1324,Miel de lavande de Provence - Patrimoine Gourmand - 500g e,3257981172869,B,500 g e,['Patrimoine Gourmand'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de lavande', 'Miels crémeux', 'Miels de Provence']",['France'],['Miel de Provence IGP'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,321,+1%,0,-100%,80,-1%,"0,5",+85%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,2,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.03 g,en faible quantité,1343 kj(321 kcal),+0%,0,-100%,80,+1%,"0,03",+200%,"0,012",+200%,,,,,"['Bocal', 'Verre', 'métal']","['IGP', 'Point Vert']",['Provence'],"['EMB 39439', 'Port-Lesney (Jura, France)']",['France'],"['Cora', 'Match']",,,,,,
1325,Miel d’acacia - Cora - 500g,3257981177888,B,500 g,['Cora'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],"[""Mélange de miels originaires de l'UE""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,320,+11%,"0,5",+686%,"79,3",+3%,"0,5",+44%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,2,0.5 g,en faible quantité,0 g,en faible quantité,79.3 g,en quantité élevée,0.2 g,en faible quantité,1339 kj(320 kcal),+11%,0,-100%,"79,3",+12%,"0,2",+1174%,"0,08",+1174%,,,,,,,,,,['Cora'],,,,,,
1326,Mini goûters fourrés parfum chocolat - Cora - 168g (4x 42g),3257981359000,D,168 g (4 x 42 g),['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Biscuits-fourres-chocolat-au-chocolat']",['France'],"[""Farine de blé 49 % - sucre - huile de palme - matière grasse hydrogénée de coprah - poudre de cacao maigre 5,6 % - sirop de glucose - lait écrémé en poudre - poudres à lever : carbonates d'ammonium"", 'carbonates de sodium - sel - lactosérum en poudre - arôme - émulsifiant : E322 - œufs entiers en poudre']","['Huile de palme', 'Non végétalien']",2099,+6%,?,,"24,8",+29%,"61,4",-8%,"6,3",+8%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Biscuits fourrés parfum chocolat,"['Œufs', 'Gluten', 'Lait']",4,24.8 g,en quantité élevée,17.8 g,en quantité élevée,25.7 g,en quantité élevée,0.34 g,en quantité modérée,2099 kj(502 kcal),+7%,"17,8",+109%,"25,7",-22%,"0,34",-39%,"0,136",-39%,18,-9%,D,-9%,"['Sachets plastique à jeter', 'Etui carton à recycler']","['Sans sucre ajouté', 'Triman', 'Info-Tri Point Vert']",,"['EMB 01072D', 'Ceyzériat (Ain, France)']","['Biscuits Bouvard - 73 Rue Albert Métras - ZAC de la Teppe - 01250 Ceyzériat', 'Ain', 'Auvergne-Rhône-Alpes', 'France']",['Cora'],"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E322 - Lécithines']",['Huile de palme'],,,,
1327,"Thé glacé Pêche - Cora - 1,5l",3257981411753,C,"1,5 l",['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés', 'Boissons avec sucre ajouté']",['France'],"['Eau de source Drômeline 95,3%', 'sucre', 'jus de pêche à base de concentré 0,5%', 'acidifiant : acide citrique', 'extraits de thé 1,2g/l', ""correcteur d'acidité : citrate de sodium"", 'arômes naturels - antioxydant : acide ascorbique']",[],?,,26,+30%,0,-100%,"6,3",+34%,"< 0,5",+331%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,Boisson sans bulle aux extraits de thé aromatisée à la pêche,,4,0 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité modérée,0.05 g,en faible quantité,109 kj(26 kcal),+28%,0,-100%,"6,1",+36%,"< 0,05",+98%,"0,02",+98%,9,+35%,D,+35%,"['Bouteille', 'Plastique']",,,"['EMB 26174B', 'Margès (Drôme, France)']",,['Cora'],"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']",,,,,
1328,8 mini gâches pur beurre - Cora,3257981664470,,,['Cora'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Gâches']",['France'],[],[],?,,362,-1%,"13,9",-3%,"50,1",-1%,8,-1%,,,,,,,,,,,13.9 g,en quantité modérée,9.3 g,en quantité élevée,11.9 g,en quantité modérée,1 g,en quantité modérée,1515 kj(362 kcal),-2%,"9,3",0%,"11,9",-18%,1,+6%,"0,4",+6%,19,+3%,E,+3%,,,,,,['Cora'],,,,,,
1329,Sablés Céréales chocolat lait - Cora - 200g,3257982142052,D,200 g,['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",['France'],"['Farine de blé 42,5 %', 'chocolat au lait 29 % [sucre', 'beurre de cacao', 'pâte de cacao', 'poudre de lait entier', 'lactosérum en poudre', 'matière grasse laitière', 'émulsifiant : lécithines ', 'soja', 'arôme]', 'graisse végétale de palme', 'sucre', 'farine complète de blé 5,5 %', ""poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'farine de seigle 1 %', ""farine d'orge 1 %"", 'sel', 'acidifiant : acide citrique', 'sirop de glucose']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2097,+0%,501,+0%,"23,5",-1%,64,+2%,"6,9",-1%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Sablés aux céréales 50% nappés au chocolat au lait,"['Gluten', 'Lait', 'Soja']",4,23.5 g,en quantité élevée,12.7 g,en quantité élevée,29 g,en quantité élevée,0.75 g,en quantité modérée,2097 kj(501 kcal),+0%,"12,7",+6%,29,+7%,"0,75",-1%,"0,3",-1%,23,+7%,E,+7%,"['Carton', 'Sachet', 'Plastique']",,,"['EMB 82121', 'Montauban (Tarn-et-Garonne, France)']",,['Cora'],"['E322 - Lécithines', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E330 - Acide citrique']",['Huile de palme'],,,,
1330,Petit chèvre frais - Nature Bio - 150g,3257982160995,D,150 g,['Nature Bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages pasteurisés']",['France'],"['Lait pasteurisé de chèvre', 'sel', 'présure', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",797,-28%,192,-32%,15,-34%,2,+20%,12,-31%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,['Lait'],3,15 g,en quantité modérée,11 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,797 kj(192 kcal),-32%,11,-31%,2,+106%,1,-26%,"0,4",-26%,11,-17%,D,-17%,['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,"['FR 24.411.001 CE', 'Saint-Front-sur-Nizonne (Dordogne, France)']",['France'],,,,,,,
1331,Le Paris supérieur - Cora - 270g,3257983115413,C,270 g,['Cora'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],['Jambon de porc - eau - sel - dextrose - sirop de glucose - arôme - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",505,-0%,120,-9%,4,-17%,1,+49%,20,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,Jambon cuit de Paris supérieur découenné - dégraissé,,4,4 g,en quantité modérée,1.5 g,en quantité modérée,0.8 g,en faible quantité,2.05 g,en quantité élevée,505 kj(120 kcal),-8%,"1,5",-18%,"0,8",+34%,"2,05",+10%,"0,82",+10%,11,+56%,D,+56%,"['Barquette', 'Plastique']","['Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise']",['France'],"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)']",['France'],['Cora'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
1332,Confiture extra Figue - Cora - 370g,3257983138955,C,370 g,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],"['Figues 50%', 'sucre', 'sucre roux de canne', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1033,+8%,243,+5%,"< 0,5",+9%,59,+7%,"0,7",-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture à la figue,,4,0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,1033 kj(243 kcal),+6%,0,-100%,59,+11%,"< 0,01",-46%,"0,004",-46%,11,+16%,D,+16%,"['Pot', 'Verre', 'Sous-vide']",['Point Vert'],,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",['France'],['Cora'],"['E440 - Pectines', 'E330 - Acide citrique']",,,,,
1333,Sablé fourrés figue - Cora - 165g,3257983156522,C,165 g,['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits sablés']",['France'],"['Farine de blé - pâte de figue 25,5% — sirop de canne inverti', 'sucre - matière grasse et huile de palme', 'œufs - amidon de blé - fibres de chicorée', 'poudres à lever: diphosphates', 'carbonates de sodium', 'arôme']","['Huile de palme', 'Non végétalien']",?,,382,-19%,"8,18",-57%,"70,9",+6%,"5,45",-6%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,Biscuits aux fruits fourrés à la figue,"['Œufs', 'Gluten']",4,8.18 g,en quantité modérée,3.64 g,en quantité modérée,45.5 g,en quantité élevée,0.364 g,en quantité modérée,1600 kj(382 kcal),-19%,"3,64",-57%,"45,5",+38%,"0,364",-34%,"0,145",-34%,14,-29%,D,-29%,['Carton'],,,,,['Cora'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Huile de palme'],,,,
