,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
463,Houmous' menthe,3559260000444,['Sans conservateurs'],['France'],[],[],?,271,20,14,8,1134 kj(271 kcal),2,1,"1,06","0,424",,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,20 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,1.06 g,en quantité modérée,,+3%,+3%,-1%,-19%,+32%,-25%,+23%,+2%,+2%,4,-20%,C,-20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,
464,Seifencreme - 10l,4002017079846,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,10 l,"['Produkt', 'HDPE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Pâtes - 3kg,3660861012825,,['France'],[],[],?,351,1,71,13,1469 kj(351 kcal),"0,2",3,,,3 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Miel tilleul,3586441000245,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
467,Pringles Prawn Cocktail,5053990106431,,['France'],[],[],?,509,31,52,"4,2",2130 kj(509 kcal),"3,3","4,3","1,6","0,64",,,['Pringles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Jarret demi sel,0290078030041,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,137,"7,5","0,7","16,8",573 kj(137 kcal),"2,5","0,2","4,26","1,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Top Mass,3701142000237,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Tournrdos,0200409021716,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Mélange mexicain,0200526011874,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Amande décortiquées,2609849015480,,['France'],[],[],?,645,"49,9","21,5","21,1",2699 kj(645 kcal),"3,8","4,2",,,,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,,,,+3%,+3%,-3%,-5%,+64%,+7%,-6%,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,
