,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
0,Marou Chocolate Ben Tre 78% - Dolikats,8938505214344,['Dolikats'],"['Bio', 'en:gluten-free', 'Sans lactose']",['France'],[],[],?,596,2494 kj(596 kcal),"41,9","26,9","46,1","27,8",8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FILMA,8992826126243,,,['France'],[],[],?,100,418 kj(100 kcal),5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coffeeshot Classic - Kopico - 150g,8996001320051,"['Kopico', 'Mayora']",,"['Australie', 'France']","['Sucre', 'glucose', 'huile végétale', 'extrait de café ', '4,9%', 'beurre', 'émulsifiant ', 'E322', 'lécithine de soja', 'colorant : caramel ', 'E150d', 'sel', 'arôme naturel de café']",[],?,436,1824 kj(436 kcal),"9,9","9,9","86,2","67,1","0,6",0,0,Bonbon Café,150 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['Indonésie'],9.9 g,en quantité modérée,9.9 g,en quantité élevée,67.1 g,en quantité élevée,0 g,en faible quantité,,-18%,-17%,-69%,-43%,+65%,+41%,-90%,-100%,-100%,24,-2%,E,-2%,,,,,,,,,,,,,,,,,,,
3,Trink Cacao - Manner - 450g,9000331606200,['Manner'],,"['Autriche', 'France']","['Zucker', 'fettarmer Kakao ', '25%', 'Kann Spuren von Soja und Milch enthalten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,393,1644 kj(393 kcal),"1,9","1,1",84,75,"6,3","0,03","0,012",,450 g,"['Papier', 'Aluminium']","['Boissons', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Cacaos en poudre', 'Chocolats en poudre']",,,,,,,,,,,+12%,+13%,-86%,-86%,+223%,+601%,-63%,-72%,-72%,,,,,C,http://www.manner.com,"['Spar', 'Billa', 'Billa Plus', 'Interspar']",3,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,
4,Manner Mini Original Neapolitaner - Napolitaner,9000331607160,['Napolitaner'],['Arômes naturels'],['France'],"['Emulgator: Lecithine ', 'Soja', 'natürliches Aroma', 'Kann Spuren von anderen Nüssen und sugar', 'wheat flour low f in the cream', '/17 Veo']",[],?,485,2029 kj(485 kcal),22,13,65,46,"5,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,['E322 - Lécithines'],"['Lait', 'Soja']",,,,,,
5,Original schoko-bananen - Casali - 150g,9000331972442,"['Casali', 'Josef Manner & comp.']",,"['Autriche', 'République tchèque', 'France']",[],[],?,396,1657 kj(396 kcal),12,"7,2",70,53,"1,8","0,02","0,008",,150 g,['Stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Orange Marmelade - Julius Meinl Austria GmbH - 500g,9000403846275,['Julius Meinl Austria GmbH'],,"['Autriche', 'France', 'Allemagne', 'Italie']","['Orangen ', 'Pulpe mit mittelfein geschnittenen Schalen', 'Zucker', 'Zitronensaftkonzentrat', ' Geliermittel: Pektin', ' Hergestellt aus 52 g Früchten je 100 g']",[],858,202,858 kj(202 kcal),"0,1",0,49,48,"0,5","0,1","0,04",Orange Marmelade naturrein - Marmellata di arance,500 g,['Glas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades']",['Österreich'],0.1 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0.1 g,en faible quantité,-13%,-15%,-14%,-46%,-100%,-17%,-15%,+40%,+230%,+230%,12,0%,D,0%,,http://www.meinl.com,,4,,,,,,,,['E440 - Pectines'],,,,,,,
7,Pfefferoni scharf - Efko - 300g,9000451004238,['Efko'],,"['France', 'Allemagne']",[],[],?,26,109 kj(26 kcal),?,,4,4,1,,,,300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Milde tyrolini,9001745051624,,,['France'],[],[],?,508,2125 kj(508 kcal),42,17,"0,5","0,5",32,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Flan pâtissier - Docello - 1,2kg e",9002100033521,"['Docello', 'Nestlé']","['Végétarien', 'Produits destinés aux professionnels']",['France'],"['Sucre', 'amidon modifié', 'œufs entiers en poudre 3,8 %', 'arôme', 'colorants ', 'riboflavines', 'extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,385,1611 kj(385 kcal),"1,6","0,5","90,6","60,3",2,"0,5","0,2",Préparation en poudre pour Flan Pâtissier ou Crème Pâtissière,"1,2 kg e","['Carton', 'boîte', 'Sachet', 'Plastique']","['Biscuits et gâteaux', 'Aides culinaires', 'Produits déshydratés', 'Préparations pour desserts', 'Produits lyophilisés à reconstituer', 'Pâtisseries', 'Préparations pour desserts lactés']",,,,,,,,,,,+15%,+28%,-44%,-71%,+50%,+83%,-0%,+331%,+331%,,,,,,,,4,,,,,,,,"['E14XX - Amidons modifiés', 'E101i - Riboflavine', 'E160c - Extrait de paprika']",['Œufs'],,,,,,
10,Erdbeer confiture fraise,9002355004369,,,['France'],[],[],?,227,950 kj(227 kcal),0,0,54,54,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,,+5%,+4%,-100%,-100%,+2%,+7%,-100%,-100%,-100%,7,-20%,C,-20%,D,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
11,Zumo Coco Pago,9002515427380,,['en:gluten-free'],['France'],[],[],?,98,410 kj(98 kcal),"3,9","3,5",14,14,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pagovred sensation - Pago,9002515458186,['Pago'],['en:gluten-free'],['France'],[],[],?,53,222 kj(53 kcal),"0,5",0,12,12,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fancy Gold Trüffel Kaffee 200g Packung Maître Truffout,9002859038761,,['Fabriqué en France'],['France'],[],[],?,614,2569 kj(614 kcal),"47,2","35,4",40,"33,5","4,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mini Muffins Cacao & Hazelnut 8er 240g Blister Meister Moulin - 240g,9002859042843,['Meister Moulin'],,['France'],"['farine de blé ', '26%', 'sucre', 'huile végétale ', 'soja', 'garniture au cacao et aux noisettes 20%: ', 'sucre', 'eau', 'sirop de glucose-fructose', 'graisse végétale ', 'palme', '\rcomposants du lait ', 'lactosérum à base de lait', ' ', '1%', 'dextrose', 'cacao maigre en poudre', 'huile végétale ', 'tournesol', 'amidon modifié', 'pâte de noisettes', '\rémulsifiant: E322 ', 'soja', ' conservateur: E202', ' acidifiant E330', ' arômes', 'vanille', 'Œufs', 'sirop de glucose', ""conservateur d'humidité: E420i"", 'E422', ' poudre à lever: \rE450i', 'E500ii: sel', 'conservateur: E200', 'arômes']",['Huile de palme'],?,430,1799 kj(430 kcal),19,"4,2",60,29,"4,2","0,7","0,28",Mini quatre-quarts fourré au cacao et aux noisettes (20%),240 g,['Plastic'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,19 g,en quantité modérée,4.2 g,en quantité modérée,29 g,en quantité élevée,0.7 g,en quantité modérée,,+9%,+8%,-6%,+12%,+23%,+8%,-19%,-6%,-6%,18,+17%,D,+17%,,,,4,,,,,,,,"['E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E420i - D-glucitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Soja']",['Huile de palme'],,,,,
15,"Vinegar ""aceto Balsamico Di Modena"" 500ml Bottle Piacelli - 500mL",9002859043048,['Piacelli'],['Fabriqué en Italie'],['France'],['wine vingare'],[],?,64,268 kj(64 kcal),0,0,11,11,"0,6","0,1","0,04",,500 mL,,"['en:Vinaigres', 'en:Vinaigres balsamiques', 'en:Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0.1 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,,,,,,,,,,,,,,,
16,Knusprige Backerbsen 300g Beutel Niko,9002859044717,,,['France'],[],[],?,555,2322 kj(555 kcal),35,17,50,2,8,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tomato Ketchup,9002859047862,,"[""Fabriqué dans l'UE""]",['France'],[],[],?,55,230 kj(55 kcal),"0,2",0,12,7,"0,8",0,0,,,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,0.2 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,0 g,en faible quantité,,-48%,-48%,-18%,-100%,-47%,-64%,-38%,-100%,-100%,1,-92%,B,-92%,B,,,,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,
18,Flintstones cerealien honey drops - Gina,9002859047985,['Gina'],,"['France', 'Espagne']",[],[],?,391,1636 kj(391 kcal),"4,1","0,7",78,"39,4","8,2","0,25","0,1",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,4.1 g,en quantité modérée,0.7 g,en faible quantité,39.4 g,en quantité élevée,0.25 g,en faible quantité,,-2%,-2%,-53%,-68%,+17%,+136%,-12%,-30%,-30%,13,+141%,D,+141%,C,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,
19,"Chocolate Sticks mint flavour, 75G",9002859053801,,,['France'],[],[],?,524,2192 kj(524 kcal),28,17,62,60,"2,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Feine Kokoskugeln Im 300g Beutel Von Papagena,9002859055027,,"[""Fabriqué dans l'UE""]",['France'],[],[],?,631,2640 kj(631 kcal),46,25,47,42,"4,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Nudeln ""spaghetti No 3"" 500g Beutel Piacelli",9002859060618,['Piacelli'],,['France'],"['semoule de blé dur', ' Temps de cuisson', ""' 9-11 minutes"", ' Peut conteni', ""des traces d'?Ufs"", ' À conserver dans un endroit sec', ""à l'abi de la chaleur"", ' ', 'l', ' Pasta di semola di grano dut01']",[],?,348,1456 kj(348 kcal),"1,1","0,1",71,"3,5",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Papagena - Gunz,9002859066535,['Gunz'],,['France'],[],[],?,542,2268 kj(542 kcal),29,22,"61,5","32,5",6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Peanuts,9002859070921,,,['France'],[],[],?,617,2582 kj(617 kcal),"50,8","7,9","11,1","5,3","24,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jelly Beans Im 250g Beutel Von Woogie,9002859076572,['Woogie'],,"['France', 'Espagne']","['sucre', 'sirop de glucose', 'eau', 'amidon de mais', 'arómes naturels', 'agents ', 'enrobage: E901', 'E903', 'E904', 'acidifiants', ' E297', 'E330', 'huile de noix de coco', 'concentrés de spiruline', 'carthame', 'carotte', 'cassis', ' colorants', ' E100', 'E120', 'E150a', 'E13', 'E171']","['Non végétalien', 'Non végétarien']",?,376,1573 kj(376 kcal),0,0,94,77,0,"0,1","0,04",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",,0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0.1 g,en faible quantité,,+8%,+8%,-100%,-100%,+9%,+25%,-100%,+20%,+20%,14,+1%,D,+1%,E,,,4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"[""E901 - Cire d'abeille"", 'E903 - Cire de carnauba', 'E904 - Gomme-laque', 'E297 - Acide fumarique', 'E330 - Acide citrique', 'E100 - Curcumine', 'E120 - Acide carminique', 'E150a - Caramel E150a', 'E171 - Oxyde de titane']",,,,,,,
25,Instant Noodles Enten Geschmack,9002859084232,,,['France'],[],[],?,76,318 kj(76 kcal),30,"1,5","1,5","0,9","1,4","1,1","0,44",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,,,,,,,,-75%,-75%,+159%,-72%,-96%,-63%,-78%,-58%,-58%,,,,,,,,,,,,,,,,,,,,,,,
26,Bonbons Euka Lemon 250g Beutel Woogie,9002859084560,,,['France'],[],[],?,395,1653 kj(395 kcal),0,0,98,70,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Assorted Pralines ""red"" 400g Package Maître Truffout - 400g",9002859087295,,,['France'],[],[],?,460,1925 kj(460 kcal),19,11,67,51,"4,5","0,1","0,04",,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Haribo Phantasia - 350g,9002975390699,['Haribo'],,"['France', 'Suisse']","['Sirop de glucose', ' sucre', ' gélatine', ' dextrose', ' acidifiant : acide citrique', ' concentrés de fruits et de végétaux : pomme', 'citron', 'cassis', 'myrtille', 'carotte', 'hibiscus', 'carthame', 'spiruline', 'patates douces', 'radis blancs', ' arôme', "" agents d'enrobage : cire d'abeilles blanche et jaune"", 'cire de carnauba', ' sirop de sucre caramélisé', ' sirop sucre inverti']","['Non végétalien', 'Non végétarien']",1479,1352,1479 kj(1352 kcal),"0,5","0,1",80,49,"6,6","0,09","0,036",,350 g,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,0.5 g,en faible quantité,0.1 g,en faible quantité,49 g,en quantité élevée,0.09 g,en faible quantité,+2%,+293%,+3%,+25%,-40%,-0%,-15%,+79%,-22%,-22%,14,-1%,D,-1%,E,,,4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,,,,,,
29,Wild & Red Youkon Wildlachs,9003309101806,,,['France'],[],[],?,133,556 kj(133 kcal),"4,5","0,9","0,1","0,1",23,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Double Lait, Milchschokolade - Lindt",9003600481003,['Lindt'],,['France'],[],[],?,587,2456 kj(587 kcal),40,26,51,50,"5,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sucre de fleur de coco - Bioenergie,9004307073775,['Bioenergie'],['Bio'],['France'],"[""/lngrediënten: Sucre de fleur de coco/KokosbIoesemsuik? de l'agriculture biologique / uit de biologische landbouw Pays d'origine / Land van herkomst: Indonésie / Indonesië""]",[],?,376,1573 kj(376 kcal),"0,1","0,1","91,9","86,6","1,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Gaufrettes de maïs - Verival - 100g,9004617011702,['Verival'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:EG-Öko-Verordnung', 'IT-BIO-014']","['Autriche', 'France']","['Mais 99%', 'Maisöl', 'Meersalz']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,393,1644 kj(393 kcal),"1,5","0,7",86,"0,3","7,7","0,5","0,2",Maiswaffeln,100g,"['Folie', 'Kunststoff']",['de:Maiswaffeln'],['Italien'],1.5 g,en faible quantité,0.7 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en quantité modérée,,,,,,,,,,,0,,B,,,http://www.pronurel.com,,3,,,,,,,,,,,,,,,
33,"Bio Lauch Zwiebeln , Porridge - Verival",9004617066627,['Verival'],['Bio'],['France'],"[""son d'avoine*"", 'Poireau * 4,5%', 'Oignons* 2,5%', 'Sel de mer', 'Ciboulette*0,5 %', 'Persil*', 'Poivre*', 'Noix de muscade* * ', "" Issus de l'agriculture biologique contrôllée"", ' Peut contenir des lere traces de sésame', 'soja', 'lupins et fruits à coque', ' re dal Conditionné sous atmosphère protectrice', "" Imente A préserver de la chaleur e de l'humidité"", ' A con - sommer de préférence avant le: voir date sur le fond', ' GmbH | 6336 Langkampfen I Austria I Produkt Infoline: 00 800 40 60 80 80 325 ge @ - Art Nr', ' 40167']",[],?,360,1506 kj(360 kcal),"8,2","1,2",56,"2,5",11,"1,975","0,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bio tofu natur - Verival,9004617185205,['Verival'],,['France'],[],[],?,144,602 kj(144 kcal),"8,5","1,4",0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ja! Vollmilch -  - 1l,9005182001754,,['Bio'],"['France', 'Allemagne']",[],[],?,64,268 kj(64 kcal),"3,5","2,1","4,6","4,6","3,4","0,13","0,052",,1 l,['Packung(en)'],"['Produits laitiers', 'Laits', 'Laits entiers']",,3.5 g,en quantité modérée,2.1 g,en quantité modérée,4.6 g,en faible quantité,0.13 g,en faible quantité,,-3%,-4%,-6%,-11%,-4%,-3%,+3%,+11%,+11%,1,-37%,B,-37%,D,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
36,Jus de poire - Pfanner,9006900013974,['Pfanner'],,['France'],[],[],?,49,205 kj(49 kcal),"0,5","0,1",11,11,"0,5",0,0,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-4%,-2%,+110%,+131%,-5%,+10%,+54%,-100%,-100%,5,+10%,C,+10%,D,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
37,Dr. Oetker Wintermix Streudekore Aus Zuckermasse,9008200012367,['Dr. Oetker'],,['France'],"['Hinweis: Glasuren', 'Kuvertüren und Zuckerguss kurz vor dem Antrocknen bestreuen', ' Schlagobers Oder Cremen erst kurz vor dem Servieren verzieren']",[],?,392,1640 kj(392 kcal),2,"1,1",93,77,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bravo Melon Ananas - Rauch,9008700124478,"['Rauch', 'Bravo']",,['France'],[],[],?,51,213 kj(51 kcal),"0,5","0,1","12,3","12,3","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Balance Juicy Mango-pfirsich Mineralwasser -,9009700308233,,,['France'],[],[],?,13,54 kj(13 kcal),"0,1",0,3,3,"0,1",0,0,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,0.1 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,0 g,en faible quantité,,,,,,+308225%,+61983371%,+5208233%,-100%,-100%,4,+1344%,A,+1344%,,,,,,,,,,,,,,,,,,,
40,Protein chips paprika - Women’s Best,9010128006069,['Women’s Best'],,['France'],"['Chips ', 'Concentré De Protéines De Sa', 'Fécule De Tapioca Et pomme De Terre', 'Fibre ', '%ja', 'Flocons De Pomme De Terre', 'Sel', 'Lécithine De préparation Aromatisée ', 'Arôme Naturel ', 'Lait', 'Gluta', 'Extrait De Paprika', 'Capsantl colorant El 60c', 'Huile De Tournesol', 'Protéine De Lait', 'Oignon En Poudre STORAGE: Store in â dry place', ' Once opened', 'consume within AUFBEWAHRUNG: ka&', ' und trocken Sobald die Verpackung wurde', 'sollte das Pr?dtktpnnerhalb eines Tages verzehrt werden', ' que CONSERVATION: Conserver dans un endroit frais ', '<250C', ' et secs Lorsque sachet est ouvert,']",['Non végétalien'],?,362,1515 kj(362 kcal),"10,2",1,"19,6","2,9",40,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,"['E322i - Lécithine', 'E160c - Extrait de paprika']",['Lait'],,,,,,
41,Lait sans lactose -,9019100590404,,,['France'],[],[],?,49,205 kj(49 kcal),"1,8","1,1","4,8","4,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bio Pure Tea Green Tea Lemon 1L Pet-bottle Pfanner,90167829,['Pfanner'],['Bio'],['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,"['en:Aliments et boissons à base de végétaux', 'en:Boissons', 'en:Boissons chaudes', 'en:Boissons à base de végétaux', 'en:Thés', 'en:Thés verts']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-97%,-97%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
43,Cafemio Cappuccino - Rauch - 250ML,90169533,['Rauch'],,"['France', 'Serbie']","['75% mleko', 'voda', 'šećer', '1', '1% ekstrakt kafe', 'boja: karamel obični', ' stabilizatori: natrijum-fosfati', 'celuloza', 'celulozna guma', ' aroma', 'kuhinjska so']",[],323,78,323 kj(78 kcal),"2,7","1,7","10,9","10,3","2,7","0,3","0,12",Aromatizovani sterilizovani napitak na bazi mleka sa 3.5% mlečne masti i ekstraktom kafe,250ml,"['Plastic', 'Bottle']","['Boissons', 'Boissons au café', 'Boissons sans sucre ajouté']",['Austria'],2.7 g,en quantité modérée,1.7 g,en quantité modérée,10.3 g,en quantité élevée,0.3 g,en quantité modérée,-59%,-46%,-47%,-32%,-40%,-52%,-37%,-33%,+22%,+22%,19,+34%,E,+34%,,https://www.rauch.cc/at/frag-rauch/cappuccino/,,,,,,,,,,,['sr:mleko'],,['AT 80152 EC'],,,,
44,Hafer Avena cuisine - Joya,9020200020029,['Joya'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,92,385 kj(92 kcal),"7,4","0,9","5,5","0,9","0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Carpe Diem - Fresh Kombucha Classic - 750ml,90280153,['Carpe Diem'],"['Végétarien', 'Sans gluten', 'Végétalien', '100% naturel', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'Sans lactose']","['Autriche', 'France', 'Allemagne', 'Suisse']","['infusion tisane ', 'eau', 'tisane mélangée', ' sucre de betterave', 'dioxyde de carbone', 'cultures de Kombucha et lacto - bacitles', ""jus concentré d'acérola"", ' Se conserve ouvert 3 jours au réfrigérateur']","['Végétalien', 'Végétarien']",?,25,105 kj(25 kcal),"0,1",0,"5,5","5,5","0,1",0,0,,750 ml,['Glas'],"['Boissons', 'Boissons au thé', 'Kombuchas', 'Boissons avec sucre ajouté']",['Österreich'],0.1 g,en faible quantité,0 g,en faible quantité,5.5 g,en quantité modérée,0 g,en faible quantité,,+39%,+40%,+108%,-100%,+44%,+60%,+37%,-100%,-100%,8,+40%,D,+40%,B,https://www.carpediem.com/de/die-sorten/kombucha-classic,"['Spar', 'Eurospar', 'Interspar']",4,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,['E290 - Dioxyde de carbone'],,,,,,,
46,Emotion Birne Melisse,90311215,,,['France'],[],[],?,17,71 kj(17 kcal),0,0,"4,1","4,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Simply Cola - Red Bull,90376016,['Red Bull'],,['France'],[],[],?,39,163 kj(39 kcal),0,0,"9,2","8,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Energy drink,90426421,,,['France'],[],[],?,3,13 kj(3 kcal),"0,5","0,1","0,5","0,5","0,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pom's -,90494628,,,['France'],[],[],?,52,218 kj(52 kcal),0,0,13,"12,1",0,"18,5","7,4",,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,12.1 g,en quantité élevée,18.5 g,en quantité élevée,,+93%,+88%,-100%,-100%,+92%,+83%,-100%,+132994%,+132994%,27,+193%,E,+193%,,,,,,,,,,,,,,,,,,,
50,"Linsen 400g, Spar - 400g",9100000076607,['Spar'],,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,400 g,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Original südtiroler Schüttelbrot - Spar - 200g,9100000699202,['Spar'],,"['Autriche', 'France']",[],[],?,345,1443 kj(345 kcal),"1,4","0,5",72,"1,1",8,2,"0,8",,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Schafjogurt, Natur - Spar",9100000709895,['Spar'],,['France'],['sffafmilchjogurt aus pasteurisierter Schafmilch natürlichem Fettgehalt'],[],?,70,293 kj(70 kcal),"4,2","2,7","4,4","4,4","3,5","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Spar'],,,,,,,,,,,,,,,,
