,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
1304,"Kokos-öl , Bio, Kaltgepresst - Borchers",4260175670798,['Borchers'],"['Bio', 'Bio européen', 'DE-ÖKO-006']",['France'],[],[],?,892,3732 kj(892 kcal),99,86,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Huile de pépin de raisin - Huilerie Beaujolaise - 1l,3760108454484,['Huilerie Beaujolaise'],,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","11,1",0,0,0,0,0,,1 l,['Bouteille en verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de pépins de raisins']",,99.9 g,en quantité élevée,11.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+2%,+2%,-6%,,,,,,11,+1%,D,+1%,C,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,
1306,Mini wraps aperitifs - Carrefour,3560071151065,['Carrefour'],,['France'],[],[],?,245,1025 kj(245 kcal),12,"5,3",23,"3,7","8,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,
1307,Sardinilla ahumada rr-90 - Carrefour - 2x 65g,8431876263169,['Carrefour'],['Non-bio'],"['France', 'Espagne']","['Sardinas', 'aceite ae girasol ', '26%', 'sal ', 'aroma de humo ', '0,32%']","['Non végétalien', 'Non végétarien']",917,220,917 kj(220 kcal),14,3,0,0,22,"1,5","0,6",,2 x 65 g,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile""]",,14 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,-11%,-8%,-8%,-17%,-18%,-100%,-100%,+4%,+65%,+65%,5,-4%,C,-4%,D,,['Carrefour'],4,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['Poisson'],,,,,,
1308,Pois chiche - Baionade,3760084452313,['Baionade'],"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'ES-ECO-025-NA']",['France'],[],[],?,97,406 kj(97 kcal),"1,9","0,2","14,5","0,7","5,4","0,6","0,24",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,1.9 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en quantité modérée,,-49%,-48%,-37%,-49%,-39%,-57%,-47%,+26%,+26%,0,,B,,B,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,
1309,Magda courgettes grillées,3661346000160,,,['France'],[],[],?,37,155 kj(37 kcal),"0,2","0,1","6,1","2,8","1,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Pasen: Mosterd Honing Ananas Pot 260 Gram (delicieux) - 260g,20521790,['Delicieux'],,"['France', 'Italie', 'Espagne']",[],[],?,154,644 kj(154 kcal),"6,5","0,4","14,6","13,5","5,3","3,2","1,28",,260 g,['Bottle'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,6.5 g,en quantité modérée,0.4 g,en faible quantité,13.5 g,en quantité élevée,3.2 g,en quantité élevée,,-9%,-9%,-40%,-51%,+112%,+250%,-19%,-32%,-32%,13,+12%,D,+12%,B,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,
1311,La mousse noir - Nestlé,3428200388495,['Nestlé'],,['France'],[],[],?,159,665 kj(159 kcal),"5,4","3,6",21,20,"5,1","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']",,,,
1312,Blanquette de la mer - Maes,3282930007992,['Maes'],,['France'],[],[],?,94,393 kj(94 kcal),"3,8","2,2","3,8","0,9",11,"0,32","0,128",,,,"['Plats préparés', 'Plats préparés au poisson']",,3.8 g,en quantité modérée,2.2 g,en quantité modérée,0.9 g,en faible quantité,0.32 g,en quantité modérée,,-47%,-46%,-63%,-19%,-54%,-40%,+18%,-69%,-69%,-1,-121%,A,-121%,,,,,,,,,,,,,,,,,,,
1313,Boule de Berlin - null,7610845773453,"['Null', 'Coop']",,['France'],"['Farine de froment ', 'blanche', 'mi-blanche', 'préparation à base de fruits 26% ', 'sucre', 'eau', 'glucose', 'sirop de glucose-fructose', 'framboises 2%', 'concentrés de fruits [abricots', 'groseilles', 'citron', 'sureau]', 'humectant [E 420J', 'purée de pommes', 'gélifiant [E 440]', 'acidifiants [E 330', 'E 331', 'arôme', ""œufs d'élevage en plein air "", 'Europe', 'eau', 'huiles végétales ', 'tournesol', 'colza', 'glucose', 'levure', 'sucre', 'petit-lait en poudre', ' lactose', 'graisse de palme ', 'production durable', '""', 'émulsifiants ', 'E471', 'E 472e', 'E 322', 'sel de cuisine iodé', 'gluten de froment', ""blanc d'euf en poudre "", ""eufs d'élevage au sol"", 'acidifiants ', 'E 341', 'E 330', 'amidon de maïs', 'farine de riz', 'arôme', ' ""www', 'coop', 'ch/huile-de-palme Peut contenir des traces de noix', 'de noisettes', ""d'amandes"", 'de sésame', 'de soja Berliner con il26% di preparato di frutta glucosio,']","['Huile de palme', 'Non végétalien']",?,340,1423 kj(340 kcal),13,2,48,22,6,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E322 - Lécithines', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Fruits à coque']",['Huile de palme'],,,,,
1314,Bony - bimbo,8412600027523,['Bimbo'],,"['France', 'Espagne']",[],[],?,415,1736 kj(415 kcal),20,14,53,34,4,"0,8","0,32",,,,"['Biscuits et gâteaux', 'Pâtisseries']",,20 g,en quantité modérée,14 g,en quantité élevée,34 g,en quantité élevée,0.8 g,en quantité modérée,,+10%,+11%,+19%,+72%,+10%,+16%,-25%,+93%,+93%,25,+46%,E,+46%,,,,,,,,,,,,,,,,,,,
1315,Helado sabor a leche merengada - Flete,24081474,['Flete'],,"['France', 'Espagne']",[],[],?,201,841 kj(201 kcal),"10,5","9,4","24,2","20,9","2,3","0,17","0,068",,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,10.5 g,en quantité modérée,9.4 g,en quantité élevée,20.9 g,en quantité élevée,0.17 g,en faible quantité,,-14%,-13%,-10%,+24%,-13%,-11%,-27%,+13%,+13%,15,+12%,D,+12%,B,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,
1316,Veg&Crock - Noberasco,8005120217262,['Noberasco'],['Sans conservateurs'],['France'],[],[],?,336,1406 kj(336 kcal),"6,7","1,5",46,41,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Potato snack pot bacon & onion - Knorr,8584057005376,['Knorr'],,['France'],[],[],?,98,410 kj(98 kcal),5,"2,8","9,4","0,6","2,4","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Bio biscotto - crich 1870,8008620071044,['crich 1870'],"['Bio', 'Fabriqué en Italie', 'it:ricco di fibra; integrale; macinata a pietra']",['France'],[],[],?,447,1870 kj(447 kcal),16,"1,7",64,19,7,"0,7","0,28",,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,16 g,en quantité modérée,1.7 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,,-6%,-6%,-23%,-83%,0%,-36%,+8%,+19%,+19%,13,-34%,D,-34%,C,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
