,name,bar_code,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,manufacturing,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,traceability_code,ingredients_origins,brand_owner
794,Mini Bouchée Lait - Côte d'Or - 1kg,7622210229502,1 kg,,"[""Côte d'Or""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['Sucre', 'pâte de cacao', 'noisettes ', '7,5 %', 'lait écrémé en poudre', 'beurre de cacao', 'graisses végétales ', 'palmiste', 'palme', '/ amandes ', '6 0%', '/ lactosérum en poudre ', 'de lait', 'beurre concentré', 'émulsifiants ', 'lécithine de soja', 'lécithine de tournesol', 'arômes', ' Peut contenir blé']",['E322i - Lécithine'],"['Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,30 g,en quantité élevée,15 g,en quantité élevée,57 g,en quantité élevée,0.2 g,en faible quantité,?,,535,+1%,2238 kj(535 kcal),+1%,30,-6%,15,-14%,58,+11%,57,+20%,"6,5",+11%,"0,2",+31%,"0,08",+31%,23,-6%,E,-6%,['Cocoa Life'],,,,,,,,,,,,,,,,
795,Philadelphia (kräuter) - 235g,7622210232137,235 g,,['Philadelphia'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner', 'Fromages à la crème']","['France', 'Allemagne']","['Frischkäse', 'Molkenerzeugnisse ', 'aus Milch', 'Kräuter', 'Zwiebel', 'Knoblauch', 'Speisesalz', 'Verdickungsmittel ', 'Johannisbrotkernmehl', 'Carrageen', 'Säuerungsmittel ', 'Citronensäure', 'Aroma ', 'enthält Sellerie']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Lait'],['Non végétalien'],4,20 g,en quantité modérée,13 g,en quantité élevée,4.2 g,en faible quantité,1.03 g,en quantité modérée,?,,219,-6%,916 kj(219 kcal),-7%,20,-4%,13,-8%,"4,3",+28%,"4,2",+42%,"5,2",-38%,"1,03",-12%,"0,412",-12%,13,+8%,D,+8%,,D,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
796,Cote d'or - 200g (2 * 100g),7622210232434,200 g (2 * 100 g),"['Plastique', 'Carton', 'Métal', 'Aluminium']","[""Côte d'Or""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['FR Chocolat extra no rde dégustation aux graines de sésame caramélisées ', '159 ngrédients : Sucre', 'pâte de cacao', 'beurre de cacao', 'gra es de sésame 9 cacao maigre en poud émulsifiant ', 'lécithi ede soja ', 'arôme', 'lait écrémé en Odre', ' Cacao : 54 % minim m dans If chocolat extra noir', ' Peu fruits à coque', "" l'abri de la chaleur et de Ilhumidité""]",,,[],4,36 g,en quantité élevée,20 g,en quantité élevée,42 g,en quantité élevée,0.02 g,en faible quantité,?,,554,-0%,2318 kj(554 kcal),-0%,36,-9%,20,-13%,46,+19%,42,+32%,"7,2",-6%,"0,02",-57%,"0,008",-57%,20,-6%,E,-6%,['Cocoa Life'],E,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,
797,"Trident Sugar Free Gum Menta Peppermint Mint, 14,5G",7622210240088,,,['Trident'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Espagne']",[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.03 g,en faible quantité,?,,156,-2%,653 kj(156 kcal),-3%,"0,2",+2%,"0,1",-14%,63,+0%,"0,1",+72%,"0,4",+210%,"0,03",+40%,"0,012",+40%,,,,,,,,,,,,,,,,,,,,,
798,Cacao en Poudre - Royal - 100g,7622210243461,100 g,"['Bote', 'Aluminio', 'Plástico']",['Royal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']","['France', 'Espagne']",['Cacao maigre en poudre'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,11 g,en quantité modérée,6.5 g,en quantité élevée,0.5 g,en faible quantité,0.08 g,en faible quantité,?,,320,-9%,1339 kj(320 kcal),-8%,11,-21%,"6,5",-19%,16,-38%,"0,5",-95%,21,+23%,"0,08",-26%,"0,032",-26%,-1,-111%,A,-111%,,E,Cacao en poudre,,https://www.mipostre.com/espacio-royal,"['Noz', 'Dia', 'Condis', 'Hipercor', 'El Corte Inglés', 'Eroski', 'Alcampo']",94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,
799,Choco Moo 40G - Milka,7622210248428,,,['Milka'],,['France'],"['Farine de blé', 'sucre', 'huile de palme', 'sirop de glucose', 'beu \rcreme en poudre', 'pâte de cacao', 'lactosérum en poudre ', 'de lait', 'beurre pâtissier', 'lait entier en poudre', 'émulsifiants ', 'lécithine de soja', 'E \re a lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'sel', 'pâte de noisette', 'arômes', ""correcteur d'acidite "", 'ac ', '\rcontenir oeuf et sésame']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,494,,2067 kj(494 kcal),,21,,11,,67,,28,,"7,6",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
800,Green Fresh parfum menthe vente - Hollywood - 14g,7622210259332,14 g,['Papier'],['Hollywood'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",['France'],"['Edulcorants ', 'Sorbitol', 'Isomalt', 'Maltitol', 'Sirop de maltitol', 'Aspartame', 'Sucralose', 'Acésulfame K', 'Gomme base', 'Agent de charge ', 'E170', 'Arômes', 'Epaississant ', 'E414', 'Humectant ', 'E422', 'Colorants ', 'E171', 'E161b', 'E141', 'E133', 'Emulsifiant ', 'Lécithine de tournesol', ""Agent d'enrobage "", 'E903', 'Antioxydant ', 'E321']","['E420 - Sorbitol', 'E953 - Isomalt', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E170 - Carbonates de calcium', ""E414 - Gomme d'acacia"", 'E422 - Glycérol', 'E171 - Oxyde de titane', 'E161b - Lutéine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",,['Sans huile de palme'],4,0.4 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,640,-6%,?,,640 kj(153 kcal),-5%,"0,4",+103%,"0,3",+159%,"61,5",-2%,"0,1",+72%,"0,4",+210%,"0,01",-53%,"0,004",-53%,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,,,,,,,
801,Parfum Cerise - Hollywood - 6 * 14g (84g),7622210259370,6 * 14 g (84 g),"['Sachet', 'Plastique']",['Hollywood'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",['France'],"['Édulcorants ', 'Sorbitol', 'Isomalt', 'Xylitol', 'Sirop de maltitol', 'Aspartame', 'Acésulfame K', 'Sucralose', 'Gomme base', 'Arômes', 'Épaississant ', 'E414', 'Acidifiants ', 'E330', 'E296', 'Humectants ', 'E422', 'E1518', 'Émulsifiant ', 'Lécithine de tournesol', 'Colorants ', 'E163', 'E171', 'E133', ""Agent d'enrobage "", 'E903', 'Antioxydant ', 'E321']","['E420 - Sorbitol', 'E953 - Isomalt', 'E967 - Xylitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', ""E414 - Gomme d'acacia"", 'E330 - Acide citrique', 'E296 - Acide malique', 'E422 - Glycérol', 'E1518 - Triacétine', 'E322i - Lécithine', 'E163 - Anthocyanes', 'E171 - Oxyde de titane', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",,['Sans huile de palme'],4,0.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,756,+6%,?,,756 kj(181 kcal),+8%,"0,4",+69%,"0,1",-25%,"71,5",+12%,"0,1",-98%,"0,4",+145%,0,-100%,0,-100%,,,,,"['Peu ou pas de sucre', 'Labels liés à la santé des dents', 'Sans sucre', 'Union française pour la santé bucco-dentaire']",,Chewing-gum sans sucres avec édulcorants - Parfum Cerise,,,['Cora'],,,,,,,,,,,
802,Stimorol Bottle Intense Mint 70 Pièces - 101.5g,7622210268013,101.5g,,['Stimorol'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['Belgique', 'France']",[],,,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,170,+6%,711 kj(170 kcal),+6%,"0,3",+52%,"0,1",-14%,67,+7%,"0,1",+72%,"0,5",+288%,0,-100%,0,-100%,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,['Delhaize'],,,,,,,,,,,
803,Noisettes - Belvita - 300g,7622210269720,300g,,"['Belvita', 'Lu']",,"['Belgique', 'France']","['Céréales 67 % [céréales complètes 43,4 % ', ""flocons d'avoine 18,4 %"", 'farine complète de blé 13,3%', 'sarrasin complet concassé 8,4%', ""farine complète d'épeautre "", 'blé', ' 1,1%', 'farine complète de seigle 1,1%', 'farine complète d’orge 1,1%', 'farine de blé 23,6%', 'sucre', 'huile de colza', 'agent de charge ', 'polydextrose', 'noisettes grillées 5,4 %', 'poudre à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'diphosphate disodique', 'émulsifiants ', 'lécithine de soja', 'E472e', 'sel', 'lait écrémé en poudre', 'arôme', 'vitamines [thiamine ', 'B1', 'riboflavine ', 'B2', 'vitamine B6', 'folacine ', 'B9', 'acide pantothénique ', 'B5', ']']","['E1200 - Polydextrose', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322i - Lécithine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,419,,1753 kj(419 kcal),,12,,"1,2",,63,,19,,"8,7",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,
