,name,bar_code,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,manufacturing,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,traceability_code,ingredients_origins,brand_owner
0,Choco Light Rabeko - 250g,5413285000651,250 g,"['Pot', 'Plastique']",['Rabeko'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']","['Belgique', 'France']","['graisses végétales ', 'palme', 'huiles végétales ', 'coco', 'colza', 'fromage blanc maigre', 'sucre', 'chocolat ', 'sucre', 'masse de cacao', 'beurre de cacao', 'sirop de glucose', 'émulsifiant: lécithine de soja', 'vanilline', 'oeufs', 'lait écrémé acide alimentaire: acide citrique', ' Conservateur: potassium sorbate']","['E322i - Lécithine', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Œufs'],"['Huile de palme', 'Non végétalien']",4,26.2 g,en quantité élevée,17.3 g,en quantité élevée,23.6 g,en quantité élevée,0.0034 g,en faible quantité,?,,362,-33%,1515 kj(362 kcal),-33%,"26,21",-23%,"17,32",+122%,"23,98",-53%,"23,58",-49%,"5,1",-22%,"0,003",-97%,"0,001",-97%,14,-32%,D,-32%,,,,,,,,,,,,,,,,,
1,Muffin au chocolat au lait du pays Alpin - Milka,5413321001062,,,['Milka'],,['France'],"['Il M uffi 220 n*tcn bevattcn • tache', 'Ë$éOcnts: farine de Hé', "" HiNe 'Féta\\e : "", 'Gtta', ' tau', "" S'Kte"", ' • au pays ', ' t ', 'Swe', ' Ecurre de Poudre de lait éctémé', ' Pite de Poudre de lactounnn', ' Beurre curifié', ' Pâte de noisette ', 'rmAsifiant : Lédthine de soja', ' At6me', ' Amidon de blé', ' Pwdte Lever: D*sphates', 'Carbonates de sodium', 'Gtucono• delta-lactone', "" Amid«t de Protéine de tait,' Farine de riz prégélatinisée"", "" Poudre de lactosérum,' Poudre entier"", 'Correcteur Œaddlté: Ptwsphates de calcium', ' Émulsifiante', ' Stéatoyl-2• lactylate de soŒlum,• Arôme naturel de vanille', 'Sel', ' Peut contenir des fruits à coque ', 'amande', 'pistadle', 'noix', ' Voedingswaarden per 100 g']",,,['Non végétalien'],4,,,,,,,,,?,,438,,1833 kj(438 kcal),,"25,4",,"4,3",,"46,8",,"26,4",,"5,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
2,"Tablette, Lait Aux Noix De Macadamia Caramelisees, Dolfin - Doflin",5413415912700,,,['Doflin'],,['France'],"['VALEUR FAC--vs ortic,nsgr03e 100 g Energie I Energy Total Lipides I Total Fat I Fett Saturés j Saturated I davon gesâttigte Trans I Transfettsàuren Cholesterol I Cholesterol I Cholestefln']",,,[],,,,,,,,,,?,,552,,2310 kj(552 kcal),,35,,20,,51,,50,,7,,"0,35",,"0,14",,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,
3,"Sortiment Mit 24 Napolitains, Carré 24, Geschenkpackung",5413415913455,,,,,['France'],[],,,[],,,,,,,,,,?,,531,,2222 kj(531 kcal),,34,,21,,45,,40,,8,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
4,Yaourt aux myrtilles - Bioferme - 150g,5413444200304,150 g,"['Frais', 'Verre']",['Bioferme'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts au lait de vache']","['Belgique', 'France']","['LAIT entier de vache à 3% matière grasse', 'préparation de myrtille ', 'myrtille 7', '5%', 'sucre de canne', 'pectine', 'poudre de LAIT écrémé', 'ferments du yaourt ', 'LAIT', 'Sans conservateurs']",['E440 - Pectines'],['Lait'],['Non végétalien'],4,3 g,en quantité modérée,1.7 g,en quantité modérée,13 g,en quantité élevée,0.13 g,en faible quantité,?,,93,-7%,389 kj(93 kcal),-7%,3,-8%,"1,7",-19%,13,-3%,13,+6%,"3,4",-7%,"0,13",+21%,"0,052",+21%,2,-27%,B,-27%,"['Bio', 'Bio européen', 'BE-BIO-01', 'Sans conservateurs']",B,Yaourt aux fruits,"['Ardennes', 'Belgique']",http://www.bioferme.be/fr/yaourt_bio_brasses.php,['Spar'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,
5,Crème fraîche - bioferme - 24cl,5413444910012,24cl,['Verre'],['Bioferme'],"['Produits laitiers', 'Crèmes', 'Crèmes fraîches']",['France'],"[""Crème* de LAIT de vache pasteurisée à 42% de matière grasse * Issu de l'agriculture biologique Ingrédiënten: gepasteuriseerde verse room van koeMELK 42% vetstof * Afkomstig uit biologische landbounw Origine: Belgique"", "" Lait d'Ardenne belge Oorsprong: België"", ' Belgische Ardennen melk']",,['Lait'],[],,42 g,en quantité élevée,28 g,en quantité élevée,2.8 g,en faible quantité,0.09 g,en faible quantité,?,,398,+36%,1665 kj(398 kcal),+39%,42,+42%,28,+41%,"2,8",-14%,"2,8",-2%,"2,3",-3%,"0,09",+7%,"0,036",+7%,14,+8%,D,+8%,['Agriculture UE'],B,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
6,Filet de Poulet,5413458065616,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,[],,2.4 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,110,-16%,460 kj(110 kcal),-15%,"2,4",-17%,"0,9",+21%,"0,5",+4%,"0,5",+106%,22,-4%,"0,2",-73%,"0,08",-73%,-4,,A,,,D,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
7,Schoko bons - Kinder,5413548027319,,,['Kinder'],,['France'],"['noisettes Ingrédients chocolat supérieur au LAIT 50% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines ', 'SOJA', 'arômes', 'sucre', 'LAIT écrémé en poudre', 'huile de palme', 'NOISETTES 5,8%', 'BEURRE concentré', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de : lécithines ', 'SOJA', 'arômes', ""agents d'enrobage cacao"", 'émulsifiants ', 'gomme arabique', 'gomme schellac', 'sirop de glucose', 'émulsifiants ', ' lécithines [SOJA', 'arômes', ' Sur le total : produits laitiers 28% ', 'lait écrémé en poudre', 'lait en poudre : 24,3 %', 'beurre concentré 3,7%', 'cacao 16,5% Le chocolat utilisé est un chocolat pur beurre de cacao']","['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque', 'E322 - Lécithines']","['Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,576,,2410 kj(576 kcal),,"36,6",,"21,2",,"52,5",,"52,2",,"8,3",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
8,Classic Père Olive Olives au fromage - 400g,5413588602026,400 g,,['Pere olive'],,"['France', 'Suisse']",['lait'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,761,,184,,761 kj(184 kcal),,17,,"5,3",,"2,1",,"0,3",,"5,6",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,
9,Pâte à Tartiner aux Noisettes et Cacao avec Édulcorants de Stévia - Cavalier - 380g,5413623704333,380 g,"['Pot', 'Plastique']",['Cavalier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Belgique', 'France']","['Huile végétale ', 'Colza', 'Palme', 'Inuline', 'Oligofructose', 'Noisettes ', '13%', 'édulcorant ', 'Érythritol', 'Glycosides de stéviol', 'Poudre de cacao réduit', 'Lait écrémé en poudre', 'Emulsifiant ', 'Lécithine de tournesol', 'Arôme']","['E968 - Érythritol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine']","['Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,36 g,en quantité élevée,7.3 g,en quantité élevée,6.7 g,en quantité modérée,0.08 g,en faible quantité,?,,447,-19%,1870 kj(447 kcal),-19%,36,+6%,"7,3",-5%,17,-67%,"6,7",-86%,"5,3",-22%,"0,08",-22%,"0,032",-22%,8,-61%,C,-61%,['Avec édulcorants'],E,Stevia Hazelnutspread,,,['Delhaize'],82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Huile de palme'],,,
10,Nazareth - Brugge,5413721141153,,,['Brugge'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']","['Belgique', 'France']","['Lait pasteurisé', 'sel', 'présure', 'ferments lactiques', 'colorant : E160b', 'conservateur : lysozyme ', ""d'œufs""]","['E160b - Rocou', 'E1105 - Lysozyme']","['Œufs', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,27 g,en quantité élevée,16.4 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,339,+8%,1418 kj(339 kcal),+8%,27,+4%,"16,4",-8%,0,-100%,0,-100%,24,+29%,"1,3",-10%,"0,52",-10%,14,-2%,D,-2%,,D,,,,['Delhaize'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
11,Incolac Banana Drink 500ML - 500mL,5413721941128,500 mL,,,,['France'],[],,,[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"3,2",,"3,2",,"9,7",,"9,7",,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,
12,Salade de thon toscane - JC David - 125g,5413739003665,125g,['Plastique'],"['JC David', 'J.C.David', 'Jcdavid']","['Produits à tartiner', 'Produits à tartiner salés']",['France'],"['_THONç ', '36%', ' huile de colza', ' légumes ', '16%', ' ', 'petit oignon', 'oignon', 'CELERI', 'carotte', 'poivron', ' eau', "" jaune d'OEUF"", ' sucre', ' vinaigre', ' vinaigre de malt', ' mélasse', ' sel', ' ail', ' épices', ' plantes aromatiques', ' arôme naturel', ' extrait de plantes aromatiques', "" extrait d'épices"", ' arômes', ' MOUTARDE', ' piment rouge', ' amidon modifié', ' pomme de terre', ' extrait de levure', ' acidifiants ', 'acide lactique', 'acide acétique', ' conservateurs ', 'E202', 'E211', ' colorant ', 'E160c', ' stabilisants ', 'E412', 'E415']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E260 - Acide acétique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Céleri', 'Œufs', 'Moutarde']",['Non végétalien'],4,28.1 g,en quantité élevée,2.5 g,en quantité modérée,4.3 g,en faible quantité,1.6 g,en quantité élevée,?,,321,+8%,1343 kj(321 kcal),+9%,"28,1",+7%,"2,5",-68%,"6,4",+82%,"4,3",+239%,"9,8",+12%,"1,6",+21%,"0,64",+21%,13,+4%,D,+4%,,,,,https://jcdavid.saasfood.net/14-les-tartinables/49-salade-de-thon-toscane-125-grs,,,,,,,,,,,,
13,Moussaka - Come a casa,5413848106042,,,['Come a casa'],,"['Belgique', 'France']","['pommes de terre frites ', '19%', ' ', 'pommes de terre', 'huile de tournesol', 'eau', 'viande de porc aubergines frites ', '9%', ' ', 'aubergines', 'huile de tournesol', 'tomates', 'viande de boeuf ', '6%', 'FROMAGE', 'concentré de tomates', 'LAIT écrémé', 'huile de colza', 'LAIT ecrémé en poudre', 'amidon modifié de mais', 'pignons', 'sel', 'farine de froment ', 'BLÉ', 'arômes ', 'contient LAIT', 'CRÈME', 'plantes aromatiques', 'épices', 'ail', 'LAIT entier en poudre', 'fécule', 'dextrose', 'protéines de LAIT', ' Peut aussi contenir des OEUFS']",['E14XX - Amidons modifiés'],"['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,159,,665 kj(159 kcal),,"9,9",,"2,7",,"9,9",,"2,5",,"6,9",,"0,87",,"0,348",,,,,,,,,,,['Delhaize'],,,,,,,,,,,
14,Lasagne bolognaise boeuf - Grandfrais,5413848291021,,['Carton'],['Grandfrais'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",['France'],"['LAIT partiellement écrémé', 'eau', 'viande de bœuf ', '10%', 'semoule de BLÉ dur', 'concentré de tomates', 'FROMAGE', 'oignons', 'carottes', 'amidon modifié de maïs', 'huile de colza', 'farine de BLE', 'ŒUFS', 'sel', 'sucre', 'vin blanc', 'fécule', 'épices et plantes aromatiques', 'arôme']",['E14XX - Amidons modifiés'],"['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,1.3 g,en faible quantité,2.9 g,en faible quantité,1.03 g,en quantité modérée,?,,116,-13%,485 kj(116 kcal),-13%,"4,9",-19%,"1,3",-48%,"11,2",-10%,"2,9",+7%,"6,3",-0%,"1,03",+31%,"0,412",+31%,2,-13%,B,-13%,,C,,,,,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,
15,Tagliatelle Provenzale - Come a casa,5413848538492,,,['Come a casa'],,['France'],[],,,[],,,,,,,,,,?,,119,,498 kj(119 kcal),,"4,4",,"0,9",,"13,5",,"1,6",,"5,4",,"0,61",,"0,244",,,,,,,,,,,,,,,,,,,,,,
16,Cannelloni ricotta épinards,5413848592234,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés', 'Cannelloni végétariens', 'Cannelloni aux légumes cuits et au fromage de chèvre', 'Cannelloni à la ricotta et aux épinards', 'en:vegetarian-canelloni']",['France'],[],,,[],,5.6 g,en quantité modérée,2.8 g,en quantité modérée,2.9 g,en faible quantité,0.8 g,en quantité modérée,?,,109,-26%,456 kj(109 kcal),-26%,"5,6",-20%,"2,8",-21%,"8,1",-38%,"2,9",+7%,"5,1",-12%,"0,8",-5%,"0,32",-5%,3,-39%,C,-39%,,B,,,,,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,,
17,Hotcemel sachet - 30g,5414150610029,30 g,,['Hotcemel'],['Boissons'],"['Belgique', 'France']","['sucre', 'poudre de lait écrémé', 'cacao maigre en poudre ', '13,1%', 'sel', 'anti-agglomérants ', 'E341', 'E551', 'arôme', 'émulsifiant: lécithine de soja']","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E551 - Dioxyde de silicium', 'E322i - Lécithine']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.6 g,en quantité modérée,1 g,en quantité modérée,71.3 g,en quantité élevée,1.1 g,en quantité élevée,?,,371,+562%,1552 kj(371 kcal),+544%,"1,6",+361%,1,+747%,"72,8",+544%,"71,3",+655%,"13,8",+2682%,"1,1",+2551%,"0,44",+2551%,24,+213%,E,+213%,,,,,,,,,,,,,,,,,
18,Salade Poivrons - Abinda,5414152005144,,,['Abinda'],,['France'],[],,,[],,,,,,,,,,?,,287,,1201 kj(287 kcal),,"25,2",,"2,9",,"5,1",,"1,4",,"10,4",,1,,"0,4",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,
19,Crackito Naturel Chips,5414359111235,,,,,['France'],[],,,[],,,,,,,,,,?,,546,,2284 kj(546 kcal),,35,,"3,4",,51,,"0,5",,"5,7",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
20,Kombinos epinards - iglo,5414807000043,,,['Iglo'],,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,227,,950 kj(227 kcal),,"12,7",,"1,1",,"15,5",,"1,7",,12,,"1,3",,"0,52",,,,,,,,,,,['Delhaize'],,,,,,,,,,,
21,Fish Sticks - Iglo - 960g,5414807003983,960g,['boîte'],['Iglo'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Batonnets de poisson']","['Belgique', 'France']","[""Colin d'Alaska* "", 'poisson', ' 65%', 'chapelure ', 'farine de blé', 'eau', 'épices', 'sel', 'levure', 'huile de colza', 'farine de blé', 'eau', 'amidon de pomme de terre', 'sel', ' Id een graatie in de vis achterblijven']",,"['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",3,7.7 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,?,,195,+10%,816 kj(195 kcal),+12%,"7,7",-0%,"0,6",-46%,18,+22%,"0,8",-55%,13,+23%,1,-11%,"0,4",-11%,1,-52%,B,-52%,"['Pêche durable', 'Pêche durable MSC']",E,,,,"['Delhaize', 'Colruyt']",88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,['MSC-C-50470'],,
22,Poireau - Liebig,5414972115535,,,['Liebig'],,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,34,,142 kj(34 kcal),,"1,4",,"0,7",,4,,"0,6",,"0,9",,"0,78",,"0,312",,,,,,,,,,,['Delhaize'],,,,,,,,,,,
23,Sauce cocktail - D&L - 125ml,5414972115832,125 ml,"['Verre', 'Bocal']","['D&L', 'Devos & Lemmens']","['Epicerie', 'Sauces', 'Sauces cocktail']","['Belgique', 'France']","['Huile de colza', 'purée de tomates', ""jaune d'oeuf"", 'moutarde ', 'vinaigre', 'graines de moutarde', 'eau', 'sel', 'épices', 'dextrose', 'sirop de glucose', 'scotch whisky 1,8 %', 'sucre', 'sel', 'acidifiant : acide acétique', 'épaississants : gomme guar et xanthane', 'arômes ', 'contient orge', 'moutarde et céleri', 'épices', 'antioxydant : E385']","['E260 - Acide acétique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Céleri', 'Œufs', 'Gluten', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,61.9 g,en quantité élevée,4.8 g,en quantité modérée,6.3 g,en quantité modérée,1.1 g,en quantité modérée,?,,601,+20%,2515 kj(601 kcal),+21%,"61,9",+21%,"4,8",+2%,"7,8",-12%,"6,3",-4%,"1,4",+3%,"1,1",-27%,"0,44",-27%,16,-4%,D,-4%,,,,,,['Auchan'],,,,,,,,,,,
24,Royco Cup Spirelli Chicken,5414972118031,,,['Royco'],,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,39,,163 kj(39 kcal),,"0,3",,"0,1",,"6,9",,1,,"1,5",,"0,83",,"0,332",,,,,,,,,,,['Delhaize'],,,,,,,,,,,
25,Zespri sungold kiwifruit,5415191476520,,,['Zespri'],,['France'],['Nutritional Valuc - Nâhrwcrte - Valeur nutritive - Voedingsuaarde - Valore nutri5ionalc - Valor nutricionat - Nüringsuürde - Ernœrings Vardi - Rauinto Aruo 1100 g'],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,"0,28",,"0,065",,"15,8",,"12,3",,"1,02",,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,,,,
26,Préparation Crêpes Mille Trous - Milia - 100g,5415196001826,100 g,['Plastique'],['Milia'],"['Crêpes et galettes', 'Crêpes']",['France'],"['Semoule de blé durs farine de bibi levure sèches poudre lever : E4501 et E3411i dextrose', 'sel', 'colorant : B-carotenee Peut contenir des traces d?oeufs', 'de soja de laits de fruits coquet de Sésame', 'et de lupin', ' 100 g']",,['Œufs'],[],4,1.5 g,en faible quantité,0.3 g,en faible quantité,4.1 g,en faible quantité,2.2 g,en quantité élevée,?,,334,+9%,1397 kj(334 kcal),+8%,"1,5",-85%,"0,3",-92%,"65,4",+44%,"4,1",-81%,"13,1",+83%,"2,2",+171%,"0,88",+171%,11,-9%,D,-9%,,B,crepes,,,['besançon'],67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,
27,Mon Mix Pain Marocain - Milia - 500g e,5415196001833,500 g e,"['Sachet', 'Plastique']",['Milia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Préparations pour pains']",['France'],"['Semoule de blé dure', 'farine de blé', 'levure sèche', 'dextrose', 'Sel', 'agent de traitement de la farine : acide ascorbique']",['E300 - Acide ascorbique'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.5 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,1.5 g,en quantité modérée,?,,339,+1%,1418 kj(339 kcal),+1%,"1,5",-48%,"0,3",-50%,"66,7",+5%,"3,7",+28%,"13,2",+23%,"1,5",+38%,"0,6",+38%,2,-48%,B,-48%,['Nouveau'],,,,,,,,,,,,,,,,
28,Pain Matlouh - Milia,5415196001840,,,['Milia'],,['France'],"['—semoule de blé dur', 'farine de blé', 'levure sèche', 'sel', 'sucre', ' malt de blé', 'agents de traitement de la farine : enzymes et acide ascorbique']",,['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,,?,,358,,1498 kj(358 kcal),,"1,4",,"0,2",,"71,4",,3,,"13,6",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
29,Fraise + Mélisse - Simone a Soif! - 33cl,5419980010773,33cl,['Verre'],"['Simone a Soif!', 'Simone a soif']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']","['Belgique', 'France']","['eau', 'pomme 25%', 'fraise* 6,5%hydrolat de mélisse2 %', 'hydrolat de frêne et carotte sauvage', 'citron']",,,[],,0 g,en faible quantité,0 g,en faible quantité,4.6 g,en quantité modérée,0 g,en faible quantité,?,,18,-60%,75 kj(18 kcal),-60%,~ 0,-100%,~ 0,-100%,"4,6",-56%,"4,6",-52%,~ 0,-100%,~ 0,-100%,0,-100%,7,+4%,D,+4%,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'BE-BIO-01', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",B,Boisson rafraichissante aux fruits plate,,http://www.simoneasoif.be,['Delhaize'],36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,
30,Rodenbach Grand Cru - 33cl,54125032,33 cl,"['Bouteille', 'Verre']",['Rodenbach'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières rouges']",['France'],"[""Contient du malt d'orge""]",,['Gluten'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['World Beer Awards', 'Déconseillé aux femmes enceintes']",C,,['Belgique'],,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,
31,Veggie sausage - Fit Food - 200g (5 * 40g),5420005700234,200 g (5 * 40 g),,['Fit Food'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Saucisses végétales']",['France'],"['eau', 'huile de canola*', 'amidon de blé*', 'blanc d’œuf en poudre*', 'arômes naturels', 'épices*', 'sel de mer', 'sucre*', 'maltodextrine*', 'oignon en poudre*', 'poireau en poudre*', 'huile de tournesol*', 'épaississant ', 'gomme guar', 'concentré de tomate*', 'poivron*', 'dextrose*', ' *culture biologique']",['E412 - Gomme de guar'],"['Œufs', 'Gluten']",['Non végétalien'],4,22 g,en quantité élevée,1.6 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en quantité élevée,?,,284,+23%,1188 kj(284 kcal),+24%,22,+62%,"1,6",-22%,15,+186%,"0,9",-35%,"5,6",-70%,"2,7",+61%,"1,08",+61%,11,+50%,D,+50%,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,
32,Mini veggie sausages - Fit Food - 200g,5420005700272,200 g,,['Fit Food'],,['France'],"['IngrediùtenàfGETARlflE Water', 'bMQtmeel*', 'natuuffljke concentraat*', 'verdikkingsmlddel', ' uarpitmeel', 'erijen* ', 'foelie*', 'peper*', 'ajuin* kardemom*', 'knnder*', 'maltodm*l natuurljkearomalsspecerijmix* er*', 'rei blanc arômes maltodenne*l sel de mer', 'extrait de poudre poudre de poireau*', 'huile de concentré de tomate*/ concentré de betterave arômes naturels', ""mélan e d'épices* [épices* "", 'macis*', 'poivre*/ oignon*l cardamome*', 'coriandre*', 'maltodextìne*lpudre de blanc doeuflseldemer,pouaredtoi Verdickungsmittel ', 'Guarkernmehl', 'Dextrose*YEGETARlSCHE PETEblLlE WURST: Wasser', 'Rapsôl*/ Weizenstirke*', 'natüdiche Zwiebelpulver*l Lauch Petersilie* ischem Anbau - EU/nicht EU Landwirtschaft', ' Kann auch Sola', 'Milch/ Nüsse', 'Sellerie und Senfenùaltem Ingredienti,ŒlPOLATRVEGETARlANŒ Ac Ila', 'olio di colza*/ amido di frumento ', 'albume dluovo in polvere*/ aroma naturale', 'Al c ua', 'olio di colza*/ amido di frumento*/ aromi naturali/ spezie mix* s ezie* ', 'mazza*', 'pepe*/ cipolla*l cardamomo*/ albume dluovo in polvere*', 'sale marino', 'cipolla in po vere*', 'maltodestrina*/ zucchero*/ porro in olvere*', 'olio di girasole*', 'spezie*/ glucosio*/ prezzemolo* ', '0,4%', ""addensante'*aüedienti bioloqici - Agricolüa PJÜnon UE"", ' Pub contenere anche soia', 'latte', 'gusci0/ sedano e senape', 'lng egg white powder*', 'natural spics* maltodeftin*/ sea salt ar*', 'onion lek powder*', 'sunflowoil*', 'tomato red beetconcentrate*/thickener oil*', 'white maltodextrin ices*', 'EU Agriculture', ' May mustard VOEDINGSWAARDEN • NUTRITIONNELÛES • NÂHRWERT •']",,,[],,,,,,,,,,?,,288,,1205 kj(288 kcal),,20,,"1,7",,18,,"0,8",,"8,3",,0,,0,,,,,,"['Bio', 'Agriculture non UE', 'Contient du lait', 'Agriculture UE', 'Agriculture UE/Non UE', 'Arômes naturels']",,,,,,,,,,,,,,,,
33,Organic Veggi Cold Cuts Salami Style Bio - 100g,5420005731405,100 g,,,,['France'],[],,,[],,,,,,,,,,?,,197,,824 kj(197 kcal),,15,,"1,1",,"6,5",,"1,1",,"6,4",,"2,5",,1,,,,,,"['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,
