,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
0,Gressins au romarin,3760190640390,['France'],[],[],?,397,1661 kj(397 kcal),10,4,64,"3,5",9,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hell jam fraise tequila et mangalore - 220g,3372330307799,['France'],[],[],?,?,,?,,?,,?,,,D,220g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pineapple,5050372119003,['France'],[],[],?,0,0 kj(0 kcal),?,,?,"10,1",?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Coquille saint jacques - Tipiak,3282740370217,['France'],[],[],?,98,410 kj(98 kcal),"5,1","3,6","6,8","1,2","5,7","0,66","0,264",,,,,,,,,,,,,,,,['Tipiak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thon au japaleno - 130g,3760048332262,['France'],[],[],?,64,268 kj(64 kcal),34,"7,15","1,33","1,25","19,83","0,5","0,2",D,130 g,"['Produits de la mer', 'Poissons', 'Thons']",,-65%,+242%,+56%,-8%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,34 g,en quantité élevée,7.15 g,en quantité élevée,1.25 g,en faible quantité,0.5 g,en quantité modérée,-65%,+306%,+196%,-51%,-51%,4,+30%,C,+30%,,,,,,,,,,,,
5,Petit Brie - 500g,11411417,['France'],['lait de vache pasteurisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,360,1506 kj(360 kcal),32,23,2,2,16,,,C,500g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",,+15%,+23%,+82%,-14%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Petit Brie'],32 g,en quantité élevée,23 g,en quantité élevée,2 g,en faible quantité,,,+15%,+29%,+163%,,,,,,,['Papier'],['Lait de vache pasteurisé origine UE'],['France'],"['FR 44.003.001 CE', 'Ancenis (Loire-Atlantique, France)', '44 003.001 EC']",3,,,,,,,
6,Kristal,8690819260553,['France'],[],[],?,900,3766 kj(900 kcal),100,75,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mochis glacés - 210g,3364699129457,['France'],[],[],?,206,862 kj(206 kcal),"2,3","1,5",45,27,"1,2",,,,210 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,petit chinois - 300g,2606488008200,['France'],[],[],?,282,1180 kj(282 kcal),"8,6","3,5",44,15,0,"0,7","0,28",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,
9,Choco buttons - 6x 30g,8710998447184,['France'],[],[],?,495,2071 kj(495 kcal),"21,6","21,1","73,8",62,"1,4","0,3","0,12",,6 x 30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Soupe de légumes à l'ancienne bio - Dietbon - 350g,3700569021917,['France'],"['Eau', 'chou blanc* 11,5%', 'haricots blancs* précuits 9%', 'carotte* 8,5%', 'poireau* 7%', 'pomme de terre* 7%', 'navet* 5,5%', 'huile de tournesol*', 'sel', 'ciboulette*', ""extraits d'épices et aromates"", 'poivre*', "" **Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",194,47,194 kj(47 kcal),2,"0,2","4,5","1,3","1,6","0,7","0,28",B,350 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",+14%,+15%,+16%,-2%,+72%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Dietbon'],2 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,0.7 g,en quantité modérée,+13%,-64%,-33%,+7%,+7%,2,+41%,B,+41%,['Cup'],,,"['FR 47.252.001 CE', 'Sainte-Livrade-sur-Lot (Lot-et-Garonne, France)']",3,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Néant'],,,,,
11,Crispy edamame,3662676000073,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rôti de porc cuit,3700133915215,['France'],[],[],?,120,502 kj(120 kcal),"3,6","1,3","0,5","0,5","21,3","1,8","0,72",E,,"['Viandes', 'Porc', 'Rôtis de porc']",,-17%,-28%,-39%,-5%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,3.6 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,-16%,-38%,-20%,+5%,+5%,4,-44%,C,-44%,"['Barquette', 'Film en plastique']",,,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)"", 'FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)""]",,,,,,,,
13,Cervelas à l'italienne - Saint Alby,4056489194514,['France'],[],[],?,234,979 kj(234 kcal),18,"7,9","1,9","1,7","14,3","1,4","0,56",,,,,,,,,,,,,,,,['Saint Alby'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3430750040594,3430750040594,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Palette de porc à la diable - Itinéraire des saveurs Intermarché - 1kg030,0211942043752,['France'],[],[],?,?,,?,,?,,?,,,,1kg030,"['Viandes', 'Porc', 'Palette à la diable']",,,,,,,,,,,,,['Itinéraire des saveurs Intermarché'],,,,,,,,,,,,,,,,,,['sous blister'],,,"['FR 67.008.001 CE', 'Altorf (Bas-Rhin, France)']",,"['Nutriscore', 'Nutriscore C']",,,,,,
16,Poire Williams Pur jus,3342210001642,['France'],[],[],?,45,188 kj(45 kcal),"0,8","0,1",11,"10,9","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Gazpacho - Auchan,8410171015062,['France'],[],[],?,45,188 kj(45 kcal),"2,9","0,6","3,3",3,"0,6","0,7","0,28",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,+10%,+18%,-2%,-24%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,['Auchan'],2.9 g,en faible quantité,0.6 g,en faible quantité,3 g,en faible quantité,0.7 g,en quantité modérée,+9%,+55%,+18%,+5%,+5%,3,+152%,C,+152%,,,,,,,,['Auchan'],,,,
18,Snack Apéro — Maïs frit petit,3760300060711,['France'],[],[],?,449,1879 kj(449 kcal),13,"5,3",71,"0,5","7,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Huile olive et citron vert frais,3547130091777,['France'],[],[],?,900,3766 kj(900 kcal),"99,8","15,1",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cerdon,3017601220017,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Glace Chocolat,3328859780001,['France'],[],[],?,261,1092 kj(261 kcal),16,10,27,25,"3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2 Terrines de Pâte - 360g,26086514,['France'],[],[],?,282,1180 kj(282 kcal),23,"8,1",37,7,15,15,6,,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7893333325109,7893333325109,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pokers - 45g,8004800003201,['France'],[],[],?,?,,?,,?,,?,,,,45 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,confiture fraise citron - anatra - 220g,3760242430832,['France'],"['FRAISE 60', '45% SUCRE', 'CITRON CONFIT PAR NOS SOINS 4', '03%', 'PECTINE DE FRUITS']",[],?,?,,?,,?,,?,,,D,220g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Anatra'],,,,,,,,,,,,,,,,,,,,,,4,,,,['E440 - Pectines'],,,
26,Noir Single Origine Pérou 86%,3770014589224,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cidre,3182280080396,['France'],[],[],?,?,,?,,?,,?,0,0,D,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,
28,Ice lollies,5901986033523,['France'],[],[],?,1.1000000238419,5 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lomo de porc,3700468419495,['France'],[],[],?,86,360 kj(86 kcal),"1,4","0,4","0,4","0,1","18,2","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8410509030194,8410509030194,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7640183390029,7640183390029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BN défi,3061990142269,['France'],[],[],?,491,2054 kj(491 kcal),"21,8","11,6",66,"31,5","6,1","0,65","0,26",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",,+4%,+14%,-1%,+5%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,21.8 g,en quantité élevée,11.6 g,en quantité élevée,31.5 g,en quantité élevée,0.65 g,en quantité modérée,+4%,+36%,-5%,+17%,+17%,25,+26%,E,+26%,,,,,,,,,,,,
33,gouda holland,2287220002498,['France'],[],[],?,424,1774 kj(424 kcal),35,24,0,0,27,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lu bio le nappe chocolat noir,02253636,['France'],[],[],?,504,2109 kj(504 kcal),25,12,61,24,"7,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
35,Wafer thin carved Irish  ham,25139648,['France'],[],[],?,111,464 kj(111 kcal),"2,8",1,"0,8","0,8",21,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Thé glacé - Palais Des Thés,3700256732461,['France'],[],[],?,0,0 kj(0 kcal),0,0,5,4,0,4,"1,6",,,,,,,,,,,,,,,,['Palais Des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Palets de chocolat Ruby,3162050019849,['France'],[],[],?,563,2356 kj(563 kcal),36,22,50,49,"9,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,chocolat ORSET - 1kg,7640159890171,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8713815200405,8713815200405,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Miel,8420433003133,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pommes de terre de terroir,3201923142052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Escalope cordon bleu de poulet,3596690774170,['France'],[],[],?,210,879 kj(210 kcal),10,"2,6",14,"1,8",15,"1,3","0,52",D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,-0%,-9%,+1%,+9%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,10 g,en quantité modérée,2.6 g,en quantité modérée,1.8 g,en faible quantité,1.3 g,en quantité modérée,-1%,-8%,+8%,-0%,-0%,4,-22%,C,-22%,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,
43,Gauffre nature x 4,3123456004938,['France'],[],[],?,382,1598 kj(382 kcal),27,"2,2",25,"2,6","8,2","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Le bloc de foie gras de canard,3700509255129,['France'],[],[],?,474,1983 kj(474 kcal),"48,7","20,3",2,"1,5","6,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Complement alimentaire beauté bio,3700446419493,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
46,Oeufs,3760084055828,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Spatzle - K-Classic - 500g,4337185457029,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'en:German pasta', 'de:Schwäbische Spätzle', 'Spätzle']",,,,,,,,,,,,,['K-Classic'],,,,,,,,,,,,,,,,,,,,,,,['IGP'],,,,,,
48,Haricots verts,3700685316409,['France'],[],[],?,32,134 kj(32 kcal),"0,1","0,03","4,43","1,14","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3073781120165,3073781120165,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Crica choc - Chabrior,33955643,['France'],[],[],?,426,1782 kj(426 kcal),"12,7","2,6","66,5","34,4",8,"0,42","0,168",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales fourrées']",,-2%,-8%,-2%,+7%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Chabrior', 'Intermarché']",12.7 g,en quantité modérée,2.6 g,en quantité modérée,34.4 g,en quantité élevée,0.42 g,en quantité modérée,-3%,-31%,+20%,-34%,-34%,15,+15%,D,+15%,,,,,,,,,,,,
51,Eau fruitée ananas - gingembre - Quai Sud,3662051009639,['France'],[],[],?,280,1172 kj(280 kcal),1,"0,2",61,56,3,,,,,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,cassoulet basque,3760059621287,['France'],[],[],?,224,937 kj(224 kcal),"8,2",3,"21,8","1,9",16,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0008005098077,0008005098077,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Alcopops Mix Alita Watermelon 4% 330ML 1 / 12,4770047233698,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Naturtrüb,4053400201665,['France'],[],[],?,26,109 kj(26 kcal),0,0,"5,6","2,8","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Tentation chocolat,3760124280449,['France'],[],[],?,596,2494 kj(596 kcal),"32,1","21,1","30,1","30,1","8,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Glace 100% bio à la Framboise - La Mémère,3770015307148,['France'],[],[],?,175.80000305176,736 kj(175 kcal),"4,3","2,8","29,9","28,6",2,"0,1","0,04",B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,-25%,-63%,+7%,-37%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['La Mémère'],4.3 g,en quantité modérée,2.8 g,en quantité modérée,28.6 g,en quantité élevée,0.1 g,en faible quantité,-24%,-63%,+22%,-33%,-33%,9,-33%,C,-33%,,,,,,['Bio'],,,,,,
58,Pur Jus Pressé Pomme Mangue Citron vert - Paquito,3250392927936,['France'],[],[],?,44,184 kj(44 kcal),"0,5","0,1","10,6","10,6","0,5","0,01","0,004",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",,-8%,+160%,-5%,+16%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Paquito'],0.5 g,en faible quantité,0.1 g,en faible quantité,10.6 g,en quantité élevée,0.01 g,en faible quantité,-8%,+252%,+2%,+25%,+25%,5,+11%,C,+11%,,,,,,,,,,,,
59,Schoko donut - Milka,4017040208026,['France'],[],[],?,464,1941 kj(464 kcal),28,"13,9","45,9","17,7","5,9","0,65","0,26",B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+13%,+23%,+2%,-0%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,['Milka'],28 g,en quantité élevée,13.9 g,en quantité élevée,17.7 g,en quantité élevée,0.65 g,en quantité modérée,+14%,+31%,+5%,-32%,-32%,20,+3%,E,+3%,,,,,,,,,,,,
60,Cerezas Con Azucar Super Haribo,8426617060305,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,-100%,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Haribo'],,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,
61,Curry ecológico,8436553980131,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
62,galettes et palets pur beurre,3260260063291,['France'],[],[],?,500,2092 kj(500 kcal),23,13,66,28,"6,3","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Papillotes de Brick Cabillaud méridional,3551610446797,['France'],[],[],?,170,711 kj(170 kcal),"9,4","1,7","12,6","2,9","8,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.182.007 CE', 'Pouzauges (Vendée, France)']",,,,,,,,
64,ricotta ciresa,2480125049135,['France'],[],[],?,134,561 kj(134 kcal),9,"6,2",32,"3,2",10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Needs - 43g,3525722026185,['France'],"['Protéines de soja ', 'amidon', 'lécithine de soja', ' ', 'oligofructose ', 'extrait de racine de chicorée', ' ', 'fourrage arôme caramel ', 'polydextrose', 'édulcorant : sirop de maltitol', 'matière grasse végétale ', 'huile de tournesol', 'huile de karité', 'édulcorant : sirop de sorbitol', 'lait écrémé en poudre', 'arômes naturels', 'extrait de malt', 'sel', 'émulsifiant:lécithine de soja', 'protéines de lait ', 'huiles végétales ', 'huile de palmiste certifiée RSPO', 'huile de palme variée ain', ""A l'abri une certifiée RSPO"", 'hujile de karité', ' ', 'polydextrose ', 'humectant : glycérine ', 'sirop de canne', 'amandes ', 'fruits à coque', ' ', 'édulcorant : sirop de maltitol ', 'poudre de cacao ', 'pâte de ptre ent cacao ', 'sucre : arômes', 'émulsifiants : lécithine de tournesol', 'mono et diglycérides ', 'sel ', 'antioxydant: tocopherol', 'édulcorant: sucralose', 'Contiet du lait', 'soja et fruits à coques', 'International distributor: ERIC FAVRE WELLNESS 6977O LONGESSAIGNE www,ericfavre,com menter età maintenr la masse musculaire', 'Poids net / Net weight : 43g ave', 'Sucres et dulcorants saveur chocolat-caramel,']",['Non végétalien'],?,368,1540 kj(368 kcal),"13,9","8,2","19,8","8,2","34,9",1,"0,4",,43 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,"['E322i - Lécithine', 'E1200 - Polydextrose', 'E965ii - Sirop de maltitol', 'E420ii - Sirop de sorbitol', 'E422 - Glycérol', 'E307c - Tocophérol', 'E955 - Sucralose']",['Huile de palme'],,
66,Soupe de poisson,2006050010509,['France'],[],[],?,34,142 kj(34 kcal),"1,2","0,3","0,7","0,4","4,8","0,83","0,332",E,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,-29%,-37%,-62%,-7%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,1.2 g,en faible quantité,0.3 g,en faible quantité,0.4 g,en faible quantité,0.83 g,en quantité modérée,-29%,-33%,-39%,-6%,-6%,1,+15%,B,+15%,,,,,,,,,,,,
67,thé noir à l'ananas en gelée - les confitures du clocher - 165g,3770004870004,['France'],"['Extrait de thé noir', 'sucre ,ananas,citron vert,pectine,acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,240,1004 kj(240 kcal),?,,58,,?,,,,165 g,['Thé noir en gelée'],,,,,,,,,,,,,['les confitures du clocher'],,,,,,,,,,,,,,,,,,['Verre'],,,,4,,,,"['E440 - Pectines', 'E330 - Acide citrique']",,,
68,Huile d’olive vierge extra,3760300061206,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Pain au seigle noir,0220518008538,['France'],[],[],?,272,1138 kj(272 kcal),"1,1","0,2",52,"1,9",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Duo de quinoa blanc et rouge,3760211821661,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-007', 'AB Agriculture Biologique']",,,,,,
71,Bobun poulet legumes,3760278204230,['France'],[],[],?,139,582 kj(139 kcal),3,"0,27",21,"1,7","5,8","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Kozlenmis biber,8690635060658,['France'],[],[],?,0.9200000166893,4 kj(0 kcal),"0,5",0,"5,3",4,"0,9","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Escalope de dinde,2431638023686,['France'],[],[],?,96,402 kj(96 kcal),0,0,1,0,23,"1,1","0,44",D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,-21%,-100%,-67%,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,-20%,-100%,-100%,+99%,+99%,0,,B,,,,,,,,,,,,,
74,1050480039556,1050480039556,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,
75,Jus d'orange - SOLEVITA - 1l,03530049,['France'],"[""Solevita JUS D'ORANGE Oranger 100% AVEC PULPE RESS BRESH o0% PUR JUS de présentation np FRUIT""]",[],?,113,473 kj(113 kcal),"< 0,3",0,24,24,?,"< 0,02","0,008",C,1 l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['SOLEVITA', 'Lidl']",,,,,,,,,,,,,,,,,,"['Plastique', 'Bouchon en plastique']",['Brésil'],,,,,,['Lidl'],,,,
76,Aranciata Rossa,8055965021029,['France'],[],[],?,52,218 kj(52 kcal),0,0,13,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,L amibiote,,['France'],[],[],?,262,1096 kj(262 kcal),"3,6","0,56",44,"1,9",8,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Auto_journal,3780111703904,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Poulet griller à la méditerranéenne,2245342061991,['France'],[],[],?,155,649 kj(155 kcal),"7,1","2,1","3,7","0,8",19,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,
80,Rissoles aux pruneaux,3760042692621,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Morue,4056489200055,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
