,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,packaging,labels,manufacturing,allergens,palm_ingredients,generic_name,link,brand_owner,origin_detail,producer_info
10,Gazpacho - consum - 1l,8414807520111,B,1 l,['Consum'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,,['Consum'],"['France', 'Espagne']","['Hortalizas frescas 96', '5% ', 'Tomate', 'pimiento', 'pepino y cebolla', 'aceite de oliva virgen extra 2%', 'vinagre de vino', 'sal y ajo']",['Sans huile de palme'],2.2 g,en faible quantité,0.3 g,en faible quantité,1.9 g,en faible quantité,0.8 g,en quantité modérée,?,,37,-10%,155 kj(37 kcal),-10%,"2,2",-10%,"0,3",-22%,"2,9",-14%,"1,9",-25%,"0,9",+14%,"0,8",+20%,"0,32",+20%,-2,-268%,A,-268%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,3,,['en:gluten-free'],,,,,,,,
11,Zumo de pina/ananas VIDA,84109590,D,,['Vida'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'es:Zumo']",,,,"['France', 'Espagne']","['Nectar de ananás a partir de concen - trado', ' Conteudo minimo de sumo: 50% Ingredientes sumo de anarás a partirde Concentiado 50%', 'água', 'xarope de gicose e futs', 'apicar', 'acdficante: acdo otrco', 'establizador pectra arboodante acido ascórbico', 'antespumante: E-900', ' Manter em lugar fresco seco e ao abrigo da z solar e de cheiros intensos', ' Consumir de preferência antes de e lote: ver capsula ou garrafa', ' Dépois de aberto', 'Conservar no frio', ' piña/ananás']","['Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0.1 g,en faible quantité,?,,53,+32%,222 kj(53 kcal),+32%,"0,1",+50%,0,-100%,"12,4",+30%,"11,8",+35%,"0,2",-31%,"0,1",+212%,"0,04",+212%,6,+365%,D,+365%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['E900 - E900 food additive'],4,,"['Végétarien', 'Végétalien']",,,,,,,,
12,Salade Sucrine - Primaflor,8425779001133,B,,['Primaflor'],"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,,,['France'],[],[],0.1 g,en faible quantité,0.04 g,en faible quantité,0.4 g,en faible quantité,0.0002 g,en faible quantité,?,,6.9000000953674,-31%,29 kj(6 kcal),-33%,"0,1",-63%,"0,04",-63%,"0,5",+14%,"0,4",+63%,"0,9",+17%,0,-100%,0,-100%,0,,B,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,
13,Albaricoque - Granini,8431707113960,,,['Granini'],,,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"0,5",,"0,1",,"7,3",,"7,1",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
14,Cookies choco - Carrefour - 225g,8431876005615,D,225 g,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",,,['Carrefour'],"['France', 'Espagne']","['Chocolate 37% ', 'azúcar', 'pasta de cacao', 'manteca de cacao', 'jarabe de glucosa', 'emulgente: lecitinas de soja', 'aroma', 'harina de trigo', 'azúcar', 'grasa de palma', 'harina de avena', 'gasificantes: difosfatos y carbonatos de sodio', 'sal', 'lactosa']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",27 g,en quantité élevée,13 g,en quantité élevée,37 g,en quantité élevée,0.53 g,en quantité modérée,2109,-0%,505,+2%,2109 kj(505 kcal),+2%,27,+7%,13,+5%,60,+1%,37,+17%,"4,9",-21%,"0,53",-22%,"0,212",-22%,23,+2%,E,+2%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,,,,"['Gluten', 'Lait', 'Soja']",,,,,,
15,Shakissimo Latte Cappuccino - Nescafé - 190ml,8594002786489,,190 ml,['Nescafé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['en:desconocido'],"['FR14', '630', '01 0 EC']",['Condis'],"['France', 'Espagne']","['Milk ', '89%', 'sugar', 'skimmed milk powder', 'Nescafe coffee ', '1,05%', 'thickeners ', 'cellulose gel', 'cellulose gum', 'carrageenan', 'xanthan gum', 'cocoa', 'acidity regulator ', 'sodium hydroxide']",['Non végétalien'],,,,,,,,,?,,81,+65%,339 kj(81 kcal),+38%,"2,8",+87%,"1,8",+99%,"10,3",+24%,"10,3",+114%,"3,5",+83%,"0,19",+33%,"0,076",+33%,,,,,,,,,,,,"['E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E524 - Hydroxyde de sodium']",4,['Botella'],,['Barcelona'],['Lait'],,,,,,
16,Cookies bonbon - Alsa,8711200319138,,,['Alsa'],,,,['Magasins U'],['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,20,,12,,49,,25,,"6,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
17,Lipton La Collection Thés & Infusions Coffret 10 Capsules - 25g,8712100782367,A,25 g,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés & Infusions']",,,,['France'],"['Thé noir Fruit Rouges - Thé noir aromatisé fruits rouges Ingrédients Thé noir', 'arôme ', '13%', 'mûre ', '2%', 'cassis ', '2%', 'fraise ', '2%', ' Thé noir Finest Earl Grey - Thé noir aromatisé bergamote Ingrédients Thé noir', 'arôme ', '4,1%', 'écorces de citron ', '2%', ' Thé vert Marrakech Mint - Thé vert aromatisé à la menthe Ingrédients Thé vert', 'menthe ', '41%', 'arôme naturel de menthe ', '8%', ' Infusion Verveine Menthe Fraîche - Plantes à Infusion Ingrédients Menthe ', '57%', 'Verveine ', '27%', 'Rooibos', ' Infusion Orange', 'touche de Miel - Préparation aromatisée pour infusion Ingrédients Camomille', ""feuilles d'oranger "", '25%', 'arôme ', '14%', ""écorces d'orange "", '10%', 'réglisse', 'miel ', '0', '3%', 'maltodextrine']",['Non végétalien'],,,,,,,,,?,,4,-43%,17 kj(4 kcal),-29%,0,-100%,0,-100%,"0,5",-33%,"0,5",+12%,"0,5",+181%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,4,"['Boite', 'Capsule']","['Point Vert', 'PEFC', 'Rainforest Alliance']",,,,Assortiment de thés et d'infusions en capsules,,,,
18,Alsa moelleux coco et vanille des Isles,8712100798368,,,['Alsa'],"['Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",,,['Magasins U'],['France'],"[""Alsa® met plein d'amoun dans la confection de ses necettes et sélectionne de bons ingnédients Pour la préparation du gâteau "", '390 g', ' : du suore', 'de la fanine de BLÉ E: 31%', ""de l'amidon de BLÉ"", 'de la poudhe à lever : E 575 et canbonates de sodium', ""des émulsifiants : mono - et diglycérides d'acides gras"", 'E 472 a', 'b', 'e et E470a', 'de la maltodextine', 'des protéimes de LAIT', 'un anôme', 'un épaississant : gomme xanthane', 'un arôme natunel de vanille E de la gousse de vanille en poudre et des graines de vanille épuisées', ' Peut contenin : cœuf', ' Pour la préparation du gâteau et décor à la noix de coco ', '100 9', ' : de la noix de coco râpée O :50%', ""du sucre glace et un peu d'amidon de de terne"", ' Peut contenin : gluten', 'lait', 'oeuf', ' pomme Mon moelleux coco et vanille des Isles se conserve dans un endroit hais et sec et se consomme dans les 48 h qui suivent sa préparation']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,343,-8%,1435 kj(343 kcal),-7%,14,+36%,"9,4",+118%,48,-19%,26,-14%,"5,6",-7%,"0,4",-36%,"0,16",-36%,,,,,,,,,,,,"['E575 - Glucono-delta-lactone', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472a - Ester diacétyl-acétique d'acides gras"", 'E470a - Stéarate de sodium/potassium/calcium', 'E415 - Gomme xanthane']",4,,"['Sans colorants', 'Entrepreneurs + Engagés']",,"['Œufs', 'Gluten', 'Lait']",,,,,,
19,Weißes Mandelmus - Monki - 330g,8712439031204,,330 g,"['Monki', 'Monk']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,,"['Belgique', 'France', 'Allemagne']","['Ingrédients: amandes blanchies', 'non grillées', 'de culture biologique contrôlée', ' Valeurs nutritionnellies pour 100 g: valeur énergétique dont saturés 4 g', 'glucides 14 2777 kJ/671 kcal', 'lipides 57 g g dont sucres 4 g', 'protéines 22 g', 'sel 0g', "" Peut contenir des traces d'arachides"", ""d'autres fruits à coque et de sésame"", ' A consommer de préférence avant la date figurant sur le couvercle']",[],57 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,2777,+6%,671,+6%,2777 kj(671 kcal),+5%,57,+6%,4,-11%,14,+65%,4,-19%,22,+0%,0,-100%,0,-100%,11,+186%,D,+186%,,,,,,,,,,['Glass'],"['Bio', 'Bio européen', 'NL-BIO-01']",['Niederlande'],,,,,,,
