,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,packaging,labels,manufacturing,allergens,palm_ingredients,generic_name,link,brand_owner,origin_detail,producer_info
169,Pont-L'Evêque conquérant - 360g,26065090,D,360 g,['Conquerant'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque""]",,"['FR 14.162.001 CE', 'Clécy (Calvados, France)']",,['France'],['Lait de vache cru'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",21.5 g,en quantité élevée,15.3 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,84,-72%,351 kj(84 kcal),-72%,"21,5",-8%,"15,3",-4%,0,-100%,0,-100%,"21,5",+0%,"1,5",-6%,"0,6",-6%,12,-18%,D,-18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,,['AOP'],,,,,,,,
170,Filets de sardines sans atete -  - 100g,26071831,D,100 g,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate', 'Sardines sans huile']",,"['EMB 29046G', 'Douarnenez (Finistère, France)']",,['France'],[],[],13 g,en quantité modérée,3.3 g,en quantité modérée,0.5 g,en faible quantité,0.85 g,en quantité modérée,?,,222,+42%,929 kj(222 kcal),+39%,13,+45%,"3,3",+23%,"0,5",-49%,"0,5",-12%,26,+38%,"0,85",-14%,"0,34",-14%,3,+21%,C,+21%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,,,,,,,,,
171,Fresh White Mint Coeur liquide - Feel Free - 30g,26088815,,30 g,['Feel Free'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,['Aldi'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,688,+1%,165,+3%,688 kj(165 kcal),+3%,0,-100%,0,-100%,69,+10%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,['Plastique'],['Point Vert'],,,,"Gommes à mâcher sans sucres avec édulcorants, aromatisées, goût menthe",,,,
172,Morceaux De Tomates -,27018507,,,,,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,24,,100 kj(24 kcal),,"0,3",,"0,1",,"3,5",,3,,"1,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,
173,Jamon Serrano - Jambon original Espagnol séché à l'air - Délifin - 100g,27024119,E,100 g,['Délifin'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:Jambon cru espagnol', 'en:raw-cured-ham']",['Espagne'],['DE NI-33333 EG'],['Aldi'],"['Belgique', 'France']","['viande de porc 95 %', 'sel', 'sucre', 'conservateurs: ', 'nitrite de sodium', 'nitrate de potassium', 'antioxydant : ', 'ascorbate de sodium', ',']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,?,,232,-3%,971 kj(232 kcal),-3%,12,-5%,"4,5",-4%,1,+39%,1,+124%,30,-1%,5,+7%,2,+7%,16,-2%,D,-2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",3,['Plastique'],['Fabriqué en Espagne'],['Espagne'],,,,,,,
174,Galettes de légumes - Soy Pro - 150g,27057933,,150 g,['Soy Pro'],,,,,"['Belgique', 'France']","['Protéines de soja - et de blé - réhydratées', 'chapelure ', 'farine de froment', 'levure', 'sel', 'curcuma', 'paprika', 'huile de tournesol', 'eau', 'pâte à frire ', 'eau', 'farine de blé', 'sel', ""graisse en poudre [ protéines d'?uf de poule"", 'fécule de pomme de terre', 'graisse de palme', 'maltodextrine', 'épaissaissants ', 'carraghénanes', ']', 'assaisonnement ', 'extrait de levure', 'dextrose', 'sel', ""poudre d'oignon"", 'herbes et épices', 'arôme', 'amidon de blé', 'arôme', 'fibre de soja', 'vitamines ', 'riboflavine ', 'B2', 'B12', 'oxyde de zinc', 'pyrophosphate ferrique', ' BEREIDINGSWIJZE: verwarmen in']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,204,,854 kj(204 kcal),,10,,"1,1",,17,,"2,4",,"9,4",,"1,3",,"0,52",,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,['Bio'],,['Gluten'],['Huile de palme'],,,,,
175,Chewing-gum parfum fraise des bois - Hollywood - 20dragées,30034129,,20 dragées,['Hollywood'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,,,"['France', 'Nouvelle-Calédonie']","['Sucre', 'Gomme base', ' Sirop de glucose', 'Acidifiant ', 'Acide citrique', 'Gelatine', 'Arômes', 'Emulsifiant ', 'Lécithines de tournesol', ""Agent d'enrobage "", 'Cire de carnauba']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.4 g,en faible quantité,69 g,en quantité élevée,0.02 g,en faible quantité,?,,303,+80%,1268 kj(303 kcal),+81%,"0,5",+111%,"0,4",+201%,74,+16%,69,+1335%,"0,1",-39%,"0,02",-24%,"0,008",-24%,,,,,,,,,,,,"['E330 - Acide citrique', 'E428 - Gélatine', 'E322i - Lécithine', 'E903 - Cire de carnauba']",4,,['Entrepreneurs + Engagés'],,,,,,,,
176,Alsa Fondant tout Chocolat,3011360045706,,,['Alsa'],,,,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,32,,18,,42,,35,,"6,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
177,Pom'potes - Materne,3021761204084,,,['Materne'],,,,['Magasins U'],['France'],"['75,2 %', '20,0 %', 'sucre de canne**', 'arôme naturel', 'jus de citron ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique', ' Sans gluten']",[],,,,,,,,,?,,70,,293 kj(70 kcal),,"0,5",,"0,2",,15,,14,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,['E300 - Acide ascorbique'],4,,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'FR-BIO-10', 'Sans conservateurs']",,,,,,,,
178,Pois chiches - Gillet Contres,3022820008094,B,,['Gillet Contres'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,['Magasins U'],['France'],"['Pois chiches réhydratés', 'eau', 'sel de mer']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.7 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,?,,127,-33%,531 kj(127 kcal),-32%,"2,7",-11%,0,-100%,"16,1",-32%,0,-100%,"6,9",-32%,"0,6",+26%,"0,24",+26%,-6,,A,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,3,,,,,,,,,,
179,Les palets croustillants et fondants - salakis - 6,3023260031413,,6,['Salakis'],,,"['FR 88.115.001 CE', 'Corcieux (Vosges, France)']",['Magasins U'],['France'],[],[],,,,,,,,,?,,317,,1326 kj(317 kcal),,17,,10,,21,,"1,3",,12,,"1,7",,"0,68",,,,,,,,,,,,,,,['Produit'],,,,,,,,,
180,La Laitière Le grand pot mousse chocolat au lait - Nestlé - 170g,3023290170977,D,170g,"['Nestlé', 'La Laitière']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Mousses sucrées', 'Mousses au chocolat', 'Mousses lactées']",,"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,['France'],[],[],12.3 g,en quantité modérée,7 g,en quantité élevée,17.3 g,en quantité élevée,0.41 g,en quantité modérée,?,,216,+14%,904 kj(216 kcal),+18%,"12,3",+33%,7,+17%,"19,2",-2%,"17,3",-2%,"6,1",+50%,"0,41",+140%,"0,164",+140%,12,+31%,D,+31%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,,,
181,Yoothie cassis - Danone,3033491316685,,,['Danone'],,,,,['France'],"['Yaourt', 'lait', 'fruits', '16', '5%', ': cassis 13', '2%', 'myrtille 3', '3%', 'sucre de canne ', '6', '4%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,78,,326 kj(78 kcal),,"2,3",,"1,5",,"10,9",,"9,6",,"2,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,['Lait'],,,,,,
182,Saumon fumé - Labeyrie - 6tranches,3033610077961,E,6 tranches,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['Magasins U'],"['France', 'Kazakhstan', 'Luxembourg']",[],[],2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,2.85 g,en quantité élevée,?,,123,-8%,515 kj(123 kcal),-7%,"2,6",-30%,"0,6",-25%,"0,8",+62%,"0,8",+120%,24,+1%,"2,85",-3%,"1,14",-3%,11,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['Sous vide', 'Frais']","['Pêche durable', 'Pêche durable MSC']",['France'],['Poisson'],,,,,,
183,Confit d'oignons - Labeyrie,3033610092124,,,['Labeyrie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,['Magasins U'],"['Belgique', 'France']","['oignons ', '52%', 'sucre de canne', 'vin', 'vinaigre', 'sel', 'poivre']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",0.4 g,en faible quantité,0 g,en faible quantité,50.5 g,en quantité élevée,2.1 g,en quantité élevée,?,,219,+30%,916 kj(219 kcal),+30%,"0,4",-76%,0,-100%,"52,7",+51%,"50,5",+56%,"0,1",-90%,"2,1",+235%,"0,84",+235%,20,+203%,E,+203%,,,,,,,,,3,['Pot'],,,,,,,,,
184,Tomacoulis nature - Panzani,3038359006531,,,['Panzani'],,,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"0,2",,"0,1",,6,,"4,4",,"1,7",,"0,1",,"0,04",,,,,,,,,,,,,,,['Brique'],['Sans colorants'],,,,,,,,
185,Dos de Cabillaud - Delpierre - 325g,3038687064012,,325 g,['Delpierre'],"['Produits de la mer', 'Poissons']",,['MSC-C-54054'],,['France'],"['Cabillaud ', 'Gadus macrocephalus - pêché en Océan Pacifique Nord-Est avec lignes et hameçons', 'casiers et pièges', 'chaluts', ' Cabillaud labellisé MSC', ' 97%', 'citron 3%', ' \rContient: Poisson', ' \rTraces possibles de fruits à coque', 'lait']","['Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,329,-57%,80,-58%,329 kj(80 kcal),-59%,0,-100%,0,-100%,0,-100%,0,-100%,18,-2%,"0,2",-87%,"0,08",-87%,-5,-173%,A,-173%,,,,,,,,,1,"['Frais', 'Emballage sous skin', 'pasteurisation par haute pression à froid']","['Pêche durable', 'Pêche durable MSC']",['France'],['Poisson'],,,,,,
186,BLEDINA POTS FRUITS Pommes Pruneaux 4x130g Dès 4/6 Mois - 520g,3041090505942,,520 g,"['Bledina', 'Danone', 'Pots fruits']",,,"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",['Magasins U'],['France'],"['Pommes 79,0 % - Pruneaux 10,5 % - Eau - Vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,270,,64,,270 kj(64 kcal),,"0,1",,"0,089",,"14,2",,"11,5",,"0,4",,"0,007",,"0,003",,,,,,,,,,,,,,,,"['Sans gluten', 'Sans sucre ajouté']",,['Gluten'],,Purée de fruits adaptée à bébé.,,,,
187,BLEDINA BLEDINE Saveur Briochée 400g Dès 8 Mois - 400g,3041091340030,,400 g,"['Blédina', 'Bledine']",['Préparation pour bébé'],,,['Leclerc'],['France'],"['Farine 83,4 % ', 'Blé ', 'GLUTEN', 'Blé hydrolysé ', 'GLUTEN', ' - Sucre - Caramel - Arômes - Antioxydant : Acide ascorbique - Vitamine B1']",[],1.2 g,en faible quantité,0.2 g,en faible quantité,30.6 g,en quantité élevée,0.04 g,en faible quantité,1655,,390,,1655 kj(390 kcal),,"1,2",,"0,2",,"83,9",,"30,6",,"9,4",,"0,04",,"0,016",,3,,C,,,,,,,,,['E300 - Acide ascorbique'],4,['Carton'],,,['Gluten'],,"Préparation à base de céréales instantanées pour bébés, aromatisée.",,,,
188,Marmelade Oranges douces - Bonne Maman - 370g,3045320514483,A,370 g,['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",,,['Auchan'],['France'],"['sucre', 'oranges douces', 'jus de citrons concentré', 'gélifiant : pectine de fruits']",[],0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,241,+0%,1008 kj(241 kcal),-0%,"0,1",-41%,0,-100%,59,-0%,59,+4%,"0,4",+17%,0,-100%,0,-100%,12,-1%,D,-1%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,['E440 - Pectines'],4,"['Bocal', 'Verre']",['Nouveau'],,,,,,,,
189,Semoule Fine - Gruau d'Or - 500g,3051100190020,,500 g,"[""Gruau d'Or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales']","['France', 'Strasbourg']",,,['France'],['Semoule de Blé tendre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.9 g,en faible quantité,0.19 g,en faible quantité,0.7 g,en faible quantité,0.01 g,en faible quantité,1432,-5%,338,-2%,1432 kj(338 kcal),-2%,"0,9",-54%,"0,19",-45%,"70,5",+2%,"0,7",-70%,"10,1",-7%,"< 0,01",-92%,"0,004",-92%,-4,,A,,,,,,,,,,1,['Sachet'],,,,,,,,,
190,Volvic Sports Cap 1000 ML x 1,3057640136993,,,['Volvic'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,,,"['France', 'Espagne', 'Royaume-Uni']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,,['pet-bottle'],,,,,,,,,
191,Le saumon fumé - Delpeyrat,3067163630830,E,,['Delpeyrat'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,,,['France'],"['Saumon atlantique* ', 'Salmo salar', ' 97%', 'sel sec 3%', ""*Ingrédients d'origine agricole obtenu selon le mode de production biologique""]","['Non végétalien', 'Non végétarien']",12 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,?,,192,+1%,803 kj(192 kcal),+1%,12,+8%,"2,4",+12%,"0,5",+1%,0,-100%,22,-0%,3,+4%,"1,2",+4%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,3,,['Bio'],,,,,,,,
192,"Encas - Dés d'Abricots, de Figues & Raisins - Sun - 175g",3068230014973,,175 g,['Sun'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs', 'Produits sous license']",,,,['France'],"[""Cubes d'abricots secs 35 % "", 'abricots secs', 'farine de riz', 'conservateur : anhydride sulfureux', 'raisins Flame 3 5% ', 'raisins secs', ""agent d'enrobage: huile végétale "", 'tournesol', 'coton', 'cubes de figues séchées 30 % ', 'figues séchées', 'farine de riz']","[""Pourrait contenir de l'huile de palme""]",0.6 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.1 g,en faible quantité,?,,287,-25%,1201 kj(287 kcal),-24%,"0,6",-96%,0,-100%,68,+26%,53,+48%,"3,7",-15%,"0,1",-57%,"0,04",-57%,6,-61%,C,-61%,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,"['Carton', 'Plastique']","['Fabriqué en France', 'Contient des sulfites']",['France'],['Anhydride sulfureux et sulfites'],,"Mélange en proportion variable de fruits secs / Encas - Dés d'Abricots, de Figues & Raisins",,,,
193,La vache qui rit original,3073780779876,D,,"['La vache qui rit', 'The Laughing Cow', 'Fromageries Bel']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,"['France', 'Luxembourg']","['eau', 'fromages', 'beurre', 'creme', 'lactosérum en poudre', 'protéines de lait', 'sels de fonte: polyphosphates', 'concentré lactique laitier']",['Non végétalien'],29 g,en quantité élevée,19 g,en quantité élevée,4 g,en faible quantité,1.9 g,en quantité élevée,?,,313,-5%,1310 kj(313 kcal),-4%,29,+9%,19,+7%,4,+231%,4,+439%,"1,9",-91%,"1,9",+46%,"0,76",+46%,20,+46%,E,+46%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",4,,,,['Lait'],,,,,,
194,Berlingos' Astérix (Pomme) - St Mamet - 100g,3080920979997,A,100 g,['St Mamet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes allégées']",,,,['France'],"['Pomme 90% minimum', 'sucre liquide', 'antioxydant acide ascorbique', 'acidifiant acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,291,+5%,69,+5%,291 kj(69 kcal),+5%,0,-100%,0,-100%,16,+8%,16,+16%,0,-100%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['E300 - Acide ascorbique', 'E330 - Acide citrique']",3,"['Pots', 'Etui', 'Carton', 'Tetra Pak', 'BERLINGOT']","['Peu ou pas de sucre', 'Peu de sucre', 'Végétarien', 'Sans gluten', 'Allégé en sucre', 'Végétalien', 'Moins 30% de sucre', 'Sans colorants', 'Sans arômes ajoutés', 'Sans huile de palme', 'Sans conservateurs', 'Non-bio']",['Italie'],['Aucun'],,Compote de pomme allégée en sucres,,,,
195,Lentilles - Bonduelle,3083681087239,,,['Bonduelle'],,,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,99,,414 kj(99 kcal),,"0,4",,"0,1",,"13,3",,"0,5",,"8,1",,"0,6",,"0,24",,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,
196,Le Vieux Pané - offre €co - Fromageries Perreault - 200g,3090291117621,B,200g,"['Fromageries Perreault', 'Savencia', 'Le Vieux Pané']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie']",['France'],"['FR 53.152.001 CE', 'Meslay-du-Maine (Mayenne, France)', 'EMB 53152A', 'Meslay-du-Maine (Mayenne, France)']",,['France'],"['lait  de vache ', 'origine : France', 'sel', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",31 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,351,+19%,1469 kj(351 kcal),+19%,31,+29%,22,+30%,"0,5",-31%,"0,5",+30%,18,-2%,"1,4",-7%,"0,56",-7%,15,+4%,D,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,['Frais'],['Sans lactose'],,['Lait'],,Fromage à pâte molle à la crème de alit de vache pasteurisé,,,,
197,Fruit Shoot Multivitaminé - Teisseire - 8x20cl,3092718607760,,8x20cl,"['Teisseire', 'Fruit Shoot']","['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,['Magasins U'],['France'],"['Eau ', '82%', 'jus de fruits à base de concentrés 10% ', 'orange 6,2%', 'pêche 1,9%', 'abricot 1,8%', 'banane 0,1%', 'sucre', 'acidifiant : acide citrique', 'conservateurs : sorbate de potassium', 'dicarbonate de dimethyle', ""arôme naturel d'abricot avec autres arômes naturels"", 'stabilisant : pectine', 'vitamines ', 'niacine B3', 'B6', 'biotine B8', 'antioxydant : acide ascorbique']",[],0 g,en faible quantité,0 g,en faible quantité,5.9 g,en quantité modérée,0 g,en faible quantité,?,,25,-43%,105 kj(25 kcal),-47%,0,-100%,0,-100%,6,-31%,"5,9",-13%,0,-100%,0,-100%,0,-100%,8,+45%,D,+45%,,,,,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle', 'E440 - Pectines', 'E300 - Acide ascorbique']",4,"['Bouteille', 'Plastique']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Sans colorants']",['France'],,,Boisson rafraîchissante aux fruits avec vitamines,http://www.teisseire.fr/gammes/fruit-shoot.html,,,
198,Le Torchon Cuit au Bouillon - Fleury Michon - 150g + 75g = 225g (4 + 2Tranches offertes),3095756722013,D,150 g + 75 g = 225 g (4 + 2 Tranches offertes),['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons sans couenne']",['Espagne'],,['Géant Casino'],['France'],"['Jambon de porc', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'échalote', 'ail', 'épices', 'plantes aromatiques', 'sel', 'bouillon de légumes 1% ', 'eau', 'céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', 'dextrose de mais', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,112,-15%,469 kj(112 kcal),-14%,"2,8",-42%,1,-46%,"0,7",+5%,"0,7",+18%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,"['Plastique', 'Barquette', 'Sous atmosphère protectrice']",,,['Céleri'],,Jambon cuit au torchon et au bouillon de qualité supérieure,,,,
199,"Cocobat - Haribo - 1,680kg",3103220028926,E,"1,680 kg",['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,['France'],"['Sucre', ' sirop de sucre mélassé', ' sirop de glucose', ' farine de blé', ' amidon', ' graisse de palme', ' dextrose', ' extrait de réglisse', ' maltodextrine', ' lactose', ' protéines du lait', ' sel', ' gélatine', ' acidifiant: acide citrique', ' concentrés de fruits et de plantes: carthame', 'spiruline', ' sirop de sucre inverti', ' arôme', ' colorant: carmins', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba']","['Huile de palme', 'Non végétalien', 'Non végétarien']",3.9 g,en quantité modérée,1.8 g,en quantité modérée,52 g,en quantité élevée,0.99 g,en quantité modérée,?,,348,-2%,1456 kj(348 kcal),-3%,"3,9",+110%,"1,8",+70%,76,-9%,52,-10%,"2,3",+8%,"0,99",+718%,"0,396",+718%,19,+32%,E,+32%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E428 - Gélatine', 'E330 - Acide citrique', 'E120 - Acide carminique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",4,"['Boîte', 'Plastique']",['Colorants naturels'],,"['Gluten', 'Lait']",['Huile de palme'],Confiserie aromatisée à la réglisse,,,,
200,Dragibus - Haribo - 50g,3103220042625,E,50 g,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons dragéifiés']",,,,['France'],"['Sucre', ' sirop de glucose', ' amidon', ' acidifiants : acide citrique', 'acide malique', "" correcteurs d'acidite : citrate monosodique"", 'malate acide de sodium', ' arôme', ' colorants : curcumine', 'bleu patenté V', 'charbon végétal', 'carotènes végétaux', 'anthocyanes', "" agent d'enrobage : cire de carmaube""]","[""Pourrait contenir de l'huile de palme""]",0.5 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,0.05 g,en faible quantité,?,,371,-12%,1552 kj(371 kcal),-11%,"0,5",-96%,"0,1",-98%,92,+20%,58,+2%,"0,5",-84%,"0,05",-54%,"0,02",-54%,14,-27%,D,-27%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E330 - Acide citrique', 'E296 - Acide malique', 'E331i - Citrate monosodique', 'E350ii - Malate acide de sodium', 'E100 - Curcumine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E153 - Charbon végétal médicinal', 'E160aii - Carotènes végétaux', 'E163 - Anthocyanes']",4,,,,,,,,,,
