,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,origin_detail,producer_info,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,link,brand_owner
1589,Pavés au soja provençal - U - 2x 200g,3256225736485,,,2 x 200 g,"['U', 'U Bon & Végétarien']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']","['Point Vert', 'Sans colorants', 'Transformé en France', 'en:FSC-C113115', 'FSC EMBALLAGE']",,,['France'],,['Magasins U'],['France'],"['Eau', 'protéines de SOJA déshydratées 21%', 'purée de tomate double concentré 7%', 'huile de colza', 'poivrons jaunes 6%', 'poivrons rouges 6%', 'oignons préfrits ', 'oignons', 'huile de tournesol', 'sauce soja ', 'eau', 'SOJA', 'BLE et sel', 'ail 1%', 'vinaigre', 'basilic 0', '9%', 'épaississant: méthylcellulose', 'sel', 'thym', ' Produit fabriqué dans un atelier qui utilise du céleri', 'oeufs', 'poissons', 'lait', 'mollusques', 'crustacés et moutarde']",['E461 - Méthylcellulose'],,"['Gluten', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,6.9 g,en quantité modérée,0.5 g,en faible quantité,2 g,en faible quantité,1.2 g,en quantité modérée,642,-24%,154,-25%,642 kj(154 kcal),-24%,"6,9",-23%,"0,5",-66%,"3,6",-79%,2,-15%,16,+52%,"1,2",+14%,"0,48",+14%,-6,-4480%,A,-4480%,,,,,,,,"['Frais', 'Plastique', 'Carton']","['France', 'Hors France']",,
1590,SUPER Lait AMANDE - Biodyne - 1l,3258260034175,D,,1l,['Biodyne'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['Magasins U'],['France'],"['eau de source', ""amandes partiellement dégraissée 6% obtenues à partir de 10% d'amandes entières "", 'Sicile/Espagne', 'algue Lithothamnium calcareum 0,32%', 'épaississant : carraghénanes', 'extrait de vanille']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,[],4,3 g,en quantité modérée,0.27 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,?,,37,-3%,155 kj(37 kcal),-3%,3,+41%,"0,27",+9%,"0,5",-87%,"0,3",-89%,2,+132%,0,-100%,0,-100%,-1,-780%,A,-780%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,"['Brique cartonnée', 'brique']",,,
1591,"Galettes céréales riz, légumes, safran - Céréal",3259011033799,,,,['Céréal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,['France'],,['Leclerc'],['France'],"['Riz complet précuit', 'petits pois', 'flocons de pois chiches', 'huiles* végétales ', 'tournesol oléique* et tournesol', 'oignons', 'poivrons rouges* farine de riz*', 'sel de mer', 'ail', 'safran préparé avec 64,7 g de riz précuit', '33,7 g de légumes ', 'dont 11,6 9 de petits pois et 6,3 g de poivrons rouges', ' et 5,8 g de farine de riz pour une galette de 100 g', ""Ingrédients issus de l'agriculture biologique Fabriqué dans un atelier qui utilise du gluten"", 'des fruits à coque et du sésame,']",,,"['Fruits à coque', 'Graines de sésame']","['Végétalien', 'Végétarien']",3,8.8 g,en quantité modérée,1 g,en faible quantité,1.4 g,en faible quantité,1.1 g,en quantité modérée,?,,228,+11%,954 kj(228 kcal),+12%,"8,8",-1%,1,-32%,30,+78%,"1,4",-41%,"5,3",-50%,"1,1",+5%,"0,44",+5%,-1,-830%,A,-830%,,,,,,,,"['Film en plastique', 'Etui en carton']","['Union européenne', 'Non Union Européenne']",,
1592,Croc seitan pommes de terre emmental et oignons - Soy - 2 * 100g,3259011169375,,"Galette de pommes de terre, emmental et oignons",2 * 100 g,['Soy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']","['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,"['France', 'La Réunion']","['Seitan de blé* 35,2% ', 'eau', 'gluten de blé*', 'farine de blé*', 'sel de mer', 'riz* complet précuit', 'pommes de terre* 12,7%', 'poireaux*', 'emmental* 10,5%', 'oignons* 7,9%', 'huiles* végétales ', 'tournesol oléique* désodorisée et tournesol*', ""flocons d'avoine* complète"", 'farine de blé*', 'ail*', 'sel de mer', 'cumin*', 'poivre*', 'curcuma*', "" *Ingrédients issus de l'agriculture biologique""]",,,"['Gluten', 'Lait']",['Non végétalien'],4,9 g,en quantité modérée,2.8 g,en quantité modérée,2.2 g,en faible quantité,1.1 g,en quantité modérée,?,,219,+32%,916 kj(219 kcal),+32%,9,+74%,"2,8",+309%,19,+139%,"2,2",+104%,14,-29%,"1,1",-1%,"0,44",-1%,-1,-177%,A,-177%,,,,,,,,"['Carton', 'Plastique']",,,
1593,Pur Arabica Moulu biologique - Cafés Méo - 500g,3261342002108,E,,500 g,['Cafés Méo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'FR-BIO-01']",,,['France'],,"['Magasins U', 'Carrefour']","['France', 'États-Unis']",['Café moulu'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,"['Sachet', 'Plastique', 'Sachet en plastique']",,,
1594,Thon albacore à l'huile d'olive LE SAVOUREUX 80g - 80g,3263670034257,E,,80 g,['Le Savoureux'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,"[""Côte d'Ivoire""]",['120 PP'],"['SImply Market', 'Magasins U']",['France'],"['Thon Albacore', ""huile d'olive vierge extra"", 'sel']",,,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,17 g,en quantité modérée,2.7 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,1054,-1%,253,0%,1054 kj(253 kcal),+0%,17,-2%,"2,7",-11%,0,-100%,0,-100%,25,+5%,1,+2%,"0,4",+2%,4,-26%,C,-26%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,['Conserve'],,,
1595,Sardines aux échalotes de bretagne - Connétable - 135g,3263670126112,D,sardines aux échalotes,135 g,['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,"['Bretagne', 'France']",['04717'],['Leclerc'],['France'],"['Sardines 56%', ""huile d'olive vierge extra 25%"", 'échalotes de Bretagne 16%', ""vinaigre d'alcool"", 'sel']",,,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,34 g,en quantité élevée,5.4 g,en quantité élevée,1.1 g,en faible quantité,1 g,en quantité modérée,?,,375,+52%,1569 kj(375 kcal),+52%,34,+92%,"5,4",+41%,"3,7",+1053%,"1,1",+424%,13,-39%,1,+10%,"0,4",+10%,12,+113%,D,+113%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Conserve'],['Mer méditerranée'],,
1596,Lentilles Vertes du Puy - La Ponote - 500g e,3263820002006,A,Lentille verte du Puy,500 g e,['La Ponote'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']","['Point Vert', 'AOP']",,,['F-43320 LOUDES'],,['Bi1'],"['France', 'Suisse']",['Lentille verte'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.06 g,en faible quantité,0.16 g,en faible quantité,2.03 g,en faible quantité,0 g,en faible quantité,1435,,343,+17%,1435 kj(343 kcal),+18%,"1,06",-14%,"0,16",-29%,"29,58",-25%,"2,03",+57%,"25,8",+14%,0,-100%,0,-100%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Boîte', 'Carton', 'boîte']","['France', 'Auvergne', 'F-43320 LOUDES']",http://bit.ly/2l32kdr,
1597,Lait Demi-Écrémé - Leader Price - 1l.,3263855093697,D,Lait demi-écrémé stérilisé UHT,1 l.,"['Leader Price', 'DLP (Distribution Leader Price)', 'Groupe Casino']","['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']","['Point Vert', 'Garantie IPLC', 'Eco-Emballages', 'Elaboré en France']",,,"['Canelia Petit Fayt Beurre (Filiale Groupe Lactalis) - 49 Rue du Village - 59244 Petit-Fayt', 'Nord', 'Nord-Pas-de-Calais', 'Société Laitière de Rodez (Filiale Groupe Lactalis) - Rue de la Prade - ZI de Cantaranne - 12850 Onet-le-Château', 'Aveyron', 'Midi-Pyrénées', 'Société Laitière Montauban (Filiale Groupe Lactalis) - 25 Impasse de Maastricht - ZI Albasud - 82000 Montauban', 'Tarn-et-Garonne', 'Midi-Pyrénées', 'France']","['FR 59.461.030 CE', 'Petit-Fayt (Nord, France)', 'FR 12.176.057 CE', 'Onet-le-Château (Aveyron, France)', 'FR 82.121.103 CE', 'Montauban (Tarn-et-Garonne, France)']",['Leader Price'],['France'],['Lait demi-écrémé stérilisé UHT'],,,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1.55 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,55",-8%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-10%,"0,04",-10%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Bouteille', 'Bouchon', 'Plastique', 'Bouteille']",,,
1598,Cancoillotte Nature - 500g e,3265850000014,B,Cancoillotte nature,500 g e,['CANCOILLOTTE'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes', 'Fromages à tartiner']","['Point Vert', 'en:Lait-francais-french-milk']",,,['France'],"['FR 25.258.001 CE', 'Franois (Doubs, France)']",,['France'],"['Lait écrémé caillé ', 'origine : France', 'eau', 'beurre 10%', 'sel', 'sel de fonte : citrate de sodium']",['E331 - Citrates de sodium'],,['Lait'],"['Sans huile de palme', 'Non végétalien']",3,8 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,136,-11%,569 kj(136 kcal),-10%,8,-21%,5,-24%,"0,5",-28%,"0,5",+43%,"15,5",+7%,"1,3",-6%,"0,52",-6%,5,-36%,C,-36%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,"['Frais', 'Pot', 'Plastique', 'boîte']",['France'],,
