,name,bar_code,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,eco_score,ingredients_origins,link,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,producer_info,origin_detail
10,Jus D'aloe Vera a Boire (500 ML),3464660002496,,500 mL,,,,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,"0,2",,0,,"0,3",,0,,"0,2",,"0,02",,"0,008",,,,,,['Bio'],,,,,,,,,,,,,,
11,Tof Delice Caroube 150G,3464871455326,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,291,,1218 kj(291 kcal),,"18,5",,"2,1",,"26,1",,"11,9",,7,,"0,839",,"0,336",,,,,,,,,,,,,,,,,,,,
12,Pain Essene Blé/Amande - Gaia - 500g,3464872889038,Pain de céréales germées Blé et Amande bio,500 g,['sous vide'],['Gaia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Pains', 'Pains spéciaux']",['Graulhet (81)'],,['France'],"['blé germé* 91,9 %', 'amandes* 7,6 %', ""eau de fleurs d'oranger"", ""\r * ingrédients issus de l'agriculture biologique""]",,"['Gluten', 'Fruits à coque']",[],,6.6 g,en quantité modérée,0.6 g,en faible quantité,12 g,en quantité modérée,0.02 g,en faible quantité,?,,264,-9%,1105 kj(264 kcal),-9%,"6,6",+29%,"0,6",-33%,"45,1",-8%,12,+171%,"10,7",+15%,"0,02",-98%,"0,008",-98%,-5,-233%,A,-233%,"['Bio', 'Ecocert', 'Bio européen', 'FR-BIO-01']","[""l'eau vive""]",,,https://www.gaia-bio.fr//gamme-pain-de-cereales-germees/pains-de-cereales-germees-ble-amandes-500-g/,,,,,,,,,,
13,2X100G Essene Galette Raisins - Gaia,3464875070020,Galettes de céréales germées,,,['Gaia'],,,,['France'],"['blé germé* 37,5 %', 'seigle germé* 26,6 %', 'raisins secs* 13,3 %', ""flocons d'avoine*"", 'huile de tournesol*', 'sel marin']",,,[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,"11,8",,"1,23",,"52,8",,"19,3",,"5,9",,"0,3",,"0,12",,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,
14,Vinaigre de cidre bio - La Cigale Provençale - 50cl,3464930505252,,50 cl,,['La Cigale Provençale'],"['Vinaigres', 'Vinaigres de cidre']",,,['France'],"[""Vinaigre de cidre issu de pommes entières de l'agriculture biologique 100%""]",,,[],,0.02 g,en faible quantité,0.1 g,en faible quantité,0.19 g,en faible quantité,0 g,en faible quantité,?,,5,-67%,21 kj(5 kcal),-65%,"0,02",-81%,"< 0,1",+291%,"0,9",-40%,"0,19",-75%,"0,04",-73%,0,-100%,0,-100%,,,,,['Bio'],,B,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,
15,Griottes - Vivermont - 1kg,3465410001073,Griottes dénoyautées surgelées,1 kg,"['Sachet', 'Plastique', 'Surgelé']",['Vivermont'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits surgelés', 'Fruits rouges surgelés', 'Cerises surgelées']",,"['EMB 07215', 'Saint-Barthélemy-le-Meil (Ardèche, France)']",['France'],['Griottes dénoyautées'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.5 g,en faible quantité,14.4 g,en quantité élevée,0 g,en faible quantité,?,,86,+76%,360 kj(86 kcal),+83%,"0,5",+39%,"0,5",+674%,"18,5",+154%,"14,4",+121%,"1,2",+12%,0,-100%,0,-100%,-1,,A,,,['Hyper U'],,,,,,,,,,,,,
16,Graines à Germer Brocoli Bio - 150 G - Germline,3465511107155,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
17,Graines à Germer Roquette Bio - 100 G - Germline - 100g,3465511128105,,100g,,['Germline'],,,,"['France', 'Suisse']",['roquette'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
18,"Graines à germer alfalfa, radis, fenouil",3465511135998,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
19,Muesli de céréales germés chocolat caramel,3465511310999,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,392,,1640 kj(392 kcal),,"9,7",,"3,6",,63,,16,,"9,6",,"0,03",,"0,012",,,,,,['Bio'],,,,,,,,,,,,,,
