,name,bar_code,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,eco_score,ingredients_origins,link,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,producer_info,origin_detail
107,Spiruline bio -,3476500771202,,,,,"['Compléments alimentaires', 'Spiruline']",,,['France'],[],,,[],,6.32 g,en quantité modérée,2.93 g,en quantité modérée,0.1 g,en faible quantité,1.73 g,en quantité élevée,?,,388,+55%,1623 kj(388 kcal),+53%,"6,32",+73%,"2,93",+129%,"17,93",+74%,"0,1",-86%,"65,01",+31%,"1,73",+50%,"0,692",+50%,13,+166%,D,+166%,['Bio'],,E,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,
108,Klamath - 120 Comprimés - Flamant Vert,3476500881208,,,,['Flamant vert'],,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,"1,26",,,,,,,,,,,,,,,,,,,,,,,,
109,Mont d’or - Le Clocher Comtois,3476810000825,,,"['Frais', 'Bois']",['Le Clocher Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",,,['France'],['au lait cru'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,24 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,286,-3%,1197 kj(286 kcal),-3%,24,-3%,17,+2%,"0,5",+11%,"0,5",+28%,17,-4%,"1,5",+6%,"0,6",+6%,14,+1%,D,+1%,['AOP'],,C,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
110,Gaufre super flash - Antoinette Patisserie - 240g,3477690000035,,240 g,"['Film', 'Plastique']",['Antoinette Patisserie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",['SARL SEVY 69670 VAUGNERAY'],,['France'],"['Sucre', 'farine de blé', 'œufs', 'huile de colza', 'margarine ', 'Huiles et graisses végétales ', 'palme', 'colza ', ' en proportions variables', 'eau', 'émulsifiants : lécithines de soja', ""mono et di-glycérides d'acides gras"", 'sel', 'acidifiant : acide citrique', 'arôme naturel', 'colorant : caroténoïde', 'farine de soja', 'sucre inverti', 'stabilisant : sorbitol', 'sel', 'émulsifiant : lécithines de soja', 'amidon de blé', ""poudre à lever : carbonate acide d'ammonium"", 'arôme']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes', 'E420 - Sorbitol', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,21.6 g,en quantité élevée,4.1 g,en quantité modérée,32.5 g,en quantité élevée,0.53 g,en quantité modérée,1866,-1%,?,,1866 kj(446 kcal),-1%,"21,6",+1%,"4,1",-61%,"53,9",-6%,"32,5",+7%,"8,1",+35%,"0,53",-25%,"0,212",-25%,18,-17%,D,-17%,['HAUTE TRADITION'],,C,,,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,
111,Madeleines coquille aux oeufs frais - Antoinette Pâtisserie - 750g,3477690001148,,750 g,"['Sachet', 'Plastique']",['Antoinette Pâtisserie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,"['EMB 17283A', 'Pons (Charente-Maritime, France)']",['France'],"['Farine de blé 38,6 %', 'sucre', 'huile de colza', 'oeufs frais 14 %', 'sirop de glucose', 'stabilisant : sorbitols', 'sirop de sucre inverti', 'poudres à lever : diphosphates et carbonates de sodium ', 'amidon de blé', 'sel', 'arôme']","['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,18.6 g,en quantité modérée,1.7 g,en quantité modérée,30.4 g,en quantité élevée,0.97 g,en quantité modérée,1787,-4%,?,,1787 kj(427 kcal),-3%,"18,6",-18%,"1,7",-75%,"58,2",+10%,"30,4",+11%,"5,7",+0%,"0,97",+20%,"0,388",+20%,16,-13%,D,-13%,,['Carrefour Market'],B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,
112,Madeleine coquille aux oeufs - Antoinette Patisserie - 250g,3477690001155,,250 g,['Plastique'],['Antoinette Patisserie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],"['farine de blé 29% ', 'gluten', 'sucre 20%', 'oeufs 15%', 'huile de colza ', 'non ogm', ' 13%', 'sirop de glucose', 'poudre à lever ', 'amidon de froment', 'diphosphate disodique', 'carbonate acide de sodium', 'glycérine', 'dextrose', ""malt d'orge"", 'sucre inverti', 'émulsifiants : E202-E282', 'stabilisant : sorbitol', 'arôme']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E420 - Sorbitol']","['Œufs', 'Gluten']",['Non végétalien'],4,18.2 g,en quantité modérée,3.1 g,en quantité modérée,30.4 g,en quantité élevée,0.96 g,en quantité modérée,1781,-5%,424,-4%,1781 kj(424 kcal),-3%,"18,2",-20%,"3,1",-55%,59,+12%,"30,4",+11%,"5,6",-1%,"0,96",+19%,"0,384",+19%,18,-2%,D,-2%,,,B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,
113,Pain au Lait - Antoinette Pâtisserie - 350g e,3477690003371,,350 g e,"['Sachet', 'Plastique']","['Antoinette Pâtisserie', 'Sarl SEVY']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,['France'],"['Farine de blé', 'Sucre', 'Eau', 'Huiles et matières grasses végétales ', 'palme', 'colza', 'œufs entiers frais', 'Sirop de sucre inverti', 'Crème fraîche', 'Levure', 'Sel', 'Gluten de blé', 'Poudre de lait écrémé ', 'équivalent lait écrémé reconstitué 12', '5 %', 'Arôme naturel', 'Émulsifiants ', 'E471', 'E472e', 'E481', 'Protéines de lait', 'Arôme', 'Levure désactivée', 'Conservateur ', 'Propionate de calcium', 'Colorant ', 'Béta carotène']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E160ai - Bêta-carotène']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,7.8 g,en quantité modérée,3.6 g,en quantité modérée,13.5 g,en quantité élevée,1.3 g,en quantité modérée,?,,326,-7%,1364 kj(326 kcal),-7%,"7,8",-32%,"3,6",-14%,"55,8",+5%,"13,5",+2%,8,-7%,"1,3",+27%,"0,52",+27%,14,+5%,D,+5%,['Point Vert'],,C,,,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,
114,Macarons à la Noix de Coco - Antoinette Pâtisserie - 300g,3477690005221,,300 g,"['Sachet', 'Plastique']",['Antoinette Pâtisserie'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],"['Sucre de canne', 'farine de blé', 'noix de coco 18 %', ""blancs d'œufs"", 'sucre inverti', 'poudre à lever ', ""bicarbonate d'ammonium""]","[""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,6.8 g,en quantité modérée,5.8 g,en quantité élevée,46.1 g,en quantité élevée,0.12 g,en faible quantité,1553,-12%,368,-14%,1553 kj(368 kcal),-13%,"6,8",-62%,"5,8",+28%,"72,1",+30%,"46,1",-8%,"3,9",-54%,"< 0,12",-16%,"0,048",-16%,19,+8%,E,+8%,['Point Vert'],,D,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,
115,Gaufre Chocolat Fantasia - Antoinette Pâtisserie - 300g,3477690005252,,300 g,"['Plastique', 'Sachet']","['Antoinette Pâtisserie', 'SARL Sevy']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Pâtisseries', 'Gaufres', 'Gaufre chocolatée']",,,['France'],"['Farine de blé', 'margarine ', 'huile de palme et de colza', 'graisse de palme', 'eau', 'sel', 'émulsifiants : lécithine de soja E322', ""mono et diglycérides d'acides gras E471"", ' ', 'acidifiant acide citrique E330', 'acide lactique E270', 'colorant : bêta-carotène E160', 'arôme', 'vitamine A', 'vitamine D3', 'sucre', 'nappage cacao ', 'sucre', 'matière grasse vegétale ', 'palme', 'coco', ' cacao maigre en poudre', 'stabilisant : E492', 'émulsifiant : lécithine de soja', 'arôme naturel : vanille', 'œufs', 'farine de soja', 'sucre inverti', 'stabilisant : sorbitol', 'humectant : glycérol', ""agent levant : bicarbonate d'ammonium"", 'sel', 'émulsifiant : lécithine de soja arôme']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E270 - Acide lactique', 'E160ai - Bêta-carotène', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E422 - Glycérol', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,25.1 g,en quantité élevée,13.9 g,en quantité élevée,25.9 g,en quantité élevée,0.35 g,en quantité modérée,?,,457,-1%,1912 kj(457 kcal),-1%,"25,1",0%,"13,9",+4%,"51,7",-3%,"25,9",-10%,"6,2",+8%,"0,35",-40%,"0,14",-40%,21,-6%,E,-6%,,,D,,,79.6%,12.5%,3.3%,2.7%,1.8%,0.0%,49,['Huile de palme'],,
116,Madeleines coquille au sucré - Antoinette patisserie - 250g,3477690005580,Madeleines,250 g,['Plastique'],['Antoinette patisserie'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],"['sucre 30% farine de blé', 'œufs 15,5%', 'huile de colza 13 %', 'sirop de glucose', 'poudre a lever ', 'amidon de froment', 'diphosphate disodique', 'carbonate acide de sodium', 'glycérine', 'dextrose', ""malt d'orge"", 'sucre inverti', 'émulsifiants : E471 - E472e', 'conservateurs : E202-E282', 'sel', 'stabilisant : sorbitol', 'arôme', ' Contient : gluten ', 'blé', 'froment', 'orge', 'œufs', ' Traces éventuelles de lait', 'soja', 'fruits à coque']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E420 - Sorbitol']","['Œufs', 'Gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,16.5 g,en quantité modérée,2.8 g,en quantité modérée,37 g,en quantité élevée,0.94 g,en quantité modérée,1774,-5%,?,,1774 kj(424 kcal),-4%,"16,5",-28%,"2,8",-60%,63,+19%,37,+35%,"5,1",-10%,"0,94",+16%,"0,376",+16%,19,+3%,E,+3%,,['Carrefour Market'],B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,
117,Sablé fourré noix et miel -  - 60g,3478660050081,,60 g,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits sablés']",,,['France'],[],,,[],,21.3 g,en quantité élevée,9.7 g,en quantité élevée,34.5 g,en quantité élevée,0.16 g,en faible quantité,?,,461,-2%,1929 kj(461 kcal),-2%,"21,3",+11%,"9,7",+14%,"61,7",-8%,"34,5",+5%,"5,6",-4%,"0,16",-71%,"0,064",-71%,21,+6%,E,+6%,,,C,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,
118,SABLE FOURRE AUX MYRTILLES - Gâteau Dauphinois - 300g,3478660060158,,300 g,,['Gâteau Dauphinois'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits sablés']",,,['France'],"['SABLE 300G MYRTILLES CONCENTRE LAL FORAGE : ', 'YN', 'GLUCOSE', ': NATURELS']",,,[],4,11.9 g,en quantité modérée,7.9 g,en quantité élevée,35.2 g,en quantité élevée,0.22 g,en faible quantité,?,,381,-19%,1594 kj(381 kcal),-19%,"11,9",-38%,"7,9",-7%,"63,5",-5%,"35,2",+7%,4,-31%,"0,22",-60%,"0,088",-60%,18,-9%,D,-9%,,,C,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,
119,Sablés fourrés,3478660080118,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits sablés']",,,['France'],[],,,[],,10.6 g,en quantité modérée,7.23 g,en quantité élevée,28.9 g,en quantité élevée,0.34 g,en quantité modérée,?,,343,-27%,1435 kj(343 kcal),-27%,"10,63",-45%,"7,23",-15%,"57,11",-15%,"28,9",-12%,"4,2",-28%,"0,34",-39%,"0,136",-39%,18,-9%,D,-9%,"['Bio', 'Bio européen']",,C,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,
120,Sablés fourrés bio,3478660080187,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,18,,"12,3",,"54,5",,"23,4",,"5,21",,"0,34",,"0,136",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
121,Olives vertes  dénoyautées  nature - Mille et un sud - 200g,3478790019170,,200 g,,['Mille et un sud'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",,,['France'],[],,,[],,18.8 g,en quantité modérée,2.57 g,en quantité modérée,0 g,en faible quantité,3.63 g,en quantité élevée,?,,182,+13%,761 kj(182 kcal),+14%,"18,8",+19%,"2,57",+2%,0,-100%,0,-100%,"1,2",+11%,"3,63",+8%,"1,452",+8%,14,+21%,D,+21%,,,B,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,
122,Cocktail d'olives à la méridionale - Mille et un Sud - 400g,3478790020022,,400 g,,['Mille et un Sud'],,,,['France'],[],,,[],,,,,,,,,,?,,199,,833 kj(199 kcal),,20,,"3,1",,"0,6",,"0,6",,"1,9",,"2,7",,"1,08",,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
123,Olive à la Provençale,3478790020121,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,145,,607 kj(145 kcal),,"13,6",,"1,4",,3,,0,,"1,2",,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,
124,Huile Essentielle Orange Bio - Relaxante 15ML So'bio étic,3478820086424,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
125,Fourrés Chocolat-Jardin Bio - Carrefour Bio - 500g,3478820921145,,500 g,,['Carrefour Bio'],"['Boissons', 'Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",,,['France'],"['Œ', ' Este prep Sido fabricado en Burdeos ', 'Francia', ' por nuestro proveedor JOCK', 'especialista desde hace 4 generaciones en la elaboraciôn de productos en polvo', ' Nuestro proveedor selecciona para usted azücar de cana y cacao magro procedente de Américas Latina con el fin de dar a este preparado su calidad gustativa tan particu!ar', ' p Ingrédients / Ingredientes CD Sucre roux de canne • cacao fortement dégraissé• 32% minimum ', 'à de beurre de cacao', 'arôme naturel de vanille avec autres arômes naturels Peut contenir des traces de gluten', 'sqa', ' lait', "" œufs et fruits à coque • Ingrédients Issus de l'agriculture biologique et du commerce équitable "", '99,8% du pods total', ' @ Azùcar moreno de caha• cacao desgrasado• 32% mimmo ', 'con de manteca de cacao', 'aroma natural de vainilla con Otros aromas naturales', ' Puede contener trazas de gluten', 'soja', 'leche', 'huevo y frutos de cascara', ' • Ingredientes procedentes de la agricultura ecoldgica y del comercio justo dei peso total']",,['Gluten'],['Non végétalien'],4,21 g,en quantité élevée,7.8 g,en quantité élevée,26 g,en quantité élevée,0.8 g,en quantité élevée,?,,100,-79%,418 kj(100 kcal),-79%,21,+9%,"7,8",-8%,65,-3%,26,-21%,"6,6",+14%,"0,8",+44%,"0,32",+44%,29,+46%,E,+46%,"['Bio', 'Commerce équitable', 'Max Havelaar']",['Carrefour'],E,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,1,,,
126,Huile amande douce - Léa Nature,3478821111026,,,,['Léa Nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', ""Huiles d'amande""]",,,['France'],"[""Huile d'amande douce "", ' huile de tournesol ', ' antioxydant : tocophérols naturels ', ' arôme naturel']",['E307c - Tocophérol'],,"['Végétalien', 'Végétarien']",4,91.3 g,en quantité élevée,7.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,822,+12%,3439 kj(822 kcal),+12%,"91,3",+12%,"7,5",+6%,0,,0,,0,,0,,0,,10,+6%,C,+6%,"['Végétarien', 'Sans arômes artificiels', 'Végétalien', '100% végétal', 'Sans additifs', 'Sans additifs artificiels', 'Sans colorants']",,,,,,,,,,,,,,
127,Mélange detox - Jardin Bio - 25,3478825005086,,25,,"['Jardin Bio', 'Léa Nature']",,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,
128,Baguette de Tradition Française - Leclerc - 250g,3478920002003,Baguette de Tradition Française,250 g,"['Sachet', 'Papier']",['Leclerc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains de tradition française', 'Baguettes de tradition française']",['France'],,['France'],"['Farine de BLÉ ', 'farine de BLÉ', 'GLUTEN', 'amylases', 'eau', 'sel', 'levure']",['E1100 - Amylases'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Sans additifs', 'Non surgelé', 'Sans surgélation']",['Leclerc'],A,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,
129,Bulots sauvages cuits pasteurisés - Pavillon France - 500g,3478950805087,,500 g,"['Barquette', 'Plastique']",['Pavillon France'],"['Produits de la mer', 'Mollusques', 'Bulot']",['France'],"['FR 50.099.006 CE', 'Carentan (Manche, France)']",['France'],"['Bulots ', 'mollusques', 'sel']",,['Mollusques'],"['Non végétalien', 'Non végétarien']",3,0.8 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.8 g,en quantité modérée,439,+2%,?,,439 kj(105 kcal),+4%,"0,8",-8%,"0,3",+55%,"4,1",+37%,"3,7",+362%,20,-0%,"0,8",-24%,"0,32",-24%,-1,-574%,A,-574%,['Pêché au casier'],,,"['Atlantique Nord-Est', 'FAO 27', 'Manche', 'Mer Celtique']",,,,,,,,,,,
130,Bulots cuits nature - Mer et terroirs - 300g,3478950850124,,300 g,"['Barquette', 'Plastique']",['Mer et terroirs'],"['Produits de la mer', 'Mollusques', 'Bulot']","['Normandie', 'France']","['FR 50.099.006 CE', 'Carentan (Manche, France)']",['France'],"['Bulots ', 'Buccinum undatum', 'sel']",,['Bulots'],[],,0.8 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.8 g,en quantité modérée,439,+2%,?,,439 kj(105 kcal),+4%,"0,8",-8%,"0,3",+55%,"4,1",+37%,"3,7",+362%,20,-0%,"0,8",-24%,"0,32",-24%,-1,-574%,A,-574%,"['Sans additifs', 'Sans conservateurs', 'Pêché au casier', '100\xa0% Normandie']",['Simply Market'],,"['France', 'FAO 27', 'Manche', 'Mers Celtiques']",,,,,,,,,,,
131,olives noir a la grecque,3479370118221,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,389,,1628 kj(389 kcal),,"35,9",,"5,7",,"4,5",,"0,1",,"1,9",,8,,"3,2",,,,,,,,,,,,,,,,,,,,
132,Framboises - Confiture du Pays - 440g,3479391000208,Confiture de framboises,440 g,"['Bocal', 'Verre']",['Confiture du Pays'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']","['Haute-Savoie', 'France']","['EMB 74042', 'Bonneville (Haute-Savoie, France)']",['France'],['Pur fruits pur sucre'],,,[],,0.2 g,en faible quantité,0.01 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,?,,230,+3%,962 kj(230 kcal),+2%,"0,2",-26%,"0,01",-78%,"54,4",+2%,50,-3%,"0,46",-32%,0,-100%,0,-100%,11,+24%,D,+24%,['Fabriquée en Haute-Savoie'],,C,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,
133,Confiture de cassis de pays LOU FENERET - Confiture du Pays,3479391000505,,,,['Confiture du Pays'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
134,Œufs bio - LeClosMally,3479436320001,,,,['LeClosMally'],"[""Produits d'élevages"", 'Œufs', 'Œufs frais', 'Oeufs labellisés biologiques']",,,['France'],[],,,[],,9.76 g,en quantité modérée,2.9 g,en quantité modérée,0.3 g,en faible quantité,0.3 g,en quantité modérée,?,,141,+8%,590 kj(141 kcal),+7%,"9,76",+10%,"2,9",+24%,"0,8",+36%,"0,3",-42%,"12,4",+2%,"0,3",+13%,"0,12",+13%,-1,,A,,"['Bio', 'Bio européen']",,C,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,
135,Riz au lait au caramel - Teurgoule de Janville - 150g,3479570000067,Riz au lait au caramel,150 g,"['Pot', 'Film', 'Plastique']",['Teurgoule de Janville'],"['Desserts', 'Puddings', 'Riz au lait', 'Teurgoules']","['Normandie', 'France']","['FR 14.149.001 CE', 'Cesny-aux-Vignes (Calvados, France)']",['France'],"['lait entier', 'sucre', 'riz', 'caramel', 'sel']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3.7 g,en quantité modérée,2.36 g,en quantité modérée,13 g,en quantité élevée,0.09 g,en faible quantité,?,,135.5,+2%,567 kj(135 kcal),+2%,"3,7",+0%,"2,36",+3%,"25,9",+17%,13,-8%,"3,7",-1%,"0,09",-2%,"0,036",-2%,3,-9%,C,-9%,"['Sans colorants', 'Sans conservateurs', 'Produit-en-gourmandie']",['Magasins U'],B,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,
136,La Teurgoule la Vraie de Vrai - Teurgoule de Janville - 750g,3479571400040,Riz au lait à la cannelle cuit au four 6 heures,750 g,"['Pot', 'Verre']",['Teurgoule de Janville'],"['Desserts', 'Puddings', 'Riz au lait', 'Teurgoules']",,"['FR 14.149.001 CE', 'Cesny-aux-Vignes (Calvados, France)']",['France'],"['Lait', 'sucre', 'riz', 'cannelle', 'sel']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,4.47 g,en quantité modérée,2.36 g,en quantité modérée,16.5 g,en quantité élevée,0.056 g,en faible quantité,?,,136,+2%,569 kj(136 kcal),+2%,"4,47",+21%,"2,36",+3%,22,-0%,"16,5",+17%,"3,7",-1%,"0,056",-39%,"0,022",-39%,4,+22%,C,+22%,"['Sans colorants', 'Sans conservateurs']",,A,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,
137,Pate De Piment Prune De Cythere,3479701901027,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,208,,870 kj(208 kcal),,"19,6",,"2,3",,"5,8",,"0,1",,"1,1",,"6,3",,"2,52",,,,,,,,,,,,,,,,,,,,
138,Caprice des Anges - Caprice des Dieux - 200g,3480340000057,Fromage Frais Nature de France,200 g,"['Barquette', 'Plastique']","['Caprice des Dieux', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés']",['France'],"['FR 01.179.001 CE', 'Grièges (Ain, France)']",['France'],"['Lait de vache pasteurisé de France', 'crème', 'sel', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,24 g,en quantité élevée,17 g,en quantité élevée,2.5 g,en faible quantité,1.2 g,en quantité modérée,1015,-22%,246,-21%,1015 kj(246 kcal),-23%,24,-8%,17,-4%,"2,5",+127%,"2,5",+229%,5,-73%,"1,2",-17%,"0,48",-17%,15,+5%,D,+5%,"['en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]",['Carrefour'],B,['France'],,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
