,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,allergens,nova_score,packaging,additives,ingredients_origins,manufacturing,markets,brand_owner,origin_detail,producer_info,link,generic_name,palm_ingredients
62,Calissons d'Aix - Confiserie du Roy René - 235g,3102621012701,['France'],"['Fruits confits 41% ', 'fruits 54% ', 'melon 96%', "" écorces d'oranges et de citrons"", 'sirop de glucose-fructose', 'sucre', 'amandes 30% ', ""dont 50% d'amandes de Provence"", 'sucre', ""blanc d'euf"", 'sirop de glucose', 'sirop de suCre inverti', 'pain azyme ', 'fécule de pomme de terre', 'huile de tournesol', 'arômes nalurels', ""extrait d'amande amère"", "" Peut contenir des traces d'autres fruits à coque""]",[],?,440,1841 kj(440 kcal),18,"1,6",60,60,"7,4","0,02","0,008",B,235 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",,,-2%,+1%,-3%,-3%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,['Confiserie du Roy René'],18 g,en quantité modérée,1.6 g,en quantité modérée,60 g,en quantité élevée,0.02 g,en faible quantité,-2%,-8%,+20%,-41%,-41%,10,-31%,C,-31%,,['Fruits à coque'],4,,,,,,,,,,,
63,Épices de Noël - Les jardins de Gaïa - 35g,58701171,['France'],"['Cannelle*', 'gingembre""', 'coriandre*', 'anis*', 'cardamome“', 'girofle""', "" *Issu de l'agriculture biologique"", ' Ingredients: cinnamon*', 'ginger*', 'corian - der*', 'anise*', 'cardamom*', 'cloves*', ' *From organic farming']",[],?,?,,?,,?,,?,,,,35 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,['Les jardins de Gaïa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Torunskie,5900056010822,['France'],[],[],?,371,1552 kj(371 kcal),"1,2","0,3",82,45,"6,3","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chevre au lait cru,3508530000172,['France'],[],[],?,198,828 kj(198 kcal),15,15,"2,8","2,5",12,"0,3","0,12",,,,"['FR 17.466.001 CE', 'Vérines (Charente-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Biscotti di farro,8000972000130,['France'],[],[],?,300,1255 kj(300 kcal),17,"7,4",65,29,10,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Farina consigliata pe creme e torte,8005121004199,['France'],[],[],?,339,1418 kj(339 kcal),1,"0,2",74,"2,4","8,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cuisses de canard a l’orange,3309066105061,['France'],[],[],?,113,473 kj(113 kcal),"4,7","1,4",6,"5,6","11,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Vinaigre balsamique saveur figue,3760194203843,['France'],[],[],?,129.3,541 kj(129 kcal),"0,1","0,1",27,"23,3",1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Borsch,4260168540787,['France'],[],[],?,108,452 kj(108 kcal),5,0,12,6,"2,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,00990200,00990200,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
