,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,allergens,nova_score,packaging,additives,ingredients_origins,manufacturing,markets,brand_owner,origin_detail,producer_info,link,generic_name,palm_ingredients
92,Tapenade verte,10000519,['France'],[],[],?,?,,?,0,?,0,?,,,C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,,,,,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,
93,foie gras de canard entier aux épices de noël,3113010147331,['France'],[],[],?,552.3,2311 kj(552 kcal),"56,3","23,9","3,9","2,3","7,5","1,32","0,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,La crème forestière,2470746016920,['France'],[],[],?,1284,5372 kj(1284 kcal),29,12,2,0,10,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Riz légumes secs,3270491011008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Gogo squeez,3021761207207,['France'],[],[],?,63,264 kj(63 kcal),"0,5","0,2",13,12,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Iams Delights Avec Poulet En Sauce Pour Chatons,8710255100173,['France'],[],[],?,0,0 kj(0 kcal),"4,1",0,0,0,"8,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Dzika Róża,5900397736603,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Baguette tradition 3+1,0206980016738,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Tasty Whey,4250519601175,['France'],[],[],?,387,1619 kj(387 kcal),7,"2,7",7,"3,5",74,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Noisettes entières décortiquées,3700066105240,['France'],[],[],?,683,2858 kj(683 kcal),63,"5,2","5,6","3,3","19,3","2,49","0,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Animonda Carny Adult Cocktail Multi-viandes,4017721837286,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Fromage blanc nature 0%,3412290019063,['France'],[],[],?,48,201 kj(48 kcal),"0,1","0,1","4,5","4,5","7,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Six de savoie,3073781121384,['France'],"['Lait écrémé réhydraté ', 'origine: France', 'fromages', 'beurre', 'crème ', 'origine: France', 'protéines de lait', 'concentré des minéraux de lait', 'sels de fonte: polyphosphates', 'concentré lactique laitier', 'vitamine D']",['Non végétalien'],1266,306,1266 kj(306 kcal),28,19,3,3,"10,5","1,5","0,6",C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages fondus']","['FR 39.198.001 CE', 'Dole (Jura, France)']",+19%,+20%,+39%,-45%,-10%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,"['Six de Savoie', 'Bel']",28 g,en quantité élevée,19 g,en quantité élevée,3 g,en faible quantité,1.5 g,en quantité modérée,+19%,+42%,-25%,-25%,-25%,14,-10%,D,-10%,,['Lait'],4,['Frais'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,,,,,,,
105,Apfelschorle,4010976381863,['France'],[],[],?,26,109 kj(26 kcal),0,0,6,"5,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chateau Bataillet,3249990018177,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Green curry kit,8851613005829,['France'],[],[],?,179,749 kj(179 kcal),15,13,"7,3",4,"2,8","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Farina di mais bramata gialla,8018211501010,['France'],[],[],?,350,1464 kj(350 kcal),"1,3","0,2","76,1","0,5","8,5","0,1","0,04",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de maïs']",,,-1%,-24%,+0%,+41%,70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,,1.3 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-1%,-25%,-34%,+33%,+33%,-1,-222%,A,-222%,,,,,,,,,,,,,,
109,PisellinIGPrimavera,8051084007319,['France'],[],[],?,96,402 kj(96 kcal),"1,5","0,3","11,3","2,3","6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Biere Castel,9501100002174,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Oeufs,3413310300307,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Pe patate fritte e arrosto con sale iodato,8006390010799,['France'],[],[],?,179,749 kj(179 kcal),"1,03","0,32","7,01","1,69","1,3",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,tous mes amis,3564700706695,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Fruit des bois,5411683221067,['France'],[],[],?,35,146 kj(35 kcal),"0,5",0,"5,3","5,3",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Fraises Clery,3700356712073,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Olive verte farcies anchois,3490862282169,['France'],[],[],?,159,665 kj(159 kcal),14,"9,3",25,"0,5",24,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Farine grand épeautre,3760274682049,['France'],[],[],?,0,0 kj(0 kcal),"1,6","0,4","61,8",2,"11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Klare Gemüsebrühe (sana Essence Mit Hefe),4260110840415,['France'],[],[],?,3,13 kj(3 kcal),"0,1",0,"0,07",0,"0,3",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cocktail 4 fruits au sirop léger,3257986513285,['France'],[],[],?,66,276 kj(66 kcal),"0,5","0,1",15,15,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Caca,3270190333647,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Butternut,3701350800063,['France'],[],[],?,251,1050 kj(251 kcal),7,2,69,7,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Le Comptoir D'herboristerie Camomille Romaine Bio 20G,3481899001533,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sale Marino Fino Gemma Con Spargitore,3183280006423,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Natillas sabor coco,8723900929500,['France'],[],[],?,133,556 kj(133 kcal),"4,4","2,9","19,2","16,1","3,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Matithor Knoblauch Toscana-art,22240323,['France'],[],[],?,100,418 kj(100 kcal),3,"0,2","11,5","8,9","3,9","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Tadıbu,8690585810068,['France'],[],[],?,553,2314 kj(553 kcal),37,"3,83","36,3",36,"15,8","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Velouté de légumes,3263851062062,['France'],[],[],?,43,180 kj(43 kcal),"1,7","0,6","5,6","1,9",1,"0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Whiskas Junior Bar.Csir.Szar.300G 14,5900951014079,['France'],[],[],?,40,167 kj(40 kcal),"52,667",0,"17,333","0,133","11,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Foie de lotte aux epices,3760012695638,['France'],[],[],?,310,1297 kj(310 kcal),"38,7","3,9","3,9","0,2","10,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
