,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
1798,Bonbons caramel saveur speculoos - 100g,3629109000239,['France'],[],[],?,394,1648 kj(394 kcal),"7,8","4,4","80,6","53,9","0,5","0,33","0,132",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Tourtel Twist,0086846043807,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,7","5,1","0,4","0,01","0,004",,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Tourtel Twist,0086846043807,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,7","5,1","0,4","0,01","0,004",,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Beignet Chocalat - Noisette - 900g,0209148023944,['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,900 g,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Pain de mie - Leclerc,0202465008861,['France'],[],[],?,158,661 kj(158 kcal),"8,1","4,9",15,"5,4","4,7","1,2","0,48",B,,['Leclerc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,8.1 g,en quantité modérée,4.9 g,en quantité modérée,5.4 g,en quantité modérée,1.2 g,en quantité modérée,,-41%,-41%,+81%,+656%,-67%,+4%,-44%,+5%,+5%,11,+659%,D,+659%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,
1803,Comté AOP au lait cru,2200974028828,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,0,27,"0,76","0,304",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1804,biscuit pepites chocolat,0202864008202,['France'],[],[],?,463,1937 kj(463 kcal),20,"6,4",64,40,"6,1","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Roule roule aromes fruits - 250g,3352750600021,['France'],[],[],?,4,17 kj(4 kcal),0,0,93,74,0,0,0,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']",,,,,,,,
1806,Lentilles,9549456043953,['France'],[],[],?,81,339 kj(81 kcal),"0,2",0,11,"0,3",6,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Jambon de Bayonne igp - 85g,3367824927508,['France'],[],[],?,222,929 kj(222 kcal),12,"4,4",0,0,"28,4","3,88","1,552",E,85 g,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne']","['Viande Française', 'Viande Porcine Française']",,12 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,3.88 g,en quantité élevée,,-9%,-10%,-14%,-26%,-100%,-100%,-3%,-19%,-19%,16,-11%,D,-11%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,,,,,
1808,Poulet Rôti,0212340052414,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Sparkling raspberry water,5029212001389,['France'],[],[],?,8,33 kj(8 kcal),"0,1",0,"1,8","1,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Chocola au lait,4043651159464,['France'],[],[],?,543,2272 kj(543 kcal),"31,9",20,"55,6","54,9","7,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Saucisse porc bio sv congele vpf,3307101000005,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Wasabi peanuts,5034975064090,['France'],[],[],?,448,1874 kj(448 kcal),18,8,57,10,"13,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Quinoa noir,5400910106536,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'BG-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Pate à tartiner,3574314203060,['France'],[],['Sans huile de palme'],?,548,2293 kj(548 kcal),30,"5,6",62,52,"5,4","0,06","0,024",,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
