,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,markets,manufacturing,generic_name,additives,link,origin_detail
1170,concentré coco nourrissant - SoBio - 125ml,3517360021127,,['France'],"['Aqua/Water/Eau', 'Dicaprylyl Carbonate', 'Cocos Nucifera ', 'Coconut', ' Fruit Juice**', 'Anthemis Nobilis Flower Water*', 'Cocos Nucifera Coconut', ' Oil**', 'Polyglyceryl-3 Pentaricinoleate', 'Glycerin', 'Helianthus amuus ', 'Sunflower', ' Seed Oil', 'Propanediol', 'Pentylene Glycol', 'Xanthan Gum', 'Benzyl Alcohoi', 'Lauroyl Lysine', 'Sodium Stearoyl Glutamate', 'entonite', 'Parfum ', 'Fragrance', 'Polyglyceryl-3 Ricinoleate', 'Cocos Nucifero Ooconut', ' Flower Extract**', 'Sodium Lauryl Glucose Carboxylate', 'Lauy Gucoside', 'Phytic Acid', 'Sodium Chloride', 'Citric Acid', 'Tocopherol', 'Sodium Buinate', 'Sodium Benzoate', 'Lecithin', 'Lactic Acid', 'Sorbic Acid', 'Zinc Poa', 'Orondrus Crispus Powder', 'Acacia Senegal Gum', 'Levulinic Acid', 'Glycine ap', 'Soybean', ' Oil', 'Sodium Hydroxide', 'Linalool', 'Limonene', ' ahier des charges des cosmétiques biologiques', "" ngédients issus de l'agriculture biologique"", ' rgredients from organic farming', "" rplus d'informations sur la composition de votre soin Tendez-vous sur www"", 'sobio-etic', 'com MOS ORGANIC certifié par ECOCERT Greenlife wn le réferentiel COSMOS disponible sur loomos', 'ecocert', ""com ECO CERT %ou lotol est d'origine naturelle"", ' 0% 0u totol des ingrédients sont issus wtouture blologique', ' ', 'ostont sert à la bonne wation du produit', ' COSMOS ORGANIC CT/1127/A 6M']",[],?,?,?,?,?,,,,,,['SoBio'],['Organic cosmetic'],,['Crème hydratante'],,,,,,,,,,,,,,,,,,,,,,125ml,['Plastique'],['Soja'],4,,,,,,,,,,['Leclerc'],,,"['E422 - Glycérol', 'E415 - Gomme xanthane', 'E391 - Acide phytique', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E270 - Acide lactique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E640i - Glycine']",http://www.sobio-etic.com,
1171,Foie d'agneau,2666789012146,,['France'],[],[],?,138,"5,5","0,5",22,577 kj(138 kcal),"1,5","0,5","0,14","0,056",,,E,"['Viandes', ""Viandes d'agneau"", ""Foie d'agneau""]",5.5 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,,-8%,-8%,-22%,-45%,-62%,-28%,+16%,98.2%,0.2%,0.7%,0.6%,0.4%,0.1%,6,,,,,0.14 g,en faible quantité,-86%,-86%,-3,-207%,A,-207%,,,,,,,
1172,Miel de fleurs - histoire d'abeille - 500g,3760151280016,['LOT MT2003'],['France'],[],[],?,?,?,?,?,,,,,,"[""histoire d'abeille""]",,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500g,['Verre'],,,,,,,,,,,['France'],,['bouin plumoison'],,,,
1173,Le sablé BIO au chocolat noir,3760253291323,,['France'],[],[],?,530,33,51,"6,7",2218 kj(530 kcal),22,21,"0,85","0,34",,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Le sablé BIO au chocolat au lait,3760253291316,,['France'],[],[],?,530,32,55,"6,3",2218 kj(530 kcal),21,26,"0,89","0,356",,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,El veggie toffee,2004060025544,,['France'],[],[],?,293,"6,3","88,1","1,66",1226 kj(293 kcal),0,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Spare rib bbq sauce,4027400653380,,['France'],[],[],?,172,"0,4","39,2","1,3",720 kj(172 kcal),"0,1","32,2","2,7","1,08",,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0.4 g,en faible quantité,0.1 g,en faible quantité,32.2 g,en quantité élevée,,+10%,+9%,-58%,-26%,+26%,+23%,+45%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,2.7 g,en quantité élevée,+34%,+34%,19,+31%,E,+31%,,,,,,,
1177,Jesuite aux amandes,0260142019685,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Amende en poudre - 125g,3560071316792,,['France'],[],[],?,637,54,"5,9",26,2665 kj(637 kcal),"4,4","4,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,,,,,,
1179,Mini suisse chocolat par 8,3602826450662,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Cappuccino,06508777,,['France'],[],[],?,1,0,"0,3","0,2",4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Cuillers à patisserie - Marque repère - 300g,9102100472570,,['France'],"['Sucre', 'farine de blé', 'eufs frais 32%', 'sirop de sucre inverti', 'poudre de lait écrémé', 'sel', 'arôme', 'acidifiant : E336', ""blancs d'eufs en poudre "", 'dont agent moussant : E1505', 'épaississant : gomme xanthane']",['Non végétalien'],?,358,"2,9",74,"8,3",1498 kj(358 kcal),"0,9",44,"0,45","0,18","['Marque repère', ""P'tit Déli""]","['Nutriscore', 'Nutriscore D']",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",2.9 g,en faible quantité,0.9 g,en faible quantité,44 g,en quantité élevée,,-5%,-6%,-23%,-20%,-5%,-10%,+9%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,300 g,,['Gluten'],4,0.45 g,en quantité modérée,+108%,+108%,13,-10%,D,-10%,,['Leclerc'],,,"['E336 - Tartrates de potassium', 'E1505 - Citrate de triéthyle', 'E415 - Gomme xanthane']",,
1182,Bonbons aufiie gras,3760013129637,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Les palets bretons,3260260047048,,['France'],[],[],?,488,24,60,"7,2",2042 kj(488 kcal),16,25,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Il tuo latte fresco alta qualità,8007919000062,,['France'],[],[],?,?,?,?,?,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Coconut balls,8681917250157,,['France'],[],[],?,352,"8,3",61,"2,1",1473 kj(352 kcal),"1,1","60,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Chicorée café soluble Destination bio,3700110050717,,['France'],[],[],?,30.4,"0,3",48,11,127 kj(30 kcal),"0,3","6,4","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Coulommiers au lait cru,0210876024530,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['France'],[],[],?,284,22,"0,5",21,1188 kj(284 kcal),15,"0,5","1,7","0,68",,['Point Vert'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers']",22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,,+2%,+2%,-1%,-3%,-2%,+92%,+11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Film en plastique'],,,1.7 g,en quantité élevée,+14%,+14%,15,+6%,D,+6%,,,,,,,
1188,Snack bowl,3770018302003,,['France'],[],[],?,117,"5,9","9,1","5,2",490 kj(117 kcal),"1,6","1,6","0,1","0,04",,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Beurre de cacahuete,5903714931118,,['France'],[],[],?,549,"40,6","19,2",23,2297 kj(549 kcal),"5,6","12,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Snack bowl poivrons,3770018302010,,['France'],[],[],?,114,"5,7","9,9","4,4",477 kj(114 kcal),"1,5","1,9","0,1","0,04",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
