,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,link,markets,additives,allergens,nova_score,palm_ingredients,origin_detail,producer_info,brand_owner
415,Fette biscottate integrali - Gentilini - 175g,8007465141110,B,175 g,['Gentilini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:rusk']","['Fabriqué en Italie', 'Sans conservateurs', 'en:palm-oil-free']",,"['France', 'Italie']",[],['Sans huile de palme'],8 g,en quantité modérée,1 g,en faible quantité,6.3 g,en quantité modérée,1.23 g,en quantité modérée,?,,390,-1%,1632 kj(390 kcal),-1%,8,+18%,1,-61%,"64,7",-6%,"6,3",+8%,"11,5",+2%,"1,23",-5%,"0,492",-5%,0,-100%,B,-100%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,"['Plastica', 'Carta']",,,,,,,,,,,
416,Gnocchi sans gluten - Schär - 300gr,8008698004586,B,300 gr,['Schär'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",['Sans lactose'],,"['France', 'Pays-Bas']","['flocons de pomme de terre réhydratés 85% ', 'eau', 'pomme de terre', ""émulsifiant: mono et diglycérides d'acides gras"", ' stabilisant: diphosphate disodique', "" antioxydant: palmitate d'ascorbyle"", 'l farine de riz', 'fécule de pomme de terre', 'sel', ""correcteur d'acidité"", ' acide lactique', ' conservateur: acide sorbique', ' SANS LACTOSE']",[],0 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,1.01 g,en quantité modérée,?,,162,-3%,678 kj(162 kcal),-3%,0,-100%,0,-100%,36,+9%,"0,9",-25%,"3,1",-26%,"1,01",-11%,"0,404",-11%,3,-16%,C,-16%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,['Product'],,,,,,['Lait'],,,,,
417,Nutella - Ferrero - 825g,80051428,D,825 g,"['Ferrero', 'Nutella']","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Huile de palme durable', 'Fabriqué en Allemagne', 'Fabriqué en Italie', 'RSPO']",,"['Belgique', 'France', 'Sénégal', 'Suisse']","['sucre', 'huile végétale', 'noisettes ', '13%', 'cacao maigre ', '7,4%', 'lait écrémé en poudre ', '6', '6%', 'lactosérum en poudre', 'émulsifiants lécithines ', 'soja', 'vanilline']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",31.6 g,en quantité élevée,10.9 g,en quantité élevée,56.7 g,en quantité élevée,0.094 g,en faible quantité,2278,+0%,544,-1%,2278 kj(544 kcal),-1%,"31,6",-7%,"10,9",+42%,"57,3",+11%,"56,7",+19%,6,-12%,"0,094",-9%,"0,038",-9%,23,+11%,E,+11%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,Pâte chocolatée à tartiner,"['Bocal', 'Bocal', 'Pot', 'couvercle en plastique', 'opercule aluminium', 'pot en verre']",,,http://www.ferrero.fr/nutella,,['E322 - Lécithines'],"['Lait', 'Fruits à coque', 'Soja']",4,,,,
418,Lemon plus - Euro Food - 50cl,8016438001078,D,50 cl,['Euro Food'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,['France'],"['Jus de citron', 'conservateur E224']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,?,,28,+4%,117 kj(28 kcal),+4%,"0,1",-30%,0,-100%,"6,5",+82%,"1,7",+2%,"0,4",+19%,0,-100%,0,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bouteille', 'Plastique', 'Bottle']",,['Italie'],,['Magasins U'],"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,3,,,,
419,Bonbons tic tac goûts orange-citron vert - Ferrero - 18g (18g),80310839,E,18 g (18 g),"['Ferrero', 'TIC TAC']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['France'],"['Sucre', 'maltodextrine', 'acidifiant ', 'acide tartrique', 'amidon de riz', 'épaississant ', 'gomme arabique', 'arômes', 'jus de citron en poudre', 'colorants ', 'E 160a', 'E141', 'E 100', 'E120', 'antioxygène ', 'acide ascorbique', ""agent d'enrobage "", 'cire de carnauba']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",0.4 g,en faible quantité,0.4 g,en faible quantité,91.4 g,en quantité élevée,0.01 g,en faible quantité,1640,+6%,386,+8%,1640 kj(386 kcal),+9%,"0,4",-78%,"0,4",-62%,95,+14%,"91,4",+58%,"0,1",-95%,"0,01",-92%,"0,004",-92%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,TIC TAC CITRON/ORANGE : Pastilles goûts citron vert et orange,"['Point vert', 'Boite plastique à recycler', 'blister']",,,,,"['E334 - Acide L-tartrique', ""E414 - Gomme d'acacia"", 'E160a - Carotènes mélangés', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine', 'E120 - Acide carminique', 'E300 - Acide ascorbique', 'E903 - Cire de carnauba']",,4,,,,
420,PizzDiavola - L'italie Des Pizzas - 550g,8059070740806,,550 g,"[""L'italie Des Pizzas""]","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Point Vert', 'Triman']",,['France'],"['farine de BLÉ tendre type ""00\'""', 'MOZZARELLA de vache 27%', 'eau', 'saucissons piquants 11', '5% [viande de porc 94 % ', '10', '81 % sur produit fini', ' ', 'origine: UE', 'sel', 'arômes naturels', 'dextrose', 'arôme fumée', 'arômes', 'antioxydant: E301', 'conservateurs:E250-E252]', 'olives noires dénoyautées 10', '5%', 'sauce tomate 6% ', 'pulpe de tomate', 'sel', 'origan', ""huile d'olive vierge extra"", ""correcteur d'acidité: E330"", 'semoule de BLE dur', ""huile d'olive vierge extra"", 'sel de mer fin', 'émulsifiants: E471-E481-lécithine de tournesol', 'MALT', 'levure', 'conservateur: E200', "" Allergènes présents dans ľ'usine :GLUTEN,OEUFS"", 'POISSONS', 'SOJA', 'LAIT', 'FRUITS À COQUES']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",6 g,en quantité modérée,3.4 g,en quantité modérée,1 g,en faible quantité,2.5 g,en quantité élevée,1023,+7%,242,+6%,1023 kj(242 kcal),+7%,6,-28%,"3,4",-13%,34,+26%,1,-66%,13,+26%,"2,5",+100%,1,+100%,14,+80%,D,+80%,,,,,,,,"Pizza base tomate garnie de mozzarella, saucisson piquant et olives noires","['Réfrigéré', 'Plastique']",,"['Italie', 'Lombardie']",,['Casino'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Poisson', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,
421,Pâtes Gnocchi - Barilla - 500g,8076802085851,B,500 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",,,"['France', 'Allemagne', 'Nouvelle-Zélande', 'Suisse']","['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,?,,359,+1%,1502 kj(359 kcal),+0%,2,0%,"0,5",+13%,"71,2",+2%,"3,5",+12%,"12,5",0%,"0,013",-53%,"0,005",-53%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,"['Cardboard Box', 'Karton']",,"['Italy', 'Greece']",,['Countdown'],,['Gluten'],1,,,,
422,Mulino Bianco Rigoli,8076809506236,,,['Mulino Bianco'],,,,"['France', 'Italie']","['Biscotti frollini con miele italiano Ingredienti: farina di frumento', 'zucchero', 'olio di sem di girasole', 'latte scremato in polvere', 'uova fresche', 'miele italiano 1 ,5%', 'sciroppo di glucosio', 'agenti lievitanti ', ""carbonato acido d'ammonio"", 'carbonato acido di sodio', 'tartrato monopotassjco', 'amido di frumento', 'sale', 'emulsionante: lecitjna di soja', 'aromi']",['Non végétalien'],,,,,,,,,?,,453,,1895 kj(453 kcal),,"14,2",,"1,8",,"71,9",,21,,"7,5",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",['Gluten'],4,,,,
423,Pan di stelle - La Merenda - 8x 35g,8076809529594,D,8 x 35 g,['La Merenda'],"['Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteau moelleux fourré au chocolat']","['Sans colorants', 'Sans huile de palme']",,"['France', 'Italie', 'Suisse']","['Pan di spagna al cacao con crema al latte scremato in polvere', ' ingredienti: crema al latte scremato in polvere 28,6% ', 'zucchero', 'acqua', 'burro di cacao', 'sciroppo di glucosio', 'latte scremato in polvere 11,3% corrispondente a 3,2% sul prodotto finito', 'amido di riso', 'latticello in polvere ', 'latte', 'proteine del latte', 'fibra solubile: oligofruttosio', 'zucchero', 'farina di frumento', ""tuorlo d'uovo"", 'uova fresche', 'cioccolato ', 'zucchero', 'pasta di cacao', 'burro di cacao', 'aroma', 'emulsionante: lecitina di soia', 'cacao 3,8%', 'sciroppo di glucosio-fruttosio', 'latte intero fresco pastorizzato', 'burro', 'fecola di patate', 'olio di semi di girasole', 'aromi ', 'latte', 'sola', 'agenti lievitanti ', ""carbonato d'ammonio"", 'difosfato disodico', 'carbonato acido di sodio', ""albume d'uovo in polvere"", 'sale', 'farina di riso', 'burro di cacao', 'emulsionanti: mono e digliceridi degli acidi grassi', 'amido di frumento', 'amido di patata', ' Può contenere tracce di: frutta a guscio e sesamo', ' Gli ingredienti evidenziati possono provocare reazioni in persone aliergiche o intolleranti', ' Conservare in luogo fresco ed asciutto', ' i PRODOTTI DI PAN DI STELLE', 'FATTI SEMPRE E SOLTANTO CON I MIGLIORI INGREDIENTI', 'SONO: SENZA COLORANTI', 'SENZA GRASSI 3 IDROGENATI E SENZA ADDITIVI CONSERVANTI', ' BA']",[],13.6 g,en quantité modérée,7.5 g,en quantité élevée,35.5 g,en quantité élevée,0.5 g,en quantité modérée,?,,369,-8%,1544 kj(369 kcal),-8%,"13,6",-30%,"7,5",-2%,"52,4",+5%,"35,5",+27%,7,+29%,"0,5",-18%,"0,2",-18%,16,-11%,D,-11%,81.8%,11.8%,2.3%,2.8%,1.2%,0.0%,37,,['Carta'],,,,,,,,,,,
424,Mulino Bianco Sgranocchi (220 GR) - 220g,8076809538688,B,220g,['Mulino bianco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['en:palm-oil-free'],,"['France', 'Italie']","['granocchi Grissini tipo ""0"" con cereali croccanti', 'sesamo e olio di semi di girasole Ingredienti: farina di grano tenero tipo ""0""', 'olio di semi di girasole 12,8%', 'cereali croccanti 11,2% ', 'iso', 'orzo', 'zucchero', 'avena', 'frumento', 'Segale', ""ma to d'orzo"", 'sale', 'lievito', 'sesamo estratto di malto dtorzo e mais', 'sale', ' Pub latte', 'soiaeuova', ' Gli ingredienti evidenziati possono provocare reaztoni in persone allergtche o intolleranti', ' Per conservare al meglio il prodotto si consiglia di riporlo in luogo fresco e asciutto', ' BARILLA G', ' e R', ' Fratelli - Società per Azioni Sede in Parma - Via Mantova', '166 - Italia', ' Prodotto nello stabilimento di Rubbiano di Solignano ', 'PR', ' Via Veneto', '8 Prodotto in Italia - Nome e marchi depositati vi:io 800-862323']",['Sans huile de palme'],15 g,en quantité modérée,1.5 g,en quantité modérée,3 g,en faible quantité,1.7 g,en quantité élevée,?,,446,+6%,1866 kj(446 kcal),+6%,15,+39%,"1,5",-34%,"64,4",-3%,3,+20%,11,-4%,"1,7",-11%,"0,68",-11%,8,-38%,C,-38%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,"['Carta', 'PAP22', 'Indifferenziato', 'others 7']",,,,,,,,,,,
425,Tagliatelle sans gluten - Barilla  - 300g,8076809571586,,300 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Tagliatelles', 'Féculents']",['Sans gluten'],,"['France', 'Allemagne', 'Pays-Bas']","['Farine de maïs blanc ', '60%', 'farine de maïs jaune ', '29,5%', 'farine de riz brun ', '10%', 'eau', ""émulsifiant : mono - et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",1.5 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en faible quantité,0.002 g,en faible quantité,?,,363,+14%,1519 kj(363 kcal),+15%,"1,5",-32%,"0,7",+52%,"79,6",+33%,"0,6",-64%,"6,9",-28%,"0,002",-99%,"0,001",-99%,-1,,A,,,,,,,,,,"['Product', 'boîte']",,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,4,,,,
426,Cola Cao Original - 970gramos,8410014837592,D,970 gramos,['Cola Cao'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",,,"['France', 'Espagne']","['Azúcar', 'Cacao desgrasado en polvo', 'Crema de cereal kola-malteado ', 'Harina de trigo', 'Extracto de malta de cebada', 'Aroma natural: Extracto de nuez de cola', 'Sales minerales ', 'calcio y fósforo', 'Aromas', 'Sal', 'Puede contener leche,']",[],,,,,,,,,?,,376,+13%,1573 kj(376 kcal),+10%,"2,4",-44%,"1,5",-41%,78,+23%,70,+24%,"6,8",+7%,"0,15",-28%,"0,06",-28%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,['Gluten'],4,,,,
427,Salsa nordic miel y mostaza - Heinz,8410066112876,B,,['Heinz'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'en:Sauces with mustard', 'en:Honey mustard dressings', 'Moutardes au miel', 'Assaisonnements']",,,"['France', 'Espagne']","['yema de huevot semillas de mostaza ', 'contiene sulfitos', 'sal', 'azücar', 'espesantes ', 'goma alginato de soft', 'conservad0', ' ', ' ', 'sorbato potàsico', 'antioxidantE', 'EDÏA y cé!cicq aroma ', 'contiene apio', 'mostaza', 'colorantes ', 'lutea caramelo']",[],38 g,en quantité élevée,6 g,en quantité élevée,12 g,en quantité modérée,1.7 g,en quantité élevée,?,,399,+86%,1669 kj(399 kcal),+87%,38,+276%,6,+724%,13,-25%,12,-17%,"1,3",-77%,"1,7",-53%,"0,68",-53%,18,+27%,D,+27%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Céleri', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,,,,
428,Canelones - Gallo,8410069015044,,,['Gallo'],,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"1,1",,"0,2",,75,,2,,11,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
429,El original consomé vegetal concentrado cubitos - Maggi,8410100061009,,,['Maggi'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes']",,,"['France', 'Espagne']","['Sal', 'potenciadores del sabor ', 'E621 ', 'E627', 'E631', 'grasa de palma', 'extracto de levadura', 'maltodextrina', 'cebolla', 'colorante El 50c', 'aromas ', 'con apio', 'zanahoria', 'cürcuma', 'tomate', 'perejil', 'Puede contener trazas de leche', 'huevo', 'soja', 'gluten y mostaza']",['Huile de palme'],,,,,,,,,?,,197,+18%,824 kj(197 kcal),+15%,"11,2",+41%,"7,4",+91%,"6,8",-61%,"1,3",-73%,"17,3",+206%,"64,7",+134%,"25,88",+134%,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']","['Céleri', 'Œufs', 'Lait', 'Soja']",4,,,,
430,Sopa De Pollo Con Fideos Deshidratada - Maggi,8410100062105,,,['Maggi'],"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",,,"['France', 'Espagne']",[],[],,,,,,,,,?,,352,+161%,1473 kj(352 kcal),+154%,"4,9",+98%,2,+117%,"59,7",+174%,"5,2",+40%,"15,7",+311%,"10,85",+256%,"4,34",+256%,,,,,,,,,,,,,,,,,,,,,,,,
431,President Semi BR.1L,8410285114903,D,,['Président'],"['Produits laitiers', 'Laits']",,,"['Andorre', 'France', 'Espagne']",['Leche semidesnatada'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.6 g,en faible quantité,1.1 g,en faible quantité,4.7 g,en faible quantité,0.13 g,en faible quantité,?,,46,-30%,192 kj(46 kcal),-30%,"1,6",-22%,"1,1",-8%,"4,7",-22%,"4,7",-13%,"3,1",-13%,"0,13",+5%,"0,052",+5%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,1,,,,
432,Cream Of Chicken & Croutons Soup X 3 / 63G - Gallina Blanca,8410300100928,,,['Gallina Blanca'],"['Boissons', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",['Sans colorants'],,"['France', 'Espagne']","['LRS3t9', 'TES: Fécula de patata', 'maltodextrina', 'picatostes 14% ', 'harina de frigo', 'aceite vegetal sal', 'levadura', 'jarabe de glucosa', 'grasa vegetal de palma', 'suero de leche', 'carne aromas ', 'con huevo', 'soja y apio', 'leche desnatada', 'aceite de Oliva 2,4%', 'ext-acto de levadura', 'cebolla', 'almidén de maiz', 'puerro 0,4%', 'proteinas de la leche', 'especias', ' coatener trazas de pescado y crustâceos', ' Esa spa Xitene un 25% menos de sal que la media de las sopas instantâneas del mercado', ' Es seguir una dieta variaday equilibrada y un estilo de vida saludable', ' Si usted tiene o alguna enfermedad debe consutÈr a un profesmal Las autoridades sanitarias aconsejan consumir un mâximo de 6g de sal al dia']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,44,-67%,184 kj(44 kcal),-68%,"1,6",-35%,"0,5",-46%,"6,5",-70%,"1,4",-62%,"0,8",-79%,"0,66",-78%,"0,264",-78%,,,,,,,,,,,,Sopa desidratada,['Sobre'],,,,,,"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,
433,Sopa de verduras - Gallina Blanca,8410300101796,B,,['Gallina Blanca'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Plats préparés en conserve', 'Soupes déshydratées', 'Soupes en conserve', 'Soupes de légumes en conserve', 'Soupes de légumes déshydratées']",,,"['France', 'Espagne']","['Hortalizas y verduras 56% ', 'patata 36%', 'cebolla 25%', 'zanahoria 11%', 'chirivia 9% ', 'col 7 %', 'tomate 7%', 'puerro 3,7%', 'ajo 0,4%', 'almidón de trigo', 'sal de cocina', 'lactosa', 'potenciador del sabor ', 'glutamato monosódico', 'aceite de oliva', '1%', 'aromas ', 'con apio', 'aroma de humo', 'extracto de levadura', 'extracto de proteinas vegetales', 'almidón de maiz', 'especias']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,17,-48%,71 kj(17 kcal),-47%,"0,1",-90%,0,-100%,3,-31%,1,-32%,"0,5",-41%,"0,66",+15%,"0,264",+15%,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Céleri', 'Lait']",4,,,,
434,Chocolat noir - Torras - 100g,8410342006752,D,100 g,['Torras'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'en:gluten-free', 'ES-ECO-019-CT']",,"['France', 'Espagne']","['pate de cacao*', 'beurre de cacao*', 'sucre de canne*', 'cacao dégraissé en poudre*', 'emulsifiant ', 'lécithine de tournesol', ' Il peut contenir de traces de lait', 'soya et fruits à coque', ' *Produits issus de la production ecologique']",[],51 g,en quantité élevée,32 g,en quantité élevée,11 g,en quantité modérée,0.02 g,en faible quantité,?,,599,+8%,2506 kj(599 kcal),+8%,51,+29%,32,+39%,17,-56%,11,-65%,11,+44%,"0,02",-57%,"0,008",-57%,14,-34%,D,-34%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,['E322i - Lécithine'],"['Lait', 'Soja', 'gs:Frutos de cáscara']",4,,,,
435,Aceitunas rellenas de anchoa ligeras - Serpis - 150g,8410344113502,B,150 g,['Serpis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]","['Peu ou pas de sel', 'Peu de sel', 'en:gluten-free', 'Allégé en sel', 'en:extra-class', 'Sans lactose']",,"['France', 'Espagne']",[],[],15 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,2.5 g,en quantité élevée,"594,8",-5%,145,-4%,"594,8 kj(145 kcal)",-6%,15,-1%,"2,5",-9%,0,-100%,0,-100%,"1,4",+4%,"2,5",-19%,1,-19%,9,-26%,C,-26%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,http://www.serpis.com,['Alcampo'],,,,,,,
436,Guisantes Cocinados Extra Finos - bonduelle,8410375110372,B,,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,,"['France', 'Espagne']",[],[],0.7 g,en faible quantité,0.1 g,en faible quantité,4.9 g,en faible quantité,0.58 g,en quantité modérée,?,,69,-9%,289 kj(69 kcal),-10%,"0,7",+1%,"0,1",-34%,"8,1",-20%,"4,9",+48%,"4,6",-5%,"0,58",+5%,"0,232",+5%,-4,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,,,,,,,,,,
437,"Tortitas de maíz Vitalday - Gullón - 27,2g",8410376040562,,"27,2 g",['Gullón'],['en:pt-PT:Corn cakes'],['Sans gluten'],,"['France', 'Espagne']",[],[],2 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,377,,1577 kj(377 kcal),,2,,"0,3",,83,,"0,5",,6,,"1,6",,"0,64",,11,,D,,,,,,,,,,['Plastic'],,,,,,,,,,,
438,Mantega Cadi D. o. p Pastilla 125 GRS. C / 12,8410672000048,,,['CADI'],['Matières grasses'],,,"['France', 'Espagne']","[""DE MADURACIÔ TRADICIONAL ELABORADA AMB LLET RECOLUDA DIÀRIAMENT UNTUOSA 1 D'AROMA INTENSA DE MADURACIÔN TRADICIONAL ELABORADA CON LECHE RECOGIDA DIARIAMENTE UNTUOSA Y DE AROMA INTENSO""]",[],82 g,en quantité élevée,58 g,en quantité élevée,1 g,en faible quantité,0.03 g,en faible quantité,?,,739,-8%,3092 kj(739 kcal),-8%,82,-7%,58,+154%,2,+793%,1,+517%,2,+1030%,"0,03",-85%,"0,012",-85%,19,+68%,E,+68%,,,,,,,,,,,,,,,,,,,,
439,Disfruta Light - Juver - 2litres,8410707110452,D,2 litres,['Juver'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Boissons édulcorées', 'Nectars de fruits', ""Nectars d'orange""]",['Avec édulcorants'],,"['France', 'La Réunion', 'Espagne']","['Zumo de naranja a partir de concentrado ', '50%', 'aqua', 'acidulante ', 'ácido cítrico', 'antioxidante ', 'ácido L-ascórbico', 'edulcorantes ', 'Sucralosa', 'Acesulfame-K', 'aroma natural']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.01 g,en faible quantité,?,,25,-36%,105 kj(25 kcal),-36%,"0,1",-41%,0,-100%,"5,6",-38%,"4,2",-51%,"0,4",+10%,"0,01",-12%,"0,004",-12%,5,-50%,C,-50%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Brick'],,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E955 - Sucralose', 'E950 - Acésulfame K']",,4,,,,
440,Sucre en poudre - Sucran - 1kg,8410714106356,A,1 kg,['Sucran'],"['Édulcorants', 'Sucres', 'Sucres blancs', 'Sucres en poudre']","['en:gluten-free', 'Point Vert', 'Sans colorants', 'Sans conservateurs']",,['France'],['100% sucre en poudre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,1700,0%,400,0%,1700 kj(400 kcal),+1%,0,,0,,100,0%,100,+0%,0,,0,,0,,15,+5%,D,+5%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,Sucre en poudre,"['Sachet', 'Papier']",,['Espagne'],,['Auchan'],,,2,,,,
