,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,link,markets,additives,allergens,nova_score,palm_ingredients,origin_detail,producer_info,brand_owner
10,Limonade Bio d'Antan - Vitamont - 1L,3289196810069,,1L,['Vitamont'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,['France'],"['Eau gazéifiée', 'sucre de canne ', '8', '65%', 'jus de citron concentré ', '1', '27%,', 'extrait de citron ', ""citron issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,?,,40,+29%,167 kj(40 kcal),+33%,0,-100%,0,-100%,10,+34%,"9,4",+29%,0,-100%,0,-100%,0,-100%,13,+27%,E,+27%,,,,,,,,,,,,,,,,3,,,,
11,Ananas Coco - Caresse antillaise - 1L,3291330006009,,1 L,['Caresse antillaise'],"['Boissons', 'Boissons avec sucre ajouté', ""Boisson au jus l'ananas""]",,,['France'],"['eau', ""jus d'ananas à base de concentré 14%"", 'lait de coco 9%', 'sucre', 'arôme naturel de noix de coco', 'stabilisants : gommes de cellulose et de xanthane', 'acidifiant : acide citrique', ""émulsifiants: mono et diglycéride d'acide gras"", 'antioxydant: acide ascorbique', 'colorant caroténoïdes mélangés']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",2.5 g,en quantité modérée,2.3 g,en quantité modérée,9.5 g,en quantité élevée,0.1 g,en faible quantité,?,,64,-25%,268 kj(64 kcal),-28%,"2,5",+567%,"2,3",+1286%,"9,6",-52%,"9,5",-48%,"0,3",-44%,"0,1",+167%,"0,04",+167%,18,+51%,E,+51%,,,,,,,,,['Carton'],,,,['Magasins U'],"['E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E160a - Carotènes mélangés']",,4,,,,
12,Feuilleté saumon cresson - Thiriet - 300g,3292590819392,,300 g,['Thiriet'],"['Plats préparés', 'Plats préparés au poisson', 'Feuilleté salé']",,,['France'],"['pâte feuilletée 49% ', 'farine de blé', 'margarine ', 'graisse et huile ', 'colza et palme', 'eau', 'sel', 'émulsifient : mono - el digtycérides dl acides gras', ""correcteur d'acidité : acide citrique"", 'arôme', 'vitamine A', 'eau', 'sel', 'saumon soupe de poisson ', 'eau', 'poissons', 'oignon', 'sel', 'persil', 'poivre blanc', 'laurier', 'cresson 4%', 'lait', 'crème 2,Sìat fromage', 'jaune &œuf', 'beurre', 'amidon transformé', 'Vermouth Noilly Prat@', 'farine de blé', 'oignon', 'sel', 'poivre de Cayenne', 'poivre blanc', "" le son que nous apportons à la préparetiô'? 00!ssons"", ""la présence exceptionnelle d'arêtes n'estpas exclue,""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",14.6 g,en quantité modérée,6.2 g,en quantité élevée,1.3 g,en faible quantité,0.9 g,en quantité modérée,?,,266,-9%,1113 kj(266 kcal),-9%,"14,6",-18%,"6,2",-40%,"22,2",-9%,"1,3",-45%,"9,3",+17%,"0,9",-20%,"0,36",-20%,8,-50%,C,-50%,,,,,,,,,,,,,['Thiriet'],"['E330 - Acide citrique', 'E14XX - Amidons modifiés']","['Œufs', 'Poisson', 'Gluten', 'Lait']",4,['Huile de palme'],,,
13,Brandade de morue parmentière - Thiriet - 1kg,3292590876050,E,1kg,['Thiriet'],"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']","['Pêche durable', 'Pêche durable MSC']","['EMB 40284A', 'Saint-Vincent-de-Tyrosse (Landes, France)', 'MSC-C-53212']",['France'],"['Eau', 'chair de morue ', 'poisson', ' 30%', 'pomme de terre déshydratée 10,7% ', 'pomme de terre', ""émulsifiant : mono - et diglycérides d'acides gras"", 'curcuma', 'huile de colza', ""huile d'olive vierge extra"", 'lait écrémé en poudre ', 'lait', 'fumet de poisson ', 'dextrose', 'fécule de pomme de terre', 'arôme naturel ', 'crustacés', 'mollusques', 'poisson', 'sel', 'amidon', 'poisson en poudre ', 'poisson', 'plantes aromatiques', 'poireau en poudre', 'épices', 'ail 0,4%', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",5.5 g,en quantité modérée,0.7 g,en faible quantité,0.9 g,en faible quantité,0.88 g,en quantité modérée,?,,119,-18%,498 kj(119 kcal),-18%,"5,5",-36%,"0,7",-58%,"9,9",+4%,"0,9",-1%,"6,8",+0%,"0,88",+7%,"0,352",+7%,-1,-157%,A,-157%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,Brandade de morue,"['Surgelé', 'Film en plastique', 'Barquette', 'Etui en carton']",,,,['Thiriet'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Crustacés', 'Poisson', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']",4,,,,
14,Pad thaï aux crevettes - Thiriet - 500g,3292590883904,,500g,['Thiriet'],"['Pad thaï', 'Pad thaï aux crevettes']",,"['EMB 29188A', 'Plougasnou (Finistère, France)', 'FR 29.188.020 CE', 'Plougasnou (Finistère, France)']",['France'],"['Nouille de riz 18% ', 'riz', 'tapioca', 'eau', 'sel', 'échalote 14,7%', 'crevette décortiquée crue 14% ', 'crevette', 'conservateur: disulfite de sodium', 'champignon noir 11,8%', 'carotte 8,8%', 'omelette brouillée 8% ', ""blanc d'oeuf"", 'oeuf', 'huile de colza', 'eau', 'lait écrémé', 'sel', 'épaississants : gomme xanthane - gomme guar', ""phosphate de d'amidon hydroxypropylé"", 'acidifiant: acide citrique', 'huile de tournesol', 'eau', 'graine de soja 3,5%', 'ail', 'pâte de piment 2,4% ', 'piment', 'purée de tomate', 'sel', 'poivron', ""vinaigre d'alcool"", 'graisse de poulet ', 'graisse de poulet', 'antioxydant: extraits de romarin', 'coriandre 1,5%', 'sauce de poisson nuoc mâm 1,5% ', 'anchois', 'sel', 'eau', 'cacahuète grillée 1,2% ', 'cacahuète', 'huile de tournesol', 'arôme naturel', 'amidon transformé', "" Présence éventuelle d'autres fruits à coque""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.9 g,en quantité modérée,1.1 g,en faible quantité,2.8 g,en faible quantité,0.94 g,en quantité modérée,?,,192,,803 kj(192 kcal),,"8,9",,"1,1",,19,,"2,8",,"7,1",,"0,94",,"0,376",,0,,B,,,,,,,,,,,,,,['Thiriet'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', ""E1410 - Phosphate d'amidon"", 'E330 - Acide citrique', 'E392 - Extrait de romarin', 'E14XX - Amidons modifiés']","['Crustacés', 'Œufs', 'Poisson', 'Lait', 'Arachides', 'Soja']",4,,,,
15,Dattes déglet nour ravier 500g - Sidi mehrez - 500g,3293790125009,C,500 g,['Sidi mehrez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",['Catégorie I'],['13214U'],['France'],"['Dattes', 'syrop de glucose', 'E202']",[],0.3 g,en faible quantité,0.1 g,en faible quantité,64.2 g,en quantité élevée,0.01 g,en faible quantité,?,,295,+1%,1234 kj(295 kcal),+0%,"0,3",-6%,"0,1",+45%,"66,1",-1%,"64,2",+11%,"2,2",-4%,"0,01",-61%,"0,004",-61%,2,-53%,B,-53%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,Dattes deglet nour,['Barquette polystyrène et film'],['Tunisie'],['Marseille'],,['Leclerc'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,3,,,,
16,Gratin dauphinois au jambon & à la crème fraîche - Fleury Michon - 300g,3302740967108,A,300g,['Fleury Michon'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']","['Viande Française', 'Sans arômes artificiels', 'Viande Porcine Française', 'Sans colorants', 'Sans huile de palme', 'Nutriscore', 'Nutriscore B']","['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",['France'],"['Pommes de terre 48%', 'jambon cuit de qualité choix 15% [jambon de porc', 'dextrose', 'sel', 'bouillons\xa0', 'eau', 'os de porc', 'viande de porc', 'épices', 'antioxydant : ascorbate de sodium\xa0', ' conservateur : nitrite de sodium]', 'eau', 'crème fraîche 6%', 'emmental 5', '7%', 'bouillon de légumes ', 'eau', 'oignons', 'poireaux', 'céleri', 'carottes', 'sel', ',\xa0crème de riz', 'farine de blé', 'poudre de lait écrémé,\xa0gélatine de porc', 'sel', 'huile de colza,\xa0ail', 'épices']","['Non végétalien', 'Non végétarien']",4.8 g,en quantité modérée,2.8 g,en quantité modérée,1.3 g,en faible quantité,0.77 g,en quantité modérée,477,+12%,?,,477 kj(114 kcal),-3%,"4,8",-17%,"2,8",-22%,11,-2%,"1,3",-19%,"7,2",+111%,"0,77",+9%,"0,308",+9%,1,-79%,B,-79%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,Gratin dauphinois au jambon,"['Barquette', 'Plastique', 'Carton', 'Sous atmosphère protectrice', 'Barquette', 'Film en plastique', 'Etui en carton']",['France'],['France'],,['Carrefour'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']","['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,,,
17,Bâtonnets Surimi Moelleux - Fleury Michon - 480g,3302748023028,B,480 g,['Fleury Michon'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi', 'Bâtonnets de surimi']","['Sans arômes artificiels', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Pêche durable']","['FR 85.051.005 CE', 'Chantonnay (Vendée, France)']",['France'],"['Chair de poisson** 38 %', 'eau', 'amidons ', 'dont blé', 'lait écrémé réhydraté', 'huile de colza', 'sucre', 'sel', 'arômes naturels ', 'contient crustacés', 'mollusques', 'poissons', 'colorant : extrait de paprika 0,03 %', "" Traces éventuelles d'œufs"", "" **Colin d'Alaska et Merlu blanc pêchés en Pacifique Nord Est""]","['Non végétalien', 'Non végétarien']",4.5 g,en quantité modérée,0.4 g,en faible quantité,2.8 g,en faible quantité,1.5 g,en quantité modérée,?,,113,-5%,473 kj(113 kcal),-5%,"4,5",-4%,"0,4",-38%,10,-12%,"2,8",-2%,"8,1",+8%,"1,5",-13%,"0,6",-13%,2,-55%,B,-55%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,['Plastique'],"['Océan Pacifique', 'Océan Pacifique Nord-Est']",['France'],,,['E160c - Extrait de paprika'],"['Crustacés', 'Poisson', 'Mollusques']",4,,,,
18,Confiture Biofruits Abricot - Jardin Bio - 320g,3307131305002,A,320 g,['Jardin Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['abricots* ', 'pulpe*', 'oreillons*', ' 50%', 'sucre brut de canne* ', 'eau', 'gélifiant : pectines', 'jus de citron* concentré', "" \r*Produits issus de l'agriculture biologique""]",[],0.1 g,en faible quantité,0 g,en faible quantité,42.5 g,en quantité élevée,0.1 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-16%,"0,1",-56%,0,-100%,"44,3",-17%,"42,5",-16%,"0,5",-0%,"0,1",+355%,"0,04",+355%,9,+0%,C,+0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,"['Pot-verre', 'couvercle-métal']",,['France'],,,['E440 - Pectines'],,4,,,,
19,Riz basmati complet - Markal - 500g,3329485411208,B,500g,['Markal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['France', 'Polynésie française']",[],[],1 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,361,+10%,1510 kj(361 kcal),+9%,1,-4%,"0,3",+25%,74,+4%,"0,1",-59%,"5,88",-22%,0,-100%,0,-100%,-3,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['Sachet'],['Inde'],,,,,,,,,,
