,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
0,Crema di limoncino -  - 50cl,20048396,E,50cl,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']","['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saucisson Sec - Lidl,20057381,,,,['France'],[],[],?,,431,,36,,3,,23,,,,,,,,,['Lidl'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-12']","['FR 63.427.001 CE', 'Teilhède (Puy-de-Dôme, France)', 'EMB 63427', 'Teilhède (Puy-de-Dôme, France)']",1803 kj(431 kcal),14,2,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Poêlée de Kebab - Glenfell - 400g ℮,20060237,,400 g ℮,"['Viandes', 'Surgelés', 'Plats préparés', 'Bœuf', 'Viandes surgelées', 'Préparations de viande surgelées', 'Poêlées', 'Poêlées façon kebab']","['Finlande', 'France']","['93% viande de bœuf coupée en tranches', 'épices ', 'contient moutarde et céleri', 'protéines de lait', 'sel', 'dextrose', 'lactose', 'condiments ', 'protéines de maïs hydrolysées', 'sel', 'huile de tournesol', 'herbes aromatiques', 'oignons', ""correcteurs d'acidité : citrates de sodium"", 'carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",934,+3%,224,+5%,16,+5%,2,-36%,18,+21%,,,,,,,,"['Glenfell', 'Culinea']",['Fabriqué en Allemagne'],['DE NW-20028 EG'],934 kj(224 kcal),"7,5",2,"1,5","0,6","['Carton', 'Surgelé', '21 PAP', '04 LDPE', '♶']",['Allemagne'],['LIDL'],"['E331 - Citrates de sodium', 'E500 - Carbonates de sodium']","['Céleri', 'Lait', 'Moutarde']",4,16 g,en quantité modérée,7.5 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,+4%,+14%,+136%,+53%,+53%,15,+42%,D,+42%,,,,,,,
3,Cream Spread - 200g,20064457,,200 g,,"['Autriche', 'France']","['popcorn ', '80%', 'sunflower oil - high oleic', 'sea salt', '會。']",[],?,,208,,19,,"3,2",,"5,7",,,,,,,,,,['Fabriqué en Allemagne'],,870 kj(208 kcal),"13,3","3,1","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Heringsfilets in Tomatencreme - Nixe - 200g,20101688,B,200 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Harengs', 'Harengs en conserve']","['France', 'Allemagne']","['14,4% Tomaten - mark doppelt konzentriert', 'Trinkwasser', 'Rapsöl', 'Zucker', 'Branntweinessig', 'Stärke', 'Speisesalz', 'Verdickungsmittel: Johannisbrotkernmehl', 'Gewürze,']",[],?,,221,+11%,"16,9",+18%,"5,2",+110%,"11,3",-19%,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,['Nixe'],,['MSC-C-50411'],925 kj(221 kcal),"2,5","4,7","0,88","0,352",['Dose'],,,,,4,16.9 g,en quantité modérée,2.5 g,en quantité modérée,4.7 g,en faible quantité,0.88 g,en quantité modérée,+12%,-15%,+161%,-48%,-48%,3,-60%,C,-60%,,,,,,,
5,family cappuccine - Bellarom - 500g,20111410,,500g,,"['Belgique', 'France']",[],[],?,,396,,"6,3",,"69,4",,"14,4",,,,,,,,,['Bellarom'],,['DE NW-410 EG'],1657 kj(396 kcal),"5,7","64,4","1,23","0,492",,['Allemagne'],['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Escalopes de dinde - 1000g,20184063,D,1000 g,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],?,,110,-9%,2,+52%,0,-100%,23,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,460 kj(110 kcal),"0,8",0,"0,2","0,08",['Barquette'],,,,,,2 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,-9%,+99%,-100%,-64%,-64%,-4,,A,,,,,,,,
7,White strong - Jet gum - 46,20189440,,46,,"['France', 'Grèce']","['Edulcorants: xylitol', 'sorbitols', 'gomrela édulcorants: mannitol', 'maltitols', 'épaississant: gomme arboe', 'arômes', 'colorant: diaxyde de titane', 'agent de charge', 'polyphosphates', 'humectant: glycérol', 'édulcorant: aspatare émulsifiant: lécithines de soja', ""édulcorant: acésulfame-k d'enrobage: cire de carnauba"", 'Contient une source de phéni Une consommation excessive peut avoir des effets laxatis ar Técart de la chaleur et']",[],?,,163,,0,,"66,4",,0,,,,,,,,,['Jet gum'],,,682 kj(163 kcal),0,0,"0,1","0,04",,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E322i - Lécithine', 'E950 - Acésulfame K', 'E903 - Cire de carnauba']",,4,,,,,,,,,,,,,,,,,,,,,,,,
8,Brochettes de medaillons de poulet à la provençale - L'étal du Volailler - 500g,20213916,E,500 g,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet']",['France'],"['Filet de  Poulet 90%', 'huile de colza', ""huile d'olive"", 'sels minéraux de mer ', 'Chlorure de sodium', 'calcium', 'magnésium', 'sulfate', 'eau', 'épices', 'Plantes aromatiques 0,35% ', 'romarin', 'thym', 'origan', 'marjolaine', 'estragon', 'tomate en poudre 0,2%', 'sucre de canne', 'graisse de palme', 'sel', 'épaississant ', 'gomme xanthane', ""vinaigre d'alcool"", ""extraits d'épices"", 'dextrose']","['Huile de palme', 'Non végétalien', 'Non végétarien']",589,+18%,140,-3%,6,+39%,"0,6",-90%,21,+19%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,"[""L'étal du Volailler""]",,,589 kj(140 kcal),"0,9","0,6",1,"0,4","['Article', 'Frais']",,['Lidl'],['E415 - Gomme xanthane'],,4,6 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,1 g,en quantité modérée,-2%,-28%,-84%,-13%,-13%,0,-100%,B,-100%,Brochettes de Poulet,['Huile de palme'],,,,,
9,"Oranges - Sans marque - 1,5kg",20241698,,"1,5 kg","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Oranges', 'Oranges fraîches']",['France'],"['Oranges ', 'Navel Catégorie 1 Calibre 4']",[],?,,?,,?,,?,,?,,,,,,,,,"['Sans marque', 'Nosibe']",['K.C.B 3178'],,,,,,,['Sachet'],,['LIDL'],,,1,,,,,,,,,,,,,,,,,,Oranges à jus,,['Afrique du Sud'],,,,
10,Epoisses - Saveurs De Nos Regions,20276300,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Époisses']",['France'],['Saveursde Champagne-Ardenne Epoisses AFFINÉ AU MARC DE BOURGOGNE'],[],?,,290,+1%,24,+1%,24,+2957%,17,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Saveurs De Nos Regions'],,"['FR 52.405.001 CE', 'Prauthoy (Haute-Marne, France)']",1213 kj(290 kcal),17,"0,3","1,8","0,72",,,['Lidl'],,,,24 g,en quantité élevée,17 g,en quantité élevée,0.3 g,en faible quantité,1.8 g,en quantité élevée,+1%,+1%,+111%,-2%,-2%,15,-1%,D,-1%,,,,,,,
11,Pasta fresca tagliatelle - Chef Select - 250g,20302832,,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', ""Pâtes de blé dur à l'œuf"", 'Tagliatelles']","['Belgique', 'France', 'Espagne']","['37,5% semoule de blé dur', '37,5% farine de blé', '20% œuf', 'eau']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1211,-10%,286,-11%,"3,2",-20%,"52,8",-7%,"9,8",-22%,,,,,,,,['Chef Select'],,['IT 1846-L CE'],1211 kj(286 kcal),1,"1,6","0,1","0,04","['Plastique', 'Atmosphère protectrice']",,['Lidl'],,['Gluten'],1,3.2 g,en quantité modérée,1 g,en faible quantité,1.6 g,en faible quantité,0.1 g,en faible quantité,-10%,-21%,-34%,-64%,-64%,-2,,A,,Pâtes fraîches aux œufs,,,,,,
12,Liquids fraise - citron vert - JETgum - 98g,20389277,,98g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Espagne']","['maltitol', 'gomme base', 'mannitol', 'sorbitol', 'sirop de maltitol', 'humectant: glycérol', ' arôme', 'gélatine', 'acidifiant: acide citrique', ' colorants: dioxyde de titane', 'carotène', 'bleu brillant FCF', ' édulcorants: aspartame', 'acésulfame-K', ' émulsifiant: lécithine de tournesol', ' stabilisant: carboxyméthylcellulose', "" agent d'enrobage: cire de carnauba""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,175,+9%,0,-100%,71,+13%,"1,2",+830%,,,,,,,,['JETgum'],,,732 kj(175 kcal),0,0,0,0,,,,"['E965 - Maltitol', 'E421 - Mannitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E422 - Glycérol', 'E428 - Gélatine', 'E330 - Acide citrique', 'E171 - Oxyde de titane', 'E160a - Carotènes mélangés', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', 'E466 - Carboxyméthylcellulose', 'E903 - Cire de carnauba']",,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+9%,-100%,-100%,-100%,-100%,,,,,,,,,,,
13,Jamon serrano reserva duroc - Realvalle,20415136,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']","['France', 'Espagne']",[],[],?,,253,+6%,"14,2",+13%,"0,9",+25%,"30,3",-0%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Realvalle'],['en:gluten-free'],,1059 kj(253 kcal),"5,9","0,5","4,5","1,8",,,,,,,14.2 g,en quantité modérée,5.9 g,en quantité élevée,0.5 g,en faible quantité,4.5 g,en quantité élevée,+6%,+26%,+12%,-4%,-4%,18,+10%,D,+10%,,,,,,,
14,Frogs - Confiserie gelifiée - Sugarland - 300g,20490799,E,300g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['France', 'Espagne']","['sirop de glucose', 'sucre', 'gélatine', 'acidifiants: acide citrique', ' acide lactique', 'humectant: sorbitols', ' concentrés colorants de fruits et de plantes ', 'concentré de carotte', 'pomme', 'myrtille', 'carthame', 'mélasse', 'concentré colorant de spiruline', 'huile de coco', 'arôme naturel', ""agents d'enrobage: cire de carnauba"", ""cire d'abeille enriche et jaune""]","['Non végétalien', 'Non végétarien']",?,,317,-11%,"0,1",-95%,"73,1",-12%,5,+136%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Sugarland'],,,1326 kj(317 kcal),"0,1","44,5","0,02","0,008",,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E420 - Sorbitol', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",,4,0.1 g,en faible quantité,0.1 g,en faible quantité,44.5 g,en quantité élevée,0.02 g,en faible quantité,-12%,-91%,-23%,-83%,-83%,12,-17%,D,-17%,,,,,,,
15,Moutarde a l'ancienne - Deluxe - 225g,20521813,B,225 g,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']","['France', 'Italie', 'Espagne']","['42% agua', ' 30% granos de mostaza', '17% vinagre de alcohol', '6% vino blanco ', 'contiene sulfitos', ' 4% Sal', '1% azúcar', 'acidulante: ácido cítrico', 'aroma natural de hierbas aromaticas', 'antioxidante: metabisulfito potásico']",[],?,,164,+3%,"11,2",-3%,4,+10%,"6,8",-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Deluxe'],,,686 kj(164 kcal),"0,7",3,"4,2","1,68","['Bote', 'product']",['Paises Bajos'],['Lidl'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],3,11.2 g,en quantité modérée,0.7 g,en faible quantité,3 g,en faible quantité,4.2 g,en quantité élevée,+3%,-8%,+33%,-29%,-29%,12,+11%,D,+11%,,,,,,,
16,"Deluxe Cacao de Madagascar, pepites de chocolat - Lidl",20526078,,,,['France'],"['sucre', 'pâte de cacao', 'beurre de cacao', 'lait entieren poudre', 'crème en poudre ', 'lait', 'émulsifiant: lécithines ', 'tournesol', ' extrait de vanille', 'Chocolat au lait: cacao: 46% minimum', ' matière sèche issue du lait: 18% minimum', ' Peut contenir des traces de fruits à coque et de soja,']",['Non végétalien'],?,,566,,"38,9",,"43,9",,"7,8",,,,,,,,,['Lidl'],['Fabriqué en Allemagne'],,2368 kj(566 kcal),"24,6",4,"0,15","0,06",,,['Lidl'],['E322i - Lécithine'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,
17,Nuts exotic - Alesto - 60g,20559588,,60g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']","['Belgique', 'France']",[],[],?,,431,+28%,"17,8",+158%,"56,3",-3%,"8,6",+109%,,,,,,,,['Alesto'],,,1803 kj(431 kcal),"2,9","49,9","0,15","0,06",,,['Lidl'],,,,17.8 g,en quantité modérée,2.9 g,en quantité modérée,49.9 g,en quantité élevée,0.15 g,en faible quantité,+28%,+28%,+15%,+71%,+71%,2,-58%,B,-58%,,,,,,,
18,"Jengibre encurtido - VitAsia - 190g (neto), 110g (escurrido)",20564940,B,"190 g (neto), 110 g (escurrido)","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Pickles', ""Pickles d'origine végétale"", 'Epices', 'Gingembre', 'Gari']","['France', 'Allemagne', 'Espagne']","['Jengibre', 'agua', 'azúcar', 'sal', 'edulcorante: aspartamo ', 'E-951', 'acidulantes: ácido cítrico ', 'E-330', 'ácido acético ', 'E-260', ' ', ' vinagre de vino', 'antioxidante: ácido ascórbico ', 'E-300']","['Sans huile de palme', 'Végétalien', 'Végétarien']",290,-66%,?,,"0,2",-60%,"15,7",-69%,"0,1",-90%,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,['VitAsia'],"['Végétarien', 'Végétalien']",,290 kj(69 kcal),"0,1",8,2,"0,8","['Bote de vidrio', 'Glas', 'stück', 'stück']",['China'],['Lidl'],"['E951 - Aspartame', 'E330 - Acide citrique', 'E260 - Acide acétique', 'E300 - Acide ascorbique']",,4,0.2 g,en faible quantité,0.1 g,en faible quantité,8 g,en quantité modérée,2 g,en quantité élevée,-70%,-28%,-80%,+422%,+422%,,,,,Jengibre encurtido,,,,,,
19,Scamorza - Italiamo - 300g,20622671,C,300 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Scamorza']","['France', 'Hongrie']","['tait pasteurisé', 'sel', ' présure', ""correcteur d'acidité : acide citrique "", ' arôme de fumée', ' Non ouvert,']",[],?,,255,-17%,17,-27%,1,+12%,25,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Italiamo', 'Lovilio']",['Fabriqué en Italie'],"['IT 19-55 CE', 'IT V4V5C CE']",1067 kj(255 kcal),11,0,"1,2","0,48",['PP'],,['Lidl'],['E330 - Acide citrique'],['Lait'],4,17 g,en quantité modérée,11 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,-17%,-29%,-100%,-4%,-4%,13,-3%,D,-3%,,,,,,,
20,Filetto di tonno pinna gialla,20633769,,,,['France'],[],[],?,,150,,"4,2",,0,,28,,,,,,,,,,,,628 kj(150 kcal),"0,7",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Datteln - Milbona - 250g,20635565,,250g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']","['France', 'Allemagne']","['Yogurt ', 'Milk', 'Water', 'Fructose Syrup', 'Modified Maize Starch', '0', '5% Coconut Milk Powder', 'Flavourings', 'Pork Gelatine', 'Stabiliser: Pectins', ' Sweetener: Aspartame', ' Acidity Regulator: Citric Acid', ' Ground Vanilla', ' Contains a source of Phenylalanine', ' \rMay also contain Nuts']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,290,+148%,"0,5",-93%,65,+643%,"1,9",-57%,,,,,,,,"['Milbona', 'Simply Sunny']",['Contient une source de phénylalanine'],,1213 kj(290 kcal),"0,3",64,"0,09","0,036",,,['Lidl'],"['E428 - Gélatine', 'E440 - Pectines', 'E951 - Aspartame', 'E330 - Acide citrique']",['Lait'],4,0.5 g,en faible quantité,0.3 g,en faible quantité,64 g,en quantité élevée,0.09 g,en faible quantité,+147%,-93%,+701%,-22%,-22%,13,+219%,D,+219%,,,,,,,
22,Queso tierno -,20658915,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['France', 'Espagne']",[],[],?,,384,+17%,32,+20%,"1,6",+32%,"22,5",+10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,1607 kj(384 kcal),"21,6","1,6","1,5","0,6",,,,,,,32 g,en quantité élevée,21.6 g,en quantité élevée,1.6 g,en faible quantité,1.5 g,en quantité modérée,+17%,+21%,+116%,+15%,+15%,15,+9%,D,+9%,,,,,,,
23,Steaks de thon - Deluxe - 250g ℮,20692186,D,250 g ℮,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon']",['France'],[],[],?,,104,-55%,"0,9",-93%,"0,5",+37%,24,-2%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,['Deluxe'],"['Pêche durable', 'Fabriqué en Espagne', 'Pêche durable MSC']","['ES 12.15884/C CE', 'MSC-C-53468']",435 kj(104 kcal),"0,6","0,5","0,8","0,32","['21 PAP', '7 O']",,['LIDL'],,,,0.9 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité modérée,-53%,-72%,+191%,-19%,-19%,-1,-123%,A,-123%,,,,,,,
24,5 Steaks de porc - l'etal du boucher - 400g,20711627,,400 g,"['Viandes', 'Viandes fraîches', 'Porc', 'Steaks de porc', 'Viandes fraîches de porc']",['France'],['100 % carré de porc sans os'],[],?,,165,-4%,"8,5",-21%,"0,5",-44%,22,+19%,,,,,,,,"[""l'etal du boucher""]","['Viande Française', 'Viande Porcine Française', 'Point Vert']","['FR 53.097.001 CE', 'Évron (Mayenne, France)']",690 kj(165 kcal),"3,7","0,5","0,14","0,056","['Frais', 'Plastique', 'Barquette', 'Film en plastique', 'Barquette']",['France'],['Lidl'],,,,8.5 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,0.14 g,en faible quantité,-5%,-9%,+33%,-78%,-78%,0,-100%,B,-100%,Carré de porc sans os,,['France'],,,,
25,Crusti Croc Kessel Chips Sweet Chili - 150,20768034,,150,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",['France'],"['Pommes de terre', 'huile de tournesol', 'sucre', 'sel', 'naturel', 'tomate en poudre', 'piment en poudre', 'oignonen all en poudre', 'colorant ', 'extrait de paprka', 'extrait de levure', ' A conserver dans un endroit frais et sec']",[],?,,501,+115%,27,+113%,55,+179%,"6,1",+21%,,,,,,,,"['Crusti Croc', 'Snack day']",,['K2042128'],2096 kj(501 kcal),"2,5","4,1","1,275","0,51",['Plastik'],['Deutschland'],['Lidl'],,,,27 g,en quantité élevée,2.5 g,en quantité modérée,4.1 g,en faible quantité,1.27 g,en quantité modérée,+122%,+9%,+40%,+19%,+19%,13,+117%,D,+117%,,,,,,,
26,Pâtes d’Alsace - Saveurs De Nos Regions - 250g,20840365,,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",['France'],"['Semoule de blé dur de qualité supérieure', '30% œufs frais issus de poules élevées en plein air']",[],?,,367,+1%,5,+5%,64,0%,15,0%,,,,,,,,['Saveurs De Nos Regions'],['IGP'],,1536 kj(367 kcal),"1,3","2,6","0,125","0,05",,,['Lidl'],,"['Œufs', 'Gluten']",1,5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.125 g,en faible quantité,+0%,+6%,-8%,+18%,+18%,0,,B,,,,,,,,
27,Petit Brie - Chêne d’argent - 500g,20867072,C,500g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",['France'],"['lait de vache pasteurisé ', 'origine France', 'El', 'ferments lactiques ', 'lait', "" et d'affinage"", 'enzyme coagulante', ' Sortir du réfrigérateur votre petit brie 30 minutes avant dégustatictL À conserver entre +40C et +80C']",['Non végétalien'],?,,334,+7%,30,+16%,"0,5",-28%,16,-15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Chêne d’argent'],,"['FR 50.453.001 CE', 'Sainte-Cécile (Manche, France)']",1397 kj(334 kcal),21,"0,5","1,3","0,52",,,['Lidl'],,['Lait'],3,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,+7%,+15%,+32%,-18%,-18%,14,-6%,D,-6%,,,,,,,
28,Rasperry vanilla - Maribel,20884796,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],"['75 % framboises', 'sucre', 'gélifiant : pectines', 'vanille Bourbon', 'acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,183,-18%,"0,7",+158%,"40,8",-24%,"0,7",+4%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,"['Maribel', 'Lidl']",,,766 kj(183 kcal),"0,3","40,8",0,0,"['Bocal', 'Verre', 'métal']",['Allemagne'],['Lidl'],"['E440 - Pectines', 'E330 - Acide citrique']",,4,0.7 g,en faible quantité,0.3 g,en faible quantité,40.8 g,en quantité élevée,0 g,en faible quantité,-18%,+548%,-21%,-100%,-100%,9,+2%,C,+2%,Confiture famboise vanille,,,,,,
29,Gran Dioso - Milbona - 175g,20897956,,175 g,['Desserts'],"['Belgique', 'France', 'Espagne']","['lait écrémé', 'crème à fouetter ', 'lait', 'lactosérum liquide ', 'lait', 'sucre', 'amidon modifié ', 'mais', 'cacao maigre', '0,5% purée de noisettes', 'sirop de glucose-fructose', 'épaississants: carraghénanes', 'gomme guar', 'sirop de sucre caramélisé', 'gélatine ', 'boœuf', ""émulsifiant: esters lactiques des mono - et diglycerides d'acides gras**"", ' arôme', 'sel', "" **d'origine végétale"", "" Fouetté à l'azote"", ' Peut contenir des traces de fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,119,-33%,"4,9",-28%,16,-32%,"2,8",-11%,,,,,,,,['Milbona'],,,498 kj(119 kcal),"3,2",12,"0,2","0,08",,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]",['Lait'],4,4.9 g,en quantité modérée,3.2 g,en quantité modérée,12 g,en quantité modérée,0.2 g,en faible quantité,-32%,-11%,-35%,+50%,+50%,5,-26%,C,-26%,,,,,,,
30,Organic biscuits vanilla - Lidl - 150g,20899677,C,150g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'en:Biscuits et gâteaux', 'en:Biscuits sablés', 'en:Snacks sucrés']",['France'],"['farine de blé1', 'sucre de Canne brut1', 'huile de tournesol1', 'sel de mer', '0,8% extrait de vanille1', "" 1issu de l'agriculture biologique""]","['Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Lidl'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE']",,,,,,,"['sachet plastique opaque', 'sachet']",,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,"['de:Union européenne', 'de:non ue']",,,,
31,Bio sorbet - Gelatelli,20899714,C,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets']",['France'],"['50% puréede fraisé', 'sucre de cannel', 'eau', 'sirop de glucosel déshydraté,jusde *concentré', 'stabilisants : farine de graines de caroube', ""pedines tissu de l'agriculture biologique"", ' Traces éventuelles de lait', ""d'œuf"", 'de soja', 'de fruits à coque et dlarachldesa']",[],?,,126,+3%,"0,2",-30%,"30,3",+6%,"0,4",-12%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['Gelatelli'],"['Bio', 'Fabriqué en Allemagne']",,527 kj(126 kcal),"0,1","27,2",0,0,,,['Lidl'],['E410 - Gomme de caroube'],,4,0.2 g,en faible quantité,0.1 g,en faible quantité,27.2 g,en quantité élevée,0 g,en faible quantité,+3%,+8%,+12%,-100%,-100%,7,+33%,C,+33%,,,,,,,
32,"Trekstor-smartbag S Mit Magnetverschluss , Braun-a - Freeway",20908119,,,['Boissons'],['France'],[],[],?,,37,-34%,"0,1",-71%,"8,9",-21%,"0,1",-80%,,,,,,,,['Freeway'],,,155 kj(37 kcal),"0,1","8,9","0,01","0,004",,,['Lidl'],,,,0.1 g,en faible quantité,0.1 g,en faible quantité,8.9 g,en quantité élevée,0.01 g,en faible quantité,-36%,-15%,-6%,-76%,-76%,12,+57%,E,+57%,,,,,,,
