,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
424,Jambon sec supérieur 9mois - Montagne Noire - 100g,3339720414765,E,100 g,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],"['Jambon de porc ', 'origine : France', ' sel', ' dextrose', ' conservateur : nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,247,+3%,15,+11%,1,+54%,27,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Montagne Noire'],"['Viande Française', 'Fabriqué en France', 'Qualité supérieure', 'Label Rouge']",,1033 kj(247 kcal),"5,7","0,5","5,5","2,2","['Frais', 'Plastique']",['France'],,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,4,15 g,en quantité modérée,5.7 g,en quantité élevée,0.5 g,en faible quantité,5.5 g,en quantité élevée,+3%,+10%,+15%,+12%,+12%,18,+6%,D,+6%,,,['France'],http://montagnenoire.net/produits/jambons-secs-pre-tranches.html,,,
425,Riz soufflé caramelisé cacaoté - Moulin des Moines - 375g,3347432212166,B,375 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Riz soufflé']",['France'],"['riz*', 'sucre de canne* 10%', 'cacao* 5%', "" *Produit issu de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,357,-7%,"1,55",-35%,"77,91",-5%,"6,74",+3%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Moulin des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,1494 kj(357 kcal),"0,71","10,02","0,02","0,008","['Sachet', 'Plastique']",,,,,3,1.55 g,en faible quantité,0.71 g,en faible quantité,10 g,en quantité modérée,0.02 g,en faible quantité,-7%,-30%,-54%,-96%,-96%,0,-100%,B,-100%,,,,,,,
426,Gnocchi de pommes de terre - Monoprix Gourmet - 500g,3350030147174,B,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",['France'],"['Flocons de pommes de terre réhydratés ', 'origine UE', ' 75% [eau', 'flocons de pommes de terre ', 'pommes de terre', ""émulsifiant : mono - et diglycérides d'acides gras"", 'arôme naturel de curcuma', 'arôme naturel de paprika', ""] - farine de blé tendre - fécule de pomme de terre - lait partiellement écrémé en poudre - œufs liquides pasteurisés - farine de riz - sel - correcteur d'acidité : acide lactique - conservateur : sorbate de potassium - arôme naturel""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,,167,0%,0,-100%,37,+12%,"3,9",-7%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,"['Monoprix Gourmet', 'Monoprix']",['Fabriqué en Italie'],,699 kj(167 kcal),0,0,"0,64","0,256","['Sachet', 'Plastique', 'Frais']",,['Monoprix'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.64 g,en quantité modérée,-0%,-100%,-100%,-43%,-43%,2,-44%,B,-44%,,,,,,,
427,"Saumon Atlantique, fumé et élevé en Ecosse - Monoprix - 80g",3350030175849,E,80 g,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97% - sel 3%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,193,+1%,11,-1%,"0,6",+21%,23,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Monoprix', 'Monoprix Gourmet']",['Label Rouge'],"['FR 29.027.500 CE', 'Châteauneuf-du-Faou (Finistère, France)', 'EMB 29027C', 'Châteauneuf-du-Faou (Finistère, France)']",808 kj(193 kcal),"2,6",0,"2,8","1,12","['plaque carton', 'film plastique', 'à jeter', 'étui carton', 'à recycler']",,['Monoprix'],,,3,11 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,2.8 g,en quantité élevée,+2%,+21%,-100%,-3%,-3%,14,+4%,D,+4%,,,['Ecosse'],,,,
428,Confiture Extra Fraises - Monoprix - 370g,3350033253087,C,370 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],"['Sucre - fraises - gélifiant : pectines-acidifiant: acide citrique', ' Préparée avec 50 g de fruits pour 100 g de produit fini']",[],?,,246,+13%,0,-100%,61,+15%,"0,5",+13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Monoprix'],,"['EMB 19123', 'Malemort-sur-Corrèze (Corrèze, France)', 'EMB 46029A', 'Biars-sur-Cère (Lot, France)']",1029 kj(246 kcal),0,59,0,0,"['Bocal', 'Verre', 'Couvercle', 'Métal', 'Bocal en verre', 'Capsule en métal']",,['Monoprix'],"['E440 - Pectines', 'E330 - Acide citrique']",,4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,+13%,-100%,+16%,-100%,-100%,8,-8%,C,-8%,,,,,,,
429,Boulgour tomates & olives vertes bio - Monoprix Bio ! - 250g,3350033311152,,250g,,['France'],"['Boulgour précuit 82,9% ', 'blé dur concassé', "" - purée de tomates double concentrée* 4,4% - oignons* - tomates séchées en morceaux* 2,3% - olives vertes en rondelles* 2,3% - huile d'olive vierge extra* 2,2% - fécule de pomme de terre* - sel - poivre* - thym* - romarin* - sarriette* - marjolaine* origan* - hysope*"", ' Traces de céleri', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', "" * ingrédients issus de l'agriculture biologique"", ' « Agissons pour demain tous les jours »']",[],?,,171,,"4,2",,25,,"5,4",,,,,,,,,['Monoprix Bio !'],['Bio'],,715 kj(171 kcal),"0,9","1,2","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Oeufs de truite - Monoprix Gourmet - 80g,3350033319059,,80 g,"['Œufs de poisson', 'Oeufs de truite']",['France'],"['Œufs de truite ', 'Oncorhynchus mykiss', ' élevée en France - sel']","['Non végétalien', 'Non végétarien']",?,,170,-8%,44,+456%,"4,7",+106%,28,+4%,,,,,,,,"['Monoprix Gourmet', 'Monoprix']",,"['EMB 40245C', 'Roquefort (Landes, France)']",711 kj(170 kcal),"0,8",0,"2,4","0,96",,,['Monoprix'],,['Poisson'],3,44 g,en quantité élevée,0.8 g,en faible quantité,0 g,en faible quantité,2.4 g,en quantité élevée,-8%,-39%,-100%,-12%,-12%,12,-6%,D,-6%,,,['France'],,,,
431,Quenelles nature - Monoprix - 320g,3350033326132,C,320g,"['Plats préparés', 'Quenelles', 'Quenelles nature']",['France'],"['oEufs frais pasteurisés 33% - semoule de blé dur - eau - beurre 13,5%', ""blancs d'œufs pasteurisés - lactose et protéines de lait - sel - arôme naturel""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,218,-3%,13,-10%,17,+6%,"7,6",+13%,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,['Monoprix'],,"['EMB 69273J', 'Corbas (Rhône, France)', 'FR 69.273.004 CE', 'Corbas (Rhône, France)']",912 kj(218 kcal),"6,5","1,9",1,"0,4",,,['Monoprix'],,['Lait'],4,13 g,en quantité modérée,6.5 g,en quantité élevée,1.9 g,en faible quantité,1 g,en quantité modérée,-2%,+54%,+129%,-5%,-5%,11,+40%,D,+40%,,,,,,,
432,Marrons glacés entiers aux gousses de vanille Bourbon de Madagascar Saveurs - U Saveurs - x10soit 180g,3368950983437,,x10 soit 180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Confiseries de fruits à coques', 'Marrons glacés']",['France'],"['Marrons ', 'sirop de glucose', 'sucre', 'humectant : sorbitol', 'vanille en gousses Bourbon', 'conservateur : sorbate de potassium', "" Ce produit contient un absorbeur d'oxygène : Ne pas le consommer""]",[],1349,-0%,318,+0%,"0,9",+1%,75,+1%,1,-2%,,,,,,,,"['U Saveurs', 'U']","['Bio', 'Point Vert', 'Transformé en France', 'Triman', 'Entreprise de France']",,1349 kj(318 kcal),"0,2",46,"0,06","0,024","['Carton', 'boîte', 'Plastique']",['France'],"['Super U', 'Magasins U']","['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,0.9 g,en faible quantité,0.2 g,en faible quantité,46 g,en quantité élevée,0.06 g,en faible quantité,+1%,+28%,-9%,+60%,+60%,11,-7%,D,-7%,"Confiseries, marrons glacés",,,,,,
433,Cappellacci à la ricotta et aux girolles Saveurs - U Saveurs - 250g,3368951566202,,250 g,['Traiteur'],['France'],"['Farine de BLE tendre 22%', 'girolles cuisinées 16% [girolles 11% ', 'chantarellus cibarius', 'BEURRE', 'eau', 'oignon', 'cèpes séchés ', 'boletus edulis', 'persil', 'sel', 'amidon de maïs', 'ail', 'poivre]', 'RICOTTA ', 'LACTOSERUM', 'LAIT', 'CREME', 'sel', ""correcteurs d'acidité : acide lactique et acide citrique"", 'OEUF entier 11% ', 'soit 398 g par kilogramme de farine de BLÉ tendre et de semoule de BLÉ dur', 'BEURRE', 'chapelure ', 'farine de BLE', 'sel', 'levure de bière', 'semoule de BLE dur 5%', 'CREME', 'GRANA PADANO AOP* 4', '8% ', 'LAIT', 'sel', 'présure', ""conservateur : LYSOZYME d'OEUF"", 'LACTOSERUM en poudre', 'sel', ' Soit 60% de farce et 40% de pâtes fraîches aux OEUFS', 'à la farine de BLÉ tendre et à la semoule de BLÉ dur dans le produit', ' Traces éventuelles de soja', "" Certains ingrédients de ce produit ne proviennent pas d'italie"", "" *AOP : appellation d'origine protégée""]","['Non végétalien', 'Non végétarien']",1185,+19%,283,+22%,14,+49%,29,+17%,"9,2",-3%,,,,,,,,"['U Saveurs', 'U']","['Sans arômes artificiels', 'en:FSC', 'Sans colorants', 'AOP', ""Certains ingrédients ne proviennent pas d'Italie""]",,1185 kj(283 kcal),9,"4,8","1,4","0,56",['Frais'],,['Magasins U'],"['E270 - Acide lactique', 'E330 - Acide citrique', 'E1105 - Lysozyme']","['Œufs', 'Gluten', 'Lait']",4,14 g,en quantité modérée,9 g,en quantité élevée,4.8 g,en faible quantité,1.4 g,en quantité modérée,+22%,+157%,+120%,+31%,+31%,16,+199%,D,+199%,,,,,,,
