,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
226,Confiture de mangue,6186000527199,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Pain complet de deigle,3175681085619,['France'],[],[],?,214,895 kj(214 kcal),"3,7","0,5",34,"2,7","5,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Gite noix/gite hache,2808001051032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Hakkao,3365072870324,['France'],[],[],?,164.89999389648,690 kj(164 kcal),"3,4",0,"22,4","2,5","11,3","1,494","0,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Miel d'été,3770009370189,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
231,Cardons effilés à la main,3760296030071,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Pop’s,3277440008089,['France'],[],[],?,42,176 kj(42 kcal),0,0,"10,6","10,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Poitrine cuite supérieur 3 tranches VPF 251gr,2478872023614,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,
234,Poitrine cuite supérieur 3 tranches VPF 214gr,2478872020149,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 35152B', 'Liffré (Ille-et-Vilaine, France)', 'FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,
235,Zollipops,0853231003346,['France'],[],[],?,35,146 kj(35 kcal),0,0,15,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Pâté au lapin au muscadet 165gr,2463553023687,['France'],[],[],?,328,1372 kj(328 kcal),29,11,"1,7","0,9",14,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Miel d’auvergne,3770011028085,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Coco rolls,8719189419924,['France'],[],[],?,534,2234 kj(534 kcal),29,24,63,45,"5,2","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Escalope poulet,2447040019742,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,7","0,1","0,1",23,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Mélange grillées et salées,8690123302505,['France'],[],[],?,645,2699 kj(645 kcal),51,7,25,5,17,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Basilic,3770010360025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Cosmos energy Fruits exotiques,3770015134003,['France'],[],[],?,49,205 kj(49 kcal),"0,01",0,12,"11,8","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Rib's barbecue cuit,2203478033855,['France'],[],[],?,176,736 kj(176 kcal),"10,5","2,9","1,8","0,8","18,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,
244,Baguette T80,00032018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Sardines à l'huile d'olive vierge extrz - La Quiberonnaise,3339571210004,['France'],[],[],?,264,1105 kj(264 kcal),"19,75","3,86",0,0,"21,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Quiberonnaise'],,,,,,,,,
246,brochette boeuf,2666496060287,['France'],[],[],?,185,774 kj(185 kcal),13,"4,6","1,1","0,5",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Saucisse Francfort,2283938023022,['France'],[],[],?,262,1096 kj(262 kcal),24,"9,2","0,5","0,5",11,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Listki waflowe,5900056011867,['France'],[],[],?,520,2176 kj(520 kcal),30,15,52,37,"5,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Pain spécial épeautre et fruits secs,3602826553554,['France'],[],[],?,250,1046 kj(250 kcal),1,"0,2",52,11,"6,4","1,01","0,404",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",,1 g,en faible quantité,0.2 g,en faible quantité,11 g,en quantité modérée,1.01 g,en quantité modérée,,-7%,-7%,-57%,-46%,+6%,+426%,-34%,-17%,-17%,6,+99%,C,+99%,,,,,,,,,,,,,,,,,,,
250,Torção azul marshmallows,7898591453793,['France'],[],[],?,325,1360 kj(325 kcal),20,0,80,19,"4,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Papaye cube deshydratee,2600127022961,['France'],[],[],?,342,1431 kj(342 kcal),0,0,85,76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Pois Cassés - Sa Majesté la Graine,3770009690249,['France'],[],[],?,330,1381 kj(330 kcal),"1,36","0,23","46,8","3,68",22,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois cassés secs']",,1.36 g,en faible quantité,0.23 g,en faible quantité,3.68 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,-11%,+1%,-4%,+4%,-2%,-100%,-100%,-1,,A,,64.4%,0.0%,18.1%,9.3%,5.1%,3.1%,95,,,['Sa Majesté la Graine'],,,,,,,,,
253,Emozione,8032181026953,['France'],[],[],?,328,1372 kj(328 kcal),0,0,"78,7","78,7","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Tranches de Filet de dinde,2614143032545,['France'],[],[],?,110,460 kj(110 kcal),"1,1","0,4",0,0,25,"0,16","0,064",,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,
255,Crispy - Noel,8410783341870,['France'],[],[],?,?,,?,,?,,?,,,,,,['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Noel'],,,,,,,,,
256,Cantal AOP entre deux,2892345023084,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Les galettes bretonnes - La Trinitaine,3260260034062,['France'],[],[],?,465,1946 kj(465 kcal),18,12,68,27,"6,1","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Trinitaine'],,,,,,,,,
258,Pain cereales a la coupe,0206917010952,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Mirinda,5900497025454,['France'],[],[],?,31,130 kj(31 kcal),0,0,"7,8","7,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Madeleine pépites de chocolat,80998747,['France'],[],[],?,380,1590 kj(380 kcal),14,"2,9",60,28,"6,1","0,96","0,384",,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,14 g,en quantité modérée,2.9 g,en quantité modérée,28 g,en quantité élevée,0.96 g,en quantité modérée,,-15%,-15%,-40%,-57%,+15%,-1%,+7%,+26%,+26%,16,-13%,D,-13%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,,
261,Brioche pepite de chocolat - 400g,3506910000132,['France'],[],[],?,362,1515 kj(362 kcal),"12,7","6,5","52,5","17,8","7,7","0,71","0,284",400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Nectar de rhubarbe,2004070005086,['France'],[],[],?,57.6,241 kj(57 kcal),"0,1",0,"12,9","12,9","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Salade de choux,0205087026442,['France'],[],[],?,218,912 kj(218 kcal),19,"4,8","3,1","0,8",8,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Moutarde aux noix,3598960031136,['France'],[],[],?,175,732 kj(175 kcal),"14,9",1,"4,5","2,8",6,"5,8","2,32",,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au noix']",,14.9 g,en quantité modérée,1 g,en faible quantité,2.8 g,en faible quantité,5.8 g,en quantité élevée,,-25%,-25%,-6%,-25%,-35%,-8%,-14%,+25%,+25%,12,-6%,D,-6%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,
265,Salade faim d ete,0291427030903,['France'],[],[],?,80,335 kj(80 kcal),"5,79","1,82","3,88","2,99","2,2","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Ketchup,3760124504552,['France'],[],[],?,119,498 kj(119 kcal),"0,1","0,1","27,6","25,3","1,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Champignons noirs,3662317010751,['France'],[],[],?,304,1272 kj(304 kcal),"0,4","0,2",66,22,"10,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Filet de poulet,0213400025256,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,1","0,04",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,,,
269,Rosé BIO,3179075024062,['France'],[],[],?,?,,?,0,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Bouchées sucrées au chocolat,54607545,['France'],[],[],?,358,1498 kj(358 kcal),14,11,52,20,"7,1","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Les sarments,3760109080606,['France'],[],[],?,525,2197 kj(525 kcal),31,31,56,56,"0,01","7,4","2,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Dessert fruité Andros,3608580025979,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Andros'],,,,,,,,,
273,Morbier,0209506024606,['France'],[],[],?,354,1481 kj(354 kcal),30,21,16,0,22,"1,6","0,64",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,0%,+0%,+4%,+8%,+1959%,-100%,-3%,+12%,+12%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
