,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
0,stracciatella vla karamel,20426583,['France'],[],[],?,441,1845 kj(441 kcal),"3,6","2,3","15,9","11,2","0,11","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chorizo barbecue - 400g,8414169152883,['France'],[],[],?,461,1929 kj(461 kcal),43,11,"2,5","0,5","15,8",2,"0,8",400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fruit express (pêche),0024000104391,['France'],[],[],?,50,209 kj(50 kcal),0,0,11,11,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plateau grill,20303129,['France'],[],[],?,293,1226 kj(293 kcal),25,10,"2,9",2,12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Diet Coke,5449000054593,['France'],[],[],?,0.20000000298023,1 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charme de cos labory,3453521248258,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Burger saumon flambé,6407009000972,['France'],[],[],?,216,904 kj(216 kcal),"14,5","2,1","0,65","0,25","21,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisson à l'ail,2466841016408,['France'],[],[],?,821,3435 kj(821 kcal),28,11,"0,5","0,5",17,"1,8","0,72",,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","[""Saucisson à l'ail""]",28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+201%,+199%,+26%,+29%,-55%,-30%,+6%,-15%,-15%,27,+40%,E,+40%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,,,
8,Amandes grillees a sec et salees,2600150031756,['France'],[],[],?,662,2770 kj(662 kcal),"52,5",4,21,"4,9",21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quiche saumon brocolis,2615482020408,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Corn flakes,16175693,['France'],[],[],?,377,1577 kj(377 kcal),"1,2","0,6",82,"5,7","7,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Lomo au piment doux,2676319039758,['France'],[],[],?,112,469 kj(112 kcal),34,"4,3",13,1,"20,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OLI ! OVÀ !,8429874262086,['France'],[],[],?,523,2188 kj(523 kcal),"31,5","2,9","50,3","0,1","6,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jambon cuit,2204784024865,['France'],[],[],?,176,736 kj(176 kcal),"9,7","3,8",0,0,23,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 16.015.015 CE', 'Angoulême (Charente, France)']",,,,,,,,,,,
14,Galantine de volaille forestière x5 - Cosme,0244728021125,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],['Cosme'],,,,,,,,,
15,Saucisse miel thym et chèvre des Alpes,2853257042778,['France'],[],[],?,183,766 kj(183 kcal),14,"5,1","2,2","1,7",12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 13.216.020 CE', 'Marseille 16e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,,,
16,Cocktail mediterraneo,8410021012067,['France'],[],[],?,142,594 kj(142 kcal),16,3,"0,1","0,1","0,9",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Orange Postmix Bag-in-box, Doos 5 Liter - Fanta",5449000000958,['France'],[],[],?,25.799999237061,108 kj(25 kcal),0,0,"6,6","6,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fanta'],,,,,,,,,
18,Le torchonay,0209083022705,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chignon Bergeron,3387210005634,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Terrine de campagne aux marrons - Le Bois Jumel,3176630301057,['France'],[],[],?,380,1590 kj(380 kcal),34,12,"4,9","0,9",15,"1,3","0,52",,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",34 g,en quantité élevée,12 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+18%,+18%,+20%,+11%,+114%,+4%,+7%,-19%,-19%,19,-2%,E,-2%,,,,,,,,,,['Le Bois Jumel'],,,,,,,,,
21,Pate maraichin,3485311351039,['France'],[],[],?,352,1473 kj(352 kcal),29,"9,9","2,3",1,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Rosé roxane,3701172707083,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,
23,Ifri ananas coco,6130093064888,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,4","6,4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tomato & Basil Pasta sauce - Baresa,4056489306856,['France'],[],[],?,89,372 kj(89 kcal),"6,1","0,8","6,3","5,5","1,5","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Baresa', 'Lidl']",,,,,,,,,
25,Roquefort,0202353041789,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mimolette Demi Vielle,0204361024730,['France'],[],[],?,364,1523 kj(364 kcal),26,"18,4","1,5","1,5",31,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Boisson instantanée à l'ananas,5281010631247,['France'],[],[],?,96,402 kj(96 kcal),0,0,25,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jambon blanc,2291115027756,['France'],[],[],?,140,586 kj(140 kcal),"6,6","2,4","0,5","0,5",20,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fleur de sel,3558180022031,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5 baies,0209022020861,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Nappage l original Caramel au beurre salé - Carabreizh,3760029248728,['France'],[],[],?,341,1427 kj(341 kcal),9,"6,4",63,44,"2,5","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carabreizh'],,,,,,,,,
32,Kouign Amann,0207931058388,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",,,,,,,,,,,,,,,,,,,,,,,,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,,,
33,Ulker Sutlu Sekerleme / Bonbon Hard Candy W / Milk - 275 GR,8690840183289,['France'],[],[],?,378,1582 kj(378 kcal),"3,2","3,2",87,67,"0,54","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tarte frangipane au poires,0219501045261,['France'],[],[],?,300,1255 kj(300 kcal),17,"6,9",31,21,"5,2","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Muesli Con Chocolate Eco Basics,8411058000164,['France'],[],[],?,349,1460 kj(349 kcal),"4,4","1,3","60,8","3,7","10,8","0,2","0,08",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']",,4.4 g,en quantité modérée,1.3 g,en faible quantité,3.7 g,en faible quantité,0.2 g,en faible quantité,,-21%,-21%,-72%,-75%,-1%,-81%,+16%,-18%,-18%,-5,-155%,A,-155%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,['Eco Basics'],,,,,,,,,
36,Viande séchée de boeuf - El Manzanal - 162g,8428909270102,['France'],"['Viande de boeuf', 'sel', 'sucre', 'antioxydant E-331', 'conservateurs E252', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",868,206,868 kj(206 kcal),7,"2,1","0,8","0,8",35,"4,5","1,8",162 g,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",['Fumé au bois de chêne'],7 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,4.5 g,en quantité élevée,-7%,-23%,-22%,+66%,+40%,-94%,-92%,-11%,+23%,+23%,14,-4%,D,-4%,,,,,,,,['ES 10.21021/LE CE'],['Sachet sous vide'],['El Manzanal'],,['Espagne'],['Noz'],"['E331 - Citrates de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,
37,Dates Bochra,3760093153621,['France'],[],[],?,318,1331 kj(318 kcal),"0,5","0,1",73,68,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Basil Seed,8935270808624,['France'],[],[],?,41,172 kj(41 kcal),0,0,"10,2","9,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hipp,4062300390263,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hipp'],,,,,,,,,
40,Cardamome fruit entier,3700457101479,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pommes rubinette,3760251920072,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LAIT Caramel sel de Salies-de-Béarn - Antton,3514962720953,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Antton'],,,,,,,,,
43,Lait de suite - Holle,7640161877719,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Holle'],,,,,,,,,
44,Glace - Amanhecer,5601227017830,['France'],[],[],?,18.1,76 kj(18 kcal),"4,7","3,7","20,6","15,1","1,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Amanhecer'],,,,,,,,,
45,Sorbet orange sanguine - Glace de la Ferme,8718531511385,['France'],[],[],?,149,623 kj(149 kcal),"0,1",0,"36,9","31,7","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glace de la Ferme'],,,,,,,,,
46,Isolate - Prozis,5600499507513,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,
47,PANELA Dehydrated Cane Juice FONCE,7707268420405,['France'],[],[],?,15,63 kj(15 kcal),0,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Infusion Detox n°07,3554740402077,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lait praliné croustillant - Côte d'Or - 310g (2x155g),7622201127022,['France'],"['Praliné 28 % ', 'noisettes', 'sure', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait écrémé en poudre', 'farine de riz ', '4 %', 'graisses végétales ', 'palme', 'karité', 'lactosérum en poudre ', 'de lait', 'beurre concentré', 'émulsifiants ', 'lécithine: de soja', 'E471', 'sel', 'arômes', ' Peut contenir autres fruits à coque et blé']","['Huile de palme', 'Non végétalien']",?,540,2259 kj(540 kcal),32,15,55,49,"7,2","0,24","0,096",310 g (2x155g),E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",,32 g,en quantité élevée,15 g,en quantité élevée,49 g,en quantité élevée,0.24 g,en faible quantité,,-2%,-2%,-7%,-17%,+5%,-1%,+11%,+23%,+23%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,"[""Côte d'Or""]",,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,Chocolat au lait fourré (49 %) au praliné noisettes et riz croustillant.,"['Lait', 'Fruits à coque', 'Soja']",,
50,Natural fitness food,54200753,['France'],[],[],?,368,1540 kj(368 kcal),"9,3","2,7","21,4","13,8","40,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Cookies,8023696007681,['France'],[],[],?,466,1950 kj(466 kcal),18,11,67,39,"7,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tutu,5425002289300,['France'],[],[],?,257.92001342773,1079 kj(257 kcal),"0,08","0,07","61,07","42,14","3,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bâtonnets de poulet,5010069720677,['France'],[],[],?,185,774 kj(185 kcal),"6,3","0,9","19,4","1,9","12,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0628055209515,0628055209515,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0852154008018,0852154008018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chocolate lowfat milk,0022451013309,['France'],[],[],?,72.033898305085,301 kj(72 kcal),"1,059","0,636","12,288","11,864","3,39","0,122","0,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,La blanche,3760102310182,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Coctel picante Aceitunas verdes rellenas - Hacendado,8480000330819,['France'],[],[],?,65.400001525879,274 kj(65 kcal),"5,6","1,7","0,4","0,4","1,3","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hacendado'],,,,,,,,,
59,Croissant pur beurre,3999912080521,['France'],[],[],?,383,1602 kj(383 kcal),21,14,40,"6,9","6,8","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nectar de cerise,3760263220207,['France'],[],[],?,64,268 kj(64 kcal),"0,5","0,1",14,14,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1KG Herbes Provence Cepasco Espig,3102870009125,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Espig'],,,,,,,,,
62,Spécialité au pruneau,2600185035293,['France'],[],[],?,245,1025 kj(245 kcal),"0,3","0,1",55,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Myrtille sauvage,,['France'],[],[],?,256,1071 kj(256 kcal),"0,5","0,1",60,55,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mundo En Tubo Recetas Fáciles: Pescado Pack,3760116744027,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Pain d'épices orange, gingembre, coriandre - Mulot & Petitjean",3760129923006,['France'],[],[],?,342,1431 kj(342 kcal),"2,6","1,5","74,7","42,8","4,8","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mulot & Petitjean'],,,,,,,,,
66,Petits pois,3193840004707,['France'],[],[],?,72,301 kj(72 kcal),"0,6","0,1","8,7","4,1","4,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Coeur de jambon cru,2401235107058,['France'],[],[],?,2,8 kj(2 kcal),"12,6","4,99","0,48","0,33","28,7","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 43.241.004 CE', 'Solignac-sur-Loire (Haute-Loire, France)']",,,,,,,,,,,
68,Confiture framboise -,3700422200206,['France'],"['Brisure de framboise', 'purée de framboise sucre', 'pectine', 'jus de citron']",[],?,162,678 kj(162 kcal),"0,2",0,"36,5","35,9","0,9","0,02","0,008",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,0.2 g,en faible quantité,0 g,en faible quantité,35.9 g,en quantité élevée,0.02 g,en faible quantité,,-28%,-28%,-26%,-100%,-32%,-30%,+33%,-6%,-6%,7,-21%,C,-21%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,['E440 - Pectines'],4,,,,
69,Confiture abricot vanille - La Maison des Fruits,3770011236176,['France'],[],[],?,181,757 kj(181 kcal),0,0,44,42,0,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,0 g,en faible quantité,0 g,en faible quantité,42 g,en quantité élevée,,,,-17%,-17%,-100%,-100%,-17%,-17%,-100%,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,['La Maison des Fruits'],,,,,,,,,
70,Brûleur Fort - Léa Nature,3456300013313,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Léa Nature'],,,,,,,,,
71,Mini cake,20822392,['France'],[],[],?,458,1916 kj(458 kcal),25,"3,6",53,24,"3,9","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BLÅBÆR SHOTS,5713887000234,['France'],[],[],?,93,389 kj(93 kcal),0,0,23,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Chiffonade chorizo,3453890005209,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Thé des enfants - Palais des Thés,3700256706622,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,
75,Confiture,3760012030071,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Organic Flax Powder,9523517975384,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0260753026249,0260753026249,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Yemas de Espárragos blancos,8413080081975,['France'],[],[],?,17,71 kj(17 kcal),"0,24","0,24","1,45","1,45","1,3","1,15","0,46",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",,0.24 g,en faible quantité,0.24 g,en faible quantité,1.45 g,en faible quantité,1.15 g,en quantité modérée,,-6%,0%,+5%,+462%,-22%,+10%,-4%,+41%,+41%,0,,B,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,
79,Melange Caraibes,2600303018245,['France'],[],[],?,435,1820 kj(435 kcal),"19,5","2,5","54,4","52,3","7,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Café - Cafés Dagobert,3770001467535,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cafés Dagobert'],,,,,,,,,
81,Jus de pomme des vergers du pere ernest,3760068470111,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Torta crem patissier,0205612091181,['France'],[],[],?,297,1243 kj(297 kcal),17,10,31,9,4,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Pain pavé céréales,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Melon de Cavaillon et orange - La Roumanière,3760003780848,['France'],[],[],?,258,1079 kj(258 kcal),"0,4","0,2","63,6","62,1","0,6",0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",,0.4 g,en faible quantité,0.2 g,en faible quantité,62.1 g,en quantité élevée,0 g,en faible quantité,,+19%,+18%,+34%,+287%,+22%,+23%,+9%,-100%,-100%,12,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['La Roumanière'],,,,,,,,,
85,Kinder joy,8000500334225,['France'],[],[],?,550,2301 kj(550 kcal),32,"15,4","56,5",51,"8,2","0,318","0,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kinder'],,,,,,,,,
86,Gouda cumin,0248200023423,['France'],[],[],?,376,1573 kj(376 kcal),"30,9","20,9",0,,"23,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Chorizo sarta doux,7600570500097,['France'],[],[],?,31,130 kj(31 kcal),"11,4","3,1","1,9","1,9","1,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cabaude triple,3770006061035,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2165639005654,2165639005654,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pates alimentaires,3701373111184,['France'],[],[],?,300,1255 kj(300 kcal),2,"0,3",72,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,pains au chocolat,0203855011812,['France'],[],[],?,449,1879 kj(449 kcal),26,17,46,14,"7,7","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Donut chocolat,2020000395256,['France'],[],[],?,436,1824 kj(436 kcal),27,14,39,14,"7,7",1,"0,4",,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,27 g,en quantité élevée,14 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,,+0%,+1%,+4%,+11%,-8%,-11%,+19%,-4%,-4%,22,+2%,E,+2%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,
93,Mélange Pour Cocktail Daïquiri Fraise,3662051003750,['France'],[],[],?,340,1423 kj(340 kcal),"0,3",0,81,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pure Pressed Apple And Raspberry Juice,5053947599255,['France'],[],[],?,52,218 kj(52 kcal),"0,2",0,"10,9","10,5","0,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Rolls maki,3760253240031,['France'],[],[],?,160,669 kj(160 kcal),"4,7","1,2",26,"4,9",7,"1,3","0,52",,,"['Plats préparés', 'Sushis et makis', 'Makis']",,4.7 g,en quantité modérée,1.2 g,en faible quantité,4.9 g,en faible quantité,1.3 g,en quantité modérée,,+15%,+24%,+11%,+22%,+12%,+46%,+53%,+24%,+24%,4,-9%,C,-9%,,,,,,,,,,,,,,,,,,,
96,Lapin entier découpé avec foie,2258955010867,['France'],[],[],?,117,490 kj(117 kcal),"3,4","1,2","0,7","0,7",21,"0,13","0,052",,D,"['Viandes', 'Viande de lapin']",,3.4 g,en quantité modérée,1.2 g,en faible quantité,0.7 g,en faible quantité,0.13 g,en faible quantité,,-24%,-26%,-57%,-50%,+0%,+66%,+7%,-74%,-74%,-3,-592%,A,-592%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
