,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,ingredients_origins,nutriment_saturated-fat_tr_diff,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,traceability_code,generic_name,manufacturing,link,markets,additives,allergens,nova_score,brand_owner,palm_ingredients,producer_info
1918,Miel l'Apiculteur Montagne - 250g,3088540252568,,['France'],['Miel de Montagne'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,,?,?,,,,,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"[""L'Apiculteur""]","['France', 'Espagne']",,250 g,,,,,,,,,,,,,,,,,"['Pot', 'Verre']",,,"['Pyrénées', 'France']",,['Casino'],,,2,,,
1919,375G Miel De Bruyere LDM - Lune de Miel - 375g,3088540374109,,['France'],[],[],?,?,?,,?,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de bruyère']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Lune de Miel'],"['France', 'Espagne', 'Mélange']",,375 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,Terre De Miel Miel Bio Crémeux 500G - 500g,3088549502299,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Terre de Miel'],,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,JAMBON CUIT SUPÉRIEUR 10TRANCHES - Carnivor,3089739951002,['Qualité supérieure'],['France'],"['? jambon de porc ', 'origine UE', 'sel', 'dextrose', 'bouillon ', 'couenne et os de porc', ' extraits de légumes', 'épices et plantes aromatiques', 'arômes', ' antioxydant E316', 'Conservateur  E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,115,35,"1,4","0,9",20,481 kj(115 kcal),"0,9",2,"0,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,-13%,+629%,+35%,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Carnivor'],,-24%,,35 g,en quantité élevée,1.4 g,en faible quantité,0.9 g,en faible quantité,2 g,en quantité élevée,-12%,+51%,+7%,+7%,5,-29%,C,-29%,,,,,,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,
1922,Sirop de fraise - Teisseire - 75cl,3092718609771,,['France'],[],[],?,340,?,0,?,0,1423 kj(340 kcal),85,0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,+27%,,,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Teisseire'],,-100%,75 cl,,,,,,,,,+25%,+24%,-100%,-100%,,,,,,,,,,,,,,,,
1923,Le 0% Pink Grapefruit Sugar Free Cordial - Teisseire - 60cl,3092718613105,"['Peu ou pas de sucre', 'Fabriqué en France', 'Sans sucre']","['France', 'Suisse']","['Eau', 'jus de pamplemousse rose à base de concentré 14 %', 'agent de charge : polydextrose', 'acidifiant : acide citrique', 'arômes naturels de pamplemousse avec autres arômes naturels', 'épaississant : gomme xanthane', 'colorants : E163', 'E120', 'édulcorants : sucralose', 'glycosides de stéviol', 'conservateurs : sorbate de potassium', 'benzoate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",102,24,0,0,"1,7",0,102 kj(24 kcal),"1,6","0,03","0,012",A,"['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'Sirops aromatisés sans sucre', 'Boissons sans sucre ajouté']",+92%,+71%,-100%,+50%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Teisseire'],,-100%,60 cl,,,,,,,,,+82%,+128%,-35%,-35%,,,,,['Acier'],,Boisson concentrée au pamplemousse rose à diluer,['France'],,['Noz'],"['E1200 - Polydextrose', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E955 - Sucralose', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,4,,,
1924,"Fruit Shoot Fruizéo Fraise - Teisseire - 1,25L",3092718621568,"['Peu ou pas de sucre', 'Sans sucre ajouté']",['France'],"['Jus à base de concentrés 50 % ', 'pomme 38,5 %', 'fraise 10 %', 'carotte pourpre', 'eau de source ', '48 %', 'arômes naturels', 'acidifiant : acide citrique', 'antioxygène : acide ascorbique']",[],?,21,~ 0,~ 0,"4,7",~ 0,88 kj(21 kcal),"4,5",~ 0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons sans sucre ajouté']",,-52%,-100%,-46%,-100%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['Teisseire'],,-100%,"1,25 L",0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0 g,en faible quantité,-55%,-34%,-100%,-100%,4,-27%,C,-27%,"['Bouteille', 'Plastique']",,Boisson rafraîchissante à la fraise et à l'eau de source,['France'],http://www.teisseire.fr/gammes/fruit-shoot.html,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,4,,,
1925,Jambon Le tranché fin -25% de sel - Fleury Michon - 270g,3095756255016,"['Viande Française', 'Nutriscore', 'Viande Porcine Française']",['France'],"['Jambon de porc', 'sel', 'bouillon ', 'eau', 'plantes aromatiques', 'épices ', ' dextrose de mais', 'extrait de levure', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,112,"2,4","0,8","0,7",22,469 kj(112 kcal),"0,7","1,4","0,56",C,"['Viandes', 'Charcuteries', 'Jambons', 'Porc', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']",,0%,-17%,+9%,+4%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Fleury Michon'],['France'],-26%,270 g,2.4 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en faible quantité,1.4 g,en quantité modérée,-1%,+13%,-1%,-1%,2,-16%,B,-16%,"['Film', 'Plastique', 'Sous atmosphère protectrice']","['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)', 'FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,
1926,"Blanc poulet rôti tournebroche 4 tranches fines, lot de2, soit - Fleury Michon",3095756364015,['Sans conservateurs'],['France'],"['Filet de poulet 91 bouillons ', '1,8%', ' ', 'eau', 'os de poulet', 'sel', 'épices', 'carotte', '{0,01 oignon', 'poireau', 'udre de ré""Fse', 'sel ', '1,7% ', 'dextrose de mais,jus concentré de et de carotte', 'ferments', 'co orant: caramel ordinaire', ' R/iande 100% filet de poulet', ' "" Contient des nitrites d\'origine végétale pour assurer la bonne conservation du produit Une allergie ? Plus d\'infos sur : wwùleurymichon', 'fr dont Matières dont acides Glucides Protéines Sel']","['Non végétalien', 'Non végétarien']",?,106,"1,6","0,4",1,22,444 kj(106 kcal),1,"1,8","0,72",,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches']",,-2%,-27%,-26%,+9%,,,,,,,,['Fleury Michon'],,-39%,,1.6 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,1.8 g,en quantité élevée,-1%,+14%,-5%,-5%,3,-38%,C,-38%,,"['FR 85.051.003 CE', 'Chantonnay (Vendée, France)']",,,,,['E150a - Caramel E150a'],,4,,,
1927,Eminces de poulet roti -25% de sel - Fleury Michon,3095756575015,,['France'],[],[],?,171,"8,8","2,2",1,22,715 kj(171 kcal),1,"1,4","0,56",,,,,,,,,,,,,,,['Fleury Michon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
