,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,ingredients_origins,nutriment_saturated-fat_tr_diff,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,traceability_code,generic_name,manufacturing,link,markets,additives,allergens,nova_score,brand_owner,palm_ingredients,producer_info
0,Hami frol,3469980014136,['Bio'],['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Véritable chorizo espagnol,2688497017459,,['France'],[],[],?,426,"34,3","27,1","0,1","29,4",1782 kj(426 kcal),"0,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Glace au lait de brebis agrumes,3770017575026,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2254562070218,2254562070218,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sauce aux poivres,0066701001050,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Protein Vegetable Freaking Good peanut butter flavor,5600961107784,,['France'],[],[],?,390,"5,3","1,5","6,6",79,1632 kj(390 kcal),0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Original,5060113918062,,['France'],[],[],?,90,"0,5","0,3",19,2,377 kj(90 kcal),10,"0,287","0,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Comté Affiné 18 mois AOP,2480477075509,,['France'],[],[],?,?,?,,?,?,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ferme la grande fontaine,3760274810008,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bonbons framboise et myrtille,3760193720211,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Glace chocolat Geronimi - Chocolat Bonnat,01345001,,['France'],[],[],?,211,10,"4,8",25,"4,4",883 kj(211 kcal),19,"0,2","0,08",,,,,,,,,,,,,,,['Chocolat Bonnat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,chateau beaulieu,3604894721170,,['France'],[],[],?,?,?,0,?,?,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,230g,8425408016835,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,honeybush roibos,6009214501574,,['France'],[],[],?,1,0,0,"0,2","0,1",4 kj(1 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Millville,4099100116373,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Millville'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ricore,4376595505913,,['France'],[],[],?,1,0,0,"0,3","0,2",4 kj(1 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Limoncello,8003253000157,,['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jelly belly flaming,0071570012359,,['France'],[],[],?,360,0,0,90,0,1506 kj(360 kcal),69,"0,32","0,128",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",,+3%,-100%,+5%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,-100%,,0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0.32 g,en quantité modérée,+3%,+12%,+286%,+286%,15,+9%,D,+9%,,,,,,,,,,,,
18,"Poulet fumé - Fumets des Salazés - 1,405kg",2249916052545,,['France'],[],[],?,199,"14,2",0,"0,5","17,5",833 kj(199 kcal),0,"1,05","0,42",D,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Volailles cuites', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches', 'Blancs de poulet fumé']",,+27%,+84%,-62%,-8%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Fumets des Salazés'],,-100%,"1,405 kg",14.2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.05 g,en quantité modérée,+32%,-100%,-39%,-39%,1,-84%,B,-84%,['Sous-vide'],,,,,,,,,,,
19,Timbale fraise Chantilly E.LECLERC,,,['France'],[],[],?,830,13,"8,8",18,"2,1",3473 kj(830 kcal),15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cocktail plaisir,3481010093140,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Filet Mignon de porc,2209257004009,,['France'],[],[],?,128,4,"1,3",0,"0,15",536 kj(128 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,
22,Poulet cuit fumé,2209625006697,,['France'],[],[],?,170,"9,6","2,8",1,20,711 kj(170 kcal),"0,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Viognier Jaboulet 2019,3105717650191,,['France'],[],[],?,?,?,,?,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Escalope de DINDE,0209464061200,,['France'],[],[],?,?,?,,?,?,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Beignets chocolat noisette,0200401019353,,['France'],[],[],?,385,18,2,47,"6,5",1611 kj(385 kcal),19,"0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pain chocolat tournesol,0202262019022,,['France'],[],[],?,405,23,11,40,"8,4",1695 kj(405 kcal),11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,beignet,0205257040018,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,La verte,3660088166332,,['France'],[],[],?,22,"1,3","0,2","1,2","0,7",92 kj(22 kcal),"1,2","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Prefou tomate basilic,3173310022585,,['France'],[],[],?,313,"17,4","9,2","34,1","6,2",1310 kj(313 kcal),"2,2","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Filet de Poulet,2227528023689,,['France'],[],[],?,?,?,,?,?,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Orge Perlé - Yarden,3423990000046,,['France'],[],[],?,334,"1,8","0,3","63,6","10,3",1397 kj(334 kcal),"2,1",0,0,,,,,,,,,,,,,,,['Yarden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Marmelada extra,5346275153030,,['France'],[],[],?,1044,0,0,60,0,4368 kj(1044 kcal),59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Souris d’agneau,0211937038312,"['Nutriscore', 'Nutriscore C']",['France'],[],[],?,159,"8,8",4,"0,5",20,665 kj(159 kcal),"0,5","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tomate séchée,2600102026830,,['France'],[],[],?,331,3,"0,4",56,14,1385 kj(331 kcal),21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Salchichas de pollo ecológico,2675471007568,['Bio'],['France'],[],[],?,147,"9,15","3,42","0,4","16,12",615 kj(147 kcal),"0,4","1,52","0,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Poulet cuit,2410750031687,,['France'],[],[],?,166,"9,5","2,8","1,1",19,695 kj(166 kcal),"0,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Noir papouasie 70% cacao - Chocolaterie Monbana,3474340015180,,['France'],[],[],?,533,38,24,31,"8,8",2230 kj(533 kcal),27,,,,,,,,,,,,,,,,,['Chocolaterie Monbana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jus pomme et fleur de sureau,3701033000520,,['France'],[],[],?,54,"0,5","0,1","12,9","0,5",226 kj(54 kcal),"12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5690548220104,5690548220104,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Nusco protein,58221341,,['France'],[],[],?,588,44,"6,2",23,22,2460 kj(588 kcal),"0,3","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Onglet,2494593022378,,['France'],[],[],?,153,"8,6","3,8",0,19,640 kj(153 kcal),0,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bonbons Lutti Teddy aux fruits,3116740036074,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Lutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Grattons Lyonnais,2628451018313,,['France'],[],[],?,675,59,25,"2,9",33,2824 kj(675 kcal),"0,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Merguez,0261378025129,,['France'],[],[],?,224,"17,6","8,7","1,2","15,1",937 kj(224 kcal),0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 33.036.007 CE', 'Bazas (Gironde, France)']",,,,,,,,,,
45,Mushroom cacao mix,4897039310479,,['France'],[],[],?,25,1,0,4,0,105 kj(25 kcal),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Soumbala,3770008260269,,['France'],[],[],?,432,"28,8",0,"23,6","36,5",1807 kj(432 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nectar Tropical - Spring Valley,3516130001949,,['France'],[],[],?,42,0,0,10,"0,5",176 kj(42 kcal),10,0,0,,,,,,,,,,,,,,,['Spring Valley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,croquant chocolat,0208759015287,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Miel azahar,8431523100328,,['France'],[],[],?,0,?,,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sève de bouleau Probio-minceur -,3760255414300,,['France'],[],[],?,?,?,,?,?,,,,,,['Sèves de bouleau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thé Rooibos,3700324432453,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Cracker - Conad,8003170045590,,['France'],[],[],?,448,18,"8,1","61,5","8,4",1874 kj(448 kcal),"10,5","2,5",1,,,,,,,,,,,,,,,['Conad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Petit fromage bio au lait de brebis,3273220541432,['Bio'],['France'],[],[],?,207,17,"11,6","2,5",11,866 kj(207 kcal),"2,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Chunks de poulet,3596690775597,"['Nutriscore', 'Nutriscore B']",['France'],[],[],?,234,12,"2,4",17,14,979 kj(234 kcal),"0,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pralin,3781414902506,,['France'],[],[],?,533,32,"2,6",52,"11,3",2230 kj(533 kcal),51,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Filet plt blanc label rouge,2297800040345,['Label Rouge'],['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.024.011 CE', 'Carhaix-Plouguer (Finistère, France)']",,,,,,,,,,
57,Pavé Thym Romain,2410845042833,,['France'],[],[],?,0,?,,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.147.002 CE', 'Favières (Eure-et-Loir, France)']",,,,,,,,,,
58,vitamine D3 végétale,3770008013278,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Lot de 5 saucissons ""le séchoir des Alpes""",3303820500185,,['France'],[],[],?,458,37,15,4,27,1916 kj(458 kcal),3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 04.112.004 CE', 'Manosque (Alpes-de-Haute-Provence, France)']",,,,,,,,,,
60,Chaudin de porc,2277998049337,,['France'],[],[],?,261,"24,2",13,0,"10,9",1092 kj(261 kcal),0,"1,98","0,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Chorizo lomo en chiffonade,2286115020333,,['France'],[],[],?,349,28,11,"3,1",22,1460 kj(349 kcal),"3,1","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Herbes de provence - Sainte Lucie,3162050010501,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Sainte Lucie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Crème de foie,0209089009779,,['France'],[],[],?,317,28,10,3,11,1326 kj(317 kcal),1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Olio ectra vergine di oliva italiano - Fiorfiore,8005781201020,,['France'],[],[],?,?,?,,?,?,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Italie"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Fiorfiore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,New Orleans Chicken Crispy Onigiri,5060198536670,,['France'],[],[],?,159,"1,4","0,3","31,2","4,8",665 kj(159 kcal),"0,9","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Saucisson à cuire de Lyon Pistaché,0211000049207,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Eglefin Nori et yuzu,3760281270369,,['France'],[],[],?,191,14,"9,5","1,7",14,799 kj(191 kcal),"0,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Miel de châtaigne de sologne - Les Sens du Terroir,3437340069522,,['France'],[],[],?,?,?,,?,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Les Sens du Terroir'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Lentille corail au citron,3701247400048,,['France'],[],[],?,133,"4,4","0,4",12,"8,2",556 kj(133 kcal),"1,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Biscuit sarrasin citron fenouil,3770016266017,,['France'],[],[],?,532,29,25,63,"4,1",2226 kj(532 kcal),17,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Boulgour,8697448853620,,['France'],[],[],?,350,"1,5","0,35","69,82",11,1464 kj(350 kcal),"2,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cookies,3138191009292,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,473,22,22,58,"8,3",1979 kj(473 kcal),30,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pink Lady,3700476661831,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,"['Pink Lady', 'Pinkids']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sucrine - Primaflor,47443563,,['France'],[],[],?,?,?,,?,?,,,,,B,"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,['Primaflor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Véritables caramels au savagnin - Klaus,3025640056603,,['France'],[],[],?,274,8,"5,1",62,2,1146 kj(274 kcal),35,"0,43","0,172",,,,,,,,,,,,,,,['Klaus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3800010015615,3800010015615,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Poivre gris,3700946806496,,['France'],[],[],?,262,82,78,5,5,1096 kj(262 kcal),2,12,"4,8",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres gris']",,+482%,+6567%,-46%,+91%,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,+30730%,,82 g,en quantité élevée,78 g,en quantité élevée,2 g,en faible quantité,12 g,en quantité élevée,+320%,+316%,+1381%,+1381%,,,,,,,,,,,,,,,,
78,Saucisson sec - Frédéric Buchinger,2407553076557,,['France'],[],[],?,375,"29,8","13,4","1,2","31,1",1569 kj(375 kcal),"0,5","4,4","1,76",,,,,,,,,,,,,,,['Frédéric Buchinger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Bonbon de chocolat,46140575,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Palette d’Alsace à la diable,0290701052549,,['France'],[],[],?,3.5999999046326,"8,4","3,6","1,1",14,15 kj(3 kcal),"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Crema di nocciola,000000002507,,['France'],[],[],?,549,35,"2,6",46,"9,8",2297 kj(549 kcal),39,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Vinho do Porto 10 anos tawny,5601002104519,,['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cocoa Truffes - Delaviuda,0638564603278,,['France'],[],[],?,558,36,28,51,6,2335 kj(558 kcal),40,0,0,,,,,,,,,,,,,,,['Delaviuda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Les croquants du petit marmiton,3760079110051,,['France'],[],[],?,446,35,0,46,17,1866 kj(446 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Gâteaux salés,3760024677967,,['France'],[],[],?,0,?,,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Mon pain d’épices,3595181928344,,['France'],[],[],?,570,"35,6","21,3",51,"7,5",2385 kj(570 kcal),47,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Poulet fermier,2236314055896,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Boule bio,0200529014100,['Bio'],['France'],[],[],?,?,?,,?,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Galettes,0654479214309,,['France'],[],[],?,439,"21,4","13,7","55,9","4,8",1837 kj(439 kcal),"24,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Si mon père savait...,3760117870985,,['France'],[],[],?,14,"0,1",0,"1,4",0,59 kj(14 kcal),"1,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 66065E', 'Elne (Pyrénées-Orientales, France)']",,,,,,,,,,
91,Œufs,3479433321001,,['France'],[],[],?,141,"9,764","2,912","0,828","12,438",590 kj(141 kcal),"0,3","0,328","0,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,
92,Riesling 2018,3660989178380,,['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Vegetable samosas,5017079212123,,['France'],[],[],?,189,"6,5","1,4",36,"5,2",791 kj(189 kcal),"3,7","1,2","0,48",E,"['Plats préparés', 'Samoussas']",,-11%,-33%,+55%,-29%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,,-28%,,6.5 g,en quantité modérée,1.4 g,en faible quantité,3.7 g,en faible quantité,1.2 g,en quantité modérée,-11%,+1%,+11%,+11%,5,-2%,C,-2%,,,,,,,,,,,,
94,P'tit montmenot,75853181,,['France'],[],[],?,415,37,27,"5,5",14,1736 kj(415 kcal),"5,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.008.002 CE', 'Ancy (Rhône, France)']",,,,,,,,,,
95,Jus de pomme fruit rouge,3770000755053,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Filets d'anchois marinés à la catalane - La Monégasque,3175690001273,,['France'],[],[],?,204,"13,1",2,"2,6","18,9",854 kj(204 kcal),"0,4","1,7","0,68",B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés""]",,+0%,+5%,+86%,-9%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,['La Monégasque'],,-19%,,13.1 g,en quantité modérée,2 g,en quantité modérée,0.4 g,en faible quantité,1.7 g,en quantité élevée,-1%,+47%,-74%,-74%,5,-60%,C,-60%,['Film en plastique'],,,,,,,,,,,
97,Casa Rinaldi Olio Al Aglio Extra Vergine Di Oliva (250ml,8006165372039,,['France'],[],[],?,828,92,13,0,0,3464 kj(828 kcal),0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-3%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Casa Rinaldi'],,-7%,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-3%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,,
98,Genmaicha Yama - Palais des Thés,2700305001136,,['France'],[],[],?,1,0,0,"0,2","0,1",4 kj(1 kcal),0,0,0,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Le Gibassié,3700662751100,,['France'],[],[],?,506,"27,1","12,1","58,7","6,9",2117 kj(506 kcal),"23,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Durian candy,6917541771600,,['France'],[],[],?,378,"8,1",0,"89,3","0,9",1582 kj(378 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Vinaigre a la pulpe de citron-ciboulette,3760212720246,,['France'],[],[],?,90,0,0,17,0,377 kj(90 kcal),16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Feel good bites,5060688220010,,['France'],[],[],?,321,"5,4","1,3","58,2","6,4",1343 kj(321 kcal),"48,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bière Zefyr Ginger,3701178601118,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",['France'],[],[],?,?,?,,?,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Picaras,7752748005931,,['France'],[],[],?,500,22,14,67,8,2092 kj(500 kcal),26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Traditional Icelandic Chocolate,5690576421337,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chocolate chip broche christmas tree,4088700005378,,['France'],[],[],?,291.42857142857,"9,286","4,714","44,857","6,143",1219 kj(291 kcal),"16,857","0,789","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
