,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
0,Les Dolmens,3760002750057,['France'],[],[],?,400,1674 kj(400 kcal),1,1,50,50,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5021039023780,5021039023780,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wonderful White Choc Chip Cookies,50168767,['France'],[],[],?,505,2113 kj(505 kcal),"25,5","13,1",62,"32,2","5,8","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Spa Reine Pet 1,5L 6-pack",5410013100027,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,756","0,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jasmine tea,4978810001196,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Miel framboisier,3263623809765,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de framboisier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sirop caramel - Vedrenne,3376370110418,['France'],[],[],?,360,1506 kj(360 kcal),0,0,90,65,0,"0,04","0,016",,,,,,,,,,,,,,,['Vedrenne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Whole Peeled Plum Tomates - Cirio,0822356000189,['France'],[],[],?,30,126 kj(30 kcal),0,0,4,0,1,"0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",,+20%,-100%,+7%,-14%,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['Cirio'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,+24%,-100%,-100%,-95%,-95%,-5,,A,,,,,,,,,,,,,,,
8,"Fromage de vache, chèvre et brebis",5602527029899,['France'],[],[],?,318,1331 kj(318 kcal),26,17,"2,7","1,1",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9 kat kat rulokat - Ülker - 170g,8690766086497,['France'],[],[],?,514,2151 kj(514 kcal),"25,5","19,3","66,2","48,2",4,"0,54","0,216",,,,,,,,,,,,,,,['Ülker'],,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,
10,Cookies triple chocolat,3614701927961,['France'],[],[],?,475,1987 kj(475 kcal),25,16,57,39,"5,5","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Poudre d'amandes blanche extra fine,3700392486464,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Cinqueterre Riomaggiore 2014 0,75 LT.",8009433000016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Duo carotte râpée concombre,3760036571970,['France'],[],[],?,23,96 kj(23 kcal),"0,23","0,07","3,98","3,45","0,68","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vita coco coconut water with bits,2575539010144,['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,5","4,7","4,2",0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Charles et Alice,0299003010769,['France'],[],[],?,97,406 kj(97 kcal),"4,9","4,4",11,"7,6","0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Donuts,,['France'],[],[],?,469,1962 kj(469 kcal),"28,5","16,1","47,9","19,9","4,4","0,56","0,224",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+15%,+25%,+7%,-26%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,28.5 g,en quantité élevée,16.1 g,en quantité élevée,19.9 g,en quantité élevée,0.56 g,en quantité modérée,+15%,+52%,+18%,-41%,-41%,21,+8%,E,+8%,,,,,,,,,,,,,,
17,Bio Cheddar,2208186004425,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
18,Olives cassées à l'ail,2609810015686,['France'],[],[],?,220,920 kj(220 kcal),"21,8","2,8","4,4","0,5","1,5","3,44","1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Galette pur beurre de noimoutier,3413910091698,['France'],[],[],?,482,2017 kj(482 kcal),"19,9","1,8","70,3","27,1","6,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Melange Exotique - 130g,3760107842855,['France'],[],[],?,392,1640 kj(392 kcal),"7,2","6,2",63,44,"1,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,
21,Pintarolas - 3x 22g,5601055005375,['France'],[],[],?,502,2100 kj(502 kcal),21,12,73,64,5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 22 g,,,,,,,,,,,,,
22,Andouillette de Vire AAAAA,2151696003849,['France'],[],[],?,255,1067 kj(255 kcal),20,9,"2,1","0,5",17,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Oreo birthday cake,66721005908,['France'],[],[],?,150,628 kj(150 kcal),7,"2,5",13,13,1,"7,5",3,,,,,,,,,,,,,,,['Oreo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ducs de Gascogne,3382562118643,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Ducs de Gascogne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Roti de porc,0278401052748,['France'],[],[],?,141,590 kj(141 kcal),"6,3","2,9","1,2","0,9",20,"1,8","0,72",E,"['Viandes', 'Porc', 'Rôtis de porc']",,-2%,+25%,+47%,-11%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,6.3 g,en quantité modérée,2.9 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,-1%,+39%,+44%,+5%,+5%,5,-30%,C,-30%,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
26,Poulet du rotisseur - Maître Coq,0215231041597,['France'],[],[],?,181,757 kj(181 kcal),9,"2,5",1,1,24,1,"0,4",D,"['Viandes', 'Volailles', 'Poulets']",,+20%,+55%,-50%,+18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Maître Coq'],9 g,en quantité modérée,2.5 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,+20%,+67%,+127%,+17%,+17%,3,+113%,C,+113%,,,,,,,,,,,,,,
27,Pain moule aux figues 310g,3339740007060,['France'],[],[],?,231,967 kj(231 kcal),"0,7","0,1",47,"4,3","7,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
28,Torta di sienna marzapane,8027269040280,['France'],[],[],?,405,1695 kj(405 kcal),"10,9",1,"69,4","22,4","7,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mezzelune aux cèpes,3760275810793,['France'],[],[],?,256,1071 kj(256 kcal),"6,28","4,2","36,56","4,24","10,21","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,
30,Blood-fat Reducing Tea,6901412013517,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Glace 100% miel et sans lactose,3760299510013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-10', 'Sans lactose']",,,,,,,,,,,,
32,Grillades piment espelette,2482131034839,['France'],[],[],?,165,690 kj(165 kcal),10,"4,1","1,2","0,7",17,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Soubressade forte,2853249031629,['France'],[],[],?,547,2289 kj(547 kcal),55,20,"1,8","1,2",11,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Coffret 3 Moutardes - 3X130G - Savor & Sens Tradition,3760194207858,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Savor & Sens Tradition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chateau grangeneuve,3760236893469,['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Usn Produit De Seche Diet Fuel Fraise 2.2LBS 1 KG,6009644650347,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Disaronno Sour Mix - 950ML Bottle,8001134014606,['France'],[],[],?,88,368 kj(88 kcal),0,0,22,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Menu delicious 14 pieces,3000053020113,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Assai. Au Basilic Thai Lobo,8850030116569,['France'],[],[],?,157,657 kj(157 kcal),"7,1","0,8",18,12,"3,6","7,8","3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Herzoginkartoffeln mit Sommertrüffeln,4059699003355,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Beutel'],,,,,,,,,,,
41,Pizza du berger crue,0205066038701,['France'],[],[],?,252,1054 kj(252 kcal),14,"7,4",17,"0,7",14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Strawberry balls,0200030175086,['France'],[],[],?,395,1653 kj(395 kcal),"5,4","4,7",87,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Saint marcellin,3322830810015,['France'],[],[],?,258,1079 kj(258 kcal),"21,5","16,5","0,8",0,"15,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 73.236.001 CE', 'Saint-Genix-sur-Guiers (Savoie, France)']",,,,,,,,,,
44,Geitenkaas,2351990704149,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Soft Choc Orange - Farmer,4059699008145,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,"['Snacks', 'Snacks sucrés', 'Barres']",,,,,,,,,,,,,['Farmer'],,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Karton'],,,,,,,,,,,
46,Tapenade de poivrons & tomates cerise jaune - Sud'n'sol,3585510024434,['France'],[],[],?,295,1234 kj(295 kcal),26,2,12,10,"2,3","1,2","0,48",C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",,+15%,+5%,+296%,+33%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,"[""Sud'n'sol""]",26 g,en quantité élevée,2 g,en quantité modérée,10 g,en quantité modérée,1.2 g,en quantité modérée,+15%,-41%,+1794%,-60%,-60%,11,-23%,D,-23%,,,,,,,,,,,,,,
47,Hähnchengenuss in Feige Senf-Sauce,4059699006707,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Karton'],,,,,,,,,,,
48,Blueberries/Myrtilles,8437016948088,['France'],[],[],?,57,238 kj(57 kcal),"0,3","0,3",14,14,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chicken Chips - Eismann - 1000g,4059699085610,"['France', 'Allemagne']",[],[],?,129,540 kj(129 kcal),"0,9",,"13,3","2,2","15,9",,,,,,,,,,,,,,,,,['Eismann'],,,,,,,,,,,,,,,,,,1000g,,['Pack'],,,,,,,,,,,
50,Kina San Clemente 1 Litre 13º,8410466188549,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Hähnchenschmaus Tex-Mex,4059699009302,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Rillettes de sardines aux tomates fraîches bio,3365620920013,['France'],[],[],?,202,845 kj(202 kcal),16,4,"1,4","0,9",12,"1,7","0,68",D,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de sardine']",,-11%,-11%,-34%,-14%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,16 g,en quantité modérée,4 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en quantité élevée,-11%,-46%,-19%,+63%,+63%,12,-2%,D,-2%,,,,,,,,,,,,,,
53,Melange fruits exotique,2600129034184,['France'],[],[],?,387,1619 kj(387 kcal),11,"10,1","69,8","57,2","1,9","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Foie de boeuf,2666834009589,['France'],[],[],?,128,536 kj(128 kcal),"3,6","1,2","3,9",0,20,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pilons et haut de cuisse marinés aux herbes de provence - Maître Coq,0215570029393,['France'],[],[],?,184,770 kj(184 kcal),12,"3,7","1,1","0,7",18,"0,73","0,292",,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Compliments,0068820132448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Compliments'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0245268011089,0245268011089,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0238424509995,0238424509995,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Arôme essence banane,6043000021075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0068700106446,0068700106446,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pomme  Clémentine,3770009923019,['France'],[],[],?,42,176 kj(42 kcal),0,0,"9,96","9,65",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Fromage de chèvre enrobé de poitrine fumé,3503966216005,['France'],[],[],?,351,1469 kj(351 kcal),29,18,4,1,22,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chorizo vela - Despi,2228582013715,['France'],[],[],?,347,1452 kj(347 kcal),"28,2","10,2","1,6","1,6","21,7","3,5","1,4",,,,,,,,,,,,,,,['Despi'],,,,,,,,,,,,,,,,,,,,,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)', 'EMB 12063', 'Cavalerie (Aveyron, France)']",,,,,,,,,,
64,Porkkana-appels. Nektari,8426612002058,['France'],[],[],?,46,192 kj(46 kcal),"0,5",0,"11,3","10,29","0,27","0,054","0,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Whey harder,8609072011345,['France'],[],[],?,380,1590 kj(380 kcal),"2,1","0,48","7,4","4,99","82,3","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Filet de poulet - Maître Coq,0215499024479,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Saucisse à l'ancienne,2439594041652,['France'],[],[],?,441,1845 kj(441 kcal),36,15,"2,2","0,6",27,"4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Reblochon,2883875050909,['France'],[],[],?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,1","19,9","1,3","0,52",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,+1%,+2%,+36%,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,27.4 g,en quantité élevée,18.8 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,+2%,0%,-56%,-3%,-3%,14,-2%,D,-2%,,,,,,,,,,,,,,
69,Bière Nache,3760137850264,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1er cru 2014,3443620012171,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bière,5413143015698,['France'],[],[],?,54,226 kj(54 kcal),"2,5","0,2","6,9","6,9",1,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tarte aux bleuets sauvages - Délices du Lac Saint-Jean - 550g,0000901885003,['France'],"['Pâte ', 'farine', 'saindoux', 'eau', 'oeufs', 'sel', 'vinaigre', 'garniture ', 'bleuets sauvages', 'sucre', 'farine', ' CONTIENT Gluten', 'oeufs']",['Non végétalien'],?,?,,?,,?,,?,,,,"['Tartes', 'Tartes sucrées']",,,,,,,,,,,,,['Délices du Lac Saint-Jean'],,,,,,,,,,,,,,,,,,550 g,,,,"['Œufs', 'Gluten']",3,,,,,,,,
73,Filet de Canard Extra Tendre,0217229111053,['France'],[],[],?,180,753 kj(180 kcal),12,"4,4",0,0,17,1,"0,4",D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,-9%,-5%,-100%,-12%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,12 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,-9%,+19%,-100%,-7%,-7%,5,+12%,C,+12%,,,,,,,,,,,,,,
74,Yaourts brasses myrtille ferme des iris - 4x 125g,3701002403024,['France'],[],[],?,91,381 kj(91 kcal),"3,4",2,12,"11,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 125 g,,,,,,,,,,,,,
75,Bisque de homard,3760216760538,['France'],[],[],?,83,347 kj(83 kcal),"5,5","1,1","4,3","0,9","2,2",1,"0,4",,"['Produits de la mer', 'Bisques de homard']",,+51%,+108%,+20%,-28%,,,,,,,,,5.5 g,en quantité modérée,1.1 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,+49%,+30%,-11%,-11%,-11%,5,+46%,C,+46%,,,,,,,,,,,,,,
76,Cerises,3760074880034,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Thè Pesca - San Benedetto,7001669012796,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['San Benedetto'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Ribs de porc a la mexicaine,2245061043032,['France'],[],[],?,227,950 kj(227 kcal),17,"6,6","0,4","0,2",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,LES HERBES INSOLENTES,3760104715961,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Postel : Bière Double Belge D'abbaye 33cl 7% - 33cL,5411098700003,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 cL,,,,,,,,,,,,,
81,St yorre,8808881040809,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Zing stevia - 40g,5601370002929,['France'],[],[],?,352,1473 kj(352 kcal),0,0,91,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,,,
83,Tartes aux fromages - Picard,3270160403134,['France'],[],[],?,306,1280 kj(306 kcal),18,13,22,"4,1",13,"0,67","0,268",C,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",,+20%,+18%,+11%,+48%,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,['Picard'],18 g,en quantité modérée,13 g,en quantité élevée,4.1 g,en faible quantité,0.67 g,en quantité modérée,+19%,+55%,+74%,-28%,-28%,15,+15%,D,+15%,,,,,,,['Picard'],,,,,,,
84,Mawared,6281104800046,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Skyr Kirsche,20242411,['France'],[],[],?,231,967 kj(231 kcal),9,"7,8","31,5","26,3","5,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Epaule de Porc Cuite Supérieure découénnée dégraissée,0200111042511,['France'],[],[],?,124,519 kj(124 kcal),"5,1","1,8","0,7","0,5",19,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Poivre noir en grains,4029800330465,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pancetta - 120g,8054383505548,['France'],[],[],?,335,1402 kj(335 kcal),30,11,"2,2","0,2",19,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,,,,,
89,Glace vanille macadamia,3760255320014,['France'],[],[],?,195,816 kj(195 kcal),"7,46","4,36","28,1","27,15",4,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Minervois,3454781519867,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Miel,5200378900604,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Saucisse sèche,2863440060151,['France'],[],[],?,434,1816 kj(434 kcal),37,14,"0,7","0,5",26,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Milk Protein Smooth, Unflavoured - MyProtein",5055534307298,['France'],[],[],?,352,1473 kj(352 kcal),1,"0,7","8,8",8,77,2,"0,8",,,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Himalayan Water 500ml,0666538000037,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Aberlour,3047101951869,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Olives vertes à l'ail des ours - Croc' frais,3524130005584,['France'],[],[],?,209,874 kj(209 kcal),21,"2,5","1,9","0,8","1,2",2,"0,8",,,,,,,,,,,,,,,"[""Croc' frais""]",,,,,,,,,,,,,,,,,,,"['Point Vert', 'Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,
97,Sel de l'himalaya - Espig,3102870057478,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Espig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Pomme cerise,3439760001199,['France'],[],[],?,48,201 kj(48 kcal),"0,5","0,1",10,"9,2","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Crackers,3564700096574,['France'],[],[],?,467,1954 kj(467 kcal),20,"3,3",64,"6,5","6,6","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
