,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
1519,Griechische Oliven,4030957481016,['France'],[],[],?,148,619 kj(148 kcal),"2,3","2,3","0,5","0,5","1,5","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Jus de fruits,1230000000130,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,140g,0704442281019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 g,,,,,,,,,,,,,
1522,Pom' Potes,2060020140009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Pom Potes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Pimenta Carmencita Vde Molinil. - 30g,8413700074288,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Carmencita'],,,,,,,,,,,,,,,,,,30 g,,,,,,,,,,,,,
1524,Herbalgem Dermagem 30ML,5425009103814,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,
1525,Herbs & Garlic Cow Cheese,8711258000132,['France'],[],[],?,385,1611 kj(385 kcal),31,19,"0,5","0,5",26,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Sirop Menthe - Carrefour,3270190443445,['France'],[],[],?,284,1188 kj(284 kcal),1,"0,75",71,67,0,0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,+19%,+809%,+15%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Carrefour'],,,,,,,,,+15%,+2425%,+13%,-100%,-100%,,,,,,['Fabriqué en France'],,,,,,,,,,,,
1527,BOCHKOVOYE BIER,4038745642458,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Aioli - Sensations,0623682113884,['France'],[],[],?,1000,4184 kj(1000 kcal),100,15,0,0,2,"0,8","0,32",,,,,,,,,,,,,,,['Sensations'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Silagic bio,3760244290038,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1530,Pâte tex mex - Terre exotique,3760063339192,['France'],[],[],?,296,1238 kj(296 kcal),"16,4","1,7","31,9",2,"2,1","4,5","1,8",,,,,,,,,,,,,,,['Terre exotique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,terrine de canard aux figues - Les Garibotes,3340950203173,['France'],[],[],?,316,1322 kj(316 kcal),26,10,"3,5","2,8",17,"1,5","0,6",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Charcuteries diverses', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,+3%,-1%,+103%,+20%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,['Les Garibotes'],26 g,en quantité élevée,10 g,en quantité élevée,2.8 g,en faible quantité,1.5 g,en quantité modérée,+3%,+5%,+352%,-2%,-2%,18,+1%,D,+1%,,,,,,,,,,,,,,
1532,Bn P'tit Dej Chocolat au Lait - 200g,0500168185880,['France'],"['Farine de froment ', '39%', '- chocolat au lait ', '29%', ' ', 'sucre-beurre de cacao-masse de cacao - lait écrémé en poudre - lactosérum en poudre beurre pâtissier graisses végétales ', 'sal', 'karité', 'palme', '- émulsifiants: lécithines de soja', 'E476-arome naturel', '- huile de palme', 'farine complète de blé ', '9%', ""-sucre - sirop de glucose-fructose-poudres à lever: carbonates de sodium et d'ammonium"", 'acide malique', 'sel']","['Huile de palme', 'Non végétalien']",?,495,2071 kj(495 kcal),"23,5","12,3","62,2",29,"6,7","0,99","0,396",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat au lait']",,-2%,-3%,-1%,-1%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Bn'],23.5 g,en quantité élevée,12.3 g,en quantité élevée,29 g,en quantité élevée,0.99 g,en quantité modérée,-1%,-10%,-17%,+77%,+77%,26,+11%,E,+11%,200g,,"['Sachet plastique', 'boite carton']",,"['Gluten', 'Lait', 'Soja']",4,['Leclerc'],,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E502 - Carbonates', 'E296 - Acide malique']",,,
1533,Nectar banane - Solevita,52655043,['France'],[],[],?,52,218 kj(52 kcal),0,0,"9,4","9,3","0,3",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de banane']",,+2%,-100%,-20%,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Solevita'],0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,+3%,-100%,-18%,-100%,-100%,15,-3%,E,-3%,,,,,,,,,,,,,,
1534,Anna & Clara Organic Date Bar with strawberry,5707653004588,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Abricots et Calissons,3700910204556,['France'],[],[],?,288,1205 kj(288 kcal),"4,1","0,4",60,56,2,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
