,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,generic_name,quantity,packaging,markets,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
0,Mentos Pure Fresh,80770619,['Mentos'],['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', 'gomme xanthane', 'extrait naturel de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorants ', 'curcumine', 'bleu brillant FCF']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['Soja'],['Sans huile de palme'],4,?,186,778 kj(186 kcal),0,0,76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Now mints - Mentos,80783930,['Mentos'],['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kinder Panecioc,80788614,['Kinder'],['France'],[],,,[],,?,430,1799 kj(430 kcal),"21,7","9,7","46,6","25,3","9,4","0,273","0,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kinder Chocolate Snackbar PM25,80799092,['Kinder'],"['France', 'Espagne']",[],,,[],,?,566,2368 kj(566 kcal),?,"22,6",?,"53,3","8,7","0,31","0,124","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",22.6 g,en quantité élevée,53.3 g,en quantité élevée,0.31 g,en quantité modérée,,+13%,+12%,,+50%,,+18%,+28%,-4%,-4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mentos white,80809173,['Mentos'],['France'],"['Éducorats mattol sorbiol', 'ylitol ', '15%', 'sirop de maltitol', 'aspartame', 'acésulfame K', 'sucalose gomme base', 'arômes', 'maltodextrine', 'stabiliant ', 'glycérol', 'émulsifiant ', ""sucroesters d'acides gras"", 'épaississants ', 'gomme arabique,gommede cellulose', ""correcteur d'acidité "", 'carbonate acide de sodium', ""agent d'enrobage "", 'cire de camaubal graisse de noix de coco', 'antioxygene ', 'E321', ' colorant ', 'dioxyde de titane,', 'Une consommation excessive peut avoir des effets laxatis Contient une source de phénylalanine', '150ge 8080 9173']","['E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E500ii - Carbonate acide de sodium', 'E321 - Butylhydroxytoluène', 'E171 - Oxyde de titane']",,[],4,?,168,703 kj(168 kcal),0,0,69,0,0,"0,07","0,028",,,,,,,,,,,,,,,,,,['Contient une source de phénylalanine'],,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mentos white,80814832,"['Mentos', 'Perfetti Van Melle']",['France'],[],,,[],,?,171,715 kj(171 kcal),0,0,69,0,0,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mentos chewing gum squeez - 90g,80830115,['Mentos'],['France'],"['Edulcorants ', 'xylitol', 'maltitol', 'sorbitol', 'mannitol', 'aspartame', 'sirop de maltitol', 'sucralose', 'acésulfame-K', 'gomme base', 'fourrage fruit 10,5% ', 'pomme en poudre ', '99% dans le coeur', '10,4% dans le produit', 'arôme fraise', 'poudre de fruits ', 'fraise', 'orange', 'banane', ' ', '2,6%', 'fécule', 'arômes', 'maltodextrine', 'gélatine', 'stabilisant ', 'glycérol', 'émulsifiants ', 'lécithines soja ', ""sucroesters d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321']","['E967 - Xylitol', 'E965 - Maltitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E951 - Aspartame', 'E965ii - Sirop de maltitol', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E428 - Gélatine', 'E422 - Glycérol', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",['Soja'],"['Non végétalien', 'Non végétarien']",4,?,197,824 kj(197 kcal),"0,5",0,71,"6,6","0,6",0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0 g,en faible quantité,6.6 g,en quantité modérée,0 g,en faible quantité,,+17%,+17%,+111%,-100%,+11%,+37%,+268%,-100%,-100%,,"Chewing-gum avec édulcorants, parfum fruit.",90g,['Plastique'],['Auchan'],0.5 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
7,Bitter rosso - Garbit - 100ml,80835899,['Garbit'],['France'],[],,,[],,?,52,218 kj(52 kcal),0,0,13,13,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,
8,Chewing gum mentos white,80859000,['Mentos'],['France'],"['édulcorants ', 'xylitol ', '34%', 'sorbitol', 'mannitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'stabilisant ', 'glycérol', ""correcteur d'acidité "", 'carbonate acide de sodium', 'épaississants ', 'gomme de cellulose', 'gomme arabique', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E500ii - Carbonate acide de sodium', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",['Soja'],['Sans huile de palme'],4,?,171,715 kj(171 kcal),0,0,69,0,0,"0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,+7%,+7%,-100%,-100%,+10%,-100%,-100%,+367%,+367%,"['Peu ou pas de sucre', 'Sans sucre']",,,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
9,Chewing-gum,80863090,,['France'],[],,,[],,?,298,1247 kj(298 kcal),"0,2","0,2",0,0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mentos now mints goût citron - 50g,80868842,['Mentos'],['France'],"['édulcorants ', 'xylitol', 'erythritol', 'aspartame', 'acésulfame-K', 'maltodextrine', 'arômes', 'fécule', 'acidifiant ', 'acide citrique', 'antiagglomérant ', ""sels de magnésium d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', ' jus de citron en poudre ', '0,1%', ' graisse de noix de coco']","['E967 - Xylitol', 'E968 - Érythritol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E330 - Acide citrique', ""E470b - Sels de magnésium d'acides gras"", 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia""]",,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,?,177,741 kj(177 kcal),"0,3","0,3",96,0,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,"Mini pastilles aromatisées au citron, avec édulcorants.",50g,,,,,,,,,,,,,,,,,,,,,,,,
11,Up2u - Mentos - 26g,80871491,['Mentos'],['France'],[],,,[],,?,144,602 kj(144 kcal),0,0,63,0,0,0,0,,,,,,,,,,,,,,,,,,,,26 g,,,,,,,,,,,,,,,,,,,,,,,,
12,Pure fresh - Chewing gum sans sucres - Mentos - 80g,80882084,"['Mentos', 'Perfetti']","['France', 'Guadeloupe']","['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'sirop de maltitol', 'maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', ""sucroesters d'acides gras"", 'lécithines ', 'soja', 'épaississants ', 'gomme de cellulose', 'gomme xanthane', 'gomme arabique', 'extrait naturel de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorant ', 'bleu brillant FCF']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', 'E965 - Maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['Soja'],['Sans huile de palme'],4,?,181,757 kj(181 kcal),0,0,73,0,0,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+13%,+13%,-100%,-100%,+16%,-100%,-100%,-100%,-100%,"['Peu ou pas de sucre', 'Sans sucre']","Chewing-gum avec édulcorants, parfum menthe.",80 g,"['Boîte', 'Plastique']",['Supe U'],0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
13,Esta Thé verde bio,80885078,,['France'],[],,,[],,?,26,109 kj(26 kcal),0,0,"6,3","6,3",0,0,0,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pure Fresh - Chewing-gum sans sucres - Mentos - 80g,80889878,"['Mentos', 'Perfetti']",['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'épaississants ', 'gomme de cellulose', 'gomme arabique', 'gomme xanthane', 'extrait naturel de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorants ', 'curcumine', 'bleu brillant FCF']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['Soja'],['Sans huile de palme'],4,?,186,778 kj(186 kcal),0,0,76,0,0,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+16%,+16%,-100%,-100%,+21%,-100%,-100%,-100%,-100%,"['Peu ou pas de sucre', 'Sans sucre']","Chewing-gum avec édulcorants, parfum chlorophylle.",80 g,"['Boîte', 'Plastique']",['Leclerc'],0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
15,Estathe,80912002,,['France'],[],,,[],,?,32,134 kj(32 kcal),0,0,"7,7","7,7","0,1","0,023","0,009",,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kinder Surprise Infinimix - 20g e,80922810,"['Kinder', 'Ferrero']",['France'],"['Chocolat supérieur au LAIT 47% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants: lécithines [SOJA]', 'vanilline', 'LAIT écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'BEURRE concentré', 'émulsifiants: lécithines [SOJA]', 'vanilline']",['E322i - Lécithine'],"['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,2323,?,2323 kj(555 kcal),"34,5","22,8","52,3","52,1","8,7","0,323","0,129","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",22.8 g,en quantité élevée,52.1 g,en quantité élevée,0.323 g,en quantité modérée,+0%,,+1%,+2%,+5%,-3%,-2%,+23%,+38%,+38%,"['Point Vert', 'CE']",Confiserie recouverte de chocolat supérieur au lait contenant une surprise dans une capsule plastique.,20 g e,"['Aluminium', 'Papier aluminium']",['Boulangeries'],34.5 g,en quantité élevée,27,+2%,E,+2%,,,,,,,,,,,,,,,,
17,Mentos full ice chewing-gum,80923886,"['Mentos', 'Perfetti Van Melle']",['France'],[],,,[],,?,171,715 kj(171 kcal),0,0,69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Now minth - mentos - 1,80926399,['Mentos'],['France'],[],,,[],,?,3,13 kj(3 kcal),3,3,3,3,3,3,"1,2",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,Chewing-Gum (sans Sucre) - Mentos,80936640,['Mentos'],['France'],"['édulcorants ', 'maltitol', 'sorbitol', 'xylitol ', '15%', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'arômes', 'maltodextrine', 'stabilisant ', 'glycérol', 'épaississants ', 'gomme arabique', 'gomme de cellulose', 'émulsifiant ', ""sucroesters d'acides gras"", ""correcteur d'acidité "", 'carbonate acide de sodium', 'antioxydant ', 'E321', ""agen\\ d'enrobage "", 'cire de carnauba', 'graisse de noix de coco', ' Une consommation excessive peut avoir des effets laxatif Contient une source de phénylalanine', ' Perfetti Van Benelux B', 'V', 'Box 3000', '4800 C Breda', 'Holland', ' DistrbtJé en France par Solinest SAS,']","['E965 - Maltitol', 'E420 - Sorbitol', 'E967 - Xylitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E466 - Carboxyméthylcellulose', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E321 - Butylhydroxytoluène', 'E903 - Cire de carnauba']",,[],4,?,170,711 kj(170 kcal),0,0,70,0,0,0,0,,,,,,,,,,,,,,,,,,"['Contient une source de phénylalanine', 'Une consommation excessive peut avoir des effets laxatifs']",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tic tac strawberry mix goûts duo de fraises - 16gr,80936848,['Tic Tac'],['France'],[],,,[],,?,394,1648 kj(394 kcal),"0,6","0,6","94,8","91,3",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,16gr,,,,,,,,,,,,,,,,,,,,,,,,
21,"Tic tac gum - Ferrero - 27,2g",80957218,"['Ferrero', 'Tic Tac Gum', 'Tic Tac']",['France'],"['Édulcorants ', 'xylitol', 'isomalt', 'sorbitol', 'acesulfame k', 'sucralose', 'gomme base ', 'contient soja', ' arômes', 'acidifiants ', 'acide malique', 'acide citrique', 'acide tartrique', 'émulsifiant : e472 a ', ' épaississant : gomme arabique ', ' colorant :e 162 ', ' concentré de spiruline et pomme', ""agent d'enrobage : cire de carnauba "", ' antioxydant : e321']","['E967 - Xylitol', 'E953 - Isomalt', 'E420 - Sorbitol', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E296 - Acide malique', 'E330 - Acide citrique', 'E334 - Acide L-tartrique', ""E472a - Ester diacétyl-acétique d'acides gras"", ""E414 - Gomme d'acacia"", 'E162 - Rouge de betterave', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",['Soja'],"[""Pourrait contenir de l'huile de palme""]",4,812,195,812 kj(195 kcal),"1,8","1,8","72,8","0,1","0,1","0,003","0,001","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",1.8 g,en quantité modérée,0.1 g,en faible quantité,0.003 g,en faible quantité,+14%,+16%,+16%,+659%,+1253%,+14%,-98%,-39%,-89%,-89%,,,"27,2 g",,,1.8 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
22,Mentos gum pure fresh,80957430,['Mentos'],['France'],[],,,[],,?,186,778 kj(186 kcal),0,0,76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chewing Gum Pure Fresh - Mentos - 80g,80975601,['Mentos'],['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'épaississants ', 'gomme arabique', 'gomme de cellulose', 'gomme xanthane', 'maltodextrine', 'fécule', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'extrait naturel de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorants ', 'bleu brillant FCF', 'curcumine']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E100 - Curcumine']",['Soja'],['Sans huile de palme'],4,?,171,715 kj(171 kcal),0,0,69,0,0,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+7%,+7%,-100%,-100%,+10%,-100%,-100%,-100%,-100%,"['Peu ou pas de sucre', 'Sans sucre']","Chewing-gum avec édulcorants, parfum menthol eucalyptus",80g,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
24,8111660101241,8111660101241,,['France'],[],,,[],,1700,?,1700 kj(406 kcal),0,0,"99,7","99,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Extra - Kelloggs,8112470005071,['Kelloggs'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Biscottes 6 cereales - Épi d or - 300g / 36biscottes.,8131311807407,['Épi d or'],['France'],[],,,[],,?,?,,?,,?,,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,,,,,,,,,,,,,,,,,,300g / 36 biscottes.,,,,,,,,,B,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,,,,
27,8131874068611,8131874068611,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Boudin Blanc nature - U,8132734888677,['U'],['France'],[],,,[],,?,?,,?,,?,,?,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,,,,,,,,,,,,,,,,,"['Frais', 'Sous-vide']",['Magasins U'],,,,,,,D,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,
29,Mini Babybel - ? * 22g,8132874887318,"['Babybel', 'Bel']",['France'],"['Lait 98%', 'sel', 'ferments lactiques', 'coagulant']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1217,?,1217 kj(291 kcal),23,"15,5",~ 0,~ 0,"21,5","1,8","0,72","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",15.5 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,-3%,,-11%,-14%,-13%,-100%,-100%,+5%,+38%,+38%,"['Végétarien', 'Point Vert']",,? * 22 g,"['Filet', 'Frais', 'Plastique']",,23 g,en quantité élevée,15,+9%,D,+9%,C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['France'],"['FR 72.264.001 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,
30,81314748,81314748,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lait d'amande grillée original -,8167820784939,,['France'],[],,,[],,?,24,100 kj(24 kcal),"1,1","0,1",3,3,"0,5","0,14","0,056","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",0.1 g,en faible quantité,3 g,en quantité modérée,0.14 g,en faible quantité,,-37%,-37%,-48%,-60%,-19%,+9%,-42%,+59%,+59%,['en:gluten-free'],,,,,1.1 g,en faible quantité,0,-100%,B,-100%,E,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,
32,Champignons de Paris - Monaghan Champignons - 400g,8174508005002,['Monaghan Champignons'],['France'],['Champignons de Paris'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons de Paris']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,400 g,['Barquette'],,0 g,en faible quantité,-5,,A,,A,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,
33,activia rhubarbe - danone - 500g,8174774894348,"['Danone', 'Activia']",['France'],[],,,[],,?,?,,?,,?,,?,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts au bifidus aromatisés', 'Yaourts à la rhubarbe']",,,,,,,,,,,,,,,,,,,500g,['Pot en plastique'],,,,,,,,B,56.7%,18.0%,11.6%,7.6%,4.8%,1.3%,91,,,,,,,,
34,l'original noir  - Suchard  - 8,8184734083880,['Suchard'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
35,Tartine croustillantes au seigle - Wasa - 275gr,8191181084605,['Wasa'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,275 gr,,,,,,,,,,,,,,,,,,,,,,,,
36,Poke Bowl Thon - SushiMarket - 330g,8192882776356,['SushiMarket'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,330g,,,,,,,,,,,,,,,,,,,,,,,,
37,Rice Krispies - Kellogg’s - 375g,8211004874937,['Kellogg’s'],['France'],[],,,[],,?,?,,?,,?,,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,,,,,,,,,,,,,,,,375 g,"['Carton', 'boîte', 'Plastique']",,,,,,,,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,
38,Saumon Rose du Pacifique au Naturel - Top Budget - 155g égoutté,8232882888083,['Top Budget'],['France'],"['Saumon rose du Pacifique ', 'poisson', 'eau', 'sel']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,521,?,521 kj(125 kcal),"4,1",1,"< 0,5","< 0,5",22,"1,4","0,56","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Saumons', 'Saumon en conserve']",1 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,-28%,,-27%,-59%,-45%,-29%,+123%,+19%,+40%,+40%,,Saumon rose du Pacifique au naturel,155 g égoutté,"['Conserve', 'Métal', 'Boîte']",,4.1 g,en quantité modérée,2,0%,B,0%,E,83.1%,4.5%,11.0%,0.9%,0.3%,0.2%,14,,,,,,,,
39,Protéifine Palets Amandes 8 Galets De 25G,8232984750929,,['France'],[],,,[],,?,335,1402 kj(335 kcal),17,"9,1",12,2,37,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Delichoc - Delacre - 1,8242801834688,['Delacre'],"['Belgique', 'France']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
41,Tic tac banane - 98g,8265712805608,['Tic tac'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,98 g,,,,,,,,,,,,,,,,,,,,,,,,
42,Concentré Saveur Agrumes Zero - Sodastream,82642778,['Sodastream'],['France'],[],,,[],,?,10,42 kj(10 kcal),0,0,"2,4","2,4",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
