,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,generic_name,quantity,packaging,markets,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
785,Pois chiche et haricot avec petit pois - Garrido - 570g (400g égoutté),8411404161020,['Garrido'],['France'],[],,,['Végétarien'],,?,?,,?,,?,,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve']",,,,,,,,,,,,,,,,,['Végétarien'],,570 g (400 g égoutté),"['Bocal', 'Verre']",['Noz'],,,,,,,,,,,,,,,['Espagne'],,,,,,,
786,Las galletas - Flor Burgalesa,8411414000715,['Flor Burgalesa'],['France'],"['Farine de blé', 'graisse végétale ', 'antioxydants E306 et 804', 'sucre', 'dextrose', 'fibres végétales', 'poudre à lever ', ""bicarbonate de sodium et bicarbonate d'ammonium"", 'arôme', 'émulsifiant ', 'lécithine de solaò etcolorants ', 'E160a et E160b', 'Peut contenirdes traces de dérivé du lait', ' Conservez bien fermé dans un endroitfrais etsec Préservez du soleil']","['E306 - Extrait riche en tocophérols', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine', 'E160a - Carotènes mélangés', 'E160b - Rocou']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,?,521,2180 kj(521 kcal),28,14,62,30,"4,3","0,02","0,008","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",14 g,en quantité élevée,30 g,en quantité élevée,0.02 g,en faible quantité,,+10%,+10%,+35%,+39%,-3%,+2%,-34%,-97%,-97%,,,,,,28 g,en quantité élevée,21,+6%,E,+6%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
787,Tiras de Bacon Ahumado Natural - monells,8411477117016,['Monells'],"['France', 'Espagne']",[],,,[],,?,289,1209 kj(289 kcal),25,9,1,0,15,"2,06","0,824","['Viandes', 'Charcuteries']",9 g,en quantité élevée,0 g,en faible quantité,2.06 g,en quantité élevée,,+11%,+12%,+30%,+24%,-32%,-100%,-20%,-13%,-13%,,,,,,25 g,en quantité élevée,20,+25%,E,+25%,,,,,,,,,,,,,,,,
788,Arroz bomba - Bayo - 1Kg,8411495112369,['Bayo'],"['France', 'Espagne']",['Arroz Bomba'],,,"['Végétalien', 'Végétarien']",,?,332,1389 kj(332 kcal),"0,6","0,2","74,5","0,1","7,2",0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de variété japonica', 'Riz pour paellas', 'Riz à grain court', 'Riz Bomba']",0.2 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-19%,+12%,-2%,-47%,+1%,-100%,-100%,"['Végétarien', 'Végétalien', 'Produit en coopérative']",Arroz blanco de la variedad Bomba,1 Kg,['Bolsa de plástico'],['Supersol'],0.6 g,en faible quantité,-1,,A,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Deltebre', 'Tarragona (provincia)', 'Cataluña', 'España']","['ES 20.43747/T CE', 'CULTIVADOR - FABRICANTE Y ENVASADOR:', ""ARROSSAIRES DEL DELTA DE L'EBRE I SECCIÓ DE CRÈDIT S.C.C.L.""]",,"['Espagne', 'es:Cataluña', 'es:Tarragona (provincia)']",http://www.arrossaires.com/es/experts/ours,,,
789,Riz Extra,8411495113526,,['France'],[],,,[],,?,346,1448 kj(346 kcal),"0,6","0,1","77,9","0,3","7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Arroz/Riz - Nomen,8411495114905,['Nomen'],['France'],[],,,[],,?,349,1460 kj(349 kcal),"0,7","0,3","0,1","0,1","1,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Tomate pelado troceado - Beltoro,8411499204107,['Beltoro'],"['France', 'Espagne']","['Tomate', 'sel', 'Acidifiant: acide citrique', ' Afermissant: chlorure de calcium']",['E330 - Acide citrique'],,[],3,?,19,79 kj(19 kcal),"0,5",0,"3,5","3,1","0,77","0,03","0,012","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",0 g,en faible quantité,3.1 g,en faible quantité,0.03 g,en faible quantité,,-63%,-61%,-54%,-100%,-39%,-31%,-51%,-93%,-93%,,,,,,0.5 g,en faible quantité,-6,,A,,B,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,
792,Top twist - Damel,8411500086067,['Damel'],"['France', 'Espagne']",[],,,[],,?,350,1464 kj(350 kcal),"3,6","3,5",76,45,"3,5","0,133","0,053","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons au réglisse']",3.5 g,en quantité modérée,45 g,en quantité élevée,0.133 g,en faible quantité,,+10%,+9%,+349%,+782%,+5%,+11%,+21%,-67%,-67%,,,,,,3.6 g,en quantité modérée,16,+24%,D,+24%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
793,Rellenitos,8411500109810,,['France'],[],,,[],,?,368,1540 kj(368 kcal),"2,5","2,2",85,71,"1,5","0,133","0,053",,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,
794,Jumbo fresa pika - Damel,8411500110038,['Damel'],['France'],"['Sucre', 'Sirop de glucose-fructose', 'FARINE DE BLÉ', 'Eau', 'Graisse végétale ', 'Coco', 'Acidifiants E-330', 'E-296', 'Emulsifiant E-471', 'Gélatine', 'Amidon de BLE', 'Arômes', 'Conservateur: E-202', 'Colorants: Voir cachet']","['E330 - Acide citrique', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E428 - Gélatine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,368,1540 kj(368 kcal),"2,8","2,5",85,71,"1,5","0,133","0,053",,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,
