,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
237,Chèvre frais,3760098459612,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,212,,887 kj(212 kcal),,"16,9",,"11,7",,"2,03",,"2,03",,"13,1",,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,
238,"Brebis frais - Les Artisans du Bio - 0,120kg",3760098459629,D,"0,120 kg","['Barquette', 'Plastique']",['Les Artisans du Bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru', 'Fromages de brebis']","['Bio', 'Sans OGM', 'Fabriqué en Ardèche']",['France'],"['LAIT cru de brebis', 'sel marin', 'ferments lactiques', 'présure naturelle']",,['Lait'],['Non végétalien'],3,16.8 g,en quantité modérée,11.8 g,en quantité élevée,2.01 g,en faible quantité,1 g,en quantité modérée,?,,209,-38%,874 kj(209 kcal),-38%,"16,8",-39%,"11,8",-36%,"2,01",+260%,"2,01",+518%,"12,5",-43%,1,-33%,"0,4",-33%,11,-25%,D,-25%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,"['Ardèche', 'France']",,"['FR 07.095.001 CE', 'Gilhoc-sur-Ormèze (Ardèche, France)']",['Franprix'],,,
239,Riz au lait au caramel LA FERME DU RUISSEAU,3760098470099,B,,,['La Ferme Du Ruisseau'],"['Desserts', 'Puddings', 'Riz au lait']",,['France'],[],,,[],,3.01 g,en quantité modérée,1.97 g,en quantité modérée,12.9 g,en quantité élevée,0.13 g,en faible quantité,?,,126,-13%,527 kj(126 kcal),-12%,"3,01",-20%,"1,97",-14%,"21,3",-6%,"12,9",-4%,"3,34",-2%,"0,13",+1%,"0,052",+1%,2,-50%,B,-50%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,
240,Lait cru - Ferme de la Vautrie - 1L,3760098630011,D,1 L,"['Bouteille', 'Plastique']",['Ferme de la Vautrie'],"['Produits laitiers', 'Laits', 'Laits non-homogénéisés', 'Laits cru']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,"['FR 14.372.005 CE', 'Livry (Calvados, France)']",,,,
241,Rillettes pur canard - Le Domaine Du Crauloup,3760098670000,D,,"['Bocal', 'Verre']",['Le Domaine Du Crauloup'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],,,[],,17.3 g,en quantité modérée,7.9 g,en quantité élevée,0.1 g,en faible quantité,1.41 g,en quantité modérée,?,,222,-45%,929 kj(222 kcal),-45%,"17,3",-53%,"7,9",-37%,"0,1",-83%,"0,1",-60%,"16,8",+4%,"1,41",+3%,"0,564",+3%,15,-22%,D,-22%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,['Magasins U'],,,
242,Grillons de canard ail  échalotes persil - Le Domaine de Crauloup,3760098670819,D,,"['Bocal', 'Verre']",['Le Domaine de Crauloup'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard', 'Grillons de canard']",['Sans conservateurs'],['France'],[],,,[],,23.4 g,en quantité élevée,7.6 g,en quantité élevée,0.3 g,en faible quantité,1.71 g,en quantité élevée,?,,276,-31%,1155 kj(276 kcal),-31%,"23,4",-36%,"7,6",-39%,"0,6",+4%,"0,3",+20%,"15,9",-2%,"1,71",+25%,"0,684",+25%,17,-12%,D,-12%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,['Magasins U'],,,
243,Madeleine pur beurre - Biscuterie Gluten Et Fils,3760098700271,B,,,['Biscuterie Gluten Et Fils'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],"['Oeufs frais,Beurre frais 26%*Farine de d - amande blanchesPoudre à et carbonate acides de sodium,amidon de mais']",,['Œufs'],['Non végétalien'],3,25.2 g,en quantité élevée,16.9 g,en quantité élevée,21.9 g,en quantité élevée,1.23 g,en quantité modérée,?,,460,+4%,1925 kj(460 kcal),+5%,"25,2",+11%,"16,9",+144%,"50,4",-5%,"21,9",-20%,"7,7",+36%,"1,23",+52%,"0,492",+52%,24,+30%,E,+30%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,
244,Gâteau Breton Caramel au Beurre Salé - Gueguen & Fils - 350g,3760098700318,,350 g,"['Papier', 'Plastique']",['Gueguen & Fils'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Gâteaux bretons au caramel']","['Fabriqué en France', 'Fabrication artisanale']",['France'],"['Farine de blé ', 'gluten', 'beurre frais 22 %', 'Sucre', ""caramel au beurre salé 17 %,Jaune d'œufs frais"", 'Poudre à Lever ', 'pyrophosphate et carbonate acides de sodium', 'amidon de maïs']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,26.1 g,en quantité élevée,17.7 g,en quantité élevée,30.2 g,en quantité élevée,1.17 g,en quantité modérée,?,,484,+2%,2025 kj(484 kcal),+3%,"26,1",+9%,"17,7",+13%,"57,9",+1%,"30,2",+11%,"4,5",-16%,"1,17",+33%,"0,468",+33%,27,+13%,E,+13%,,,,,,,,"['France', 'Bretagne', 'Hennebont']",,,,Gâteau Breton Caramel au Beurre Salé,,
245,Faisselles moulées à la louche - Laiterie Artisanale La Côtière - 6x 100g,3760098720040,C,6 x 100g,,['Laiterie Artisanale La Côtière'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,['France'],"['ngrédients : lait entier pasteurisé origine France', 'ferments lactiques', 'présure']",,['Lait'],[],3,3.2 g,en quantité modérée,2.25 g,en quantité modérée,3.42 g,en faible quantité,0.19 g,en faible quantité,?,,66,-23%,276 kj(66 kcal),-23%,"3,2",-40%,"2,25",-33%,"4,8",+9%,"3,42",0%,"4,4",-0%,"0,19",+71%,"0,076",+71%,0,-100%,B,-100%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,"['FR 01.244.002 CE', 'Meximieux (Ain, France)']",,,,
246,Orenzo Fraîcheur,3760099043582,,,,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,27,,27,,0,,0,,0,,,,,,,,,,,,,,,,,,,
