,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
0,Golden Toast-Waffeln,4009249024156,['Golden Toast'],['France'],[],[],?,506,2117 kj(506 kcal),33,"8,2",44,24,3,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Korn mark,4009249038610,,['France'],"['Weizenmehl', 'Wasser', 'Natursauerteig ', 'Roggenmehl', 'Wasser', 'Chiasamen ', 'Salvia hispanica', 'Hirse', 'gepuffter Dinkel', 'Weizenbackschrot', 'Leinsamenmehl', 'Rapsöl', 'Salz', 'Weizenkleie', 'Hefe', 'Kann Spuren von Sesam enthalten', 'Nä Ene P Ungeöffnet']",[],?,241,1008 kj(241 kcal),4,"0,4",40,"3,5","7,9",1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hüttentraum,4009300005278,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pure. Lust. Tee - Teekanne,4009300005360,['Teekanne'],['France'],[],[],?,?,,?,,?,,?,,,,Fruit tea with strawberry-rhubarb taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gold - Teekanne,4009300007319,['Teekanne'],['France'],['Thé noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Green tea chun mee - Teekanne,4009300009740,"['Teekanne', 'Pompadour']",['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Teekanne Grüner Tee Matcha,4009300013563,,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rosehip the au fruits de l’eglantier - Teekanne,4009300501220,['Teekanne'],['France'],[],[],?,0,0 kj(0 kcal),0,0,9,8,10,0,0,,,,['Boissons'],,-100%,-100%,-20%,+1916%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,-100%,-100%,-15%,-100%,-100%,1,-87%,B,-87%,,,,,,,,,,,,
8,Cool sensation apple & elderflower,4009300525752,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Emmental,4009301002399,,['France'],[],[],?,387,1619 kj(387 kcal),29,19,2,0,29,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gouda - 200g,4009301040926,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
11,Choucroute - Sauerkraut,4009309022504,['Sauerkraut'],['France'],[],[],?,22,92 kj(22 kcal),"0,1","0,1","3,9","1,2","1,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
12,Bio Fit Augurken Zoet Zuur,4009309112670,['Bio Fit'],['France'],"['Gurken*', 'Branntweinessig*', 'Rohrohrzucker*', 'Kräuteressig*', 'Branntweinessig*', 'Kräuter-Aroma*', 'Meersalz', 'Dill*', 'Senfsaat*', 'Gewürze ', 'Zwiebeln*', 'Koriander*', 'Fenchel*', 'Pfeffer*', 'Festigungsmittel: Calciumcitrat', ' Ungeöffnet']",[],?,34,142 kj(34 kcal),"0,2","0,1","6,1","5,3","1,4","1,42","0,568",['Moutarde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['E333 - Citrates de calcium'],4,,,,,,,,
13,Kürbis Paulsen - 320g,4009309532515,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 g,,,,['Glas'],,,,,,,
14,Bambussprossen - Marschland - 180g,4009309680612,['Marschland'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180g,,,,['Glas'],,,,,,,
15,Kürbis kernbraten,4009337101608,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Casa Pietra Gnocchi - 500g,4009337846936,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
17,Assaisonnement Spécial Grill,4009338409024,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Käseaufschnitt,4009418106089,,['France'],[],[],?,330,1381 kj(330 kcal),25,17,"0,1","0,1",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kaffesahne,4009418108441,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Frischkäse - 200g,4009418108977,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
21,"Salzbrezeln, Feines Laugengebäck",4009418109554,,['France'],[],[],?,408,1707 kj(408 kcal),"8,5","4,3",70,"2,5",11,"5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Texas Eintopf - 800g,4009418110642,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,['Konserve'],,,,,,,
23,Tip Müsli-Riegel Schokolade - 200g,4009418154271,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
24,Tomaten Nudeltopf - 800g,4009418160739,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,['Konserve'],,,,,,,
25,TiP Butterkäse 45% - 400g,4009418211462,['TIP'],"['République tchèque', 'France']","['pasteurisierte Kuhmilch', 'Speisesalz', 'Sâuerungskulturen', 'mikrobielles Lab', ' Unter Schutzatmosphâre verpackt', ' Nach dem Ôffnen kühl lagern und innerhalb weniger Tage verbrauchen', ' l', 'Aufgrund der Reifezeit baut Sich die natürlicherweise enthaltene']",['Non végétalien'],?,335,1402 kj(335 kcal),26,18,"0,1","0,1",24,"1,8","0,72",['Lait'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+2%,-2%,-92%,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,26 g,en quantité élevée,18 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,+2%,+1%,-87%,+38%,+38%,16,+17%,D,+17%,400 g,,,3,,['DE SH-050 EG'],,,,,,
26,Weinbranntweinessig - 1l,4009418219321,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1l,,,,,,,,,,,
27,Brantweinessig -  - 1l,4009418219369,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,B,"['Vinaigres', ""Vinaigres d'alcools""]",,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,1 l,,,,['Flasche'],,,,,,,
28,"Apfel Schorle - 1,5L",4009418289010,,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,5","6,2",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5L",,,,,,,,,,,
29,"Mozzarella Light, 8, 5% Fett Absolut - Tip",4009418291266,['Tip'],['France'],"['lait de vache pasteurisé', 'sel alimentaire', 'substitut de laboratoire microbien', ""culture de bakœi d'acide lactique"", 'acide citrique', ' Mozzarella lig% t contient 50% moins de matières grasses que Mozzarella 45% de graisse i', ' Tr']",['Non végétalien'],?,167,699 kj(167 kcal),"8,5",6,"1,5","1,5",21,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
30,Pudding -  - 115g,4009418297046,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Desserts', 'Puddings']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 g,,,,['stück'],,,,,,,
31,Paniermehl Tip -  - 1000g,4009418297671,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,
32,Salat dressing french,4009418317652,,['France'],[],[],?,305,1276 kj(305 kcal),29,"3,1","8,8","6,3","1,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jus orange pomme goyave ananas,4009491015117,,['France'],[],[],?,46,192 kj(46 kcal),"0,2","0,05","9,8","9,7","0,5","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
34,Spate Ernte - valensina,4009491018118,['Valensina'],['France'],['Orange'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,47,197 kj(47 kcal),"0,2","0,04","9,9","9,9","0,8","0,003","0,001",,,,['Boissons'],,-16%,-42%,-12%,+61%,,,,,,,,0.2 g,en faible quantité,0.04 g,en faible quantité,9.9 g,en quantité élevée,0.003 g,en faible quantité,-18%,-66%,+5%,-93%,-93%,4,-48%,C,-48%,,,,1,,,,,,,,
35,Jus d'Orange - Valensina - 750ml,4009491020043,"['Valensina', 'Orange']",['France'],"[""Jus d'orange à base de concentré"", 'vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,43,180 kj(43 kcal),"0,2","0,04",9,9,"0,7","0,003","0,001",,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",,0%,+5%,-7%,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.2 g,en faible quantité,0.04 g,en faible quantité,9 g,en quantité élevée,0.003 g,en faible quantité,-1%,+21%,-1%,-64%,-64%,2,-33%,C,-33%,750 ml,"['Végétarien', 'Végétalien', 'Pur jus']",,1,"['Bouteille', 'Plastique']",,,,,,,
36,Multi-vitamin - Valensina - 1L,4009491020050,['Valensina'],['France'],"['Jus de pomme ', '69 %', ""jus d'orange "", '24 %', 'jus de fruit de la passion ', '2 %', 'pulpe de banane ', '2 %', ""jus d'ananas "", '2 %', 'pulpe de nectarine ', '0,5 %', 'jus de citron ', '0,5 %à', 'pulpe de goyave ', '0,05 %', 'pulpe de mangue ', '0,05 %', 'pulpe de poire ', '0,05 %', ""pulpe d'abricot "", '0,05 %', 'pulpe de papaye ', '0,05 %', 'mélange de vitamines : vitamine C', 'niacine', 'vitamine E', 'acide pantothénique', 'provitamine A', 'vitamine B6', 'vitamine B1 ', 'thiamine', 'acide folique', 'biotine', 'vitamine B12']",[],?,49,205 kj(49 kcal),"0,1","0,02","11,2","10,8","0,4","0,003","0,001",,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus multifruits', 'Jus multifruits à base de jus concentré', 'Boissons sans sucre ajouté']",,+4%,-35%,+2%,+13%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.1 g,en faible quantité,0.02 g,en faible quantité,10.8 g,en quantité élevée,0.003 g,en faible quantité,+5%,-5%,+4%,-68%,-68%,5,+15%,C,+15%,1 L,,,1,"['Bouteille', 'Plastique']",,,,,,,
37,Orange mangue ananas - Valensina,4009491020067,['Valensina'],['France'],"[""Jus d'orange 42%"", 'jus de pomme 42%', 'jus d’ananas 10%', 'pulpe de banane 5%', 'pulpe de mangue 1%', 'vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,45,188 kj(45 kcal),"0,2","0,03","9,8","9,7","0,4","0,004","0,002",,,,['Boissons'],,-20%,-42%,-13%,-19%,,,,,,,,0.2 g,en faible quantité,0.03 g,en faible quantité,9.7 g,en quantité élevée,0.004 g,en faible quantité,-22%,-75%,+3%,-90%,-90%,4,-48%,C,-48%,,,,1,,,,,,,,
38,Valensina Multi,4009491228159,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Vitamin-Frühstück Mulitvitamin - Valensina,4009491228180,['Valensina'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,
40,tea toast - café cult,4009636119557,['café cult'],['France'],[],[],?,460,1925 kj(460 kcal),"14,4","12,4","73,7","26,6","5,9","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3 Pauly Linzer Taler,4009680361841,['3 Pauly'],['France'],"['Corn flour', 'corn starch', 'sour cherry fruit filling 20% ', 'fructose', 'sour cherry juice concentrate ', '33%', 'sour cherries ', '10%', 'fructose syrup', 'modified starch ', 'corn', 'thickener: pectin', 'acidification agent: citric acid', 'calcium citrate', 'natural flavouring', 'water', 'sugar', 'concentrated butter ', '12% honey', 'hazelnut semolina', 'lupine flour', 'sweet whey powder', 'thickener ', 'guar flour', 'egg white powder ', 'chicken', 'raising agent ', 'am - monium hydrogen carbonate', 'sodium hydrogen carbonate', 'salt', 'bourbon vanilla', ' Store']","['Non végétalien', 'Non végétarien']",?,431,1803 kj(431 kcal),15,"8,5",70,32,"3,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E330 - Acide citrique', 'E502 - Carbonates', 'E500ii - Carbonate acide de sodium']",4,,,,,,,,
42,Choceo - 3PAULY,4009680361872,['3PAULY'],['France'],[],[],?,491,2054 kj(491 kcal),25,15,63,29,3,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,teff cookie classic vegan,4009680361902,,['France'],[],[],?,506,2117 kj(506 kcal),24,11,68,27,"3,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
44,Kakaocreme waffeln sans gluten,4009680362022,,['France'],[],"['Végétalien', 'Végétarien']",?,562,2351 kj(562 kcal),34,17,56,28,"4,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
45,Actimel Classic,4009700014788,"['Actimel', 'Danone']",['France'],[],[],?,81,339 kj(81 kcal),"1,9","1,3","12,2",12,"2,7","0,1","0,04",,"Spécialité laitière fermentée à boire au L casei , nature, avec sucres et édulcorants et enrichie en vitamines B6 et D",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,+12%,+26%,+8%,-7%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,1.9 g,en quantité modérée,1.3 g,en quantité modérée,12 g,en quantité élevée,0.1 g,en faible quantité,+12%,+38%,+12%,-6%,-6%,19,+19%,E,+19%,,,,,,,,,,,,
46,"Mars Mix, Karamell - Danone",4009700031518,['Danone'],['France'],[],[],?,175,732 kj(175 kcal),"8,3","5,3",22,20,"2,5","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Activia Quinoa Und Sonnenblumenkerne - Danone,4009700034373,"['Danone', 'Activia']",['France'],"['Yogourt', 'sucre', 'oligofructose', 'quinoa ', '1,496', 'sarrasin ', '0,6%', 'graines de tournesol ', '0,6%', 'graines de lin ', '0,596', 'arôme naturel', ' Avec culture de bifidus ActiRegularis?', 'Peu contenir des tracs de fruits i coques et Mitenantdu gluten', ' Jogurt z veàrnatim pripravkom ', '17%', 's 4,2% maiio e v mleinem deleiu sladgor', 'oligofruktoza', 'kvinoja ', '1,4 %', 'leiniki ', '0,9 96', '0,6 %', 'ajda ', '0,6 %', 'sonülilnase ena ', '0,6 %', 'lanena semena naravna aroma', ' S :ulturo bifidus ActiReqularis?', ' Lahko vsebule']",[],?,118,494 kj(118 kcal),"4,4","2,3","14,1","12,3","4,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
48,Activia kiwi - Danone,4009700069634,"['Danone', 'Activia']",['France'],"['Yogourt', 'sucre', '4% pomme', '3,3% kiwi', '1 % concentré de jus de citron vert', 'arôme naturel', 'Avec des cultures bifidus ActiRegularis', ' Peut contenir des fruits à coque et des céréales contenant du gluten']",[],?,366,1531 kj(366 kcal),"2,9","1,9","11,3",11,"3,6","0,14","0,056",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']",,+346%,+1%,+9%,-3%,,,,,,,,2.9 g,en faible quantité,1.9 g,en quantité modérée,11 g,en quantité modérée,0.14 g,en faible quantité,+340%,+3%,+9%,+14%,+14%,5,+227%,C,+227%,,,,4,,,,,,,,
49,Dolce vita,4009700069740,,['France'],[],[],?,76,318 kj(76 kcal),"2,4","1,5","10,4","9,6","2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Biscuit Traditions,4009703001112,,['France'],[],[],?,443,1854 kj(443 kcal),"10,3","5,3",80,40,"6,8","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
51,Oblaten,4009703002102,,['France'],[],[],?,443,1854 kj(443 kcal),"10,3","5,3",80,40,"6,8","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
52,4009737306337,4009737306337,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tokio Mix Asiatische Reiskräcker,4009790003013,,['France'],[],[],?,412,1724 kj(412 kcal),"7,4","1,4","76,3","12,9","9,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Friesen futter,4009790003457,,['France'],[],[],?,493,2063 kj(493 kcal),"34,2","4,4","36,8",31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Nüsse Cashew Maienburg - 200g,4009790003822,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
56,Haselnusskerne Jumbo - meienburg - 200g,4009790003853,['Meienburg'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,Haselnusskerne,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués']",,,,,,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
57,Vin de Bordeaux 2012 - Jean Degaves - 75cl,4009791002176,['Jean Degaves'],['France'],"['Vin ', 'sulfites']",['Sans huile de palme'],?,?,,?,,?,,?,,,['Anhydride sulfureux et sulfites'],,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins blancs']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,75 cl,,,3,"['Bouteille', 'Verre']",,['France'],['France'],,,,
58,Feinschmecker sauce zu braten,4009831022829,,['France'],[],[],?,28,117 kj(28 kcal),"0,3","0,1","4,9","1,8","1,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4009831522893,4009831522893,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Zuckerdekor tierautos,4009853118951,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Erdbeeren (Golden Crown) - 2500g,4009884410086,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500 g,,,,['Beutel'],,,,,,,
62,Heidelbeeren - Golden Crown - 2500g,4009884410406,['Golden Crown'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Myrtilles', 'Myrtilles fraîches']",,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,,,,,,,,,,,,,,,,,2500 g,,,,['Beutel'],,,,,,,
63,Sauerkirschen - Golden Crown - 2500g,4009884411182,['Golden Crown'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Cerises', 'Cerises fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500 g,,,,['Beutel'],,,,,,,
64,Mango (Golden Crown) - 2500g,4009884512117,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500 g,,,,['Beutel'],,,,,,,
65,Bohnen - 600g,4009884611643,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,,,,,,,,,,,
66,Rosenkohl - 1000g,4009884612831,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Choux de Bruxelles']",,,,,,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,
67,Pudding vanille,4009890217716,,['France'],[],[],?,335,1402 kj(335 kcal),"0,1","0,1","83,4",0,"0,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
68,Chocolade Pudding 3st - Natura,4009890217723,['Natura'],['France'],"['contenu: 50 g de poudre à pudding pour Ide lait', ' préparation: Prendre 1/2 1 de lait', 'félever 6 cuillères à soupe et bien es mélanger au contenu du sachet', 'rajouter 2 c', 'à s', 'de sucre ', 'env', ' 409', ' Porter le reste du lait à ébullition', 'retirer du feu', 'ajouter la poudre de pudding délayée et porter quelques instants à ébullition', "" Remplir des bols rincés à l'eau froide avec le pudding p"", 'éparé', 'entreposer au froid', ' le pudding peut être démoulé au bout de quelques heures', 'gluten', 'sans colorants*', ""la législation alimentaire Noreconseil: Vous POUVez remplacer le par d'autres produits sucrants du miel ou des édulcorants"", "" de mai's*"", 'Poudre fortement dégraissé* ', '18 %', ""sellssu de l'agriculture biologique Ac"", 'ommerde préférence avant: votessus du sachet']",[],?,326,1364 kj(326 kcal),2,"1,2","72,4","0,1","4,5","0,5","0,2",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Fabriqué en Allemagne', 'Sans colorants']",,4,,,,,,,,
69,Pack 5X13G Tablette Menthol Freedent,4009900004619,['Freedent'],['France'],[],[],?,155,649 kj(155 kcal),0,0,"64,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Wrigley Extra Peppermint 3PK - Wrigley's - 42g,4009900359245,"[""Wrigley's""]",['France'],[],[],?,150,628 kj(150 kcal),0,0,"62,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 g,,,,,,,,,,,
71,Wrigleys Extra Cool Breeze Gum 5 Pack - Wrigley,4009900368421,['Wrigley'],['France'],"['Sweeteners xylitol', 'sortbitol', 'aspartame', 'mannitol', 'acesulfame k', 'gum base', 'thickener gum arabic', 'humectant glycerol', 'flavoring', 'elulsifier soybean lecithin', 'colour E171', 'glazing agent', 'carnauba wax', 'antioxydant BHA', 'phenylalannine']",[],?,158,661 kj(158 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E951 - Aspartame', 'E421 - Mannitol', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E903 - Cire de carnauba', 'E320 - Butylhydroxyanisol']",4,,,,,,,,
72,Orbit - Menta,4009900385862,['Orbit'],"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
