,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
0,Spremuta d'uva e mele bio,8032986531164,['Bio'],['France'],[],[],?,61,255 kj(61 kcal),"0,5",0,15,"14,8","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Filotea ""Le Matassine"" Egg Pappardelle Nests - 8.8 Oz",8032993000936,['Contient du gluten'],['France'],"['semoule de blé dur', 'log œufs ', '30%', 'farine de blé Contient des allergènes: oeuffs', 'gluten ZUTATEN: hartweizen', 'eier ', '30%', 'mehl Enthâlt allergen: eier', 'gluten']",[],?,374,1565 kj(374 kcal),"4,2","1,3","67,4","1,5","15,7",['Filotea'],['Gluten'],4,"0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mozzarella di buffala a la campana - Fattoria dell'Alento - 250g égoutté (650g net),8032998662535,['AOP'],['France'],"['Lait de bufflonne', 'présure', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,278,1163 kj(278 kcal),23,"17,8","0,8","0,7","17,4","[""Fattoria dell'Alento""]",,3,"0,5","0,2",D,250 g égoutté (650 g net),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",['IT 15 532 CE'],23 g,en quantité élevée,17.8 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,,+4%,+4%,-0%,+13%,+8%,+14%,+21%,-18%,-18%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
3,Hamburger buns with sesame,8032998900224,,['France'],[],[],?,276,1155 kj(276 kcal),"5,9","0,8",46,"8,3",8,,,,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pasticceria assortita - Bonoét - 200g,8032998901238,,"['France', 'Italie']","['Farine de froment', 'sucre', 'graisse végétale', 'masse de cacao', 'beurre de cacao', 'lait entier en poudre', 'cacao maigre en poudre', 'gras butyrique', 'serum de lait en poudre', 'arôme naturel', 'lait écrémé en poudre', 'sirop de sucre inverti', 'oeufs en poudre', 'lactose', 'amidon de froment', 'riz soufflé', ""flocon d'avoine"", 'sirop de glucose', ""poudre à lever : carbonate acide de sodium - carbonate acide d'ammonium"", 'colorant : bêta-carotène', ""blanc d'oeuf en poudre"", 'sel', 'dextrose', 'émulsifiant : lécithine de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2117,?,2117 kj(506 kcal),"26,7",,"60,6",,"5,8",['Bonoét'],"['Gluten', 'Lait']",4,,,D,200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,26.7 g,en quantité élevée,,,,,,,+2%,,+3%,+14%,,-3%,,-12%,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Assortiment de biscuits avec chocolat fondant 9% et chocolat au lait 8%,['Plastique'],['Union Européenne'],['Oh Marché Malin'],"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E160ai - Bêta-carotène', 'E322i - Lécithine']",,,,
5,Paté di Oliva Verdi - Artemide - 180g,8033003310618,['Point Vert'],['France'],"['Pulpe d’olive verte', 'sel', ""huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,['Artemide'],,3,,,,180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Pâtés végétaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pâté d'olives vertes,"['Verre', 'Bocal']",,"[""De l'Autre Côté de la Rue""]",,,,,
6,Fetuccini,8033011150039,,['France'],[],[],?,368,1540 kj(368 kcal),4,1,66,5,15,,,,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fettuccine al nero di seppia,8033011150176,,['France'],[],[],?,368,1540 kj(368 kcal),"4,4","1,5",1,1,"15,1",,,,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fettucine al rosmarino,8033011150244,,['France'],[],[],?,368,1540 kj(368 kcal),"4,4","0,36","66,2",2,"15,1",,,,"0,012","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Passi di Orma Bolgheri Doc Toscana 2016 -  - 750g,8033011220619,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,750 g,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Vinaigre balsamique,8033020400019,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Riso Integrale,8033028040569,"['Bio', 'Bio européen', 'IT-BIO-008']",['France'],[],[],?,346,1448 kj(346 kcal),3,"0,8","67,1","1,1","9,8",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Riz noir otello,8033028049029,,['France'],[],[],?,346,1448 kj(346 kcal),3,"0,8","67,9","1,1","9,8",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Creme dessert,8033049610581,['en:gluten-free'],['France'],[],[],?,186,778 kj(186 kcal),"9,3","3,6",20,"17,4","5,5",,,,"0,1","0,04",,,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",,9.3 g,en quantité modérée,3.6 g,en quantité modérée,17.4 g,en quantité élevée,0.1 g,en faible quantité,,+43%,+43%,+108%,+30%,+10%,+14%,+64%,-35%,-35%,5,+5%,C,+5%,,,,,,,,,,,,,,,,
14,Mandelmuss weiss - Deanocciola,8033055570107,['Bio'],['France'],"['kontrolliert biologischer Landwirtschaft Kann Spuren anderer Schalenfrüchte das Mus keinerlei Zusâtze enthâlt', 'setzt an der Oberflàche ab', "" Vor Gebrauch ein 7 'r•cken und kühl aufbewahren"", "" Nach dem Offo- 'on Monaten aufbrauchen"", ' bytchschnittliche Nâhrwerte / 1 OOgi haltbar bif']",[],?,634,2653 kj(634 kcal),"54,7",5,"7,3","5,2","23,2",['Deanocciola'],,,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Spaghetti alla chitarra,8033064600048,['Fabriqué en Italie'],['France'],[],[],?,350,1464 kj(350 kcal),1,"0,2",71,"3,4",13,,,,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pâtes de semoule au blé dur aux cèpes,8033064805382,,['France'],[],[],?,363,1519 kj(363 kcal),1,"0,4","75,5","1,9",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Pasta di semola - Il Cesto D’oro,8033064805474,,['France'],"['Semoule de BLÉ dur', 'eau', 'cépes déshydratés 2%', "" Peut contenir traces d'ŒUFS et produits à base de POISSON"", ' A consommer avant: voir le sachet,']",[],?,363,1519 kj(363 kcal),1,"0,4","75,5","1,9",12,['Il Cesto D’oro'],"['Œufs', 'Poisson', 'Gluten']",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pane d'uva,8033075600327,['Sans conservateurs'],['France'],[],[],?,331,1385 kj(331 kcal),"11,6","6,2","48,7","26,9","6,6",,,,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gnocchi de pommes de terre à la tomate - Il poeta - 500g,8033087771510,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en Italie']","['France', 'États-Unis']","['pommes de terre réhydratées ', '70%', 'farine de mais', 'fecule de pomme de terre', 'amidon de mais', 'farine de riz', 'sel', ""correcteur d'acidité: acide lactique"", 'acide sorbique conservateur', 'arome', ' tomate déshydratée ', '3%']","['Végétalien', 'Végétarien']",?,158,661 kj(158 kcal),"0,5","0,06",33,"0,12",5,['Il poeta'],,,"1,4","0,56",B,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Gnocchi', 'Gnocchi de pommes de terre']",,0.5 g,en faible quantité,0.06 g,en faible quantité,0.12 g,en faible quantité,1.4 g,en quantité modérée,,-55%,-55%,-76%,-88%,-51%,-88%,-55%,+6122%,+6122%,4,,C,,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,gnocchis de pommes de terre aromatisées à la tomate,"['Frais', 'Plastique']",['Italie'],,,CIEMME,https://www.ciemmealimentari.it/prodotto/il-poeta-gluten-free-chicche-500-gr-2/,,
20,Confiture peche -,8033087880380,,"['France', 'Italie']",[],[],?,209,874 kj(209 kcal),"0,2",0,"51,4","51,4","0,4",,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sugo di pomodoro all' arrabbiata,8033100271447,['Fabriqué en Italie'],"['Australie', 'France']",[],[],?,77,322 kj(77 kcal),"5,2","0,8","5,3",5,"1,4",,,,1,"0,4",B,,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",,5.2 g,en quantité modérée,0.8 g,en faible quantité,5 g,en quantité modérée,1 g,en quantité modérée,,-28%,-24%,-20%,-3%,-17%,-6%,-12%,-8%,-8%,5,+27%,C,+27%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,['Woolworths'],,,,,
22,Don Antonio Sugo Tradizionale 500 ML,8033100272673,,"['Australie', 'France']",[],[],?,85,356 kj(85 kcal),"5,8","1,2","5,2","5,1","1,7",,,,"1,1","0,44",,500 mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,
23,Sugo alle melanzane e ricotta - OrtoSalento,8033100273175,,['France'],"['Pulpe de tomates et de tomates cerises 76% ', 'Italie', ""aubergines 1 1 fromage frais 5,5% huile d'olive extra vierge"", 'sel marin', 'basilic', 'céleris', 'carottes', 'oignons', 'anchois', 'poivre', ""correcteur d'acidité: acide citrique"", ' Ingredients: Pulp of tomato and cherry tomato puree 76% ', 'Italy', 'eggplant 11%', 'ricotta 5,5%', 'extra virgin olive oil', 'sea salt', 'basil', 'celery', 'carrots onion', 'anchovy', 'pepper', ' acidifier: citric acid', 'Ingrediênten: Gehakte tomaten en tomatenpulp datterini ', 'tomaatjes', ' 76% ', 'Italié', 'aubergine 1 1 kwark 5,5%', 'extra vergine olijfolie', ' zeezout', ' basilicum', 'selderij', 'wortelen', 'uient ansiovist peper', ' citroenzuur']","['Non végétalien', 'Non végétarien']",?,65,272 kj(65 kcal),"2,9","0,7","7,2",7,"1,6",['OrtoSalento'],"['Céleri', 'Poisson', 'Lait']",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,
24,CRÉMA HARISSA,8033100320046,,['France'],[],[],?,311,1301 kj(311 kcal),"15,4","3,6","5,4","5,4","0,6",,,,4,"1,6",C,,"['Epicerie', 'Sauces', 'Harissas']",,15.4 g,en quantité modérée,3.6 g,en quantité modérée,5.4 g,en quantité modérée,4 g,en quantité élevée,,+193%,+192%,+250%,+482%,-41%,+46%,-76%,+9%,+9%,17,+100%,D,+100%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,
25,Tapenade Crema di Olive Nere,8033100320749,,['France'],[],[],?,237,992 kj(237 kcal),"21,7","1,3","1,4","0,8","2,6",,,,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,pesto alla genovese,8033100320756,,['France'],[],[],?,491,2054 kj(491 kcal),"49,1",7,"7,6","7,4","4,7",,,,3,"1,2",C,,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces Pesto']",,49.1 g,en quantité élevée,7 g,en quantité élevée,7.4 g,en quantité modérée,3 g,en quantité élevée,,+261%,+267%,+433%,+307%,+15%,+57%,+40%,+136%,+136%,23,+355%,E,+355%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,
27,Crème d'artichaut,8033100321517,,['France'],[],[],?,334,1397 kj(334 kcal),"31,6","3,6","6,1","4,6","6,6",,,,3,"1,2",,,"['Produits à tartiner', 'Produits à tartiner salés', ""Crèmes d'artichaut""]",,31.6 g,en quantité élevée,3.6 g,en quantité modérée,4.6 g,en faible quantité,3 g,en quantité élevée,,+33%,+34%,+39%,+17%,+33%,+226%,+246%,+124%,+124%,18,+112%,D,+112%,,,,,,,,,,,,,,,,
28,Pesto Alla Calabrese,8033100323016,,['France'],[],[],?,317,1326 kj(317 kcal),"29,2","4,7","29,2","4,7","3,4",,,,3,"1,2",,,['it:Pesto alla calabrese'],,29.2 g,en quantité élevée,4.7 g,en quantité modérée,4.7 g,en faible quantité,3 g,en quantité élevée,,,,,,,,,,,18,,D,,,,,,,,,,,,,,,,,
29,Crema di olive nere - Compagne Bio Mediterranea,8033100323177,['Bio'],['France'],"['OLNE NERE', "" OL10 EXTRA VERGINE D'OLIVE EXTRA VIERGE ACIDITÀ: E270"", 'OLIVES NOIR', 'HUILE D nClDlTE', ' E270', ' 100 di UUTRIZIONALI er kcal Valœe€ urqttico Proiein: CatWtdâti / di cui zuccheri Gravi I ', 'fi saturi Sale Peso Netto']",[],?,237,992 kj(237 kcal),"25,3","1,54","0,7","0,7","1,5",['Compagne Bio Mediterranea'],,,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E270 - Acide lactique'],,,,
30,8033102540039,8033102540039,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Grisbi Rice - Matilde Vicenzi,8033102691441,,['France'],[],[],?,550,2301 kj(550 kcal),"32,4","22,3","58,5","39,5",5,['Matilde Vicenzi'],,,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Biscuit - Gisbi Chocolate & Milk 30G,8033102691502,['Fabriqué en Italie'],['France'],[],[],?,563,2356 kj(563 kcal),"34,6","22,6",57,"42,5",5,,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Grisbi chocolate - Matilde vicenzi,8033102691533,,['France'],"['WAFERCTNra vegetaliìioniat ""', 'patma', 'girasole', 'zucchero', 'farina di FRUMENTO', 'destrosio', 'cacao magro 8,3% nella pasta di cacao 6% nella cremp', 'sciroppo di glucosio in polvere', 'ioccolato 3% nella crema ', 'zucchero', 'pasta di cacao', 'burro di ü', 'emulsionante: lecitina di girasole', 'aromi', ""tuorlo d'UOVA in polvere"", 'pasta di NOCCIOLE', 'LATTE intero in polvere', 'sale', ""agentj *Gnti: carbonati di sodio e carbonati d'ammonio"", 'emulsionante: lecitina di girasole', 'aromi', ""PUO' CONTENERE TRACCE Dl SOJA,""]",[],?,544,2276 kj(544 kcal),"31,6","24,8","58,5","39,1","5,7",['Matilde vicenzi'],['Soja'],,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Grisbi Milk Waffer Biscuit,8033102691557,,['France'],[],[],?,562,2351 kj(562 kcal),"33,9","27,8","58,9","41,3","4,9",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hazelnut - Grisbi - 30g,8033102691571,['Sans matière grasse hydrogénée'],['France'],"['non-hydrogenated vegetable oils ', 'coconut', 'palm', 'sunflower', 'sugar', 'wheat flour', 'dextrose', 'hazelnut paste 7 % in cream filling', 'powdered glucose syrup', 'fat-reduced cocoa powder', 'whey powder', 'powdered egg yolks', 'whole milk powder', 'salt', 'raising agents ', 'sodium carbonates', 'ammonium carbonates', 'emulsifier ', 'sunflower lecithin', 'flavourings']","['Huile de palme', 'Non végétalien']",2318,?,2318 kj(554 kcal),"32,7","24,2","60,1","41,6","4,4",['Grisbi'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,"0,5","0,2",C,30 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,32.7 g,en quantité élevée,24.2 g,en quantité élevée,41.6 g,en quantité élevée,0.5 g,en quantité modérée,+16%,,+16%,+57%,+140%,-6%,+41%,-32%,-15%,-15%,26,+31%,E,+31%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Wafer biscuits with hazelnut cream filling 76%,['Plastic film'],"['Vicenzi SpA', 'via Forte Garafolo 1', 'San Giovanni Lupatoto', 'Italy']",['Leader Price'],"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']",,http://www.grisbi.it,,
36,Vicenzi Grisbi' Wafer Al Cioccolato Ast GR 30X4,8033102691687,,['France'],[],[],?,544,2276 kj(544 kcal),"31,6","24,8","58,5","39,1","5,7",,,,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"GRISBI - 120g, 4sachets de 30g",8033102691700,['Fabriqué en Italie'],['France'],"['huiles végétales non hydrogénées de coco', 'de palme et de tournesol', 'sucre', 'farine de froment', 'dextrose', 'noisettes en pâte 7% dans la crème', 'sirop de glucose', 'cacao maigre', 'petit-lait en poudre', ""jaunes d'œufs"", 'lait entier en poudre', 'sel', 'agents lévants ', 'carbonates de sodium', ""carbonates d'ammonium"", 'émulsifiant ', 'lécithine de soja', 'arôme']","['Huile de palme', 'Non végétalien']",?,555,2322 kj(555 kcal),"32,7","24,2","60,1","41,6","4,4","['Grisbi', 'Vicenzi Group']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"0,5","0,2",C,"120 g, 4 sachets de 30 g","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,32.7 g,en quantité élevée,24.2 g,en quantité élevée,41.6 g,en quantité élevée,0.5 g,en quantité modérée,,+11%,+11%,+32%,+62%,-3%,+18%,-16%,+55%,+55%,26,+18%,E,+18%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,Gaufrettes fourrées de crème aux noisettes (76%),"['Boite carton', 'Plastic film']","['Vicenzi Biscotti SpA', 'Via Forte Garafolo 1', 'S. Giovanni Lupatoto', 'Italy']",['Leader Price'],"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']",,,,
38,Gaufrette - Matilde Vicenzi,8033102691717,,['France'],[],[],?,550,2301 kj(550 kcal),"32,4","22,3","58,5","39,5",5,['Matilde Vicenzi'],,,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Grisbi Coco,8033102691724,['Fabriqué en Italie'],['France'],[],[],?,552,2310 kj(552 kcal),33,"23,1","56,9","38,6","5,18",,,,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Snacks fourrés de crème au lait recouverts de chocolat au lait,8033102691731,,['France'],[],[],?,563,2356 kj(563 kcal),"34,6","22,6",57,"42,5",5,,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Focaccia Huile D'olive,8033102691786,,['France'],[],[],?,359,1502 kj(359 kcal),14,"2,6",49,"1,7",8,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amaretto classico,8033102860052,"['en:gluten-free', 'Sans conservateurs']",['France'],[],[],?,449,1879 kj(449 kcal),"18,4","1,2","58,7","57,9","10,6",,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Parmesan En Stick - Parmabio,8033109190015,['Bio'],['France'],"['FORMAGGIO/FR Ingredienti: latte', 'y caglio Ingrédjents: lait', 'sél', 'présure']",['Non végétalien'],?,392,1640 kj(392 kcal),"28,4","18,7",0,0,33,['Parmabio'],,,"1,575","0,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Quadrotto semi freddo,8033120554285,,['France'],[],[],?,405,1695 kj(405 kcal),26,15,36,28,"5,6",,,,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,linguine -,8033140531341,,['France'],"['semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,310,1297 kj(310 kcal),1,"0,2",62,3,12,,,1,"0,022","0,009",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Linguine']",,1 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.022 g,en faible quantité,,-10%,-10%,-41%,-45%,-8%,+9%,-4%,-0%,-0%,-2,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
46,Sauce tomate olive artichaut - Afeltra - 270g,8033140536032,['en:gluten-free'],['France'],[],[],?,137,573 kj(137 kcal),12,2,"4,5","3,7","1,4",['Afeltra'],,,"1,3","0,52",,270 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauce tomate,['Verre'],,,,,,,
47,Pasta Afeltra Rigorosa Spaghetti - Gragnano,8033140537121,,['France'],"['Semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,357,1494 kj(357 kcal),1,"0,1",73,2,14,['Gragnano'],,,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pasta Afeltra Rigorosa Bucatini,8033140537183,,['France'],[],[],?,357,1494 kj(357 kcal),1,"0,1",73,2,14,,,,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Afeltra,8033140538197,,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,2",71,3,13,['Afeltra'],,,"0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pasta di gragnano - Afeltra,8033140538227,,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,2",71,3,13,['Afeltra'],,,"0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pasta di Gragnano I.G.P. bio - Afeltra,8033140538470,"['Bio', 'Bio européen']",['France'],[],[],?,351,1469 kj(351 kcal),1,"0,2",71,3,13,['Afeltra'],,,"0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,8033162178319,8033162178319,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Miele e pappa reale - Luna di miele - 250g,8033162400267,,['France'],[],[],?,?,,?,,?,,?,['Luna di miele'],,,,,,250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sirop d'agave,8033162405620,,['France'],[],[],?,310,1297 kj(310 kcal),"0,5",0,76,73,"0,001",,,,"0,029","0,012",,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,0.5 g,en faible quantité,0 g,en faible quantité,73 g,en quantité élevée,0.029 g,en faible quantité,,0%,-0%,+114%,-100%,-1%,-0%,-99%,-41%,-41%,13,+1%,D,+1%,,,,,,,,,,,,,,,,
55,Pomodori Secchi - 190g,8033162447880,,['France'],[],[],?,?,,?,,?,,?,,,,,,,190 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Fette biscottate classiche - Simply,8033209034707,,['France'],[],[],?,398,1665 kj(398 kcal),6,3,73,9,11,['Simply'],,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Brodo vegetale,8033209039030,,['France'],[],[],?,204,854 kj(204 kcal),"13,6","8,9","17,2","3,8","1,6",,,,"53,75","21,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gallette di riso,8033209043556,['en:gluten-free'],['France'],[],[],?,379,1586 kj(379 kcal),"1,9","0,6","80,3","0,6","8,8",,,,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Focaccia con olive,8033209054965,,['France'],[],[],?,267,1117 kj(267 kcal),"8,4","1,3","39,3","2,4","6,9",,,,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Aceto Balsamico di Modena,8033210890217,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
61,Crema capricciosa,8033210890569,,['France'],[],[],?,355,1485 kj(355 kcal),0,0,0,0,"1,3",,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Balsamico Bianco,8033210890613,,['France'],[],[],?,216,904 kj(216 kcal),0,0,"50,6","50,6","0,2",,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Crème de balsamique au citron,8033210891566,,['France'],[],[],?,281,1176 kj(281 kcal),0,0,"67,1",53,1,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Fondutina al tartufo,8033219120261,,['France'],[],[],?,221,925 kj(221 kcal),"18,5",13,"1,5","0,9",11,,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
