,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,markets,labels,manufacturing,traceability_code,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,brand_owner,palm_ingredients
0,olive verte - rustica,356470025214704,['Rustica'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Clynelish,5000281016528,['Clynelish'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kamille,4311501608487,,['France'],[],[],?,1,0,"0,2","0,1",4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jus de pomme U,07575817,,['France'],[],[],?,?,?,?,?,,,,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bonduelle Sliced Mushrooms,3083681015836,,['France'],[],[],?,19,"0,4","0,9","2,2",79 kj(19 kcal),"0,1","0,3","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Huile de crete,20262365,,['France'],[],[],?,828,92,0,0,3464 kj(828 kcal),13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,schaeffer - Destination Premium Camomille,3700110014009,['Destination Premium Camomille'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2014 - chateau rioublanc,3770002078372,['chateau rioublanc'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,poivre gris - spigol,3102870048889,['Spigol'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TERRE&PIERRE 2017 - GAILLAC,26010564,['GAILLAC'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,COTES DU RHONE - VIGNERONS ARDECHOIS,3274440058229,['VIGNERONS ARDECHOIS'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,mitosile lingette,3582910075561,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Domaine de Périès - virona,3770003264002,['Virona'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Food - 4,5060285254678,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,aqua mag - oligocean - 80gélules de 410mg,3428881704201,['Oligocean'],['France'],[],[],?,?,?,?,?,,,,,,,['Compléments alimentaires'],,,,,,,,,,,,,80 gélules de 410mg,['Papier'],"[""Magnésium d'origine Marine""]",['bio Coop'],,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Soldan Aecht Bayr. Blockmalz zerschlagen_100 g,4009077015098,,['France'],[],[],?,387,0,96,0,1619 kj(387 kcal),0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sauce Soja Supérieure (CLAIRE),6926548648129,,['France'],[],[],?,61,0,11,"2,9",255 kj(61 kcal),0,"9,2","16,5","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Rustica,8501700889657,['Rustica'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Monique Ranou - 400g,25851205,['Monique Ranou'],['France'],[],[],?,?,?,?,?,,,,,,,"['Conserves', 'Viandes', 'Viandes en conserve']",,,,,,,,,,,,,400 g,['Boîte'],['Veau Français'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Thé du joueur de flûte (Kokopelli) - Gaïa,3582815761828,['Gaïa'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Poliakov - 20cl,3147690070405,['Poliakov'],['France'],[],[],?,?,?,?,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcool pur']",,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,20cl,['Plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Saveurs des potages,3215470516488,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,pommes de terre - Les 3 Laboureurs - 1kg5,3593281013052,['Les 3 Laboureurs'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,1kg5,['Plastique'],['France'],,['Princesse Amandine'],['Tarville (culture)'],['CNIPT OPO43831'],,,,,,,,,,,,,,,,,,,,,,,,
23,huile d\'olive douce - huilerie de lapalisse,3155700004616,['huilerie de lapalisse'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,platinum cafe,5601082035024,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Garnacha - Torres,8410113003386,['Torres'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,raclette de Savoie au lait cru - reflets de France - 800gr,18354825,['reflets de France'],['France'],[],[],?,?,?,?,?,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Raclettes', 'Raclette de Savoie']",,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,800 gr,['Barquette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Herbaria Herbaria Sel De Montagne Sicilien,4021269041678,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Vitamine D,3286010065506,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Riesling Grand Cru Hengst - Wolfberger,3221249632150,['Wolfberger'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,flexi fizz -  - 225g,7414657187039,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,225g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,IMPASSIBLE - PIC SAINT LOUP,3700026408015,['PIC SAINT LOUP'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ananas séché - LES PRODUITS DE LA VIE,4250859319082,['LES PRODUITS DE LA VIE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bjorg,229820019307,['Bjorg'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bananice -,8602300202089,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cc,6194013937317,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,calimignons - MAUREL,3304009993927,['MAUREL'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Millésime 2019 - Monsieur Julien,3770002293164,['Monsieur Julien'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Verruxit,3401048167385,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mas de Jules - Les terres bio - Julien et frères,3770002293485,['Julien et frères'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pian complet Bio - Carrefour,523680357495,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cote du Rhône - Ar,26081878,['Ar'],['France'],[],[],?,?,?,?,?,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Boissons à base de vin']",,,,,,46.1%,10.2%,30.8%,8.9%,2.6%,1.4%,46,,['Verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Miel du gâtinais,3760298080043,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,savon de marseille - emma noel - 600grammes,3291960008503,['emma noel'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,600 grammes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,savon végétal olive et argan - floressance - 100g,3478820095006,['Floressance'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,100 g,['Plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Melozio - Nespresso,7630047607936,['Nespresso'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Maharajah reserve Assam tea - Dilmah,9312631764468,['Dilmah'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,One-Punch Man,9782368522257,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,anglais - niviachy,6928075647903,['Niviachy'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,['flacon plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,la beliere - baron philippe de r,3262151019752,['baron philippe de r'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Liquide vaisselle parfum citron - Auchan,3596710441105,['Auchan'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Purée - Pom\'lisse,356470000111002,"[""Pom\\'lisse""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,tablette chocolat noir cacao 70% - Lenotre - 80,08132707,['Lenotre'],['France'],[],[],?,?,?,?,?,,,,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolat noir en tablette extra dégustation à 70% de cacao minimum']",,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,80,['Carton'],,,,,,http://www.lenotre.com,,,,,,,,,,,,,,,,,,,,,,,
53,Fumer tue,4033100047244,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Anjou - Domaine des hautes gohardes,3760079920018,['Domaine des hautes gohardes'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PROVIDENCE (blanc) - PETRA VIRIDIS,3397590000020,['PETRA VIRIDIS'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,haricots verts - Naturellemnent BIO,3493372045156,['Naturellemnent BIO'],['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,,,,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Domaine Taliani,3299810162252,['Domaine Taliani'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dentifrice - Denticlay,3464660000249,['Denticlay'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Savon noir liquide - Phebus - litre,3077314032901,['Phebus'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,litre,['bouteille plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Thé vert Bio Détox - TERRE D\'OC,61151640,"[""TERRE D\\'OC""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,charal,18125191,['Charal'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BIO 100% Mie - HARRYS,228857000937,['HARRYS'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Les herbes du soir - La route des comptoirs,3760019003542,['La route des comptoirs'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Équilibré Arabicas Amérique Latine - Café Michel,3483981000479,['Café Michel'],['France'],[],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Vino Merlot Cielo Doc,8008900004212,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,grand rousseayu - bordeaux,3760045356223,['Bordeaux'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,cuvée prestige - les vignerons foréziens,3338500315186,['les vignerons foréziens'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Oranjeboom Premium Lager 440ML X 4,8725000174958,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3770015307032,3770015307032,,['France'],[],[],"742,7",177.5,?,"30,1",2,"742,7 kj(177 kcal)",,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,duo de riz de camargue - bio village,356470707975403,['bio village'],['France'],[],[],?,?,?,?,?,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,['Leclerc'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,
71,Snack crunch duo,3701292606396,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Pesto alla genovese,80380702,,['France'],[],[],?,578,56,12,"5,3",2418 kj(578 kcal),"9,4","8,6","3,4","1,36",C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,+29%,+27%,+103%,+12%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,56 g,en quantité élevée,9.4 g,en quantité élevée,8.6 g,en quantité modérée,3.4 g,en quantité élevée,+29%,+44%,+276%,+38%,+38%,27,+38%,E,+38%,,,,,,
73,Batasaurus,3070900051362,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Cellulifit - Fort horizon,5060072734093,['Fort horizon'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,sddfdgohk - At6uihcgitufgfgdygjyyifupjopddr,8710847992391,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,At6uihcgitufgfgdygjyyifupjopddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pur Sans Sulfites - Vignerons de Tornac,3337492042131,['Vignerons de Tornac'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,deux,9782210753570,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,deux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"eau - vittel - 1,5L",14513787,['Vittel'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,"1,5L",['Plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Vino Tinto Villa Collada Marques De Riscal 750 ML.,8410869451202,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Vin de pays - Pont d\'Arc,3274440010197,"[""Pont d\\'Arc""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Carrefour,3560070947690,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Carrefour,3560070881499,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Carrefour,3560070663248,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Carrefour,3560070431052,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Carrefour,3560070210954,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Carrefour,3560070176939,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Saint amand,8109850161564,['Saint amand'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pâté en croute,3323790618581,,['France'],[],[],?,316,"19,3","26,4",10,1322 kj(316 kcal),"7,2","1,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Pain complet 350g,0200230007811,,['France'],[],[],?,257,"1,6",46,11,1075 kj(257 kcal),"0,3","2,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Yaourt fermier Pur chèvre - Le vaches nous rendent chèvres - 125gr,00000017,['Le vaches nous rendent chèvres'],['France'],"['Lait de chèvre* ferment ""Produit issus de l\'agriculture biologique']",[],?,?,?,?,?,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,,,,,,,,,125gr,['Verre'],,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Mendiants - Studentenhaver,00000291,,['France'],[],[],?,437,"19,7","55,2",8,1828 kj(437 kcal),"1,7","50,09","0,05","0,02",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,-29%,-61%,+241%,-59%,,,,,,,,,,,,,,,,19.7 g,en quantité modérée,1.7 g,en quantité modérée,50.1 g,en quantité élevée,0.05 g,en faible quantité,-29%,-73%,+831%,-89%,-89%,16,+225%,D,+225%,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Crous Resto',00000970,"[""Crous Resto'""]",['Norvège'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Crous Resto',00001564,"[""Crous Resto'""]",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Crème dessert chocolat,00001663,,['France'],[],[],?,?,?,?,?,,,,,,B,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",,,,,,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Crous Resto',00005081,"[""Crous Resto'""]",['Norvège'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,00014595,00014595,,['France'],[],[],?,?,?,?,?,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,British clipper ipa - Marks and Spencer - 330ml,00024600,['Marks and Spencer'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,330 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Jus pressé ananas, gingembre, pomme, citron - Marks & Spencdjdj - 250ml",00030113,['Marks & Spencdjdj'],"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,43,"0,1","9,8","0,4",180 kj(43 kcal),"0,1","9,1","0,1","0,04",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', ""Jus d'ananas""]",,-12%,-45%,-16%,+13%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,250 ml,"['Plastique', 'Bouteille']",,['Marks & Spencer'],"['Végétarien', 'Végétalien']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,9.1 g,en quantité élevée,0.1 g,en faible quantité,-13%,+240%,-19%,+1388%,+1388%,3,-42%,C,-42%,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,450g,00038706,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,00200349,00200349,,['France'],[],[],?,?,?,?,?,,,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
