,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,markets,labels,manufacturing,traceability_code,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,brand_owner,palm_ingredients
1215,Bonbon aromatises a la menthe - M&S,00235129,['M&S'],"['France', 'Royaume-Uni']","['Sucre • Sirop de glucose : Huile de menthe poivrée', ' : IMPORTANT Ne convient pas aux enfants : âgés de moins de des 36 mois en raison ', ""risques d'étouffement"", ' ', 'CONSERVATION']",[],?,0,3,"95,6",1,0 kj(0 kcal),2,"82,5",1,"0,4",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,-100%,+61%,+15%,-53%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,['Marks & Spencer'],,,,,3 g,en quantité modérée,2 g,en quantité modérée,82.5 g,en quantité élevée,1 g,en quantité modérée,-100%,+89%,+42%,+726%,+726%,14,-3%,D,-3%,,4,,,,
1216,Tuna & Sweetcorn Sandwhich - By Sainsbury's,00235624,"[""By Sainsbury's""]","['France', 'Royaume-Uni']",[],[],?,192,"5,8","23,2","10,7",803 kj(192 kcal),"0,5","2,3","0,63","0,252",,,,,,,,,,,,,,,,"['compostable-film', 'card-box']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Bacon & Free Range Eggs on malted bread - By Sainsbury's,00238403,"[""By Sainsbury's""]","['France', 'Royaume-Uni']",[],[],?,230,10,"21,6","12,5",962 kj(230 kcal),"2,9","2,7","1,03","0,412",,,,,,,,,,,,,,,,"['card-box', 'pet-sleeve']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Multi Seed Bloomer Slides - M&S - 400g,00239219,['M&S'],"['France', 'Royaume-Uni']",[],[],1263,?,"9,7","35,6","13,2",1263 kj(302 kcal),"1,1","2,1","0,75","0,3",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",-7%,,+58%,-35%,+39%,,,,,,,,400 g,,,['Marks & Spencer'],,,,,9.7 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en faible quantité,0.75 g,en quantité modérée,-8%,-6%,-46%,-41%,-41%,-3,-159%,A,-159%,,,,,,
1219,Vegetable sushi selection,00239417,,['France'],[],[],?,152,"2,6","28,1","3,3",636 kj(152 kcal),"0,6","8,7","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Coconut-based alternative to soft cheese - By Sainsbury's,00239660,"[""By Sainsbury's""]","['France', 'Royaume-Uni']",[],[],?,285,"26,8","3,4","6,5",1192 kj(285 kcal),"22,3",1,"1,16","0,464",,,,,,,,,,,,,,,,['pp-tub'],,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Linguine - Sainsbury's,00240246,"[""Sainsbury's""]","['France', 'Royaume-Uni']",[],[],?,158,"0,6","31,6",6,661 kj(158 kcal),"0,1","1,4","0,01","0,004",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Linguine']",,-54%,-64%,-53%,-52%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,0.6 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,0.01 g,en faible quantité,-54%,-73%,-49%,-55%,-55%,-2,,A,,,,,,,
1222,Soft Tortilla Wrap - Marks & Spencer,00241908,['Marks & Spencer'],['France'],"['Farine de blé contient Gluten ', 'avec Farine de \\ blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' • Eau Huiles végétales ', 'Palme', 'Colza', ' • Humectant : Glycérol • Levure chimique ', 'Poudre à lever : E450', 'Bicarbonate de soude', ' Gluten de blé déshydraté • Sucre • Émulsifiant : r-471 Sel • Agent de traitement de la farine : E920s : Pour les allergènes', 'voir les ingrédients indiqués en']",[],?,290,6,"49,7",8,1213 kj(290 kcal),"2,6","1,4","0,75","0,3",,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E920 - L-Cystéine et ses chlorhydrates']",4,['Gluten'],,,
1223,Chicken Piri Piri - Marks & Spencer - 400g e,00246132,['Marks & Spencer'],"['France', 'Royaume-Uni']","['Poitrine de poulet ', '35 %', ' Ornions ', '25 %', ' • Tomates ', '10 %', ' • Huile de colza • Pâte de tomate • Vinaigre de vin blanc • Piments rouges • Mélasse Yaourt faible en gras ', 'lait', ' • Crème ', 'lait', ' • Colorant : Caramel', ""Extrait de paprika • Purée de gingembre • Purée d'ail • Piments verts • Jus de citron Coriandre moulue • Maïzena • Sel Curcuma • Graines de cumin • Poivre noir moulu • Fenugrec moulu • Coriandre • Garam Masala "", 'coriandre rôtie', 'cumin rôti • Poivre noir • Cannelle • Macis • Graines de cardamome vertes grillées • Gingembre • Fenouil • Clous de girofle • Feuilles de muscade • Poudre de chili • Paprika fumé moulu • Paprika moulu • Extrait de piment']","['Non végétalien', 'Non végétarien']",?,115,"4,6","5,8","11,9",481 kj(115 kcal),"0,6","5,7","0,53","0,212",D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés']",,-37%,-50%,-61%,+59%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,400 g e,"['Carton', 'Plastique', 'Frais']",,['Marks & Spencer'],['Point Vert'],,,,4.6 g,en quantité modérée,0.6 g,en faible quantité,5.7 g,en quantité modérée,0.53 g,en quantité modérée,-36%,-79%,+163%,-49%,-49%,-2,-140%,A,-140%,"['E150 - Caramel', 'E160c - Extrait de paprika']",4,['Lait'],,,
1224,Carrot & Swede Potato Mash,00249751,,['France'],[],[],?,100,"5,2","10,9","1,3",418 kj(100 kcal),"3,5","1,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Singapore Noodles - Marks & Spencer,00250078,['Marks & Spencer'],['France'],"['Cooked Rice Noodles ', '37%', ' ', 'Rice Flour ? water', ' ? Beansprouts ? Cooked Chicken Thigh ', '6%', ' ? Red Peppers ? Water ? Carrots ? Cooked Pork ', '5%', ' Coconut Cream ', 'Coconut Extract ? Water', ' ? Cooked King Prawns ', 'Crustacean', ' ', '3', '5%', ' ? Rapeseed Oil ? Spring Cabbage ? Sesame Oil Soy Sauce ', 'Water ? Soybeans ? Wheat ', 'contains Gluten', ' ? Salt', ' Ground Spices ', 'Turmeric ? Coriander ? Paprika ? Cumin ? Ginger ? Chilli ? Fenneì Seeds ? White Pepper ? Cloves ? Cayenne Pepper ? Fenugreek', ' ? Red Chillies ? Toban Jhan ', 'Red Chillies ? Soybeans ? Salt ? Rapeseed Oil ? Water ? Ginger Purée ? Dried Red Chillies ? Acidity Regulator: Citric Acid ? Wheat ', 'contains Gluten', ' ? Hoisin Sauce ', 'Sugar ? Water ? Salt ? Soybeans ? Wheatflour ', 'contains Gluten', ' ? Rice Vinegar ? Garlic ? Koji Red Rice ? Sesame Oil ? Colour: Plain Caramel ? Red Chillies ? Ground Spices ', 'Sichuan Pepper ? Star Anise ? Ginger ? Cumin ? Coriander ? Cloves ? Cinnamon', ' ? Tangerine Peel ? Tsaoko Fruit', ' ? Shaoxing Rice Wine ', 'contains Wheat', 'Gluten', ' ? Salt ? Tamarind Paste ? Sugar ? Ginger Purée ? Chicken Stock ', 'Water ? Chicken Bones', ' ? Cornflour ? Adzuki Beans ? Honey ? Fish and Shellfish Stock ', 'Salt ? Cod ', 'Fish', ' ? Crab ', 'Crustacean', ' ? Mussel Extract ', 'Mollusc', ' ? Water ? Tomato Paste ? Concentrated Carrot Juice ? Lobster ', 'Crustacean', ' ? Onions ? Rapeseed Oil ? Sugar ? Ground Paprika ? Turmeric', ' ? Dried Garlic ? Sunflower Oil ? Garlic Purée ? Rice Flour ? Acidity Regulator: Acetic Acid ? Colour: Curcumin', ' For allergens see ingredients in bold']","['Non végétalien', 'Non végétarien']",?,136,"5,4","14,7","6,5",569 kj(136 kcal),"1,5","0,9","0,55","0,22",,"['Plats préparés', 'Plats à base de pâtes']",,-24%,-14%,-30%,-12%,,,,,,,,,,,['Marks & Spencer'],,,,,5.4 g,en quantité modérée,1.5 g,en quantité modérée,0.9 g,en faible quantité,0.55 g,en quantité modérée,-24%,-38%,-63%,-39%,-39%,-1,-127%,A,-127%,['E100 - Curcumine'],4,"['Crustacés', 'Poisson', 'Gluten', 'Mollusques']",,,
1226,Broccoli Florets - Marks & Spencer,00251228,['Marks & Spencer'],['France'],[],[],?,39,"0,9","1,8","4,4",163 kj(39 kcal),"0,2","1,5","0,25","0,1",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Brocolis', 'en:Broccoli Florets']",,+30%,+101%,-13%,+70%,67.2%,0.0%,0.0%,13.2%,18.9%,0.6%,98,,,,,,,,,0.9 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0.25 g,en faible quantité,+31%,+96%,+19%,+320%,+320%,-6,,A,,,,,,,
1227,Olive oil composed of refined olive oils & virgin olive oils - Sainsbury's,00251433,"[""Sainsbury's"", ""By Sainsbury's"", 'Sainsburys']","['France', 'Royaume-Uni']",[],[],?,823,92,3,3,3443 kj(823 kcal),13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,4 cherry bakewell tarts - Marks & Spencer,00252331,['Marks & Spencer'],['France'],"['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' • Sucre • Beurre ', 'Lait', ' • Sirop de glucose • Confiture de framboise sans pépins ', 'Sirop de glucose-fructose • Sucre • Purée de framboise', 'Eau • Arôme • Gélifiant : Pectine ', 'issue de Fruits', "" • Correcteur d'acidité : E331"", 'Acide citrique', ' • Eau • Cerises confites ', 'Cerises • Sirop de glucose-fructose • Colorant : Anthocyanes ', 'issus de Raisins', "" • Correcteur d'acidité : Acide citrique"", ' Sirop de sucre inverti • Huiles végétales ', 'Palme', 'Colza', ' • Œufs pasteurisés • Amandes en poudre • Humectant : Glycérol • Dextrose • Sel • Poudre à lever : E450', 'Bicarbonate de soude • Émulsifiant : E471 ', ""E473 • Arôme • Amidon de riz • Fécule de maïs • Correcteur d'acidité : Acide citrique"", ' Pour les allergènes', 'voir les ingrédients indiqués en gras', ' Ne convient pas aux personnes allergiques aux fruits à coque et aux arachides en raison des méthodes de fabrication']","['Huile de palme', 'Non végétalien']",?,425,"16,5","64,8","3,6",1778 kj(425 kcal),"8,7","39,7","0,45","0,18",,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,"['E440 - Pectines', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E163 - Anthocyanes', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']",4,"['Gluten', 'Lait']",,,['Huile de palme']
