,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
21,Tendre Croc’ Original,3154230800484,['France'],[],[],?,257,1075 kj(257 kcal),10,"4,9",29,4,12,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,La Laitière Feuilleté de mousse 4 x 57 g - Nestlé - 228g,3023290052181,['France'],"['Lait entier ', '60,8%', 'sucre', 'crème ', 'lait', 'beurre de cacao', 'pâte de cacao', 'poudre de lait écrémé', 'chocolat noir ', '2,7%', ' [pâte de cacao', 'sucre', 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel de vanille]', 'cacao maigre en poudre', 'caramel [sucre', 'eau', 'sirop de glucose', ""correcteur d'acidité "", 'hydroxyde de sodium', ']', 'cacao en poudre', 'lactose ', 'lait', 'gélatine bovine', 'émulsifiant ', 'E471', 'sel', 'arôme', ' Lait origine France']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,221,925 kj(221 kcal),"12,6","8,2","20,5","19,6","5,2","0,19","0,076",C,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Mousses au chocolat', 'Desserts lactés au chocolat']",12.6 g,en quantité modérée,8.2 g,en quantité élevée,19.6 g,en quantité élevée,0.19 g,en faible quantité,,+44%,+44%,+99%,+105%,+9%,+18%,+36%,+23%,+23%,12,+78%,D,+78%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,228 g,['Nestlé'],"['Emballage carton', 'Pot plastique', 'Opercule', 'Pot en plastique', 'Etui en carton']","['Lait Français', 'Lait entier']","['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']","['E322i - Lécithine', 'E524 - Hydroxyde de sodium', 'E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,['France'],,http://www.lalaitiere.fr,['Lait'],,['Auchan'],,,
23,Frì max,8002210112940,['France'],[],[],?,825,3452 kj(825 kcal),92,"9,6",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Fondue de poireaux & épinards, noisettes et persil - Seazon - 440g",3701456305387,['France'],"['Poireau bio ', '56', '1%', 'épinard bio ', '34', '0%', 'crème de soja bio ', 'jus de soja ', 'eau', 'soja', 'huile de tournesol', 'émulsifiants: gomme arabique', 'sucre de canne', 'épaississant: xanthane', 'carraghénanes', ' ', '5', '7%', 'noisette ', '2', '3%', 'ail ', '1', '1%', 'thym', ""huile d'olive bio"", 'persil', 'bicarbonate de soude']",[],?,50,209 kj(50 kcal),3,0,2,1,3,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Frais', 'Légumes tiges', 'Plats préparés frais', 'Poireaux', 'Plats préparés à réchauffer au micro-ondes', 'Fondue de poireau']",3 g,en quantité modérée,0 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,,-22%,-13%,+52%,-100%,-69%,-60%,+27%,-100%,-100%,-9,,A,,68.1%,15.3%,5.2%,5.5%,2.9%,2.9%,65,440 g,['Seazon'],"['Carton', 'Frais', 'Plastique']","['Bio', 'Sans gluten', '100% végétal', 'Sans lactose', 'Nutriscore', 'Nutriscore A']","['FR 94.071.002 CE', 'Sucy-en-Brie (Val-de-Marne, France)']","[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",4,"préparation cuisinée de poireaux, épinards, noisettes et persil bio",['France'],['France'],"https://seazon.fr/menu/mealPreview-Meal-Prep-Meal-prep-:-Fondue-de-poireaux-&-%C3%A9pinards,-noisettes-et-persil-3lTBHHrevr","['Fruits à coque', 'Soja']",,['Delivery'],,,
25,Organic dark chocolate,9876000000026,['France'],[],[],?,567,2372 kj(567 kcal),43,27,31,27,"8,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tortilla de farine de blé,3155590090720,['France'],[],[],?,311,1301 kj(311 kcal),"7,3","3,5",52,"2,2","7,8","2,7","1,08",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",7.3 g,en quantité modérée,3.5 g,en quantité modérée,2.2 g,en faible quantité,2.7 g,en quantité élevée,,-1%,-1%,+4%,+123%,+0%,+8%,-7%,+103%,+103%,16,+180%,D,+180%,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,,,,,,,,,,,,,,,,,
27,Nuggets soja & blé - Bon & Vég - 200g,2006050026593,['France'],"['Protéines de soja et de blé réhydratées 60%', 'graines de mais écrasés', 'huile de tournesol', 'eau', ""vinaigre d'alcool "", 'amidon de blé', 'épaississant:méthylcellulose', 'arômes naturels', 'farine de blé', 'sel', 'sucre', 'oignon', 'fibre de pomme de terre', 'sirop de glucose séché', ""extrait de malt d'orge"", 'dextrose', 'extrait de levure', 'conservateur: diacétate de sodium', 'amidon de mais', 'maltodextrine', 'graine de cumin', ""extrait d'épices"", 'extrait des plantes aromatiques', 'fer', 'vitamine B12', "" Traces éventuelles d'euf et de lait""]","['Végétalien', 'Végétarien']",?,220,920 kj(220 kcal),6,"0,7",24,"2,5",16,"1,5","0,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",6 g,en quantité modérée,0.7 g,en faible quantité,2.5 g,en faible quantité,1.5 g,en quantité modérée,,-11%,-10%,-48%,-44%,+28%,+45%,+15%,+17%,+17%,3,+16%,C,+16%,,,,,,,,200 g,['Bon & Vég'],['Opercule en plastique'],"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan']",,"['E461 - Méthylcellulose', 'E262ii - Diacétate de sodium']",4,,['Pays-Bas'],['Pays-Bas'],,['Gluten'],,,,,
28,Mini eggs,8593893773561,['France'],"['milk chocolate ', '63%', ' ', 'sugar', 'cocoa butter', 'whole milk powder', 'cocoa mass', 'vegetable fats ', 'palm', 'shea', 'butteriat ', 'from milk', 'whey powder ', 'from milk', 'lactose ', 'from milk emulsifier ', 'lecithins', 'natural flavouring', 'sugar', 'rice starch', 'fruit and vegetable concentrates ', 'safflower', 'radish', 'hibiscus', 'lemon', 'spirulina concentrate', 'glazing agents ', 'gum arabic', 'shellac', 'carnauba wax', 'beeswwax white', 'natural flavouring', 'may contain peanuts', 'tree nuts and soya', 'important: young children ', 'less than 4 years', ' have limited chewing ability and could choke on small sweets ', '8 59388 bes oreg', 'trademark of société des produits nestlé s,a', 'nutritional compass® e2409 ww,smap store 100127679']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,500,2092 kj(500 kcal),22,13,69,61,"5,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322 - Lécithines', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque', 'E903 - Cire de carnauba']",4,,,,,['Lait'],,,,,
29,Fusilli grandi n 334 - De Cecco - 500g,8001250010100,['France'],[],[],?,351,1469 kj(351 kcal),"1,5","0,3",69,"3,4",14,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",1.5 g,en faible quantité,0.3 g,en faible quantité,3.4 g,en faible quantité,0 g,en faible quantité,,+6%,+6%,-42%,-57%,+12%,+23%,+21%,-100%,-100%,-1,,A,,,,,,,,,500 g,['De Cecco'],,['Fabriqué en Italie'],,,,,,,,,,,,,
30,Frutti frizzy,4099200230375,['France'],[],[],?,302,1264 kj(302 kcal),"0,5","0,1",74,59,"0,5","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
